TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId
60311,@ui_poi_ancient_ruins_mainland_60311,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,200,true,true,,,,,ancient_ruins_mainland_60311_discovered,ancient_ruins_mainland_60311_charted,ancient_ruins_mainland_60311,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_mainland_60311,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60312,@ui_poi_ancient_ruins_seacliff_60312,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ancient_ruins_seacliff_60312_discovered,ancient_ruins_seacliff_60312_charted,ancient_ruins_seacliff_60312,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_seacliff_60312,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60313,@ui_poi_ancient_ruins_crossroads_60313,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ancient_ruins_crossroads_60313_discovered,ancient_ruins_crossroads_60313_charted,ancient_ruins_crossroads_60313,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_crossroads_60313,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60314,@ui_poi_ancient_ruins_falls_60314,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ancient_ruins_falls_60314_discovered,ancient_ruins_falls_60314_charted,ancient_ruins_falls_60314,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_falls_60314,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60315,@ui_poi_ancient_ruins_flooded_60315,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,200,true,true,,,,,ancient_ruins_flooded_60315_discovered,ancient_ruins_flooded_60315_charted,ancient_ruins_flooded_60315,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_flooded_60315,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60316,@ui_poi_ancient_ruins_woods_60316,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ancient_ruins_woods_60316_discovered,ancient_ruins_woods_60316_charted,ancient_ruins_woods_60316,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_woods_60316,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60317,@ui_poi_ancient_ruins_hillside_60317,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ancient_ruins_hillside_60317_discovered,ancient_ruins_hillside_60317_charted,ancient_ruins_hillside_60317,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_hillside_60317,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60318,@ui_poi_ancient_watchtower_highbluff_60318,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lighthouse.png,,300,true,true,,,,,ancient_watchtower_highbluff_60318_discovered,ancient_watchtower_highbluff_60318_charted,ancient_watchtower_highbluff_60318,POI_State,ancient_watchtower,,false,false,@ui_poi_ancient_watchtower_highbluff_60318,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60319,@ui_poi_tree_offering_60319,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,200,true,true,,,,,tree_offering_60319_discovered,tree_offering_60319_charted,tree_offering_60319,POI_State,,,false,false,@ui_poi_tree_offering_60319,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60320,@ui_poi_nature_cave_smugglerscove_60320,,,,true,LyShineUI/Images/Map/Icon/POIs/cave.png,,100,true,true,,,,,nature_cave_smugglerscove_60320_discovered,nature_cave_smugglerscove_60320_charted,nature_cave_smugglerscove_60320,POI_State,cave,,false,false,@ui_poi_nature_cave_smugglerscove_60320,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_graveyard.png,,,,,
60321,@ui_poi_grizzly_den_ridgepeak_60321,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,grizzly_den_ridgepeak_60321_discovered,grizzly_den_ridgepeak_60321_charted,grizzly_den_ridgepeak_60321,POI_State,bear_den,,false,false,@ui_poi_grizzly_den_ridgepeak_60321,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
60322,@ui_poi_wolf_den_forestsouth_60322,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,wolf_den_forestsouth_60322_discovered,wolf_den_forestsouth_60322_charted,wolf_den_forestsouth_60322,POI_State,wolf_den,,false,false,@ui_poi_wolf_den_forestsouth_60322,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
60323,@ui_poi_wolf_den_highpoint_60323,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,100,true,true,,,,,wolf_den_highpoint_60323_discovered,wolf_den_highpoint_60323_charted,wolf_den_highpoint_60323,POI_State,wolf_den,,false,false,@ui_poi_wolf_den_highpoint_60323,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
60324,@ui_poi_wolf_den_forestnorth_60324,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,100,true,true,,,,,wolf_den_forestnorth_60324_discovered,wolf_den_forestnorth_60324_charted,wolf_den_forestnorth_60324,POI_State,wolf_den,,false,false,@ui_poi_wolf_den_forestnorth_60324,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
60325,@ui_poi_azure_fissure_60325,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60325_discovered,azure_fissure_60325_charted,azure_fissure_60325,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60325,,,,,,,,,
60326,@ui_poi_azure_fissure_60326,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60326_discovered,azure_fissure_60326_charted,azure_fissure_60326,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60326,,,,,,,,,
60327,@ui_poi_azure_fissure_60327,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60327_discovered,azure_fissure_60327_charted,azure_fissure_60327,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60327,,,,,,,,,
60328,@ui_poi_azure_fissure_60328,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60328_discovered,azure_fissure_60328_charted,azure_fissure_60328,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60328,,,,,,,,,
60329,@ui_poi_azure_fissure_60329,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60329_discovered,azure_fissure_60329_charted,azure_fissure_60329,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60329,,,,,,,,,
60330,@ui_poi_azure_fissure_60330,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60330_discovered,azure_fissure_60330_charted,azure_fissure_60330,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60330,,,,,,,,,
60331,@ui_poi_azure_fissure_60331,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60331_discovered,azure_fissure_60331_charted,azure_fissure_60331,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60331,,,,,,,,,
60332,@ui_poi_azure_fissure_60332,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60332_discovered,azure_fissure_60332_charted,azure_fissure_60332,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60332,,,,,,,,,
60333,@ui_poi_azure_fissure_60333,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60333_discovered,azure_fissure_60333_charted,azure_fissure_60333,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60333,,,,,,,,,
60334,@ui_poi_azure_fissure_60334,,,,true,LyShineUI/Images/Map/Icon/POIs/AzureFissure.png,,500,true,true,,,,,azure_fissure_60334_discovered,azure_fissure_60334_charted,azure_fissure_60334,POI_State,azure_fissure,,false,false,@ui_poi_azure_fissure_60334,,,,,,,,,
60335,@ui_poi_outpost_63_1_60335,,,,true,LyShineUI/Images/Map/Icon/POIs/outpost.png,LyShineUI/Images/Map/Icon/POIs/outpost_compass.png,500,true,true,2,dd40276d-0fa6-a1c0-d3f5-c49e32b83681,,,,,,POI_State,,,false,false,@ui_poi_outpost_63_1_60335,,,,,,,true,,
60336,@ui_poi_ancient_port_60336,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,350,true,true,,,,,ancient_port_60336_discovered,ancient_port_60336_charted,ancient_port_60336,POI_State,ancient_port,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60337,@ui_poi_cave_60337,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,100,true,true,,,,,cave_60337_discovered,cave_60337_charted,cave_60337,POI_State,cave,TropicalCave,false,false,Sorrowsilt Ridge,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60338,@ui_poi_crater_corruptedsettlement_60338,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,crater_corruptedsettlement_60338_discovered,crater_corruptedsettlement_60338_charted,crater_corruptedsettlement_60338,POI_State,crater_settlement,,false,false,@ui_poi_crater_corruptedsettlement_60338,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_house_default.png,,,,,
60339,@ui_poi_wrecked_galleon_60339,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,,wrecked_galleon_60339_discovered,wrecked_galleon_60339_charted,wrecked_galleon_60339,POI_State,wrecked_galleon,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60340,@ui_poi_small_outpost_60340,,,,true,LyShineUI\Images\Map\Icon\POIs\fort.png,,150,true,true,,,,,small_outpost_60340_discovered,small_outpost_60340_charted,small_outpost,POI_State,outpost,,false,false,@ui_poi_small_outpost_60340,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpost_default.png,,,true,,
60341,@ui_poi_crater_corruptedsettlement_60341,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,crater_corruptedsettlement_60341_discovered,crater_corruptedsettlement_60341_charted,crater_corruptedsettlement_60341,POI_State,crater_settlement,,false,false,@ui_poi_crater_corruptedsettlement_60341,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_house_default.png,,,,,
60342,@ui_poi_ancient_ruins_mourningbridge_60342,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,250,true,true,,,,,ancient_ruins_mourningbridge_60342_discovered,ancient_ruins_mourningbridge_60342_charted,ancient_ruins_mourningbridge,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60343,@ui_poi_ancient_lighthouse_60343,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lighthouse_elite.png,,2000,true,true,,,,"OjoRojo,Corrupted,EPOI",ancient_lighthouse_60343_discovered,ancient_lighthouse_60343_charted,"ancient_lighthouse_60343,elite",POI_State,ancient_lighthouse,,false,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_Scorpius.png,,3,,,
60344,@ui_poi_ancient_pier_60344,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ancient_pier_60344_discovered,ancient_pier_60344_charted,ancient_pier,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60345,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_60345_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
60346,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_60346_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,
60347,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_60347_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,
60348,@ui_poi_fish_hotspot_rare,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot2.png,,60,false,true,,,,,,fish_hotspot_60348_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_2.png,,,,,
60349,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_60349_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
60350,@ui_poi_fish_hotspot_secret,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot3.png,,60,false,true,,,,,,fish_hotspot_60350_charted,FishingHotspot,POI_State,camp,,false,false,Fishing Hotspot,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_3.png,,,,,
60351,@ui_poi_spiritshrine_01_60351,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_01_60351_charted,"spiritshrine_01_60351,fasttravel",POI_State,spiritshrine,,false,false,SpiritShrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
60352,@ui_poi_yeti_60352,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,150,true,true,,,,,yeti_60352_discovered,yeti_60352_charted,yeti_60352,POI_State,bear_den,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
60353,@Mourningdale_Settlement_01,,,,true,,,100,false,false,2,,,,,,Mourningdale_Settlement_01,,,,false,false,,,,,,,,true,,
60354,@Mourningdale_Tower_01,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Mourningdale_Tower_01_60354_charted,Mourningdale_Tower_01,POI_State,factionarea,,false,false,Mourningdale_Tower_01,,,,,,,,,
60355,@Mourningdale_Tower_02,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Mourningdale_Tower_02_60355_charted,Mourningdale_Tower_02,POI_State,factionarea,,false,false,Mourningdale_Tower_02,,,,,,,,,
60356,@Mourningdale_Tower_03,,,,true,,LyShineUI/Images/Map/Icon/POIs/InfluenceTower_Active.dds,225,false,true,1,,,,,Mourningdale_Tower_03_60356_charted,Mourningdale_Tower_03,POI_State,factionarea,,false,false,Mourningdale_Tower_03,,,,,,,,,
60357,@ui_poi_60357_factionarea,,,,true,,,60,false,true,1,,,,,factionarea_60357_charted,factionarea_60357,POI_State,factionarea,,true,true,Faction Area,,,,,,,,,
60358,@ui_poi_60358_factionarea,,,,true,,,60,false,true,1,,,,,factionarea_60358_charted,factionarea_60358,POI_State,factionarea,,true,true,Faction Area,,,,,,,,,
60359,@ui_poi_60359_factionarea,,,,true,,,60,false,true,1,,,,,factionarea_60359_charted,factionarea_60359,POI_State,factionarea,,true,true,Faction Area,,,,,,,,,
