SkeletonName,Xform,Head,Neck,Spine,RightHand,RightForeArm,RightMidArm,RightUpperArm,LeftHand,LeftForeArm,LeftMidArm,LeftUpperArm
invasion_raider_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
invasion_grunt_skel,Xform,bind_head,bind_neck_a,bind_spine_c,bind_right_front_ball,bind_left_front_wrist,bind_left_front_elbow,bind_left_front_shoulder,bind_left_front_ball,bind_right_front_wrist,bind_left_front_elbow,bind_left_front_shoulder
invasion_bomber_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
bomber,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
damnedbear_invasion_skel,Xform,head_jnt,neck_1_jnt,spine_3_jnt,right_hand_jnt,,,,left_hand_jnt,,,
male_damnedcommander_body_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
male_damnedcommander_scaled_invasion_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corrupted_acolyte,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corrupted_heavy_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corrupted_lesser_cultist,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corrupted_ogre,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
corrupted_tendril_skel,Xform,bind_hook,,spine_beam,bind_spline_k,bind_spline_i,bind_spline_g,bind_spline_f,bind_spline_l,bind_spline_j,bind_spline_h,bind_spline_e
corruption_thrower,Xform,Head,Neck,c_spineTwist5_BND,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corruptionentity_skel,Xform,Head,Neck,c_spineTwist5_BND,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corruptionswarm,Xform,Head,Neck,Spine3,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corrupted_spriggan_invasion_skel,Xform,Head,Neck,Spine3,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
damnedwolf_skel,bind_xform,bind_head_jnt,bind_neck_1_jnt,bind_spine_2_jnt,bind_right_hand_jnt,bind_right_wrist_jnt,bind_right_arm_jnt,bind_right_clav_jnt,bind_left_hand_jnt,bind_right_wrist_jnt,bind_left_arm_jnt,bind_left_clav_jnt
damnedpriest_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corrupted_dynasty_maiden_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
dynasty_summoner,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
corrupteddynastyempress_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
damned_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
blightfiend,Xform,Head,Neck,c_spineTwist5_BND,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
dryad_beast_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
dryad_blightfiend,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
dryadprowler_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
dryadshaman_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
dryad_soldier,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
bog_monster,Xform,Head,Neck,Spine3,right_hand_attach,Forearm_twist02_right,UpperArm_twist03_right,UpperArm_right,left_hand_attach,Forearm_twist02_left,UpperArm_twist03_left,UpperArm_left
apophisproxy_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
ElementalSandShaman_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
scorpion_skel,Xform,bind_head,bind_neck_a,bind_spine_b,bind_right_hand_thumb_a,bind_right_wrist,bind_right_elbow,bind_right_shoulder,bind_left_hand_thumb_a,bind_left_wrist,bind_left_elbow,bind_left_shoulder
desertscorpionsulfur_skel,Xform,bind_head,bind_neck_a,bind_spine_b,bind_right_hand_thumb_a,bind_right_wrist,bind_right_elbow,bind_right_shoulder,bind_left_hand_thumb_a,bind_left_wrist,bind_left_elbow,bind_left_shoulder
scarab_skel,Xform,bind_head,bind_neck_a,bind_spine_b,bind_right_wrist,bind_right_wrist,bind_right_elbow,bind_right_shoulder,bind_left_wrist,bind_left_wrist,bind_left_elbow,bind_left_shoulder
sulfurdragon_skel,xform_C0_0_jnt,neck_C0_head_jnt,neck_C0_2_jnt,spine_C1_3_jnt,frontPaw_toes_R1_0_jnt,arm_R0_lowerarm_twist_01_jnt,arm_R0_lowerarm_jnt,arm_R0_upperarm_twist_01_jnt,frontPaw_toes_L1_0_jnt,arm_L0_lowerarm_twist_01_jnt,arm_L0_lowerarm_jnt,arm_L0_upperarm_twist_01_jnt
spriggan_proto_skel,Xform,head,neck,spine2,r_wrist,Forearm_twist03_right,Forearm_twist01_right,UpperArm_right,l_wrist,Forearm_twist03_left,Forearm_twist01_left,UpperArm_right
spriggan_forest_worm_mesh_proxy_skel,Xform,Head,Neck,spine3,right_hand_attach,Forearm_twist03_right,Forearm_twist01_right,UpperArm_right,left_hand_attach,Forearm_twist03_left,Forearm_twist01_left,UpperArm_right
spriggan_sulfur_skel,Xform,bind_head_01,bind_neck_01,bind_spine_04,right_hand_attach,Forearm_twist03_right,Forearm_twist01_right,UpperArm_right,left_hand_attach,Forearm_twist03_left,Forearm_twist01_left,UpperArm_right
upyr_guardian_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
upyr_baroness_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
upyrshade_skel,Xform,bind_head,bind_spine_a,bind_spine_c,right_hand_weapon_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_weapon_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
mindthief_skel,Xform,bind_head,bind_spine_a,bind_spine_c,right_hand_weapon_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_weapon_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
upyrconsort_skel,Xform,bind_head,bind_spine_a,bind_spine_c,right_hand_weapon_attachment,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_weapon_attachment,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
sandworm_skel,xform_C0_0_jnt,Head_C0_0_jnt,,,,,,,,,,
spriggan_forest_skel,xform,Head,Neck,Spine3,right_hand_attach,Forearm_twist02_right,UpperArm_twist03_right,UpperArm_right,left_hand_attach,Forearm_twist02_left,UpperArm_twist03_left,UpperArm_left
hercyneRangedCorvid_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
hercynewolf_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
halloweenplaguer_skel,xform,Head,Neck_rig,Spine3,right_hand_attach,Forearm_right,UpperArm_right,UpperArm_right,left_hand_attach,Forearm_left,UpperArm_left,UpperArm_left
halloweengourdspewer_skel,Xform,bind_head,bind_neck_a,bind_spine_c,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
npc_horus_skel,Xform,Head,Neck,Spine2,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
anubianguardian_brute_skel,Xform,bind_head,bind_neck_a,bind_spine_a,right_hand_attach,bind_right_lo_arm_twist_a,bind_right_elbow,bind_right_up_arm_twist_a,left_hand_attach,bind_left_lo_arm_twist_a,bind_left_elbow,bind_left_up_arm_twist_a
armadillo_skel,Xform,bind_head_01,bind_neck_01,bind_spine_03,bind_right_frontFoot_01,bind_right_frontLeg_03,bind_right_frontLeg_02,bind_right_frontLeg_01,bind_left_frontFoot_01,bind_left_frontLeg_03,bind_left_frontLeg_02,bind_left_frontLeg_01
armadillocurled_skel,Xform,Xform,Xform,Xform,Xform,Xform,Xform,Xform,Xform,Xform,Xform,Xform
firechampion_skel,Xform,Head,Neck,Spine2,Hand_right,Forearm_right_twist,MidArm_right,UpperArm_right,Hand_left,Forearm_left_twist,MidArm_left,UpperArm_left
enneadbossanubis_torso_mesh_skel,Xform,Head,Neck,c_spineTwist5_BND,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
base_male_naked_skel,Xform,Head,Neck,c_spineTwist5_BND,right_hand_attach,Forearm_right_twist,MidArm_right,UpperArm_right,left_hand_attach,Forearm_left_twist,MidArm_left,UpperArm_left
