GatherableID,DisplayName,RequirementDescription,AdditionalInfo,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,ProgressionCurrencyCosts,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,OpenAfterGathering,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IconTypeUnlockImagePath,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId,MountGatherers,IsFFARestricted,DestroyOnDepletion
Catacombs_DefenderTurret,@Catacombs_DefenderTurret,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Summoner,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_DefenseTurret_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_DefenderTurretDesc,,,,,,,
Catacombs_BattleFocus,@Catacombs_BattleFocus,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Oracle,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_FocusIsPower_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_BattleFocusDesc,,,,,,,
Catacombs_HolyCharge,@Catacombs_HolyCharge,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Paladin,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_HolyCharge_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_HolyChargeDesc,,,,,,,
Catacombs_LivingArmor,@Catacombs_LivingArmor,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Oracle,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_LivingArmor_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_LivingArmorDesc,,,,,,,
Catacombs_GlassCannon,@Catacombs_GlassCannon,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Berserker,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_GlassCannon_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_GlassCannonDesc,,,,,,,
Catacombs_ManaWard,@Catacombs_ManaWard,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Spellwarden,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_ManaWard_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_ManaWardDesc,,,,,,,
Catacombs_ManaArmor,@Catacombs_ManaArmor,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Spellwarden,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_ManaArmor_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_ManaArmorDesc,,,,,,,
Catacombs_Revitalize,@Catacombs_Revitalize,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Spellwarden,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_Revitalize_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_RevitalizeDesc,,,,,,,
Catacombs_DeathBattle,@Catacombs_DeathBattle,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Berserker,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_DeathBattle_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_DeathBattleDesc,,,,,,,
Catacombs_HallowedEyes,@Catacombs_HallowedEyes,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Oracle,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_HallowedEyes_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_HallowedEyesDesc,,,,,,,
Catacombs_ImmortalRally,@Catacombs_ImmortalRally,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Paladin,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_ImmortalRally_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_ImmortalRallyDesc,,,,,,,
Catacombs_KillJump,@Catacombs_KillJump,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Reaper,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_KillJump_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_KillJumpDesc,,,,,,,
Catacombs_TurretSummon,@Catacombs_TurretSummon,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Summoner,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_TurretSummon_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_TurretSummonDesc,,,,,,,
Catacombs_Netherbloom,@Catacombs_Netherbloom,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Oracle,None,None,,emote_chestpound,Catacombs_Potion_RemoveErosion,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_Netherbloom_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_NetherbloomDesc,,,,,,,
Catacombs_FirstAid,@Catacombs_FirstAid,@Catacombs_RequirementDescription,@Catacombs_AdditionalInfo_Reaper,None,None,,emote_chestpound,Catacombs_Test,,64000,64002,None,,,,1.5,0,ItemRequired,true,Catacombs_Powerup_Tracking,,,,,,true,false,,,,,,,,,,Catacombs_PowerUp_FirstAid_Ability,Catacombs_PowerupChestKey,Catacombs_PowerupChestKey,,,@Catacombs_FirstAidDesc,,,,,,,
Catacombs_LevelUp,@Catacombs_LevelUp,,,None,None,,Emote_Wings,Catacombs_Test,,0.1,0.1,None,,,,4,0,ItemRequired,true,Catacombs_Levelup_Tracking,Catacombs_Currency_Souls,100,,,,true,false,,,,,,,,,,CAT_LevelUp,,,,,@Catacombs_LevelUpDesc,,,,,,,
Catacombs_Potion_RemoveErosion_Chest,@Catacombs_Potion_RemoveErosion_Chest,,,Handcrafting,None,,,Catacombs_Potion_RemoveErosion,,64000,64002,None,,,,1,0,NoToolNecessary,true,,,20,,,,true,false,,,,,,,,,,,,,,,@Catacombs_ErosionChestDesc,,,,,,,
DG_Catacombs_CursedSilver_Chest_S,@DG_Catacombs_CursedSilver_Chest_S_DisplayName,,,Handcrafting,None,,,Empty,,6000,6001,None,,,,1,0,NoToolNecessary,true,Catacombs_Silver_Chest_S,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,
DG_Catacombs_CursedSilver_Chest_L,@DG_Catacombs_CursedSilver_Chest_L_DisplayName,,,Handcrafting,None,,,Empty,,6000,6001,None,,,,2,0,NoToolNecessary,true,Catacombs_Silver_Chest_L,,,,,,true,false,,,,,,,,,,,,,,,,,,,,,,
DG_Catacombs_Extraction_Initiator,@DG_Catacombs_Extraction_Initiator_DisplayName,,,AzothStaffHigh,AzothStaff,,,Empty,,600000,600001,None,0,,,2,0,ToolRequired,false,Catacombs_Extraction_Tracking,Catacombs_ExtractionInitiation_Tracking,,,,,true,,,,,,,true,,false,,,,,,,@Catacombs_ExitDesc,,,,,,,
DG_Catacombs_OreVeinLarge,@DG_Catacombs_OreVeinLarge_DisplayName,,,Mining,Mining,,,OreVeinFinishLarge,,64000,64000,Mining,0,,,7,1,ToolRequired,true,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,,
DG_Catacombs_RawHide,@DG_Catacombs_RawHide,,,Dressing,Dressing,,,WolfSkinning,,64000,64000,Skinning,0,,,7,0,ToolRequired,true,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,
DG_Catacombs_Explosive_Mushroom,@DG_Catacombs_Explosive_Mushroom_DisplayName,,,None,None,,,Empty,,60,60,None,,,,0.1,0,NoToolNecessary,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SoulCrystal,@SoulCrystal_DisplayName,,,Mining,Mining,,,SoulCrystal,,1200,1800,Mining,250,,,36,1,ToolRequired,true,Gather_HarvestingT5,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
CursedCatacombs_SoulCrystal,@CursedCatacombs_SoulCrystal_DisplayName,,,Mining,Mining,,,Catacombs_SoulCrystal,,600000,600000,Mining,250,,,1,1,ToolRequired,true,Gather_HarvestingT5,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
CursedCatacombs_OreT1,@CursedCatacombs_OreT1_DisplayName,,,Mining,Mining,,,Catacombs_OreT1,,600000,600000,Mining,0,,,1,1,ToolRequired,true,Gather_HarvestingT1,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
CursedCatacombs_HideT1,@CursedCatacombs_HideT1_DisplayName,,,Dressing,Dressing,,,Catacombs_HideT1,,600000,600000,Mining,0,,,1,1,ToolRequired,true,Gather_SkinningT1,,,,,,,false,,,,,,,,false,,,,,,,,,,,,,,
Catacombs_LockedGate,@Catacombs_LockedGate,,,Handcrafting,None,,,,,600000,600000,None,,,,2,0,NoToolNecessary,true,,,,,,,,,,,,,,,,,,,,,,,@Catacombs_LockedGateDesc,,,,,,,
Catacombs_PowerupChestKey,@Catacombs_PowerupKey,,,None,None,,,,,600000,600000,None,,,,2,0,NoToolNecessary,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catacombs_HazardLever,@Raid_CutlassKeys00_SplitSwitch_DisplayName,,,Handcrafting,None,,,,,86400,86400,None,,,,2,FALSE,NoToolNecessary,true,Catacombs_HazardRoomInitiation_Tracking,,,,,,true,false,,,,,,,,,,,,,,,@Catacombs_HazardDesc,,,,,,,
SoulCrystalSmall,@SoulCrystal_DisplayName,,,Mining,Mining,,,SoulCrystalSmall,,504,720,Mining,250,,,100,1,ToolRequired,true,Gather_MiningT16,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
SoulCrystalMedium,@SoulCrystal_DisplayName,,,Mining,Mining,,,SoulCrystalMedium,,630,900,Mining,250,,,125,1,ToolRequired,true,Gather_MiningT17,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
SoulCrystalLarge,@SoulCrystal_DisplayName,,,Mining,Mining,,,SoulCrystalLarge,,714,1020,Mining,250,,,150,1,ToolRequired,true,Gather_MiningT18,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
CursedCatacombs_SoulCrystalSmall,@SoulCrystal_DisplayName,,,Mining,Mining,,,SoulCrystalSmall,,714,1020,Mining,250,,,5,1,ToolRequired,true,Gather_MiningT16,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
CursedCatacombs_SoulCrystalMedium,@SoulCrystal_DisplayName,,,Mining,Mining,,,SoulCrystalMedium,,714,1020,Mining,250,,,5,1,ToolRequired,true,Gather_MiningT17,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
CursedCatacombs_SoulCrystalLarge,@SoulCrystal_DisplayName,,,Mining,Mining,,,SoulCrystalLarge,,714,1020,Mining,250,,,5,1,ToolRequired,true,Gather_MiningT18,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
Catacombs_Hazard_Exploding_Mushroom,@CursedCatacombs_Hazard_Exploding_Mushroom_DisplayName,,,,,,,Empty,,600000,600000,None,,,,0,0,NoToolNecessary,,,,,,,,,false,,,,,,,,true,,,,,,,,,,,,,,
Catacombs_LootChest_Gold,@Catacombs_LootChest_Gold_DisplayName,,,None,None,,,Empty,,600000,600000,,,,,1,0,NoToolNecessary,,Coin_Stack_500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
