GatherableID,DisplayName,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IconTypeUnlockImagePath,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,RequirementDescription,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId
Dunwood_Battery_Deposit,@17_MSQ_BatteryPost_DisplayName,None,None,,,Empty,,64000,64002,None,0,,,1,false,NoToolNecessary,true,,,,,,true,false,,,,,,,,,,Dungeon_OrbGateKey,Dungeon_OrbGateKey,,,,,,,,
Dunwood_Soulwarden_Crystal,@17DW_Soulwarden_Crystal_DisplayName,Handcrafting,None,,,Empty,,15,15,None,0,,,1,false,NoToolNecessary,false,Gather_Soulwarden_Crystal_Dunwood,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_01,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_01,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_02,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_02,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_03,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_03,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_04,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_04,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_05,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_05,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_06,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_06,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_07,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_07,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_08,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_08,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_09,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_09,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_10,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_10,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_11,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_11,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_12,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_12,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_13,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_13,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_14,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_14,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_15,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_15,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_16,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_16,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_17,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_17,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_18,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_18,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_19,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_19,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_20,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_20,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_21,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_21,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_22,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_22,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_23,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_23,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_24,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_24,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_25,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_25,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_26,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_26,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_27,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_27,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_28,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_28,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_29,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_29,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_30,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_30,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_31,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_31,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_32,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_32,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_33,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_33,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_34,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_34,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_35,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_35,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_36,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_36,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_37,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_37,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_38,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_38,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_39,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_39,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_40,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_40,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_41,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_41,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_42,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_42,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_43,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_43,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_44,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_44,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_45,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_45,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_46,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_46,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_47,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_47,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_48,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_48,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_49,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_49,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_50,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_50,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_51,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_51,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_52,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_52,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_53,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_53,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_54,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_54,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_55,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_55,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_56,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_56,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_57,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_57,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_58,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_58,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_59,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_59,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_60,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_60,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_61,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_61,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_62,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_62,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_63,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_63,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_64,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_64,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_65,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_65,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_66,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_66,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_67,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_67,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_68,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_68,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_69,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_69,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_70,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_70,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_71,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_71,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_72,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_72,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_73,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_73,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_74,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_74,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_75,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_75,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_76,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_76,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_77,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_77,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_78,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_78,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_79,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_79,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_80,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_80,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_81,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_81,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_82,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_82,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_83,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_83,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_84,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_84,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_85,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_85,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_86,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_86,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_87,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_87,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_88,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_88,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_89,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_89,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_90,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_90,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_91,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_91,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_92,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_92,,,,,true,true,,,,,,,,,,,,,,,,,,,
Dunwood_LostMemory_93,@17DW_LostMemory_DisplayName,AzothStaffLow,AzothStaff,,,Empty,,15,15,AzothStaff,5,,,1,false,ToolRequired,false,Gather_LostMemory_93,,,,,true,true,,,,,,,,,,,,,,,,,,,
