GatherableID,DisplayName,GatheringAction,GatheringType,IdleFragment,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,ExpansionIdUnlock,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsElite,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,RequirementDescription,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId,MountGatherers
TreeRunewoodHuge,@TreeRunewoodHuge_DisplayName,Chopping,Chopping,,,RunewoodTreeHuge,,840,1200,Logging,205,Expansion2023,,150,true,ToolRequired,true,Gather_LoggingT20,,,,,,false,,,,Runewood,,true,,,,,,,,,,,,,
TreeWithered,@TreeSoftwoodTinyDowned_DisplayName,ChoppingVertical,Chopping,,,TreeSmall,,1680,2400,Logging,0,,,15,true,ToolRequired,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
CatTailSmall,@CatTailSmall_DisplayName,None,None,,,CatTailSmall,,60,90,Harvesting,0,,,0.5,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
CatTailMedium,@CatTailMedium_DisplayName,None,None,,,CatTailMedium,,60,90,Harvesting,0,,,1,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
CatTailLarge,@CatTailLarge_DisplayName,None,None,,,CatTailLarge,,60,90,Harvesting,0,,,1.5,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BriarLarge,@BriarLarge_DisplayName,None,None,,,BriarPlant,,60,90,Harvesting,0,,,2,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BushXSmall,@BushXSmall_DisplayName,None,None,,,BushXSmall,,60,90,Harvesting,0,,,1,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BushWithered,@BushXSmall_DisplayName,None,None,,,WitheredBush,,60,90,Harvesting,0,,,1,false,ItemRequired,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BushSmall,@BushSmall_DisplayName,None,None,,,BushSmall,,60,90,Harvesting,0,,,0.5,false,ItemRequired,false,,,,,,,false,,,,,,,,,,,,,,,,,,,"1. Horse,3. DireWolf"
BushMedium,@BushMedium_DisplayName,None,None,,,BushMedium,,60,90,Harvesting,0,,,1,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,1. Horse
BushLarge,@BushLarge_DisplayName,None,None,,,BushLarge,,60,90,Harvesting,0,,,1.5,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,1. Horse
BushHuge,@BushHuge_DisplayName,None,None,,,BushHuge,,60,90,Harvesting,0,,,2,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,1. Horse
BushSmallWoody,@BushSmallWoody_DisplayName,None,None,,,WitheredBush,,60,90,Harvesting,0,,,0.5,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BushMediumWoody,@BushSmallWoody_DisplayName,None,None,,,WitheredBush,,60,90,Harvesting,0,,,1,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BushLargeWoody,@BushSmallWoody_DisplayName,None,None,,,WitheredBush,,60,90,Harvesting,0,,,1.5,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BerryBushSmall,@BerryBushSmall_DisplayName,Cutting,Cutting,,,BerryBushSmall,,504,720,Harvesting,0,,,2.5,false,ToolRequired,false,Gather_HarvestingT1,,,,,,false,,,,,,true,,,,,,,,,,,,,
BerryBushMedium,@BerryBushMedium_DisplayName,Cutting,Cutting,,,BerryBushMedium,,630,900,Harvesting,0,,,4,false,ToolRequired,false,Gather_HarvestingT1,,,,,,false,,,,,,true,,,,,,,,,,,,,
BerryBushLarge,@BerryBushLarge_DisplayName,Cutting,Cutting,,,BerryBushLarge,,714,1020,Harvesting,0,,,6,false,ToolRequired,false,Gather_HarvestingT1,,,,,,false,,,,,,true,,,,,,,,,,,,,
BlueberryBushSmall,@BlueberryBushSmall_DisplayName,Cutting,Cutting,,,BlueberryBushSmall,,504,720,Harvesting,0,,,2.5,false,ToolRequired,false,Gather_HarvestingT1,,,,,,false,,,,,,true,,,,,,,,,,,,,
BlueberryBushMedium,@BlueberryBushMedium_DisplayName,Cutting,Cutting,,,BlueberryBushMedium,,630,900,Harvesting,0,,,4,false,ToolRequired,false,Gather_HarvestingT1,,,,,,false,,,,,,true,,,,,,,,,,,,,
BlueberryBushLarge,@BlueberryBushLarge_DisplayName,Cutting,Cutting,,,BlueberryBushLarge,,714,1020,Harvesting,0,,,6,false,ToolRequired,false,Gather_HarvestingT1,,,,,,false,,,,,,true,,,,,,,,,,,,,
SingleStone,@SingleStone_DisplayName,None,None,,,SingleStone,,60,90,None,0,,,0.25,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
BoulderSmall,@BoulderSmall_DisplayName,Mining,Mining,,,BoulderFinishSmall,,300,480,Mining,0,,,15,true,ToolRequired,true,Gather_MiningT1,,,,,,false,,,,,,,,,,,,,,,,,,,
BoulderMedium,@BoulderMedium_DisplayName,Mining,Mining,,,BoulderFinishMedium,,360,540,Mining,0,,,25,true,ToolRequired,true,Gather_MiningT2,,,,,,false,,,,,,,,,,,,,,,,,,,
BoulderLarge,@BoulderLarge_DisplayName,Mining,Mining,,,BoulderFinishLarge,,420,660,Mining,0,,,35,true,ToolRequired,true,Gather_MiningT3,,,,,,false,,,,,,,,,,,,,,,,,,,
BoulderLodestoneSmall,@LodestoneSmall_DisplayName,Mining,Mining,,,LodestoneFinishSmall,,756,1080,Mining,75,,,45,true,ToolRequired,true,Gather_MiningT4,,,,,,false,,,,Lodestone,,true,,,,,,,,,,,,,
BoulderLodestoneMedium,@LodestoneMedium_DisplayName,Mining,Mining,,,LodestoneFinishMedium,,945,1350,Mining,75,,,70,true,ToolRequired,true,Gather_MiningT5,,,,,,false,,,,Lodestone,,true,,,,,,,,,,,,,
BoulderLodestoneLarge,@LodestoneLarge_DisplayName,Mining,Mining,,,LodestoneFinishLarge,,1071,1530,Mining,75,,,95,true,ToolRequired,true,Gather_MiningT6,,,,,,false,,,,Lodestone,,true,,,,,,,,,,,,,
OreNugget,@OreNugget_DisplayName,None,None,,,OreNugget,,630,900,Mining,0,,,0.5,false,ToolRequired,true,,,,,,,false,,,,,,true,,,,,,,,,,,,,
OreVeinSmall,@OreVeinSmall_DisplayName,Mining,Mining,,,OreVeinFinishSmall,,504,720,Mining,0,,,15,true,ToolRequired,true,Gather_MiningT4,,,,,,false,,,,,,true,,,,,,,,,,,,,
OreVeinMedium,@OreVeinMedium_DisplayName,Mining,Mining,,,OreVeinFinishMedium,,630,900,Mining,0,,,25,true,ToolRequired,true,Gather_MiningT5,,,,,,false,,,,,,true,,,,,,,,,,,,,
OreVeinLarge,@OreVeinLarge_DisplayName,Mining,Mining,,,OreVeinFinishLarge,,714,1020,Mining,0,,,35,true,ToolRequired,true,Gather_MiningT6,,,,,,false,,,,,,true,,,,,,,,,,,,,
OreVeinStarmetalSmall,@StarmetalSmall_DisplayName,Mining,Mining,,,StarmetalOreVeinFinishSmall,,504,720,Mining,100,,,70,true,ToolRequired,true,Gather_MiningT10,,,,,,false,,,,Starmetal,,true,,,,,,,,,,,,,
OreVeinStarmetalMedium,@StarmetalMedium_DisplayName,Mining,Mining,,,StarmetalOreVeinFinishMedium,,630,900,Mining,100,,,95,true,ToolRequired,true,Gather_MiningT11,,,,,,false,,,,Starmetal,,true,,,,,,,,,,,,,
OreVeinStarmetalLarge,@StarmetalLarge_DisplayName,Mining,Mining,,,StarmetalOreVeinFinishLarge,,714,1020,Mining,100,,,120,true,ToolRequired,true,Gather_MiningT12,,,,,,false,,,,Starmetal,,true,,,,,,,,,,,,,
OreVeinOrichalcumSmall,@OrichalcumSmall_DisplayName,Mining,Mining,,,OrichalcumOreVeinFinishSmall,,504,720,Mining,150,,,85,true,ToolRequired,true,Gather_MiningT13,,,,,,false,,,,Orichalcum,,true,,,,,,,,,,,,,
OreVeinOrichalcumMedium,@OrichalcumMedium_DisplayName,Mining,Mining,,,OrichalcumOreVeinFinishMedium,,630,900,Mining,150,,,110,true,ToolRequired,true,Gather_MiningT14,,,,,,false,,,,Orichalcum,,true,,,,,,,,,,,,,
OreVeinOrichalcumLarge,@OrichalcumLarge_DisplayName,Mining,Mining,,,OrichalcumOreVeinFinishLarge,,714,1020,Mining,150,,,135,true,ToolRequired,true,Gather_MiningT15,,,,,,false,,,,Orichalcum,,true,,,,,,,,,,,,,
OreVeinMythrilSmall,@MythrilSmall_DisplayName,Mining,Mining,,,MythrilOreVeinFinishSmall,,250,360,Mining,205,Expansion2023,,100,true,ToolRequired,true,Gather_MiningT16,,,,,,false,,,,Mythril,,true,,,,,,,,,,,,,
OreVeinMythrilMedium,@MythrilMedium_DisplayName,Mining,Mining,,,MythrilOreVeinFinishMedium,,315,450,Mining,205,Expansion2023,,125,true,ToolRequired,true,Gather_MiningT17,,,,,,false,,,,Mythril,,true,,,,,,,,,,,,,
OreVeinMythrilLarge,@MythrilLarge_DisplayName,Mining,Mining,,,MythrilOreVeinFinishLarge,,350,510,Mining,205,Expansion2023,,150,true,ToolRequired,true,Gather_MiningT18,,,,,,false,,,,Mythril,,true,,,,,,,,,,,,,
OrichalcumSpire,@DarknessOrichalcumSpire_DisplayName,Mining,Mining,,,OrichalcumSpire,,1008,1440,Mining,150,,,85,true,ToolRequired,true,Gather_MiningT10,,,,,,false,,,,Orichalcum,,true,,,,,,,,,,,,,
GypsumOreSmall,@GypsumOreSmall_DisplayName,Mining,Mining,,,GypsumOreFinishSmall,,756,1080,Mining,105,,,45,true,ToolRequired,true,Gather_MiningT4,,,,,,false,,,,,,true,,,,,,,,,,,,,
GypsumOreMedium,@GypsumOreMedium_DisplayName,Mining,Mining,,,GypsumOreFinishMedium,,945,1350,Mining,105,,,70,true,ToolRequired,true,Gather_MiningT5,,,,,,false,,,,,,true,,,,,,,,,,,,,
GypsumOreLarge,@GypsumOreLarge_DisplayName,Mining,Mining,,,GypsumOreFinishLarge,,1071,1530,Mining,105,,,95,true,ToolRequired,true,Gather_MiningT6,,,,,,false,,,,,,true,,,,,,,,,,,,,
SandstoneSmall,@SandstoneSmall_DisplayName,Mining,Mining,,,SandstoneFinishSmall,,756,1080,Mining,105,,,45,true,ToolRequired,true,Gather_MiningT4,,,,,,false,,,,Sandstone,,true,,,,,,,,,,,,,
SandstoneMedium,@SandstoneMedium_DisplayName,Mining,Mining,,,SandstoneFinishMedium,,945,1350,Mining,105,,,70,true,ToolRequired,true,Gather_MiningT5,,,,,,false,,,,Sandstone,,true,,,,,,,,,,,,,
SandstoneLarge,@SandstoneLarge_DisplayName,Mining,Mining,,,SandstoneFinishLarge,,1071,1530,Mining,105,,,95,true,ToolRequired,true,Gather_MiningT6,,,,,,false,,,,Sandstone,,true,,,,,,,,,,,,,
BrimstoneSmall,@BrimstoneSmall_DisplayName,Mining,Mining,,,BrimstoneFinishSmall,,756,1080,Mining,130,,,45,true,ToolRequired,true,Gather_MiningT4,,,,,,false,,,,Brimstone,,,,,,,,,,,,,,,
BrimstoneMedium,@BrimstoneMedium_DisplayName,Mining,Mining,,,BrimstoneFinishMedium,,945,1350,Mining,130,,,70,true,ToolRequired,true,Gather_MiningT5,,,,,,false,,,,Brimstone,,,,,,,,,,,,,,,
BrimstoneLarge,@BrimstoneLarge_DisplayName,Mining,Mining,,,BrimstoneFinishLarge,,1071,1530,Mining,130,,,95,true,ToolRequired,true,Gather_MiningT6,,,,,,false,,,,Brimstone,,,,,,,,,,,,,,,
TurkeyDomestic,@TurkeyDomestic_DisplayName,None,None,,,FarmTurkey,,1260,1800,None,0,,,7,false,NoToolNecessary,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
Rabbit,@Rabbit_DisplayName,Dressing,Dressing,,,RabbitSkinning,,1260,1800,Skinning,0,,,7,false,ToolRequired,true,Gather_SkinningT1,,,,,,false,,,,,,,,,,,,,,,,,,,
PigDomestic,@PigDomestic_DisplayName,Dressing,Dressing,,,FarmPig,,1260,1800,Skinning,0,,,10,false,ToolRequired,true,Gather_SkinningT1,,,,,,false,,,,,,,,,,,,,,,,,,,
Piglet,@Piglet_DisplayName,None,None,,,Piglet,,1260,1800,None,0,,,0.5,false,NoToolNecessary,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
TurkeyNest,@TurkeyNest_DisplayName,None,None,,,TurkeyNest,,840,1200,None,0,,,3,false,NoToolNecessary,true,,,,,,,false,,,,,,true,,,,,,,,,,,,,
Turkey,@Turkey_DisplayName,Dressing,Dressing,,,Turkey,,1260,1800,Skinning,0,,,7,false,ToolRequired,true,Gather_SkinningT1,,,,,,false,,,,,,,,,,,,,,,,,,,
LargeBird,@Turkey_DisplayName,Dressing,Dressing,,,LargeBird,,1260,1800,Skinning,0,,,7,false,ToolRequired,true,Gather_SkinningT1,,,,,,false,,,,,,,,,,,,,,,,,,,
TurkeyEgg,@TurkeyEgg_DisplayName,None,None,,,TurkeyEgg,,1260,1800,None,0,,,0.5,false,NoToolNecessary,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
TurkeyVultureNest,@TurkeyVultureNest_DisplayName,None,None,,,TurkeyNest,,840,1200,None,0,,,3,false,NoToolNecessary,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
TurkeyVulture,@TurkeyVulture_DisplayName,Dressing,Dressing,,,Turkey,,1260,1800,Skinning,0,,,7,false,ToolRequired,true,Gather_SkinningT1,,,,,,false,,,,,,,,,,,,,,,,,,,
TurkeyVultureEgg,@TurkeyVultureEgg_DisplayName,None,None,,,TurkeyEgg,,1260,1800,None,0,,,0.5,false,NoToolNecessary,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
Turkey_ChameleonNest,@Turkey_ChameleonNest_DisplayName,None,None,,,Turkey_ChameleonNest,,840,1200,None,0,,,3,false,NoToolNecessary,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
Turkey_LizardEgg,@Turkey_LizardEgg_DisplayName,None,None,,,Turkey_LizardEgg,,1260,1800,None,0,,,0.5,false,NoToolNecessary,true,,,,,,,false,,,,,,,,,,,,,,,,,,,
Elk,@Elk_DisplayName,Dressing,Dressing,,,ElkSkinning,,1260,1800,Skinning,0,,,35,false,ToolRequired,true,Gather_SkinningT3,,,,,,false,,,,,,,,,,,,,,,,,,,
ElkCorrupted,@Elk_DisplayName,Dressing,Dressing,,,ElkCorruptedSkinning,,1260,1800,Skinning,0,,,35,false,ToolRequired,true,Gather_SkinningT3,,,,,,false,,,,,,,,,,,,,,,,,,,
Elk_Female,@Elk_Female_DisplayName,Dressing,Dressing,,,ElkFemaleSkinning,,1260,1800,Skinning,0,,,25,false,ToolRequired,true,Gather_SkinningT3,,,,,,false,,,,,,,,,,,,,,,,,,,
Elk_Elemental,@Elk_Elemental_DisplayName,ChoppingVertical,Chopping,,,Elk_Elemental,,1260,1800,Logging,100,,,45,true,ToolRequired,true,Gather_LoggingT6,,,,,,false,,,,,,,,,,,,,,,,,,,
SpringStagDroppings,@SpringStagDroppings_DisplayName,None,None,,,SpringStagDroppings,,420,600,None,0,,,0.5,false,NoToolNecessary,false,,,,,,,false,,,,,,,,,,,,,,,,,,,
Horse,@Horse_DisplayName,Dressing,Dressing,,,Horse,,1260,1800,Skinning,0,,,25,false,ToolRequired,true,Gather_SkinningT2,,,,,,false,,,,,,,,,,,,,,,,,,,
Bear,@Bear_DisplayName,Dressing,Dressing,,,BearSkinning,,1260,1800,Skinning,0,,,35,false,ToolRequired,true,Gather_SkinningT4,,,,,,false,,,,,,,,,,,,,,,,,,,
BearCorrupted,@Bear_DisplayName,Dressing,Dressing,,,BearCorruptedSkinning,,1260,1800,Skinning,0,,,35,false,ToolRequired,true,Gather_SkinningT5,,,,,,false,,,,,,,,,,,,,,,,,,,
