GatherableID,DisplayName,GatheringAction,GatheringType,GatheringFragment,FinalLootTable,LootTableDefaultMaterial,MinRespawnRate,MaxRespawnRate,Tradeskill,RequiredTradeskillLevel,DepletedGatherableID,BaseGatherTime,WaitForImpact,Restriction,AlignGatherer,GameEventID,ItemRestrictionId,ItemRestrictionQuantity,RequiredSongId,SongRewardId,ResetGatherTimeOnEndInteraction,IsLootContainer,IsDynamicPoiTarget,RequireLootItems,IconTypeUnlock,IgnoreAllObstructions,ObstructBuildables,RequireControllingFaction,AddedStatusEffect,RequiredStatusEffect,ConsumedStatusEffect,NumRequiredToGather,UsableEmoteTags,DisplayDescription,IsLandmark,TooltipImage,LandmarkIconPath,RequiredWhisperId
99E_MSQ_01_Obs_AncientMuralC,@99E_MSQ_01_ExamineMural_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Obs_AncientMuralC_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Cyclic_AncientTumblerA,@99E_MSQ_01_RotateTumbler_DisplayName,Handcrafting,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Cyclic_AncientTumblerA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Cyclic_AncientTumblerB,@99E_MSQ_01_RotateTumbler_DisplayName,Handcrafting,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Cyclic_AncientTumblerB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Cyclic_AncientTumblerC,@99E_MSQ_01_RotateTumbler_DisplayName,Handcrafting,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Cyclic_AncientTumblerC_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsA,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsB,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsC,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsC_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsD,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsD_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsE,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsE_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Prox_MuralBreadcrumbsF,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_01_Prox_MuralBreadcrumbsF_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_01_Cine_AncientMural,@99E_MSQ_01_ExamineMural_DisplayName,None,None,,Empty,,200,300,,None,,,3,0,NoToolNecessary,0,99E_MSQ_01_Cine_AncientMural_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_02_MyrddinRelicA,@99E_MSQ_02_CollectRelic_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_02_MyrddinRelicA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_02_MyrddinRelicB,@99E_MSQ_02_CollectRelic_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_02_MyrddinRelicB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_02_MyrddinRelicC,@99E_MSQ_02_CollectRelic_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_02_MyrddinRelicC_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_02_Obs_CrystalCaveA,@99E_MSQ_02_ExamineEtchings_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_02_Obs_CrystalCaveA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_02_Obs_CrystalCaveB,@99E_MSQ_02_ExamineMaterials_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_02_Obs_CrystalCaveB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_02_Obs_CrystalCaveC,@99E_MSQ_02_ExamineEquipment_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_02_Obs_CrystalCaveC_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_04_AzothCompassA,@99E_MSQ_04_AzothCompass_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_04_AzothCompassA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_04_AzothCompassB,@99E_MSQ_04_AzothCompass_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_04_AzothCompassB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_04_AzothCompassC,@99E_MSQ_04_AzothCompass_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_04_AzothCompassC_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_05_IGC_PrisonReveal,,None,None,,,,200,300,,None,,,3,0,NoToolNecessary,0,99E_MSQ_05_IGC_PrisonReveal_interact,,,,,,true,,,,,,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceA,@99E_MSQ_05_MyrddinDeviceA_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceB,@99E_MSQ_05_MyrddinDeviceB_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceB_Left,@99E_MSQ_05_MyrddinDeviceB_Sides_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceB_Left_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_05_MyrddinDeviceB_Right,@99E_MSQ_05_MyrddinDeviceB_Sides_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_05_MyrddinDeviceB_Right_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_05_Tele_TowerPortal,@99E_MSQ_05_EnterPortal_DisplayName,None,None,,Empty,,200,300,,None,,,3,0,NoToolNecessary,0,99E_MSQ_05_Tele_TowerPortal_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_06_Tele_PrisonPortal,@99E_MSQ_05_EnterPortal_DisplayName,None,None,,Empty,,200,300,,None,,,3,0,NoToolNecessary,0,99E_MSQ_06_Tele_PrisonPortal_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_06_IGC_MyrdArgument,,None,None,,,,200,300,,None,,,3,0,NoToolNecessary,0,99E_MSQ_06_IGC_MyrdArgument_interact,,,,,,true,,,,,,,,,,,,,,,
99E_MSQ_07_Obs_MineDetailsA,@99E_MSQ_07_ExamineWalls_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_07_Obs_MineDetailsA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_07_Obs_MineDetailsB,@99E_MSQ_07_ExamineTools_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_07_Obs_MineDetailsB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_07_StaffHeadpiece,@99E_MSQ_07_RetrieveStaff_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_07_StaffHeadpiece_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_07_Prox_StaffEncounter,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_07_Prox_StaffEncounter_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_08_Obs_AELocationA,@99E_MSQ_08_ExamineArea_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_08_Obs_AELocationA_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_08_Obs_AELocationB,@99E_MSQ_08_ExamineArea_DisplayName,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_08_Obs_AELocationB_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_09_ORI_CorruptStaff,@99E_MSQ_09_PlaceCorrStaff_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_09_ORI_CorruptStaff_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_09_ORI_PureStaff,@99E_MSQ_09_TakePureStaff_DisplayName,None,None,,Empty,,80,100,,None,,,3,0,NoToolNecessary,0,99E_MSQ_09_ORI_PureStaff_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_09_Prox_IsabellaImage,,None,None,,Empty,,10,15,,None,,,4,0,NoToolNecessary,0,99E_MSQ_09_Prox_IsabellaImage_interact,,,,,true,true,,,,,,,,,,,,,,,
99E_MSQ_10_Cine_BrokenPole,@99E_MSQ_09_BrokenPole_DisplayName,None,None,,Empty,,200,300,,None,,,3,0,NoToolNecessary,0,99E_MSQ_10_Cine_BrokenPole_interact,,,,,true,true,,,,,,,,,,,,,,,
