CategoricalProgressionId,DisplayName,MaxLevel,Expansion01MaxLevel,AutoRankUp,InfiniteLevels,RepeatMaxLevel,AllowOverflow,RankTableId,ProgressionPointPool,PreSkillCapSkill,PostSkillCapSkill,EconomyTrackerType,GameEventId,AchievementIdOnMaxRank,MinTrackedLevel,ShowAsObjectiveReward,IconPath,UsesGlobalProgressionMod,ItemClass,DisplayDescription,EventId
13,@WeaversFen,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_13,,,,,,,,,true,,,
14,@Edengrove,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_14,,,,,,,,,true,,,
15,@RestlessShore,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_15,,,,,,,,,true,,,
16,@BrimstoneSands,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_16,,,,,,,,,true,,,
Territory2_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory4_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory5_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory6_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory8_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory9_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory10_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory11_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory12_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory13_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory14_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory15_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Territory16_HouseBonusType0,,0,,false,false,false,false,HouseBonus,,,,,,,,,,,,,
Battle_Token,@ui_siege_hud_battle_tokens,0,,false,false,false,false,BattleToken,,,,,,,,,,,,,
HatchetAbilityTable,@ui_hatchet_mastery,19,,true,false,false,false,WeaponMastery,HatchetAbilityTable,,,,,,,,,true,,,
SwordAbilityTable,@ui_straightsword_mastery,19,,true,false,false,false,WeaponMastery,SwordAbilityTable,,,,,,,,,true,,,
WarHammerAbilityTable,@ui_warhammer_mastery,19,,true,false,false,false,WeaponMastery,WarHammerAbilityTable,,,,,,,,,true,,,
BowAbilityTable,@ui_bow_mastery,19,,true,false,false,false,WeaponMastery,BowAbilityTable,,,,,,,,,true,,,
MusketAbilityTable,@ui_musket_mastery,19,,true,false,false,false,WeaponMastery,MusketAbilityTable,,,,,,,,,true,,,
BlunderbussAbilityTable,@ui_blunderbuss_mastery,19,,true,false,false,false,WeaponMastery,BlunderbussAbilityTable,,,,,,,,,true,,,
LifeMagicAbilityTable,@ui_lifemagic_mastery,19,,true,false,false,false,WeaponMastery,LifeMagicAbilityTable,,,,,,,,,true,,,
FireMagicAbilityTable,@ui_firemagic_mastery,19,,true,false,false,false,WeaponMastery,FireMagicAbilityTable,,,,,,,,,true,,,
GreatAxeAbilityTable,@ui_greataxe_mastery,19,,true,false,false,false,WeaponMastery,GreatAxeAbilityTable,,,,,,,,,true,,,
SpearAbilityTable,@ui_spear_mastery,19,,true,false,false,false,WeaponMastery,SpearAbilityTable,,,,,,,,,true,,,
RapierAbilityTable,@ui_rapier_mastery,19,,true,false,false,false,WeaponMastery,RapierAbilityTable,,,,,,,,,true,,,
IceMagicAbilityTable,@ui_icemagic_mastery,19,,true,false,false,false,WeaponMastery,IceMagicAbilityTable,,,,,,,,,true,,,
VoidGauntletAbilityTable,@ui_voidmagic_mastery,19,,true,false,false,false,WeaponMastery,VoidGauntletAbilityTable,,,,,,,,,true,,,
GreatSwordAbilityTable,@ui_greatsword_mastery,19,,true,false,false,false,WeaponMastery,GreatSwordAbilityTable,,,,,,,,,true,,,
FlailAbilityTable,@ui_Flail_mastery,19,,true,false,false,false,WeaponMastery,FlailAbilityTable,,,,,,,,,true,,,
Weaponsmithing,@ui_weaponsmithing,200,250,true,false,false,false,Weaponsmithing,,,Weaponsmithing_PostCap,,,,,,,true,,,
Armoring,@ui_armoring,200,250,true,false,false,false,Armoring,,,Armoring_PostCap,,,,,,,true,,,
Jewelcrafting,@ui_jewelcrafting,200,250,true,false,false,false,Jewelcrafting,,,Jewelcrafting_PostCap,,,,,,,true,,,
Arcana,@ui_arcana,200,250,true,false,false,false,Arcana,,,Arcana_PostCap,,,,,,,true,,,
Cooking,@ui_cooking,200,250,true,false,false,false,Cooking,,,Cooking_PostCap,,,,,,,true,,,
Furnishing,@ui_furnishing,200,250,true,false,false,false,Furnishing,,,Furnishing_PostCap,,,,,,,true,,,
Engineering,@ui_engineering,200,250,true,false,false,false,Engineering,,,Engineering_PostCap,,,,,,,true,,,
Smelting,@ui_smelting,200,250,true,false,false,false,Smelting,,,Smelting_PostCap,,,,,,,true,,,
Woodworking,@ui_woodworking,200,250,true,false,false,false,Woodworking,,,Woodworking_PostCap,,,,,,,true,,,
Leatherworking,@ui_leatherworking,200,250,true,false,false,false,Leatherworking,,,Leatherworking_PostCap,,,,,,,true,,,
Weaving,@ui_weaving,200,250,true,false,false,false,Weaving,,,Weaving_PostCap,,,,,,,true,,,
Stonecutting,@ui_stonecutting,200,250,true,false,false,false,Stonecutting,,,Stonecutting_PostCap,,,,,,,true,,,
Skinning,@ui_skinning,200,250,true,false,false,false,Skinning,,,Skinning_PostCap,,,,,,,true,,,
Mining,@ui_mining,200,250,true,false,false,false,Mining,,,Mining_PostCap,,,,,,,true,,,
Logging,@ui_logging,200,250,true,false,false,false,Logging,,,Logging_PostCap,,,,,,,true,,,
Harvesting,@ui_harvesting,200,250,true,false,false,false,Harvesting,,,Harvesting_PostCap,,,,,,,true,,,
AzothStaff,@ui_azoth_staff_tradeskill,5,,true,false,false,false,AzothStaff,,,,,,,,,,true,,,
Musician,@ui_musician,200,250,true,false,false,false,Musician,,,Instruments_PostCap,,,,,,,true,,,
Riding,@ui_riding,0,250,true,false,false,false,Riding,,,,,,,,,,true,,,
Weaponsmithing_PostCap,@ui_weaponsmithing_postcap,1,,true,true,false,false,TradeSkillPostCap,,Weaponsmithing,,,,,,,,true,,,
Armoring_PostCap,@ui_armoring_postcap,1,,true,true,false,false,TradeSkillPostCap,,Armoring,,,,,,,,true,,,
Jewelcrafting_PostCap,@ui_jewelcrafting_postcap,1,,true,true,false,false,TradeSkillPostCap,,Jewelcrafting,,,,,,,,true,,,
Arcana_PostCap,@ui_arcana_postcap,1,,true,true,false,false,TradeSkillPostCap,,Arcana,,,,,,,,true,,,
Cooking_PostCap,@ui_cooking_postcap,1,,true,true,false,false,TradeSkillPostCap,,Cooking,,,,,,,,true,,,
Fishing_PostCap,@ui_Fishing_postcap,1,,true,true,false,false,TradeSkillPostCap,,Fishing,,,,,,,,true,,,
Furnishing_PostCap,@ui_furnishing_postcap,1,,true,true,false,false,TradeSkillPostCap,,Furnishing,,,,,,,,true,,,
Engineering_PostCap,@ui_engineering_postcap,1,,true,true,false,false,TradeSkillPostCap,,Engineering,,,,,,,,true,,,
Smelting_PostCap,@ui_smelting_postcap,1,,true,true,false,false,TradeSkillPostCap,,Smelting,,,,,,,,true,,,
Woodworking_PostCap,@ui_woodworking_postcap,1,,true,true,false,false,TradeSkillPostCap,,Woodworking,,,,,,,,true,,,
Leatherworking_PostCap,@ui_leatherworking_postcap,1,,true,true,false,false,TradeSkillPostCap,,Leatherworking,,,,,,,,true,,,
Weaving_PostCap,@ui_weaving_postcap,1,,true,true,false,false,TradeSkillPostCap,,Weaving,,,,,,,,true,,,
Stonecutting_PostCap,@ui_stonecutting_postcap,1,,true,true,false,false,TradeSkillPostCap,,Stonecutting,,,,,,,,true,,,
Skinning_PostCap,@ui_skinning_postcap,1,,true,true,false,false,TradeSkillPostCap,,Skinning,,,,,,,,true,,,
Mining_PostCap,@ui_mining_postcap,1,,true,true,false,false,TradeSkillPostCap,,Mining,,,,,,,,true,,,
Logging_PostCap,@ui_logging_postcap,1,,true,true,false,false,TradeSkillPostCap,,Logging,,,,,,,,true,,,
Harvesting_PostCap,@ui_harvesting_postcap,1,,true,true,false,false,TradeSkillPostCap,,Harvesting,,,,,,,,true,,,
Instruments_PostCap,@ui_musician_postcap,1,,true,true,false,false,TradeSkillPostCap,,Musician,,,,,,,,true,,,
Azoth_Currency,@ui_azoth_currency,0,,false,false,false,false,AzothCurrency,,,,AzothGenerated,,,,,lyshineui/images/icons/items/currency/Icon_Azoth.dds,,,,
AzothSalt_Currency,,0,,false,false,false,false,AzothSaltCurrency,,,,AzothGenerated,,,,true,,,,,
PvP_XP,,200,,false,false,true,true,PvPXP,,,,,,,,true,,,,,
Fishing,@ui_fishing,200,250,true,false,false,false,Fishing,,,Fishing_PostCap,,,,,,,true,,,
CollectibleTest,,5,,true,false,false,false,CollectiblesRankData,,,,,,fish_hotspot_40030_charted,,,,,,,
74,@DevWorld_Red,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_74,,,,,,,,,,,,
75,@DevWorld_Blue,300,,true,false,false,false,Territory_Standing,TerritoryRankBonus_75,,,,,,,,,,,,
Camping,@ui_camping,5,6,true,false,false,false,Camping,,,,,,,,true,lyshineui/images/campingrestrictions/campingAllowed_large.dds,,,@ui_unlock_camping_tooltip,
SyndicateTokens,@ui_faction_name1,4,5,false,false,false,false,SyndicateTokens,,,,,,,,true,lyshineui/images/icons/objectives/reward_factionReputation1_large.dds,,,@owg_faction_unlock_tooltip,
MarauderTokens,@ui_faction_name2,4,5,false,false,false,false,MarauderTokens,,,,,,,,true,lyshineui/images/icons/objectives/reward_factionReputation2_large.dds,,,@owg_faction_unlock_tooltip,
CovenantTokens,@ui_faction_name3,4,5,false,false,false,false,CovenantTokens,,,,,,,,true,lyshineui/images/icons/objectives/reward_factionReputation3_large.dds,,,@owg_faction_unlock_tooltip,
DungeonEdengrove00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonReekwater00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonEbonscale00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonShatterMtn00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonRestlessShores01DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonEverfall00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonCutlass00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonBrimstoneSands00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonGreatCleave01DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonFirstLight01DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
DungeonGreatCleave00DifficultyExp23,,3,,true,false,false,false,MutatorRankData,,,,,,,,,,,,,
EventProgress,@ui_event_progress_name,4,,true,false,false,false,EventRanks,,,,,,,,true,lyshineui/images/icons/objectives/reward_eventProgress_large.dds,,,@ui_event_reputation_description,WinterConvergence
SummerEventProgress,@ui_event_summer_progress_name,4,,true,false,false,false,SummerEventRanks,,,,,,,,true,lyshineui/images/icons/objectives/reward_eventProgress_large.dds,,,@ui_event_reputation_description,SummerMedley
SpringEventProgress,@ui_event_spring_progress_name,2,,true,false,false,false,SpringEventRanks,,,,,,,,true,lyshineui/images/icons/objectives/reward_eventProgress_large.dds,,,@ui_event_reputation_description,SpringtideBloom
SeasonPass,@seasons_rewards_categorical_progression_id,100,,true,false,false,false,SeasonPass_Season1,,,,,,,,,,false,,Season 1,
