StatusID,DisplayName,Description,EffectCategories,PlaceholderIcon,ShowInUITray,ShowTextInDamageNumbers,FxScriptOn,FxScriptOff,ShouldRefreshFxScript,WeaponEffectType,Notification,DisableTelemetry,IsClientPredicted,UseLightweightReplication,ForceReplicateToRemotes,PotencyPerLevel,BaseDuration,TickRate,DelayInitialTick,TickCondition,OnTickStatusEffect,KeepOnTickEffectOnEnd,StopOnHitCount,HitCondition,RequireReaction,OnStackStatusEffect,AddOnStackSize,AddOnStackSizeComparison,HealThreatMultiplier,ScaleAmountOverTime,ScaleAmountOverTimeMin,ScaleAmountOverTimeMax,DamageSkipsDeathsDoor,Health,HealthMin,HealthModifierPercent,HealthModifierDamageBased,UseHealScalingValue,HealScalingValueMultiplier,StaminaDamageModifier,ManaModifierDamageBased,DamageType,CritChanceModifier,CritDamageModifier,OnEndStatusEffect,DontApplyOnEndEffectOnRemove,OnDeathStatusEffect,DontApplyOnEndEffectOnTimeOutDeath,CastSpell,TargetOwnsSpell,UseSourceWeaponForSpell,FromAlchemy,FromSpell,NoHealthRegen,HealMod,MaxHealthMod,HealthRate,CoreTempMod,TempMod,Stamina,StaminaRate,Mana,ManaRate,Food,FoodBurn,Drink,DrinkBurn,Encumbrance,ItemClassWeightMods,XPIncreases,AzothMod,FactionReputationMod,FactionTokensMod,EXPLogging,EXPMining,EXPHarvesting,EXPSkinning,EXPSmelting,EXPWoodworking,EXPLeatherworking,EXPWeaving,EXPStonecutting,GrantSanctuary,NoSprint,NoRun,NoDodge,NoNav,Silenced,Stunned,RemoveOnDeath,RemoveOnDeathsDoor,RemoveOnRespawn,RemoveOnGameModeExit,IgnoreDiminishingReturns,OnlyChangeOwnedStatusEffects,Afflictions,OnHitAffixes,EquipAbility,UseSourceWeaponForAbilityEffect,IsNegative,RespecTradeskills,RespecAttributes,EffectDurationMods,EffectPotencyMods,RemoveStatusEffects,RemoveStatusEffectCategories,GlobalRollMod,FishingLineStrength,FishSizeRollModifier,MODConstitution,MODFocus,MODStrength,MODDexterity,MODIntelligence,MGSArcana,MGSWeaponsmithing,MGSJewelcrafting,MGSEngineering,MGSArmoring,MaxGSArcana,MaxGSWeaponsmithing,MaxGSJewelcrafting,MaxGSEngineering,MaxGSArmoring,ROLCooking,ROLWeaving,ROLStonecutting,ROLSmelting,ROLLeatherworking,ROLWoodworking,ROLLogging,ROLMining,ROLSkinning,ROLHarvesting,ROLFishing,MULTLogging,MULTMining,MULTSkinning,MULTHarvesting,MULTFishing,EFFLogging,EFFMining,EFFSkinning,EFFHarvesting,INSLogging,INSMining,INSSkinning,INSHarvesting,PhysicalArmor,ElementalArmor,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSFire,ABSIce,ABSNature,ABSLightning,ABSCorruption,ABSAcid,ABSVitalsCategory,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNFire,WKNIce,WKNNature,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,DMGVitalsCategory,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,StackDuration,DurationMax,InheritDuration,InheritTotalDuration,RefreshDuration,StackMax,InitialStackSize,RemoveUnappliedStacks,PotencyMax,DontReplaceStack,MoveSpeedMod,SprintSpeedMod,FastTravelEncumbranceMod,GameEventId,HealRewardGameEventId,HealRewardThreshold,WeaponMasteryCategoryId,UIPriority,UiNameplatePriority,ShowInNameplates,ShowTextInNameplates,OverrideOtherNameplateText,HidesOtherStatusEffectIcons,DynamicModelScaleFactor,DynamicModelScaleRampTimeSecs,SpawnSlice,DisableSupportContributionRewards,BlockMultipleEffectsFromSameSource,AllowSelfOnlyAsSourceForAbilities,IgnoreInvulnerable,NotCombatAction,SourceRuneChargeOnApply,SourceRuneChargeOnTick,SourceRuneChargeOnHealthChangeOnly,ApplicationCooldown
VoidGauntlet_NullChamber_Nullify_AoE,,,,,false,false,,,,,,,,true,,,0.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,true,,,,,,Buff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,false,,,,,,,,,,1,1,false,,,,,,,,,,,,,,,
VoidGauntlet_NullChamber_Weaken,@Status_Weaken,@Status_VoidGauntlet_NullChamber_Weaken_Description,Debuff+Weaken+Debilitate+VoidGauntlet,lyshineui/images/status/SE_WeakenT1.png,true,true,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,,,,,,,,,10,,,,3,,false,,,,,,,,,,3,3,true,,,,,,,,,,,,,,,
VoidGauntlet_Scream,@Status_Root,@Status_Root_Description,Debuff+Root+CC+VoidGauntlet,lyshineui/images/status/SE_Root.png,true,true,StatFX_Root_ON,StatFX_Root_OFF,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,,true,,,,,,,,,,2,2,true,,,,,,,,,,,,,,,
VoidGauntlet_Scream_Fortify,@Status_Fortify,@Status_VoidGauntlet_Scream_Fortify_Description,Buff+ArmorFortify,lyshineui/images/status/SE_FortifyT1.png,true,false,StatFX_ArmorBuff_ON,,,,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,3,,false,,,,,,,,,,3,3,true,,,,,,,,,,,,,,,
VoidGauntlet_Scream_Disease,@Status_Disease,@Status_Perk_VoidGauntlet_Scream_Disease_Description,Debuff+Disease+Debilitate+VoidGauntlet,lyshineui/images/status/SE_DiseaseT3.png,true,true,StatFX_Disease_ON,StatFX_Disease_OFF,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,1,,true,,,,,,,,,,2,2,true,,,,,,,,,,,,,,,
VoidGauntlet_DecayingOrb_Heal,@Status_Heal,@Status_VoidGauntlet_DecayingOrb_Heal_Description,Buff+Heal,lyshineui/images/status/SE_HealT4.png,true,false,DisintegrationOrb_Heal,,,,,,,,,,5,1,,,,,,,,,,,0.5,,,,,,,,0.2,true,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,1,,false,,,,,,,,,,,,false,,,,,,,,,,,,,0.26,true,0.25
VoidGauntlet_DecayingOrb_SlowVsDebuff,@Status_Slow,@Spear_Skewer_Bleed_Description,Debuff+Slow+CC+VoidGauntlet,lyshineui/images/status/SE_SlowT3.png,true,true,StatFX_Slow_ON,StatFX_Slow_OFF,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,1,,false,,,-0.3,-0.3,,,,,,2,2,true,,,,,,,,,,,,,,,0.25
VoidGauntlet_DecayingOrb_Detonate_Heal,,@Spear_Skewer_Bleed_Description,Heal,,false,false,DisintegrationOrb_Heal,,,,,,,,,,0.1,1,,,,,,,,,,,0.5,,,,,,,,0.7,true,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,false,,,,,,,,,,,,false,,,,,,,,,,,,0.433,,true,
VoidGauntlet_DrainingTether_Empower,@Status_Empower,@Status_VoidGauntlet_DrainingTether_Empower_Description,Buff+Empower,lyshineui/images/status/SE_EmpowerT1.png,true,true,DrainingTether_Caster_ON,,,,,,,,,,10,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,20,,,,1,,false,,,,,,,,,,3,3,true,,,,,,,,,,,,,,,
VoidGauntlet_DrainingTether_ManaRegen,,,,,false,false,,,,,,,,true,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,false,,,,,,,,,,,,false,,,,,,,,,,,,,,,
VoidGauntlet_DrainingTether_Weaken,@Status_Weaken,@Status_VoidGauntlet_DrainingTether_Weaken_Description,Debuff+Weaken+Debilitate+VoidGauntlet,lyshineui/images/status/SE_WeakenT1.png,true,true,DrainingTether_Defender_ON,DrainingTether_Slow_OFF,,,,,,,,,10,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,,,,,,,,,20,,,,3,,false,,,,,,,,,,3,3,true,,,,,,,,,,,,,,,
VoidGauntlet_DrainingTether_Heal,,,Heal,,false,false,POTION_Heal,,,,,,,,,,0.1,1,,,,,,,,,,,,,,,,,,,0.8,true,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,false,,,,,,,,,,,,false,,,,,,,,,,,,,,,
VoidGauntlet_DrainingTether_Slow,@Status_Slow,@Status_VoidGauntlet_DrainingTether_Slow_Description,Debuff+Slow+CC+VoidGauntlet,lyshineui/images/status/SE_SlowT3.png,true,false,StatFX_Slow_ON,StatFX_Slow_OFF,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,1,,false,,,-0.2,-0.2,,,,,,2,2,true,,,,,,,,,,,,,,,
VoidGauntlet_EssenceRupture,@VoidGauntlet_Ability_EssenceRupture,@Status_VoidGauntlet_EssenceRupture_Description,Debuff+Debilitate+EssenceRupture+VoidGauntlet+EssenceRuptureT1,lyshineui/images/status/SE_ShockT1.png,true,true,EssenseRupture_ON,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,VoidGauntlet_EssenceRupture_HealAttacker,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,1,,true,,,,,,,,,,3,3,true,,,,,,,,,,,,,,,
VoidGauntlet_EssenceRupture_Stamina,@VoidGauntlet_Ability_EssenceRupture,@Status_VoidGauntlet_EssenceRupture_Description,Debuff+Debilitate+EssenceRupture+VoidGauntlet+EssenceRuptureT2,lyshineui/images/status/SE_ShockT1.png,true,false,EssenseRupture_ON,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,VoidGauntlet_EssenceRupture_HealAttacker_Stamina,,true,,,,EssenceRuptureT1=-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,1,,true,,,,,,,,,,3,3,true,,,,,,,,,,,,,,,
VoidGauntlet_EssenceRupture_AoE_OnEnd,@VoidGauntlet_Ability_EssenceRupture,@Status_VoidGauntlet_EssenceRupture_Description,Debuff+Debilitate+EssenceRupture+VoidGauntlet+EssenceRuptureT3,lyshineui/images/status/SE_ShockT1.png,true,true,EssenseRupture_ON,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,VoidGauntlet_EssenceRupture_AoE_OnEnd_CastSpell,true,VoidGauntlet_EssenceRupture_AoE_OnEnd_CastSpell,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,VoidGauntlet_EssenceRupture_HealAttacker_Stamina,,true,,,,EssenceRuptureT1=-1+EssenceRuptureT2=-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,1,,true,,,,,,,,,,3,3,true,,,,,,,,,,,,,,,
