VitalsID,DisplayName,Level,ScheduleVitalsIds,BaseVitalsId
Alligator_Black_49,@Alligator_Black_49_VitalsName,49,,Alligator_Black_49
Alligator_Black_59,@Alligator_Black_59_VitalsName,59,,Alligator_Black_59
Alligator_Black_59_08QP01,@Alligator_Black_59_08QP01_VitalsName,51,,Alligator_Black_59_08QP01
Alligator_Black_60,@Alligator_Black_60_VitalsName,60,,Alligator_Black_60
Alligator_Black_60_08QP01,@Alligator_Black_60_08QP01_VitalsName,52,,Alligator_Black_60_08QP01
Alligator_Black_61,@Alligator_Black_61_VitalsName,61,,Alligator_Black_61
Alligator_Black_62,@Alligator_Black_62_VitalsName,62,,Alligator_Black_62
Alligator_Black_63,@Alligator_Black_63_VitalsName,63,,Alligator_Black_63
Alligator_Black_64,@Alligator_Black_64_VitalsName,64,,Alligator_Black_64
Alligator_Black_65,@Alligator_Black_65_VitalsName,65,,Alligator_Black_65
Alligator_Black_65_ELITE,@Alligator_Black_65_ELITE_VitalsName,65,,Alligator_Black_65_ELITE
Alligator_Black_66,@Alligator_Black_66_VitalsName,66,,Alligator_Black_66
Alligator_Black_67,@Alligator_Black_67_VitalsName,67,,Alligator_Black_67
Alligator_Black_Named_00,@Alligator_Black_Named_00_VitalsName,16,,Alligator_Black_Named_00
Alligator_Black_Named_01,@Alligator_Black_Named_01_VitalsName,45,,Alligator_Black_Named_01
Alligator_Black_Named_02,@Alligator_Black_Named_02_VitalsName,40,,Alligator_Black_Named_02
Alligator_Strange,@Alligator_Strange_VitalsName,58,,Alligator_Strange
Alligator_Strange_08QP05,@Alligator_Strange_08QP05_VitalsName,57,,Alligator_Strange_08QP05
Alligator_Strange_10WS03,@Alligator_Strange_10WS03_VitalsName,30,,Alligator_Strange_10WS03
Alligator_Strange_26,@Alligator_Strange_26_VitalsName,26,,Alligator_Strange_26
Alligator_Strange_27,@Alligator_Strange_27_VitalsName,27,,Alligator_Strange_27
Alligator_Strange_28,@Alligator_Strange_28_VitalsName,28,,Alligator_Strange_28
Alligator_Strange_29,@Alligator_Strange_29_VitalsName,29,,Alligator_Strange_29
Alligator_Strange_30,@Alligator_Strange_30_VitalsName,30,,Alligator_Strange_30
Alligator_Strange_31,@Alligator_Strange_31_VitalsName,31,,Alligator_Strange_31
Alligator_Strange_32,@Alligator_Strange_32_VitalsName,32,,Alligator_Strange_32
Alligator_Strange_33,@Alligator_Strange_33_VitalsName,33,,Alligator_Strange_33
Alligator_Strange_34,@Alligator_Strange_34_VitalsName,34,,Alligator_Strange_34
Alligator_Strange_35,@Alligator_Strange_35_VitalsName,35,,Alligator_Strange_35
Alligator_Strange_36,@Alligator_Strange_36_VitalsName,36,,Alligator_Strange_36
Alligator_Strange_37,@Alligator_Strange_37_VitalsName,37,,Alligator_Strange_37
Alligator_Strange_38,@Alligator_Strange_38_VitalsName,38,,Alligator_Strange_38
Alligator_Strange_39,@Alligator_Strange_39_VitalsName,39,,Alligator_Strange_39
Alligator_Strange_40,@Alligator_Strange_40_VitalsName,40,,Alligator_Strange_40
Alligator_Strange_41,@Alligator_Strange_41_VitalsName,41,,Alligator_Strange_41
Alligator_Strange_42,@Alligator_Strange_42_VitalsName,42,,Alligator_Strange_42
Alligator_Strange_43,@Alligator_Strange_43_VitalsName,43,,Alligator_Strange_43
Alligator_Strange_44,@Alligator_Strange_44_VitalsName,44,,Alligator_Strange_44
Alligator_Strange_45,@Alligator_Strange_45_VitalsName,45,,Alligator_Strange_45
Alligator_Strange_50,@Alligator_Strange_50_VitalsName,50,,Alligator_Strange_50
Alligator_Strange_51,@Alligator_Strange_51_VitalsName,51,,Alligator_Strange_51
Alligator_Strange_52,@Alligator_Strange_52_VitalsName,52,,Alligator_Strange_52
Alligator_Strange_53,@Alligator_Strange_53_VitalsName,53,,Alligator_Strange_53
Alligator_Strange_54,@Alligator_Strange_54_VitalsName,54,,Alligator_Strange_54
Alligator_Strange_55,@Alligator_Strange_55_VitalsName,55,,Alligator_Strange_55
Alligator_Strange_56,@Alligator_Strange_56_VitalsName,56,,Alligator_Strange_56
Alligator_Strange_57,@Alligator_Strange_57_VitalsName,57,,Alligator_Strange_57
Alligator_Strange_58,@Alligator_Strange_58_VitalsName,58,,Alligator_Strange_58
Alligator_Strange_59,@Alligator_Strange_59_VitalsName,59,,Alligator_Strange_59
Alligator_Strange_60,@Alligator_Strange_60_VitalsName,60,,Alligator_Strange_60
Alligator_Strange_60_08QP01,@Alligator_Strange_60_08QP01_VitalsName,52,,Alligator_Strange_60_08QP01
Alligator_Strange_61,@Alligator_Strange_61_VitalsName,61,,Alligator_Strange_61
Alligator_Strange_62,@Alligator_Strange_62_VitalsName,62,,Alligator_Strange_62
Alligator_Strange_DG_Cutlass_00,@Alligator_Strange_DG_Cutlass_00_VitalsName,62,,Alligator_Strange_DG_Cutlass_00
Alligator_Strange_DG_Restless_00,@Alligator_Strange_DG_Restless_00_VitalsName,45,,Alligator_Strange_DG_Restless_00
Alligator_Strange_Named_00,@Alligator_Strange_Named_00_VitalsName,62,,Alligator_Strange_Named_00
Alligator_Strange_Named_03GC02,@Alligator_Strange_Named_03GC02_VitalsName,45,,Alligator_Strange_Named_03GC02
Alligator_Strange_Named_05WC02,@Alligator_Strange_Named_05WC02_VitalsName,70,,Alligator_Strange_Named_05WC02
Alligator_Strange_Named_08QP01,@Alligator_Strange_Named_08QP01_VitalsName,53,,Alligator_Strange_Named_08QP01
Alligator_Strange_Named_08QP03,@Alligator_Strange_Named_08QP03_VitalsName,56,,Alligator_Strange_Named_08QP03
Alligator_Strange_Named_DG_Cutlass_00,@Alligator_Strange_Named_DG_Cutlass_00_VitalsName,62,,Alligator_Strange_Named_DG_Cutlass_00
Alligator_Young,@Alligator_Young_VitalsName,10,,Alligator_Young
Alligator_Young_12MB06b_12A,@Alligator_Young_12MB06b_12A_VitalsName,17,,Alligator_Young_12MB06b_12A
Alligator_Young_12MB01b,@Alligator_Young_12MB01b_VitalsName,11,,Alligator_Young_12MB01b
Alligator_Young_Admiral_Minion,@Alligator_Young_Admiral_Minion_VitalsName,66,,Alligator_Young_Admiral_Minion
Alligator_Young_DG_Cutlass_00,@Alligator_Young_DG_Cutlass_00_VitalsName,62,,Alligator_Young_DG_Cutlass_00
Alligator_Young_Named_04NW10a,@Alligator_Young_Named_04NW10a_VitalsName,17,,Alligator_Young_Named_04NW10a
Alligator_Young_Named_04NW10b,@Alligator_Young_Named_04NW10b_VitalsName,17,,Alligator_Young_Named_04NW10b
AncientGuardian_Warhammer_IceVariant,@AncientGuardian_Warhammer_IceVariant_VitalsName,63,,AncientGuardian_Warhammer_IceVariant
AncientGuardian_Warhammer_IceVariant_DG_Greatcleave_00,@AncientGuardian_Warhammer_IceVariant_DG_Greatcleave_00_VitalsName,67,,AncientGuardian_Warhammer_IceVariant_DG_Greatcleave_00
AncientGuardian_Warhammer_IceVariant_DG_Named_Greatcleave_00,@AncientGuardian_Warhammer_IceVariant_DG_Named_Greatcleave_00_VitalsName,67,,AncientGuardian_Warhammer_IceVariant_DG_Named_Greatcleave_00
AncientGuardian_Warhammer_IceVariant_Raid10-,@AncientGuardian_Warhammer_IceVariant_Raid10-_VitalsName,68,,AncientGuardian_Warhammer_IceVariant_Raid10-
AncientGuardian_Warhammer_IceVariant_Raid10,@AncientGuardian_Warhammer_IceVariant_Raid10_VitalsName,68,,AncientGuardian_Warhammer_IceVariant_Raid10
AncientGuardian_Warhammer_IceVariant_Raid10_Named,@AncientGuardian_Warhammer_IceVariant_Raid10_Named_VitalsName,68,,AncientGuardian_Warhammer_IceVariant_Raid10_Named
AncientGuardian_Warhammer_IceVariant_Named,@AncientGuardian_Warhammer_IceVariant_Named_VitalsName,63,,AncientGuardian_Warhammer_IceVariant_Named
AncientGuardian_Greatsword_IceVariant,@AncientGuardian_Greatsword_IceVariant_VitalsName,63,,AncientGuardian_Greatsword_IceVariant
AncientGuardian_Greatsword_IceVariant_DG_Greatcleave_00,@AncientGuardian_Greatsword_IceVariant_DG_Greatcleave_00_VitalsName,67,,AncientGuardian_Greatsword_IceVariant_DG_Greatcleave_00
AncientGuardian_Greatsword_IceVariant_Raid10-,@AncientGuardian_Greatsword_IceVariant_Raid10-_VitalsName,68,,AncientGuardian_Greatsword_IceVariant_Raid10-
AncientGuardian_Greatsword_IceVariant_Raid10,@AncientGuardian_Greatsword_IceVariant_Raid10_VitalsName,68,,AncientGuardian_Greatsword_IceVariant_Raid10
AncientGuardian_Greatsword_IceVariant_Raid10_Named,@AncientGuardian_Greatsword_IceVariant_Raid10_Named_VitalsName,68,,AncientGuardian_Greatsword_IceVariant_Raid10_Named
AncientGuardian_Greatsword_IceVariant_Named,@AncientGuardian_Greatsword_IceVariant_Named_VitalsName,63,,AncientGuardian_Greatsword_IceVariant_Named
AncientGuardian_Bowman_IceVariant,@AncientGuardian_Bowman_IceVariant_VitalsName,63,,AncientGuardian_Bowman_IceVariant
AncientGuardian_Bowman_IceVariant_GreatCleave_00,@AncientGuardian_Bowman_IceVariant_GreatCleave_00_VitalsName,67,,AncientGuardian_Bowman_IceVariant_GreatCleave_00
AncientGuardian_Bowman_IceVariant_Raid10-,@AncientGuardian_Bowman_IceVariant_Raid10-_VitalsName,68,,AncientGuardian_Bowman_IceVariant_Raid10-
AncientGuardian_Bowman_IceVariant_Raid10,@AncientGuardian_Bowman_IceVariant_Raid10_VitalsName,68,,AncientGuardian_Bowman_IceVariant_Raid10
AncientGuardian_Bowman_IceVariant_Raid10_Named,@AncientGuardian_Bowman_IceVariant_Raid10_Named_VitalsName,68,,AncientGuardian_Bowman_IceVariant_Raid10_Named
AncientGuardian_Bowman_IceVariant_Solo,@AncientGuardian_Bowman_IceVariant_Solo_VitalsName,68,,AncientGuardian_Bowman_IceVariant_Solo
AncientGuardian_Spearman_IceVariant,@AncientGuardian_Spearman_IceVariant_VitalsName,63,,AncientGuardian_Spearman_IceVariant
AncientGuardian_Spearman_IceVariant_Raid10-,@AncientGuardian_Spearman_IceVariant_Raid10-_VitalsName,68,,AncientGuardian_Spearman_IceVariant_Raid10-
AncientGuardian_Spearman_IceVariant_Raid10,@AncientGuardian_Spearman_IceVariant_Raid10_VitalsName,68,,AncientGuardian_Spearman_IceVariant_Raid10
AncientGuardian_Spearman_IceVariant_Raid10_Named,@AncientGuardian_Spearman_IceVariant_Raid10_Named_VitalsName,68,,AncientGuardian_Spearman_IceVariant_Raid10_Named
AncientGuardian_Spearman_IceVariant_Solo,@AncientGuardian_Spearman_IceVariant_Solo_VitalsName,68,,AncientGuardian_Spearman_IceVariant_Solo
AncientGuardian_Spearman_IceVariant_Named,@AncientGuardian_Spearman_IceVariant_Named_VitalsName,63,,AncientGuardian_Spearman_IceVariant_Named
Ancient_Amalgam,@Ancient_Amalgam_VitalsName,30,,Ancient_Amalgam
Ancient_Amalgam_Elite,@Ancient_Amalgam_Elite_VitalsName,30,,Ancient_Amalgam_Elite
Ancient_Amalgam_Named_16BS11a,@Ancient_Amalgam_Named_16BS11a_VitalsName,66,,Ancient_Amalgam_Named_16BS11a
Ancient_Amalgam_Named_16BS11b,@Ancient_Amalgam_Named_16BS11b_VitalsName,66,,Ancient_Amalgam_Named_16BS11b
Ancient_Amalgam_Remnant,@Ancient_Amalgam_Remnant_VitalsName,17,,Ancient_Amalgam_Remnant
Ancient_Amalgam_Named_DG_GreatCleave_00,@Ancient_Amalgam_Named_DG_GreatCleave_00_VitalsName,67,,Ancient_Amalgam_Named_DG_GreatCleave_00
Ancient_Guardian_Javelineer_Named_07SM07,@Ancient_Guardian_Javelineer_Named_07SM07_VitalsName,63,,Ancient_Guardian_Javelineer_Named_07SM07
Ancient_Guardian_Mage_Named_07SM07,@Ancient_Guardian_Mage_Named_07SM07_VitalsName,63,,Ancient_Guardian_Mage_Named_07SM07
Ancient_Guardian_Reaver_03GC10,@Ancient_Guardian_Reaver_03GC10_VitalsName,44,,Ancient_Guardian_Reaver_03GC10
Ancient_Javelineer,@Ancient_Javelineer_VitalsName,40,,Ancient_Javelineer
Ancient_Mage,@Ancient_Mage_VitalsName,44,,Ancient_Mage
AncientGuardian_Heavy_Boss,@AncientGuardian_Heavy_Boss_VitalsName,35,,AncientGuardian_Heavy_Boss
AncientGuardian_Heavy_Boss_BoneThrow_Spawner,@AncientGuardian_Heavy_Boss_BoneThrow_Spawner_VitalsName,35,,AncientGuardian_Heavy_Boss_BoneThrow_Spawner
AncientGuardian_Heavy_Boss_Named_DG_Everfall_00,@AncientGuardian_Heavy_Boss_Named_DG_Everfall_00_VitalsName,35,,AncientGuardian_Heavy_Boss_Named_DG_Everfall_00
AncientGuardian_Heavy_Boss_Named_DG_GreatCleave_01,@AncientGuardian_Heavy_Boss_Named_DG_GreatCleave_01_VitalsName,62,,AncientGuardian_Heavy_Boss_Named_DG_GreatCleave_01
AncientGuardian_Heavy_DG_GreatCleave_00_00,@AncientGuardian_Heavy_DG_GreatCleave_00_00_VitalsName,67,,AncientGuardian_Heavy_DG_GreatCleave_00_00
AncientGuardian_Heavy_DG_GreatCleave_00_01,@AncientGuardian_Heavy_DG_GreatCleave_00_01_VitalsName,67,,AncientGuardian_Heavy_DG_GreatCleave_00_01
AncientGuardian_Heavy_Named_00,@AncientGuardian_Heavy_Named_00_VitalsName,23,,AncientGuardian_Heavy_Named_00
AncientGuardian_Javelineer_12,@AncientGuardian_Javelineer_12_VitalsName,12,,AncientGuardian_Javelineer_12
AncientGuardian_Javelineer_14,@AncientGuardian_Javelineer_14_VitalsName,14,,AncientGuardian_Javelineer_14
AncientGuardian_Javelineer_15,@AncientGuardian_Javelineer_15_VitalsName,15,,AncientGuardian_Javelineer_15
AncientGuardian_Javelineer_16,@AncientGuardian_Javelineer_16_VitalsName,16,,AncientGuardian_Javelineer_16
AncientGuardian_Javelineer_17,@AncientGuardian_Javelineer_17_VitalsName,17,,AncientGuardian_Javelineer_17
AncientGuardian_Javelineer_18,@AncientGuardian_Javelineer_18_VitalsName,18,,AncientGuardian_Javelineer_18
AncientGuardian_Javelineer_19,@AncientGuardian_Javelineer_19_VitalsName,19,,AncientGuardian_Javelineer_19
AncientGuardian_Javelineer_20,@AncientGuardian_Javelineer_20_VitalsName,20,,AncientGuardian_Javelineer_20
AncientGuardian_Javelineer_21,@AncientGuardian_Javelineer_21_VitalsName,21,,AncientGuardian_Javelineer_21
AncientGuardian_Javelineer_22,@AncientGuardian_Javelineer_22_VitalsName,22,,AncientGuardian_Javelineer_22
AncientGuardian_Javelineer_23,@AncientGuardian_Javelineer_23_VitalsName,23,,AncientGuardian_Javelineer_23
AncientGuardian_Javelineer_24,@AncientGuardian_Javelineer_24_VitalsName,24,,AncientGuardian_Javelineer_24
AncientGuardian_Javelineer_25,@AncientGuardian_Javelineer_25_VitalsName,25,,AncientGuardian_Javelineer_25
AncientGuardian_Javelineer_27,@AncientGuardian_Javelineer_27_VitalsName,27,,AncientGuardian_Javelineer_27
AncientGuardian_Javelineer_28,@AncientGuardian_Javelineer_28_VitalsName,28,,AncientGuardian_Javelineer_28
AncientGuardian_Javelineer_29,@AncientGuardian_Javelineer_29_VitalsName,29,,AncientGuardian_Javelineer_29
AncientGuardian_Javelineer_30,@AncientGuardian_Javelineer_30_VitalsName,30,,AncientGuardian_Javelineer_30
AncientGuardian_Javelineer_31,@AncientGuardian_Javelineer_31_VitalsName,31,,AncientGuardian_Javelineer_31
AncientGuardian_Javelineer_32,@AncientGuardian_Javelineer_32_VitalsName,32,,AncientGuardian_Javelineer_32
AncientGuardian_Javelineer_33,@AncientGuardian_Javelineer_33_VitalsName,33,,AncientGuardian_Javelineer_33
AncientGuardian_Javelineer_34,@AncientGuardian_Javelineer_34_VitalsName,34,,AncientGuardian_Javelineer_34
AncientGuardian_Javelineer_35,@AncientGuardian_Javelineer_35_VitalsName,35,,AncientGuardian_Javelineer_35
AncientGuardian_Javelineer_36,@AncientGuardian_Javelineer_36_VitalsName,36,,AncientGuardian_Javelineer_36
AncientGuardian_Javelineer_37,@AncientGuardian_Javelineer_37_VitalsName,37,,AncientGuardian_Javelineer_37
AncientGuardian_Javelineer_38,@AncientGuardian_Javelineer_38_VitalsName,38,,AncientGuardian_Javelineer_38
AncientGuardian_Javelineer_39,@AncientGuardian_Javelineer_39_VitalsName,39,,AncientGuardian_Javelineer_39
AncientGuardian_Javelineer_39_ELITE,@AncientGuardian_Javelineer_39_ELITE_VitalsName,39,,AncientGuardian_Javelineer_39_ELITE
AncientGuardian_Javelineer_40,@AncientGuardian_Javelineer_40_VitalsName,40,,AncientGuardian_Javelineer_40
AncientGuardian_Javelineer_41,@AncientGuardian_Javelineer_41_VitalsName,41,,AncientGuardian_Javelineer_41
AncientGuardian_Javelineer_42,@AncientGuardian_Javelineer_42_VitalsName,42,,AncientGuardian_Javelineer_42
AncientGuardian_Javelineer_43,@AncientGuardian_Javelineer_43_VitalsName,43,,AncientGuardian_Javelineer_43
AncientGuardian_Javelineer_44,@AncientGuardian_Javelineer_44_VitalsName,44,,AncientGuardian_Javelineer_44
AncientGuardian_Javelineer_45,@AncientGuardian_Javelineer_45_VitalsName,45,,AncientGuardian_Javelineer_45
AncientGuardian_Javelineer_45_ELITE,@AncientGuardian_Javelineer_45_ELITE_VitalsName,45,,AncientGuardian_Javelineer_45_ELITE
AncientGuardian_Javelineer_46,@AncientGuardian_Javelineer_46_VitalsName,46,,AncientGuardian_Javelineer_46
AncientGuardian_Javelineer_47,@AncientGuardian_Javelineer_47_VitalsName,47,,AncientGuardian_Javelineer_47
AncientGuardian_Javelineer_48,@AncientGuardian_Javelineer_48_VitalsName,48,,AncientGuardian_Javelineer_48
AncientGuardian_Javelineer_49,@AncientGuardian_Javelineer_49_VitalsName,49,,AncientGuardian_Javelineer_49
AncientGuardian_Javelineer_50,@AncientGuardian_Javelineer_50_VitalsName,50,,AncientGuardian_Javelineer_50
AncientGuardian_Javelineer_51,@AncientGuardian_Javelineer_51_VitalsName,51,,AncientGuardian_Javelineer_51
AncientGuardian_Javelineer_52,@AncientGuardian_Javelineer_52_VitalsName,52,,AncientGuardian_Javelineer_52
AncientGuardian_Javelineer_53,@AncientGuardian_Javelineer_53_VitalsName,53,,AncientGuardian_Javelineer_53
AncientGuardian_Javelineer_54,@AncientGuardian_Javelineer_54_VitalsName,54,,AncientGuardian_Javelineer_54
AncientGuardian_Javelineer_55,@AncientGuardian_Javelineer_55_VitalsName,55,,AncientGuardian_Javelineer_55
AncientGuardian_Javelineer_56,@AncientGuardian_Javelineer_56_VitalsName,56,,AncientGuardian_Javelineer_56
AncientGuardian_Javelineer_57,@AncientGuardian_Javelineer_57_VitalsName,57,,AncientGuardian_Javelineer_57
AncientGuardian_Javelineer_58,@AncientGuardian_Javelineer_58_VitalsName,58,,AncientGuardian_Javelineer_58
AncientGuardian_Javelineer_59,@AncientGuardian_Javelineer_59_VitalsName,59,,AncientGuardian_Javelineer_59
AncientGuardian_Javelineer_60,@AncientGuardian_Javelineer_60_VitalsName,60,,AncientGuardian_Javelineer_60
AncientGuardian_Javelineer_61,@AncientGuardian_Javelineer_61_VitalsName,61,,AncientGuardian_Javelineer_61
AncientGuardian_Javelineer_61_ELITE,@AncientGuardian_Javelineer_61_ELITE_VitalsName,61,,AncientGuardian_Javelineer_61_ELITE
AncientGuardian_Javelineer_ELITE,@AncientGuardian_Javelineer_ELITE_VitalsName,61,,AncientGuardian_Javelineer_ELITE
AncientGuardian_Javelineer_61_ELITE_Spawn,@AncientGuardian_Javelineer_61_ELITE_Spawn_VitalsName,61,,AncientGuardian_Javelineer_61_ELITE_Spawn
AncientGuardian_Javelineer_61_WaveEvent,@AncientGuardian_Javelineer_61_WaveEvent_VitalsName,61,,AncientGuardian_Javelineer_61_WaveEvent
AncientGuardian_Javelineer_62,@AncientGuardian_Javelineer_62_VitalsName,62,,AncientGuardian_Javelineer_62
AncientGuardian_Javelineer_62_WaveEvent,@AncientGuardian_Javelineer_62_WaveEvent_VitalsName,62,,AncientGuardian_Javelineer_62_WaveEvent
AncientGuardian_Javelineer_63,@AncientGuardian_Javelineer_63_VitalsName,63,,AncientGuardian_Javelineer_63
AncientGuardian_Javelineer_64,@AncientGuardian_Javelineer_64_VitalsName,64,,AncientGuardian_Javelineer_64
AncientGuardian_Javelineer_DG_Everfall_00,@AncientGuardian_Javelineer_DG_Everfall_00_VitalsName,35,,AncientGuardian_Javelineer_DG_Everfall_00
AncientGuardian_Javelineer_DG_GreatCleave_01,@AncientGuardian_Javelineer_DG_GreatCleave_01_VitalsName,62,,AncientGuardian_Javelineer_DG_GreatCleave_01
AncientGuardian_Javelineer_DG_Reekwater_00,@AncientGuardian_Javelineer_DG_Reekwater_00_VitalsName,60,,AncientGuardian_Javelineer_DG_Reekwater_00
AncientGuardian_Javelineer_DG_Reekwater_00_Spawn,@AncientGuardian_Javelineer_DG_Reekwater_00_Spawn_VitalsName,60,,AncientGuardian_Javelineer_DG_Reekwater_00_Spawn
AncientGuardian_Javelineer_Named_00,@AncientGuardian_Javelineer_Named_00_VitalsName,32,,AncientGuardian_Javelineer_Named_00
AncientGuardian_Javelineer_Named_01,@AncientGuardian_Javelineer_Named_01_VitalsName,50,,AncientGuardian_Javelineer_Named_01
AncientGuardian_Javelineer_Named_05WC02,@AncientGuardian_Javelineer_Named_05WC02_VitalsName,70,,AncientGuardian_Javelineer_Named_05WC02
AncientGuardian_Javelineer_Named_DG_Everfall_00,@AncientGuardian_Javelineer_Named_DG_Everfall_00_VitalsName,35,,AncientGuardian_Javelineer_Named_DG_Everfall_00
AncientGuardian_Javelineer_Named_DG_Everfall_01,@AncientGuardian_Javelineer_Named_DG_Everfall_01_VitalsName,35,,AncientGuardian_Javelineer_Named_DG_Everfall_01
AncientGuardian_Javelineer_Named_DG_Reekwater_00,@AncientGuardian_Javelineer_Named_DG_Reekwater_00_VitalsName,60,,AncientGuardian_Javelineer_Named_DG_Reekwater_00
AncientGuardian_Javelineer_Named_DG_Reekwater_01,@AncientGuardian_Javelineer_Named_DG_Reekwater_01_VitalsName,60,,AncientGuardian_Javelineer_Named_DG_Reekwater_01
AncientGuardian_Javelineer_Raid10-,@AncientGuardian_Javelineer_Raid10-_VitalsName,68,,AncientGuardian_Javelineer_Raid10-
AncientGuardian_Javelineer_Raid10,@AncientGuardian_Javelineer_Raid10_VitalsName,68,,AncientGuardian_Javelineer_Raid10
AncientGuardian_Mage_12MB02,@AncientGuardian_Mage_12MB02_VitalsName,14,,AncientGuardian_Mage_12MB02
AncientGuardian_Mage_20,@AncientGuardian_Mage_20_VitalsName,20,,AncientGuardian_Mage_20
AncientGuardian_Mage_28,@AncientGuardian_Mage_28_VitalsName,28,,AncientGuardian_Mage_28
AncientGuardian_Mage_36,@AncientGuardian_Mage_36_VitalsName,36,,AncientGuardian_Mage_36
AncientGuardian_Mage_37,@AncientGuardian_Mage_37_VitalsName,37,,AncientGuardian_Mage_37
AncientGuardian_Mage_38,@AncientGuardian_Mage_38_VitalsName,38,,AncientGuardian_Mage_38
AncientGuardian_Mage_39,@AncientGuardian_Mage_39_VitalsName,39,,AncientGuardian_Mage_39
AncientGuardian_Mage_40,@AncientGuardian_Mage_40_VitalsName,40,,AncientGuardian_Mage_40
AncientGuardian_Mage_41,@AncientGuardian_Mage_41_VitalsName,41,,AncientGuardian_Mage_41
AncientGuardian_Mage_42,@AncientGuardian_Mage_42_VitalsName,42,,AncientGuardian_Mage_42
AncientGuardian_Mage_42_ELITE,@AncientGuardian_Mage_42_ELITE_VitalsName,42,,AncientGuardian_Mage_42_ELITE
AncientGuardian_Mage_43,@AncientGuardian_Mage_43_VitalsName,43,,AncientGuardian_Mage_43
AncientGuardian_Mage_44,@AncientGuardian_Mage_44_VitalsName,44,,AncientGuardian_Mage_44
AncientGuardian_Mage_45,@AncientGuardian_Mage_45_VitalsName,45,,AncientGuardian_Mage_45
AncientGuardian_Mage_46,@AncientGuardian_Mage_46_VitalsName,46,,AncientGuardian_Mage_46
AncientGuardian_Mage_47,@AncientGuardian_Mage_47_VitalsName,47,,AncientGuardian_Mage_47
AncientGuardian_Mage_48,@AncientGuardian_Mage_48_VitalsName,48,,AncientGuardian_Mage_48
AncientGuardian_Mage_49,@AncientGuardian_Mage_49_VitalsName,49,,AncientGuardian_Mage_49
AncientGuardian_Mage_50,@AncientGuardian_Mage_50_VitalsName,50,,AncientGuardian_Mage_50
AncientGuardian_Mage_58,@AncientGuardian_Mage_58_VitalsName,58,,AncientGuardian_Mage_58
AncientGuardian_Mage_59,@AncientGuardian_Mage_59_VitalsName,59,,AncientGuardian_Mage_59
AncientGuardian_Mage_60,@AncientGuardian_Mage_60_VitalsName,60,,AncientGuardian_Mage_60
AncientGuardian_Mage_61,@AncientGuardian_Mage_61_VitalsName,61,,AncientGuardian_Mage_61
AncientGuardian_Mage_62,@AncientGuardian_Mage_62_VitalsName,62,,AncientGuardian_Mage_62
AncientGuardian_Mage_67_ELITE,@AncientGuardian_Mage_67_ELITE_VitalsName,67,,AncientGuardian_Mage_67_ELITE
AncientGuardian_Mage_ELITE,@AncientGuardian_Mage_ELITE_VitalsName,67,,AncientGuardian_Mage_ELITE
AncientGuardian_Mage_DG_Everfall_00,@AncientGuardian_Mage_DG_Everfall_00_VitalsName,35,,AncientGuardian_Mage_DG_Everfall_00
AncientGuardian_Mage_DG_GreatCleave_00_00,@AncientGuardian_Mage_DG_GreatCleave_00_00_VitalsName,67,,AncientGuardian_Mage_DG_GreatCleave_00_00
AncientGuardian_Mage_DG_GreatCleave_00_01,@AncientGuardian_Mage_DG_GreatCleave_00_01_VitalsName,67,,AncientGuardian_Mage_DG_GreatCleave_00_01
