Id,DisplayName,FishRarityRollModifier,FishSizeRollModifier,SummerFishRarityRollModifier,LootTableId,LootTag,RequiredLevel,TimeToNibbleSecondsRange,TimeToBiteSecondsRange
Hotspot_Broad_27,@hotspot_broad_27,0,0,0,FishingHotspotLoot,Broad,70,3-6,1-1.5
Hotspot_Rare_28,@hotspot_rare_28,15.99,0,0,FishingHotspotLoot,Rare,7,3-6,1-1.5
Hotspot_Rare_29,@hotspot_rare_29,15.99,0,0,FishingHotspotLoot,Rare,20,3-6,1-1.5
Hotspot_Rare_30,@hotspot_rare_30,15.99,0,0,FishingHotspotLoot,Rare,30,3-6,1-1.5
Hotspot_Rare_31,@hotspot_rare_31,15.99,0,0,FishingHotspotLoot,Rare,45,3-6,1-1.5
Hotspot_Rare_32,@hotspot_rare_32,15.99,0,0,FishingHotspotLoot,Rare,56,3-6,1-1.5
Hotspot_Rare_33,@hotspot_rare_33,15.99,0,0,FishingHotspotLoot,Rare,60,3-6,1-1.5
Hotspot_Rare_34,@hotspot_rare_34,15.99,0,0,FishingHotspotLoot,Rare,60,3-6,1-1.5
Hotspot_Rare_35,@hotspot_rare_35,15.99,0,0,FishingHotspotLoot,Rare,62,3-6,1-1.5
Hotspot_Rare_36,@hotspot_rare_36,15.99,0,0,FishingHotspotLoot,Rare,67,3-6,1-1.5
Hotspot_Rare_37,@hotspot_rare_37,15.99,0,0,FishingHotspotLoot,Rare,67,3-6,1-1.5
Hotspot_Rare_38,@hotspot_rare_38,15.99,0,0,FishingHotspotLoot,Rare,70,3-6,1-1.5
Hotspot_Rare_39,@hotspot_rare_39,15.99,0,0,FishingHotspotLoot,Rare,74,3-6,1-1.5
Hotspot_Rare_40,@hotspot_rare_40,15.99,0,0,FishingHotspotLoot,Rare,74,3-6,1-1.5
Hotspot_Rare_41,@hotspot_rare_41,15.99,0,0,FishingHotspotLoot,Rare,78,3-6,1-1.5
Hotspot_Rare_42,@hotspot_rare_42,15.99,0,0,FishingHotspotLoot,Rare,83,3-6,1-1.5
Hotspot_Rare_43,@hotspot_rare_43,15.99,0,0,FishingHotspotLoot,Rare,83,3-6,1-1.5
Hotspot_Rare_44,@hotspot_rare_44,15.99,0,0,FishingHotspotLoot,Rare,88,3-6,1-1.5
Hotspot_Rare_45,@hotspot_rare_45,15.99,0,0,FishingHotspotLoot,Rare,95,3-6,1-1.5
Hotspot_Rare_46,@hotspot_rare_46,15.99,0,0,FishingHotspotLoot,Rare,95,3-6,1-1.5
Hotspot_Rare_47,@hotspot_rare_47,15.99,0,0,FishingHotspotLoot,Rare,99,3-6,1-1.5
Hotspot_Rare_48,@hotspot_rare_48,15.99,0,0,FishingHotspotLoot,Rare,103,3-6,1-1.5
Hotspot_Rare_49,@hotspot_rare_49,15.99,0,0,FishingHotspotLoot,Rare,110,3-6,1-1.5
Hotspot_Rare_50,@hotspot_rare_50,15.99,0,0,FishingHotspotLoot,Rare,114,3-6,1-1.5
Hotspot_Rare_51,@hotspot_rare_51,15.99,0,0,FishingHotspotLoot,Rare,117,3-6,1-1.5
Hotspot_Rare_52,@hotspot_rare_52,15.99,0,0,FishingHotspotLoot,Rare,141,3-6,1-1.5
Hotspot_Secret_53,@hotspot_secret_53,24.33,0,0,FishingHotspotLoot,Secret,12,3-6,1-1.5
Hotspot_Secret_54,@hotspot_secret_54,24.33,0,0,FishingHotspotLoot,Secret,27,3-6,1-1.5
Hotspot_Secret_55,@hotspot_secret_55,24.33,0,0,FishingHotspotLoot,Secret,62,3-6,1-1.5
Hotspot_Secret_56,@hotspot_secret_56,24.33,0,0,FishingHotspotLoot,Secret,70,3-6,1-1.5
Hotspot_Secret_57,@hotspot_secret_57,24.33,0,0,FishingHotspotLoot,Secret,88,3-6,1-1.5
Hotspot_Secret_58,@hotspot_secret_58,24.33,0,0,FishingHotspotLoot,Secret,99,3-6,1-1.5
Hotspot_Secret_59,@hotspot_secret_59,24.33,0,0,FishingHotspotLoot,Secret,110,3-6,1-1.5
Hotspot_Secret_60,@hotspot_secret_60,24.33,0,0,FishingHotspotLoot,Secret,117,3-6,1-1.5
Hotspot_Secret_61,@hotspot_secret_61,24.33,0,0,FishingHotspotLoot,Secret,117,3-6,1-1.5
Hotspot_Secret_62,@hotspot_secret_62,24.33,0,0,FishingHotspotLoot,Secret,128,3-6,1-1.5
Hotspot_Secret_63,@hotspot_secret_63,24.33,0,0,FishingHotspotLoot,Secret,134,3-6,1-1.5
Hotspot_Secret_64,@hotspot_secret_64,24.33,0,0,FishingHotspotLoot,Secret,141,3-6,1-1.5
Hotspot_Secret_65,@hotspot_secret_65,24.33,0,0,FishingHotspotLoot,Secret,148,3-6,1-1.5
Hotspot_Secret_66,@hotspot_secret_66,24.33,0,0,FishingHotspotLoot,Secret,153,3-6,1-1.5
Hotspot_Secret_67,@hotspot_secret_67,24.33,0,0,FishingHotspotLoot,Secret,158,3-6,1-1.5
Hotspot_Secret_68,@hotspot_secret_68,24.33,0,0,FishingHotspotLoot,Secret,158,3-6,1-1.5
Hotspot_Secret_69,@hotspot_secret_69,24.33,0,0,FishingHotspotLoot,Secret,165,3-6,1-1.5
Hotspot_Secret_70,@hotspot_secret_70,24.33,0,0,FishingHotspotLoot,Secret,172,3-6,1-1.5
Hotspot_Secret_71,@hotspot_secret_71,24.33,0,0,FishingHotspotLoot,Secret,179,3-6,1-1.5
Hotspot_Secret_72,@hotspot_secret_72,24.33,0,0,FishingHotspotLoot,Secret,185,3-6,1-1.5
Hotspot_Secret_73,@hotspot_secret_73,24.33,0,0,FishingHotspotLoot,Secret,185,3-6,1-1.5
Hotspot_Secret_74,@hotspot_secret_74,24.33,0,0,FishingHotspotLoot,Secret,190,3-6,1-1.5
Hotspot_Secret_75,@hotspot_secret_75,24.33,0,0,FishingHotspotLoot,Secret,193,3-6,1-1.5
Hotspot_Secret_76,@hotspot_secret_76,24.33,0,0,FishingHotspotLoot,Secret,193,3-6,1-1.5
Hotspot_Secret_77,@hotspot_secret_77,24.33,0,0,FishingHotspotLoot,Secret,197,3-6,1-1.5
Hotspot_Secret_78,@hotspot_secret_78,24.33,0,0,FishingHotspotLoot,Secret,200,3-6,1-1.5
Hotspot_Secret_79,@hotspot_secret_79,24.33,0,0,FishingHotspotLoot,Secret,200,3-6,1-1.5
Hotspot_Secret_80,@hotspot_secret_80,24.33,0,0,FishingHotspotLoot,Secret,200,3-6,1-1.5
Hotspot_Broad_81,@hotspot_broad_81,0,0,0,FishingHotspotLoot,Secret,76,3-6,1-1.5
Hotspot_Broad_82,@hotspot_broad_82,0,0,0,FishingHotspotLoot,Secret,80,3-6,1-1.5
Hotspot_Rare_83,@hotspot_rare_83,15.99,0,0,FishingHotspotLoot,Secret,105,3-6,1-1.5
Hotspot_Rare_84,@hotspot_rare_84,15.99,0,0,FishingHotspotLoot,Secret,120,3-6,1-1.5
Hotspot_Secret_85,@hotspot_secret_85,24.33,0,0,FishingHotspotLoot,Secret,150,3-6,1-1.5
Hotspot_Secret_86,@hotspot_secret_86,24.33,0,0,FishingHotspotLoot,Secret,160,3-6,1-1.5
Hotspot_SummerMedley_1,@hotspot_summermedley_1,0,0,0,FishingSummerMedleyHotspot,Broad,0,3-6,1-1.5
