Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,EntitlementId,XpReward
58,,0,375,370,0,true,,,,0,0,,0
59,,0,380,375,0,true,,,,0,0,,0
60,,0,385,380,0,true,,,,0,0,,0
61,,0,390,385,0,true,,,,0,0,,0
62,,0,395,390,0,true,,,,0,0,,0
63,,0,400,395,0,true,,,,0,0,,0
64,,0,405,400,0,true,,,,0,0,,0
65,,0,410,405,0,true,,,,0,0,,0
66,,0,415,410,0,true,,,,0,0,,0
67,,0,420,415,0,true,,,,0,0,,0
68,,0,425,420,0,true,,,,0,0,,0
69,,0,430,425,0,true,,,,0,0,,0
70,,0,435,430,0,true,,,,0,0,,0
71,,0,440,435,0,true,,,,0,0,,0
72,,0,445,440,0,true,,,,0,0,,0
73,,0,450,445,0,true,,,,0,0,,0
74,,0,455,450,0,true,,,,0,0,,0
75,,0,460,455,0,true,,,,0,0,,0
76,,0,465,460,0,true,,,,0,0,,0
77,,0,470,465,0,true,,,,0,0,,0
78,,0,475,470,0,true,,,,0,0,,0
79,,0,480,475,0,true,,,,0,0,,0
80,,0,485,480,0,true,,,,0,0,,0
81,,0,490,485,0,true,,,,0,0,,0
82,,0,495,490,0,true,,,,0,0,,0
83,,0,500,495,0,true,,,,0,0,,0
84,,0,505,500,0,true,,,,0,0,,0
85,,0,510,505,0,true,,,,0,0,,0
86,,0,515,510,0,true,,,,0,0,,0
87,,0,520,515,0,true,,,,0,0,,0
88,,0,525,520,0,true,,,,0,0,,0
89,,0,530,525,0,true,,,,0,0,,0
90,,0,535,530,0,true,,,,0,0,,0
91,,0,540,535,0,true,,,,0,0,,0
92,,0,545,540,0,true,,,,0,0,,0
93,,0,550,545,0,true,,,,0,0,,0
94,,0,555,550,0,true,,,,0,0,,0
95,,0,560,555,0,true,,,,0,0,,0
96,,0,565,560,0,true,,,,0,0,,0
97,,0,570,565,0,true,,,,0,0,,0
98,,0,575,570,0,true,,,,0,0,,0
99,,0,580,575,0,true,,,,0,0,,0
100,,0,585,580,0,true,,,,0,0,,0
101,,0,590,585,0,true,,,,0,0,,0
102,,0,595,590,0,true,,,,0,0,,0
103,,0,600,595,0,true,,,,0,0,,0
104,,0,605,600,0,true,,,,0,0,,0
105,,0,610,605,0,true,,,,0,0,,0
106,,0,615,610,0,true,,,,0,0,,0
107,,0,620,615,0,true,,,,0,0,,0
108,,0,625,620,0,true,,,,0,0,,0
109,,0,630,625,0,true,,,,0,0,,0
110,,0,635,630,0,true,,,,0,0,,0
111,,0,640,635,0,true,,,,0,0,,0
112,,0,645,640,0,true,,,,0,0,,0
113,,0,650,645,0,true,,,,0,0,,0
114,,0,655,650,0,true,,,,0,0,,0
115,,0,660,655,0,true,,,,0,0,,0
116,,0,665,660,0,true,,,,0,0,,0
117,,0,670,665,0,true,,,,0,0,,0
118,,0,675,670,0,true,,,,0,0,,0
119,,0,680,675,0,true,,,,0,0,,0
120,,0,685,680,0,true,,,,0,0,,0
121,,0,690,685,0,true,,,,0,0,,0
122,,0,695,690,0,true,,,,0,0,,0
123,,0,700,695,0,true,,,,0,0,,0
124,,0,705,700,0,true,,,,0,0,,0
125,,0,710,705,0,true,,,,0,0,,0
126,,0,715,710,0,true,,,,0,0,,0
127,,0,720,715,0,true,,,,0,0,,0
128,,0,725,720,0,true,,,,0,0,,0
129,,0,730,725,0,true,,,,0,0,,0
130,,0,735,730,0,true,,,,0,0,,0
131,,0,740,735,0,true,,,,0,0,,0
132,,0,745,740,0,true,,,,0,0,,0
133,,0,750,745,0,true,,,,0,0,,0
134,,0,755,750,0,true,,,,0,0,,0
135,,0,760,755,0,true,,,,0,0,,0
136,,0,765,760,0,true,,,,0,0,,0
137,,0,770,765,0,true,,,,0,0,,0
138,,0,775,770,0,true,,,,0,0,,0
139,,0,780,775,0,true,,,,0,0,,0
140,,0,785,780,0,true,,,,0,0,,0
141,,0,790,785,0,true,,,,0,0,,0
142,,0,795,790,0,true,,,,0,0,,0
143,,0,800,795,0,true,,,,0,0,,0
144,,0,805,800,0,true,,,,0,0,,0
145,,0,810,805,0,true,,,,0,0,,0
146,,0,815,810,0,true,,,,0,0,,0
147,,0,820,815,0,true,,,,0,0,,0
148,,0,825,820,0,true,,,,0,0,,0
149,,0,830,825,0,true,,,,0,0,,0
150,,0,835,830,0,true,,,,0,0,,0
151,,0,840,835,0,true,,,,0,0,,0
152,,0,845,840,0,true,,,,0,0,,0
153,,0,850,845,0,true,,,,0,0,,0
154,,0,855,850,0,true,,,,0,0,,0
155,,0,860,855,0,true,,,,0,0,,0
156,,0,865,860,0,true,,,,0,0,,0
157,,0,870,865,0,true,,,,0,0,,0
158,,0,875,870,0,true,,,,0,0,,0
159,,0,880,875,0,true,,,,0,0,,0
160,,0,885,880,0,true,,,,0,0,,0
161,,0,890,885,0,true,,,,0,0,,0
162,,0,895,890,0,true,,,,0,0,,0
163,,0,900,895,0,true,,,,0,0,,0
164,,0,905,900,0,true,,,,0,0,,0
165,,0,910,905,0,true,,,,0,0,,0
166,,0,915,910,0,true,,,,0,0,,0
167,,0,920,915,0,true,,,,0,0,,0
168,,0,925,920,0,true,,,,0,0,,0
169,,0,930,925,0,true,,,,0,0,,0
170,,0,935,930,0,true,,,,0,0,,0
171,,0,940,935,0,true,,,,0,0,,0
172,,0,945,940,0,true,,,,0,0,,0
173,,0,950,945,0,true,,,,0,0,,0
174,,0,955,950,0,true,,,,0,0,,0
175,,0,1000,955,0,true,,,,0,0,,0
176,,0,1025,1000,0,true,,,,0,0,,0
177,,0,1050,1025,0,true,,,,0,0,,0
178,,0,1075,1050,0,true,,,,0,0,,0
179,,0,1100,1075,0,true,,,,0,0,,0
180,,0,1125,1100,0,true,,,,0,0,,0
181,,0,1150,1125,0,true,,,,0,0,,0
182,,0,1175,1150,0,true,,,,0,0,,0
183,,0,1200,1175,0,true,,,,0,0,,0
184,,0,1225,1200,0,true,,,,0,0,,0
185,,0,1250,1225,0,true,,,,0,0,,0
186,,0,1275,1250,0,true,,,,0,0,,0
187,,0,1300,1275,0,true,,,,0,0,,0
188,,0,1325,1300,0,true,,,,0,0,,0
189,,0,1350,1325,0,true,,,,0,0,,0
190,,0,1375,1350,0,true,,,,0,0,,0
191,,0,1400,1375,0,true,,,,0,0,,0
192,,0,1425,1400,0,true,,,,0,0,,0
193,,0,1450,1425,0,true,,,,0,0,,0
194,,0,1500,1450,0,true,,,,0,0,,0
195,,0,1600,1500,0,true,,,,0,0,,0
196,,0,1700,1600,0,true,,,,0,0,,0
197,,0,1800,1700,0,true,,,,0,0,,0
198,,0,1900,1800,0,true,,,,0,0,,0
199,,0,2000,1900,0,true,,,,0,0,,0
200,,0,2100,2000,0,true,,,,0,0,,0
