Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,RecipeLevel,RollBonus,GatheringMultiplier,GatheringEfficiency,IconTypeUnlock,IconTypeUnlockImagePath,ExpansionIdUnlock,IsMilestone,Tooltip,EntitlementId,XpReward
61,,0,619,599,0,true,,0,610,0,1.123,,,,false,,,132
62,,0,639,619,0,true,,0,620,0,1.126,,,,false,,,137
63,,0,660,639,0,true,,0,630,0,1.129,,,,false,,,141
64,,0,661,660,0,true,,0,640,0,1.132,,,,false,,,146
65,,0,682,661,0,true,,0,650,0,1.135,,,,false,,,146
66,,0,704,682,0,true,,0,660,0,1.138,,,,false,,,150
67,,0,727,704,0,true,,0,670,0,1.141,,,,false,,,155
68,,0,750,727,0,true,,0,680,0,1.144,,,,false,,,159
69,,0,774,750,0,true,,0,690,0,1.147,,,,false,,,164
70,@ui_gold,0,799,774,0,true,,0,700,0,1.15,Gold,lyshineui/images/tradeskills/tradeskill_Gold.png,,false,,,169
71,,0,812,799,0,true,,0,710,0,1.153,,,,false,,,174
72,,0,837,812,0,true,,0,720,0,1.156,,,,false,,,176
73,,0,850,837,0,true,,0,730,0,1.159,,,,false,,,181
74,,0,876,850,0,true,,0,740,0,1.162,,,,false,,,183
75,@ui_alchemyStones,0,889,876,0,true,,0,750,0,1.165,Alchemy2,lyshineui/images/tradeskills/tradeskill_Alchemy2.png,,false,Mine Lodestone,,189
76,,0,916,889,0,true,,0,760,0,1.168,,,,false,,,191
77,,0,944,916,0,true,,0,770,0,1.171,,,,false,,,198
78,,0,972,944,0,true,,0,780,0,1.174,,,,false,,,204
79,,0,986,972,0,true,,0,790,0,1.177,,,,false,,,210
80,,0,1015,986,0,true,,0,800,0,1.18,,,,false,,,213
81,,0,1028,1015,0,true,,0,810,0,1.183,,,,false,,,220
82,,0,1059,1028,0,true,,0,820,0,1.186,,,,false,,,223
83,,0,1071,1059,0,true,,0,830,0,1.189,,,,false,,,229
84,,0,1102,1071,0,true,,0,840,0,1.192,,,,false,,,232
85,,0,1115,1102,0,true,,0,850,0,1.195,,,,false,,,239
86,,0,1147,1115,0,true,,0,860,0,1.198,,,,false,,,241
87,,0,1159,1147,0,true,,0,870,0,1.201,,,,false,,,247
88,,0,1191,1159,0,true,,0,880,0,1.204,,,,false,,,250
89,,0,1203,1191,0,true,,0,890,0,1.207,,,,false,,,257
90,,0,1236,1203,0,true,,0,900,0,1.21,,,,false,,,259
91,,0,1270,1236,0,true,,0,910,0,1.213,,,,false,,,266
92,,0,1281,1270,0,true,,0,920,0,1.216,,,,false,,,272
93,,0,1315,1281,0,true,,0,930,0,1.219,,,,false,,,275
94,,0,1351,1315,0,true,,0,940,0,1.222,,,,false,,,282
95,@ui_lodestone,0,1362,1351,0,true,,0,950,0,1.225,Lodestone,lyshineui/images/tradeskills/tradeskill_Lodestone.png,,false,,,289
96,,0,1398,1362,0,true,,0,960,0,1.228,,,,false,,,290
97,,0,1408,1398,0,true,,0,970,0,1.231,,,,false,,,298
98,,0,1416,1408,0,true,,0,980,0,1.234,,,,false,,,299
99,,0,1459,1416,0,true,,0,990,0,1.237,,,,false,,,300
100,,0,1503,1459,0,true,,0,1000,0,1.24,,,,false,Mine Alchemy Stones,,309
101,,0,1547,1503,0,true,,0,1010,0,1.243,,,,false,,,319
102,,0,1591,1547,0,true,,0,1020,0,1.246,,,,false,,,328
103,,0,1634,1591,0,true,,0,1030,0,1.249,,,,false,,,338
104,,0,1678,1634,0,true,,0,1040,0,1.252,,,,false,,,347
105,,0,1722,1678,0,true,,0,1050,0,1.255,,,,false,,,357
106,,0,1766,1722,0,true,,0,1060,0,1.258,,,,false,,,366
107,,0,1809,1766,0,true,,0,1070,0,1.261,,,,false,,,376
108,,0,1853,1809,0,true,,0,1080,0,1.264,,,,false,,,385
109,,0,1897,1853,0,true,,0,1090,0,1.267,,,,false,,,395
110,,0,1941,1897,0,true,,0,1100,0,1.27,,,,false,,,404
111,,0,1985,1941,0,true,,0,1110,0,1.273,,,,false,,,414
112,,0,2028,1985,0,true,,0,1120,0,1.276,,,,false,,,423
113,,0,2072,2028,0,true,,0,1130,0,1.279,,,,false,,,433
114,,0,2116,2072,0,true,,0,1140,0,1.282,,,,false,,,442
115,,0,2160,2116,0,true,,0,1150,0,1.285,,,,false,,,452
116,,0,2203,2160,0,true,,0,1160,0,1.288,,,,false,,,461
117,,0,2247,2203,0,true,,0,1170,0,1.291,,,,false,,,470
118,,0,2291,2247,0,true,,0,1180,0,1.294,,,,false,,,479
119,,0,2335,2291,0,true,,0,1190,0,1.297,,,,false,,,489
120,,0,2379,2335,0,true,,0,1200,0,1.3,,,,false,,,498
121,,0,2422,2379,0,true,,0,1210,0,1.303,,,,false,,,508
122,,0,2466,2422,0,true,,0,1220,0,1.306,,,,false,,,517
123,,0,2510,2466,0,true,,0,1230,0,1.309,,,,false,,,527
124,,0,2554,2510,0,true,,0,1240,0,1.312,,,,false,,,535
125,@ui_starmetal,0,2597,2554,0,true,,0,1250,0,1.315,Starmetal,lyshineui/images/tradeskills/tradeskill_Starmetal.png,,false,Detect Alchemy Stones,,545
126,,0,2641,2597,0,true,,0,1260,0,1.318,,,,false,,,556
127,,0,2685,2641,0,true,,0,1270,0,1.321,,,,false,,,566
128,,0,2729,2685,0,true,,0,1280,0,1.324,,,,false,,,577
129,,0,2773,2729,0,true,,0,1290,0,1.327,,,,false,,,587
130,@ui_sandstone,0,2816,2773,0,true,,0,1300,0,1.33,Sandstone,lyshineui/images/tradeskills/tradeskill_Sandstone.png,,false,,,598
131,,0,2860,2816,0,true,,0,1310,0,1.333,,,,false,,,608
132,,0,2904,2860,0,true,,0,1320,0,1.336,,,,false,,,619
133,,0,2948,2904,0,true,,0,1330,0,1.339,,,,false,,,630
134,,0,2991,2948,0,true,,0,1340,0,1.342,,,,false,,,641
135,@ui_platinum,0,3035,2991,0,true,,0,1350,0,1.345,Platinum,lyshineui/images/tradeskills/tradeskill_Platinum.png,,false,,,651
136,,0,3079,3035,0,true,,0,1360,0,1.348,,,,false,,,662
137,,0,3123,3079,0,true,,0,1370,0,1.351,,,,false,,,673
138,,0,3166,3123,0,true,,0,1380,0,1.354,,,,false,,,684
139,,0,3210,3166,0,true,,0,1390,0,1.357,,,,false,,,694
140,,0,3254,3210,0,true,,0,1400,0,1.36,,,,false,,,705
141,,0,3298,3254,0,true,,0,1410,0,1.363,,,,false,,,717
142,,0,3342,3298,0,true,,0,1420,0,1.366,,,,false,,,728
143,,0,3385,3342,0,true,,0,1430,0,1.369,,,,false,,,738
144,,0,3429,3385,0,true,,0,1440,0,1.372,,,,false,,,750
145,,0,3473,3429,0,true,,0,1450,0,1.375,,,,false,,,761
146,,0,3517,3473,0,true,,0,1460,0,1.378,,,,false,,,773
147,,0,3560,3517,0,true,,0,1470,0,1.381,,,,false,,,783
148,,0,3604,3560,0,true,,0,1480,0,1.384,,,,false,,,795
149,,0,3648,3604,0,true,,0,1490,0,1.387,,,,false,,,806
150,,0,3680,3648,0,true,,0,1500,0,1.39,,,,false,Mine Gold,,818
151,,0,3711,3680,0,true,,0,1510,0,1.393,,,,false,,,826
152,,0,3742,3711,0,true,,0,1520,0,1.396,,,,false,,,835
153,,0,3773,3742,0,true,,0,1530,0,1.399,,,,false,,,844
154,,0,3804,3773,0,true,,0,1540,0,1.402,,,,false,,,853
155,,0,3834,3804,0,true,,0,1550,0,1.405,,,,false,Detect Lodestone,,861
156,,0,3864,3834,0,true,,0,1560,0,1.408,,,,false,,,870
157,,0,3894,3864,0,true,,0,1570,0,1.411,,,,false,,,879
158,,0,3924,3894,0,true,,0,1580,0,1.414,,,,false,,,888
159,,0,3954,3924,0,true,,0,1590,0,1.417,,,,false,,,896
160,@ui_brimstone,0,3983,3954,0,true,,0,1600,0,1.42,Brimstone,lyshineui/images/tradeskills/tradeskill_Brimstone.png,,false,,,905
161,,0,4012,3983,0,true,,0,1610,0,1.423,,,,false,,,915
162,,0,4041,4012,0,true,,0,1620,0,1.426,,,,false,,,925
163,,0,4070,4041,0,true,,0,1630,0,1.429,,,,false,,,935
164,,0,4098,4070,0,true,,0,1640,0,1.432,,,,false,,,945
165,,0,4126,4098,0,true,,0,1650,0,1.435,,,,false,,,955
166,,0,4154,4126,0,true,,0,1660,0,1.438,,,,false,,,965
167,,0,4182,4154,0,true,,0,1670,0,1.441,,,,false,,,975
168,,0,4210,4182,0,true,,0,1680,0,1.444,,,,false,,,985
169,,0,4237,4210,0,true,,0,1690,0,1.447,,,,false,,,995
170,,0,4264,4237,0,true,,0,1700,0,1.45,,,,false,,,1005
171,,0,4291,4264,0,true,,0,1710,0,1.453,,,,false,,,1015
172,,0,4318,4291,0,true,,0,1720,0,1.456,,,,false,,,1025
173,,0,4344,4318,0,true,,0,1730,0,1.459,,,,false,,,1035
174,,0,4370,4344,0,true,,0,1740,0,1.462,,,,false,,,1045
175,,0,4396,4370,0,true,,0,1750,0,1.465,,,,false,Detect Gold,,1055
176,,0,4422,4396,0,true,,0,1760,0,1.468,,,,false,,,1066
177,,0,4447,4422,0,true,,0,1770,0,1.471,,,,false,,,1078
178,,0,4472,4447,0,true,,0,1780,0,1.474,,,,false,,,1089
179,,0,4497,4472,0,true,,0,1790,0,1.477,,,,false,,,1100
180,,0,4521,4497,0,true,,0,1800,0,1.48,,,,false,Mine Starmetal,,1111
181,,0,4545,4521,0,true,,0,1810,0,1.483,,,,false,,,1123
182,,0,4569,4545,0,true,,0,1820,0,1.486,,,,false,,,1134
183,,0,4592,4569,0,true,,0,1830,0,1.489,,,,false,,,1145
184,,0,4615,4592,0,true,,0,1840,0,1.492,,,,false,,,1156
185,,0,4638,4615,0,true,,0,1850,0,1.495,,,,false,Detect Sandstone,,1168
186,,0,4661,4638,0,true,,0,1860,0,1.498,,,,false,,,1179
187,,0,4683,4661,0,true,,0,1870,0,1.501,,,,false,,,1190
188,,0,4705,4683,0,true,,0,1880,0,1.504,,,,false,,,1201
189,,0,4727,4705,0,true,,0,1890,0,1.507,,,,false,,,1213
190,,0,4748,4727,0,true,,0,1900,0,1.51,,,,false,,,1224
191,,0,4769,4748,0,true,,0,1910,0,1.513,,,,false,Detect Brimstone,,1236
192,,0,4790,4769,0,true,,0,1920,0,1.516,,,,false,,,1249
193,,0,4811,4790,0,true,,0,1930,0,1.519,,,,false,,,1261
194,,0,4831,4811,0,true,,0,1940,0,1.522,,,,false,,,1274
195,,0,4851,4831,0,true,,0,1950,0,1.525,,,,false,,,1286
196,,0,4871,4851,0,true,,0,1960,0,1.528,,,,false,,,1299
197,,0,4891,4871,0,true,,0,1970,0,1.531,,,,false,,,1311
198,,0,4910,4891,0,true,,0,1980,0,1.534,,,,false,,,1324
199,,0,4929,4910,0,true,,0,1990,0,1.537,,,,false,,,1336
200,@ui_orichalcum,0,4948,4929,0,true,,0,2000,0,1.54,Orichalcum,lyshineui/images/tradeskills/tradeskill_Orichalcum.png,,false,,,1349
201,,0,4968,4948,0,true,,0,2010,0,1.955,,,,false,,,1444
202,,0,4988,4968,0,true,,0,2020,0,1.96,,,,false,,,1450
203,,0,5008,4988,0,true,,0,2030,0,1.965,,,,false,,,1456
204,,0,5028,5008,0,true,,0,2040,0,1.97,,,,false,,,1463
205,,0,5048,5028,0,true,,0,2050,0,1.975,,,,false,Detect Starmetal,,1469
206,,0,5068,5048,0,true,,0,2060,0,1.98,,,,false,,,1475
207,,0,5088,5068,0,true,,0,2070,0,1.985,,,,false,,,1481
208,,0,5109,5088,0,true,,0,2080,0,1.99,,,,false,,,1488
209,,0,5129,5109,0,true,,0,2090,0,1.995,,,,false,,,1494
210,,0,5150,5129,0,true,,0,2100,0,2,,,,false,Mine Platinum,,1500
211,,0,5170,5150,0,true,,0,2110,0,2.005,,,,false,,,1506
212,,0,5191,5170,0,true,,0,2120,0,2.01,,,,false,,,1513
213,,0,5212,5191,0,true,,0,2130,0,2.015,,,,false,,,1519
214,,0,5232,5212,0,true,,0,2140,0,2.02,,,,false,,,1525
215,,0,5253,5232,0,true,,0,2150,0,2.025,,,,false,,,1531
216,,0,5274,5253,0,true,,0,2160,0,2.03,,,,false,,,1538
217,,0,5295,5274,0,true,,0,2170,0,2.035,,,,false,,,1544
218,,0,5317,5295,0,true,,0,2180,0,2.04,,,,false,,,1550
219,,0,5338,5317,0,true,,0,2190,0,2.045,,,,false,,,1556
220,,0,5359,5338,0,true,,0,2200,0,2.05,,,,false,,,1563
221,,0,5381,5359,0,true,,0,2210,0,2.055,,,,false,,,1569
222,,0,5402,5381,0,true,,0,2220,0,2.06,,,,false,,,1575
223,,0,5424,5402,0,true,,0,2230,0,2.065,,,,false,,,1581
224,,0,5446,5424,0,true,,0,2240,0,2.07,,,,false,,,1588
225,,0,5467,5446,0,true,,0,2250,0,2.075,,,,false,,,1594
226,,0,5489,5467,0,true,,0,2260,0,2.08,,,,false,,,1600
227,,0,5511,5489,0,true,,0,2270,0,2.085,,,,false,,,1606
228,,0,5533,5511,0,true,,0,2280,0,2.09,,,,false,,,1613
229,,0,5555,5533,0,true,,0,2290,0,2.095,,,,false,,,1619
230,,0,5578,5555,0,true,,0,2300,0,2.1,,,,false,,,1625
231,,0,5600,5578,0,true,,0,2310,0,2.105,,,,false,,,1631
232,,0,5622,5600,0,true,,0,2320,0,2.11,,,,false,,,1638
233,,0,5645,5622,0,true,,0,2330,0,2.115,,,,false,,,1644
234,,0,5667,5645,0,true,,0,2340,0,2.12,,,,false,,,1650
235,,0,5690,5667,0,true,,0,2350,0,2.125,,,,false,Detect Platinum,,1656
236,,0,5713,5690,0,true,,0,2360,0,2.13,,,,false,,,1663
237,,0,5736,5713,0,true,,0,2370,0,2.135,,,,false,,,1669
238,,0,5759,5736,0,true,,0,2380,0,2.14,,,,false,,,1675
239,,0,5782,5759,0,true,,0,2390,0,2.145,,,,false,,,1681
240,,0,5805,5782,0,true,,0,2400,0,2.15,,,,false,,,1688
241,,0,5828,5805,0,true,,0,2410,0,2.155,,,,false,,,1694
242,,0,5851,5828,0,true,,0,2420,0,2.16,,,,false,,,1700
243,,0,5875,5851,0,true,,0,2430,0,2.165,,,,false,,,1706
244,,0,5898,5875,0,true,,0,2440,0,2.17,,,,false,,,1713
245,,0,5922,5898,0,true,,0,2450,0,2.175,,,,false,,,1719
246,,0,5945,5922,0,true,,0,2460,0,2.18,,,,false,,,1725
247,,0,5969,5945,0,true,,0,2470,0,2.185,,,,false,,,1731
248,,0,5993,5969,0,true,,0,2480,0,2.19,,,,false,,,1738
249,,0,6017,5993,0,true,,0,2490,0,2.195,,,,false,,,1744
250,,0,6041,6017,0,true,,0,2500,0,2.2,,,,false,Mine Orichalcum,,1750
251,,0,6065,6041,0,true,,0,2510,0,2.205,,,,false,,,1756
252,,0,6090,6065,0,true,,0,2520,0,2.21,,,,false,,,1763
253,,0,6114,6090,0,true,,0,2530,0,2.215,,,,false,,,1769
254,,0,6138,6114,0,true,,0,2540,0,2.22,,,,false,,,1775
255,,0,6163,6138,0,true,,0,2550,0,2.225,,,,false,,,1781
256,,0,6188,6163,0,true,,0,2560,0,2.23,,,,false,,,1788
257,,0,6212,6188,0,true,,0,2570,0,2.235,,,,false,,,1794
258,,0,6237,6212,0,true,,0,2580,0,2.24,,,,false,,,1800
259,,0,6262,6237,0,true,,0,2590,0,2.245,,,,false,,,1806
260,,0,6287,6262,0,true,,0,2600,0,2.25,,,,false,,,1813
261,,0,6312,6287,0,true,,0,2610,0,2.255,,,,false,,,1819
262,,0,6338,6312,0,true,,0,2620,0,2.26,,,,false,,,1825
263,,0,6363,6338,0,true,,0,2630,0,2.265,,,,false,,,1831
264,,0,6388,6363,0,true,,0,2640,0,2.27,,,,false,,,1838
265,,0,6414,6388,0,true,,0,2650,0,2.275,,,,false,,,1844
266,,0,6440,6414,0,true,,0,2660,0,2.28,,,,false,,,1850
267,,0,6465,6440,0,true,,0,2670,0,2.285,,,,false,,,1856
268,,0,6491,6465,0,true,,0,2680,0,2.29,,,,false,,,1863
269,,0,6517,6491,0,true,,0,2690,0,2.295,,,,false,,,1869
270,,0,6543,6517,0,true,,0,2700,0,2.3,,,,false,,,1875
271,,0,6569,6543,0,true,,0,2710,0,2.305,,,,false,,,1881
272,,0,6596,6569,0,true,,0,2720,0,2.31,,,,false,,,1888
273,,0,6622,6596,0,true,,0,2730,0,2.315,,,,false,,,1894
274,,0,6649,6622,0,true,,0,2740,0,2.32,,,,false,,,1900
275,,0,6675,6649,0,true,,0,2750,0,2.325,,,,false,,,1906
276,,0,6702,6675,0,true,,0,2760,0,2.33,,,,false,,,1913
277,,0,6729,6702,0,true,,0,2770,0,2.335,,,,false,,,1919
278,,0,6756,6729,0,true,,0,2780,0,2.34,,,,false,,,1925
279,,0,6783,6756,0,true,,0,2790,0,2.345,,,,false,,,1931
280,,0,6810,6783,0,true,,0,2800,0,2.35,,,,false,,,1938
281,,0,6837,6810,0,true,,0,2810,0,2.355,,,,false,,,1944
282,,0,6864,6837,0,true,,0,2820,0,2.36,,,,false,,,1950
283,,0,6892,6864,0,true,,0,2830,0,2.365,,,,false,,,1956
284,,0,6919,6892,0,true,,0,2840,0,2.37,,,,false,,,1963
285,,0,6947,6919,0,true,,0,2850,0,2.375,,,,false,,,1969
286,,0,6975,6947,0,true,,0,2860,0,2.38,,,,false,,,1975
287,,0,7003,6975,0,true,,0,2870,0,2.385,,,,false,,,1981
288,,0,7031,7003,0,true,,0,2880,0,2.39,,,,false,,,1988
289,,0,7059,7031,0,true,,0,2890,0,2.395,,,,false,,,1994
290,,0,7087,7059,0,true,,0,2900,0,2.4,,,,false,,,2000
291,,0,7115,7087,0,true,,0,2910,0,2.405,,,,false,,,2006
292,,0,7144,7115,0,true,,0,2920,0,2.41,,,,false,,,2013
293,,0,7172,7144,0,true,,0,2930,0,2.415,,,,false,,,2019
294,,0,7201,7172,0,true,,0,2940,0,2.42,,,,false,,,2025
295,,0,7230,7201,0,true,,0,2950,0,2.425,,,,false,,,2031
296,,0,7259,7230,0,true,,0,2960,0,2.43,,,,false,,,2038
297,,0,7288,7259,0,true,,0,2970,0,2.435,,,,false,,,2044
298,,0,7317,7288,0,true,,0,2980,0,2.44,,,,false,,,2050
299,,0,7346,7317,0,true,,0,2990,0,2.445,,,,false,,,2056
300,,0,7376,7346,0,true,,0,3000,0,2.45,,,,false,Detect Orichalcum,,2063
301,,0,6000,7376,0,true,,0,3010,0,2.46,,,,false,,,2069
302,,0,6000,6000,0,true,,0,3020,0,2.47,,,,false,,,2075
303,,0,6000,6000,0,true,,0,3030,0,2.48,,,,false,,,2081
304,,0,6000,6000,0,true,,0,3040,0,2.49,,,,false,,,2088
305,,0,6000,6000,0,true,,0,3050,0,2.5,,,,false,,,2094
306,,0,6000,6000,0,true,,0,3060,0,2.51,,,,false,,,2100
307,,0,6000,6000,0,true,,0,3070,0,2.52,,,,false,,,2106
308,,0,6000,6000,0,true,,0,3080,0,2.53,,,,false,,,2113
309,,0,6000,6000,0,true,,0,3090,0,2.54,,,,false,,,2119
310,,0,6000,6000,0,true,,0,3100,0,2.55,,,,false,,,2125
311,,0,6000,6000,0,true,,0,3110,0,2.56,,,,false,,,2131
312,,0,6000,6000,0,true,,0,3120,0,2.57,,,,false,,,2138
313,,0,6000,6000,0,true,,0,3130,0,2.58,,,,false,,,2144
314,,0,6000,6000,0,true,,0,3140,0,2.59,,,,false,,,2150
315,,0,6000,6000,0,true,,0,3150,0,2.6,,,,false,,,2156
316,,0,6000,6000,0,true,,0,3160,0,2.61,,,,false,,,2163
317,,0,6000,6000,0,true,,0,3170,0,2.62,,,,false,,,2169
318,,0,6000,6000,0,true,,0,3180,0,2.63,,,,false,,,2175
319,,0,6000,6000,0,true,,0,3190,0,2.64,,,,false,,,2181
320,,0,6000,6000,0,true,,0,3200,0,2.65,,,,false,,,2188
321,,0,6000,6000,0,true,,0,3210,0,2.66,,,,false,,,2194
322,,0,6000,6000,0,true,,0,3220,0,2.67,,,,false,,,2200
323,,0,6000,6000,0,true,,0,3230,0,2.68,,,,false,,,2206
324,,0,6000,6000,0,true,,0,3240,0,2.69,,,,false,,,2213
325,,0,6000,6000,0,true,,0,3250,0,2.7,,,,false,,,2219
326,,0,6000,6000,0,true,,0,3260,0,2.71,,,,false,,,2225
327,,0,6000,6000,0,true,,0,3270,0,2.72,,,,false,,,2231
328,,0,6000,6000,0,true,,0,3280,0,2.73,,,,false,,,2238
329,,0,6000,6000,0,true,,0,3290,0,2.74,,,,false,,,2244
330,,0,6000,6000,0,true,,0,3300,0,2.75,,,,false,,,2250
331,,0,6000,6000,0,true,,0,3310,0,2.76,,,,false,,,2256
332,,0,6000,6000,0,true,,0,3320,0,2.77,,,,false,,,2263
333,,0,6000,6000,0,true,,0,3330,0,2.78,,,,false,,,2269
334,,0,6000,6000,0,true,,0,3340,0,2.79,,,,false,,,2275
335,,0,6000,6000,0,true,,0,3350,0,2.8,,,,false,,,2281
336,,0,6000,6000,0,true,,0,3360,0,2.81,,,,false,,,2288
337,,0,6000,6000,0,true,,0,3370,0,2.82,,,,false,,,2294
338,,0,6000,6000,0,true,,0,3380,0,2.83,,,,false,,,2300
339,,0,6000,6000,0,true,,0,3390,0,2.84,,,,false,,,2306
340,,0,6000,6000,0,true,,0,3400,0,2.85,,,,false,,,2313
341,,0,6000,6000,0,true,,0,3410,0,2.86,,,,false,,,2319
342,,0,6000,6000,0,true,,0,3420,0,2.87,,,,false,,,2325
343,,0,6000,6000,0,true,,0,3430,0,2.88,,,,false,,,2331
344,,0,6000,6000,0,true,,0,3440,0,2.89,,,,false,,,2338
345,,0,6000,6000,0,true,,0,3450,0,2.9,,,,false,,,2344
346,,0,6000,6000,0,true,,0,3460,0,2.91,,,,false,,,2350
347,,0,6000,6000,0,true,,0,3470,0,2.92,,,,false,,,2356
348,,0,6000,6000,0,true,,0,3480,0,2.93,,,,false,,,2363
349,,0,6000,6000,0,true,,0,3490,0,2.94,,,,false,,,2369
350,,0,6000,6000,0,true,,0,3500,0,2.95,,,,false,,,2375
351,,0,6000,6000,0,true,,0,3510,0,2.96,,,,false,,,2381
352,,0,6000,6000,0,true,,0,3520,0,2.97,,,,false,,,2388
353,,0,6000,6000,0,true,,0,3530,0,2.98,,,,false,,,2394
354,,0,6000,6000,0,true,,0,3540,0,2.99,,,,false,,,2400
355,,0,6000,6000,0,true,,0,3550,0,3,,,,false,,,2406
356,,0,6000,6000,0,true,,0,3560,0,3.01,,,,false,,,2413
357,,0,6000,6000,0,true,,0,3570,0,3.02,,,,false,,,2419
358,,0,6000,6000,0,true,,0,3580,0,3.03,,,,false,,,2425
359,,0,6000,6000,0,true,,0,3590,0,3.04,,,,false,,,2431
360,,0,6000,6000,0,true,,0,3600,0,3.05,,,,false,,,2438
361,,0,6000,6000,0,true,,0,3610,0,3.06,,,,false,,,2444
362,,0,6000,6000,0,true,,0,3620,0,3.07,,,,false,,,2450
363,,0,6000,6000,0,true,,0,3630,0,3.08,,,,false,,,2456
364,,0,6000,6000,0,true,,0,3640,0,3.09,,,,false,,,2463
365,,0,6000,6000,0,true,,0,3650,0,3.1,,,,false,,,2469
