Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,RecipeLevel,RollBonus,GatheringMultiplier,GatheringEfficiency,IconTypeUnlock,ExpansionIdUnlock,IsMilestone,Tooltip,EntitlementId,XpReward
89,,0,1994,1947,0,true,,0,890,0,1.207,,,false,,,171
90,,0,2042,1994,0,true,,0,900,0,1.21,,,false,,,175
91,,0,2091,2042,0,true,,0,910,0,1.213,,,false,,,178
92,,0,2140,2091,0,true,,0,920,0,1.216,,,false,,,181
93,,0,2189,2140,0,true,,0,930,0,1.219,,,false,,,184
94,,0,2239,2189,0,true,,0,940,0,1.222,,,false,,,188
95,,0,2289,2239,0,true,,0,950,0,1.225,,,false,,,190
96,,0,2340,2289,0,true,,0,960,0,1.228,,,false,,,194
97,,0,2392,2340,0,true,,0,970,0,1.231,,,false,,,196
98,,0,2445,2392,0,true,,0,980,0,1.234,,,false,,,200
99,,0,2497,2445,0,true,,0,990,0,1.237,,,false,,,203
100,,0,2551,2497,0,true,,0,1000,0,1.24,,,false,,,206
101,,0,2930,2551,0,true,,0,1010,0,1.243,,,false,,,210
102,,0,2991,2930,0,true,,0,1020,0,1.246,,,false,,,214
103,,0,3052,2991,0,true,,0,1030,0,1.249,,,false,,,218
104,,0,3114,3052,0,true,,0,1040,0,1.252,,,false,,,221
105,,0,3176,3114,0,true,,0,1050,0,1.255,,,false,,,225
106,,0,3240,3176,0,true,,0,1060,0,1.258,,,false,,,229
107,,0,3303,3240,0,true,,0,1070,0,1.261,,,false,,,233
108,,0,3366,3303,0,true,,0,1080,0,1.264,,,false,,,236
109,,0,3430,3366,0,true,,0,1090,0,1.267,,,false,,,240
110,,0,3495,3430,0,true,,0,1100,0,1.27,,,false,,,244
111,,0,3560,3495,0,true,,0,1110,0,1.273,,,false,,,248
112,,0,3625,3560,0,true,,0,1120,0,1.276,,,false,,,251
113,,0,3691,3625,0,true,,0,1130,0,1.279,,,false,,,255
114,,0,3757,3691,0,true,,0,1140,0,1.282,,,false,,,259
115,,0,3824,3757,0,true,,0,1150,0,1.285,,,false,,,263
116,,0,3890,3824,0,true,,0,1160,0,1.288,,,false,,,266
117,,0,3957,3890,0,true,,0,1170,0,1.291,,,false,,,270
118,,0,4024,3957,0,true,,0,1180,0,1.294,,,false,,,274
119,,0,4092,4024,0,true,,0,1190,0,1.297,,,false,,,278
120,,0,4160,4092,0,true,,0,1200,0,1.3,,,false,,,281
121,,0,4228,4160,0,true,,0,1210,0,1.303,,,false,,,285
122,,0,4296,4228,0,true,,0,1220,0,1.306,,,false,,,289
123,,0,4364,4296,0,true,,0,1230,0,1.309,,,false,,,293
124,,0,4434,4364,0,true,,0,1240,0,1.312,,,false,,,296
125,@ui_wyrdwood,0,4503,4434,0,true,,0,1250,0,1.315,Wyrdwood,,false,,,300
126,,0,4572,4503,0,true,,0,1260,0,1.318,,,false,,,304
127,,0,4641,4572,0,true,,0,1270,0,1.321,,,false,,,309
128,,0,4711,4641,0,true,,0,1280,0,1.324,,,false,,,313
129,,0,4781,4711,0,true,,0,1290,0,1.327,,,false,,,318
130,,0,4851,4781,0,true,,0,1300,0,1.33,,,false,,,321
131,,0,4920,4851,0,true,,0,1310,0,1.333,,,false,,,326
132,,0,4989,4920,0,true,,0,1320,0,1.336,,,false,,,330
133,,0,5058,4989,0,true,,0,1330,0,1.339,,,false,,,335
134,,0,5127,5058,0,true,,0,1340,0,1.342,,,false,,,339
135,,0,5196,5127,0,true,,0,1350,0,1.345,,,false,,,344
136,,0,5265,5196,0,true,,0,1360,0,1.348,,,false,,,348
137,,0,5335,5265,0,true,,0,1370,0,1.351,,,false,,,353
138,,0,5403,5335,0,true,,0,1380,0,1.354,,,false,,,356
139,,0,5472,5403,0,true,,0,1390,0,1.357,,,false,,,361
140,,0,5540,5472,0,true,,0,1400,0,1.36,,,false,,,365
141,,0,5608,5540,0,true,,0,1410,0,1.363,,,false,,,370
142,,0,5676,5608,0,true,,0,1420,0,1.366,,,false,,,374
143,,0,5744,5676,0,true,,0,1430,0,1.369,,,false,,,379
144,,0,5811,5744,0,true,,0,1440,0,1.372,,,false,,,383
145,,0,5879,5811,0,true,,0,1450,0,1.375,,,false,,,388
146,,0,5946,5879,0,true,,0,1460,0,1.378,,,false,,,391
147,,0,6012,5946,0,true,,0,1470,0,1.381,,,false,,,396
148,,0,6080,6012,0,true,,0,1480,0,1.384,,,false,,,400
149,,0,6146,6080,0,true,,0,1490,0,1.387,,,false,,,405
150,,0,6557,6146,0,true,,0,1500,0,1.39,,,false,,,409
151,,0,6627,6557,0,true,,0,1510,0,1.393,,,false,,,414
152,,0,6696,6627,0,true,,0,1520,0,1.396,,,false,,,418
153,,0,6764,6696,0,true,,0,1530,0,1.399,,,false,,,423
154,,0,6832,6764,0,true,,0,1540,0,1.402,,,false,,,426
155,,0,6901,6832,0,true,,0,1550,0,1.405,,,false,,,431
156,,0,6968,6901,0,true,,0,1560,0,1.408,,,false,,,435
157,,0,7036,6968,0,true,,0,1570,0,1.411,,,false,,,440
158,,0,7103,7036,0,true,,0,1580,0,1.414,,,false,,,444
159,,0,7170,7103,0,true,,0,1590,0,1.417,,,false,,,449
160,,0,7236,7170,0,true,,0,1600,0,1.42,,,false,,,453
161,,0,7302,7236,0,true,,0,1610,0,1.423,,,false,,,458
162,,0,7368,7302,0,true,,0,1620,0,1.426,,,false,,,463
163,,0,7433,7368,0,true,,0,1630,0,1.429,,,false,,,468
164,,0,7497,7433,0,true,,0,1640,0,1.432,,,false,,,473
165,,0,7562,7497,0,true,,0,1650,0,1.435,,,false,,,478
166,,0,7626,7562,0,true,,0,1660,0,1.438,,,false,,,483
167,,0,7689,7626,0,true,,0,1670,0,1.441,,,false,,,488
168,,0,7752,7689,0,true,,0,1680,0,1.444,,,false,,,493
169,,0,7814,7752,0,true,,0,1690,0,1.447,,,false,,,498
170,,0,7876,7814,0,true,,0,1700,0,1.45,,,false,,,503
171,,0,7938,7876,0,true,,0,1710,0,1.453,,,false,,,508
172,,0,8000,7938,0,true,,0,1720,0,1.456,,,false,,,513
173,,0,8060,8000,0,true,,0,1730,0,1.459,,,false,,,518
174,,0,8120,8060,0,true,,0,1740,0,1.462,,,false,,,523
175,,0,8180,8120,0,true,,0,1750,0,1.465,,,false,,,528
176,,0,8240,8180,0,true,,0,1760,0,1.468,,,false,,,534
177,,0,8299,8240,0,true,,0,1770,0,1.471,,,false,,,539
178,,0,8356,8299,0,true,,0,1780,0,1.474,,,false,,,545
179,,0,8413,8356,0,true,,0,1790,0,1.477,,,false,,,550
180,,0,8469,8413,0,true,,0,1800,0,1.48,,,false,,,556
181,,0,8526,8469,0,true,,0,1810,0,1.483,,,false,,,561
182,,0,8581,8526,0,true,,0,1820,0,1.486,,,false,,,568
183,,0,8636,8581,0,true,,0,1830,0,1.489,,,false,,,573
184,,0,8690,8636,0,true,,0,1840,0,1.492,,,false,,,579
185,,0,8743,8690,0,true,,0,1850,0,1.495,,,false,,,584
186,,0,8796,8743,0,true,,0,1860,0,1.498,,,false,,,590
187,,0,8848,8796,0,true,,0,1870,0,1.501,,,false,,,595
188,,0,8900,8848,0,true,,0,1880,0,1.504,,,false,,,601
189,,0,8952,8900,0,true,,0,1890,0,1.507,,,false,,,606
190,,0,9001,8952,0,true,,0,1900,0,1.51,,,false,,,613
191,,0,9052,9001,0,true,,0,1910,0,1.513,,,false,,,619
192,,0,9101,9052,0,true,,0,1920,0,1.516,,,false,,,625
193,,0,9150,9101,0,true,,0,1930,0,1.519,,,false,,,631
194,,0,9197,9150,0,true,,0,1940,0,1.522,,,false,,,638
195,,0,9244,9197,0,true,,0,1950,0,1.525,,,false,,,644
196,,0,9292,9244,0,true,,0,1960,0,1.528,,,false,,,650
197,,0,9338,9292,0,true,,0,1970,0,1.531,,,false,,,656
198,,0,9384,9338,0,true,,0,1980,0,1.534,,,false,,,663
199,,0,9428,9384,0,true,,0,1990,0,1.537,,,false,,,669
200,@ui_ironwood,0,9473,9428,0,true,,0,2000,0,1.54,Ironwood,,false,Chop Wyrdwood,,675
201,,0,9520,9473,0,true,,0,2010,0,1.955,,,false,,,723
202,,0,9568,9520,0,true,,0,2020,0,1.96,,,false,,,725
203,,0,9616,9568,0,true,,0,2030,0,1.965,,,false,,,729
204,,0,9664,9616,0,true,,0,2040,0,1.97,,,false,,,731
205,,0,9712,9664,0,true,,0,2050,0,1.975,,,false,,,735
206,,0,9761,9712,0,true,,0,2060,0,1.98,,,false,,,738
207,,0,9810,9761,0,true,,0,2070,0,1.985,,,false,,,741
208,,0,9859,9810,0,true,,0,2080,0,1.99,,,false,,,744
209,,0,9908,9859,0,true,,0,2090,0,1.995,,,false,,,748
210,,0,9957,9908,0,true,,0,2100,0,2,,,false,,,750
211,,0,10007,9957,0,true,,0,2110,0,2.005,,,false,,,754
212,,0,10057,10007,0,true,,0,2120,0,2.01,,,false,,,756
213,,0,10108,10057,0,true,,0,2130,0,2.015,,,false,,,760
214,,0,10158,10108,0,true,,0,2140,0,2.02,,,false,,,763
215,,0,10209,10158,0,true,,0,2150,0,2.025,,,false,,,766
216,,0,10260,10209,0,true,,0,2160,0,2.03,,,false,,,769
217,,0,10311,10260,0,true,,0,2170,0,2.035,,,false,,,773
218,,0,10363,10311,0,true,,0,2180,0,2.04,,,false,,,775
219,,0,10415,10363,0,true,,0,2190,0,2.045,,,false,,,779
220,,0,10467,10415,0,true,,0,2200,0,2.05,,,false,,,781
221,,0,10519,10467,0,true,,0,2210,0,2.055,,,false,,,785
222,,0,10572,10519,0,true,,0,2220,0,2.06,,,false,,,788
223,,0,10624,10572,0,true,,0,2230,0,2.065,,,false,,,791
224,,0,10678,10624,0,true,,0,2240,0,2.07,,,false,,,794
225,,0,10731,10678,0,true,,0,2250,0,2.075,,,false,Detect Wyrdwood,,798
226,,0,10785,10731,0,true,,0,2260,0,2.08,,,false,,,800
227,,0,10839,10785,0,true,,0,2270,0,2.085,,,false,,,804
228,,0,10893,10839,0,true,,0,2280,0,2.09,,,false,,,806
229,,0,10947,10893,0,true,,0,2290,0,2.095,,,false,,,810
230,,0,11002,10947,0,true,,0,2300,0,2.1,,,false,,,813
231,,0,11057,11002,0,true,,0,2310,0,2.105,,,false,,,816
232,,0,11112,11057,0,true,,0,2320,0,2.11,,,false,,,819
233,,0,11168,11112,0,true,,0,2330,0,2.115,,,false,,,823
234,,0,11224,11168,0,true,,0,2340,0,2.12,,,false,,,825
235,@ui_mycodendra,0,11280,11224,0,true,,0,2350,0,2.125,Mycodendra,,false,,,829
236,,0,11336,11280,0,true,,0,2360,0,2.13,,,false,,,831
237,,0,11393,11336,0,true,,0,2370,0,2.135,,,false,,,835
238,,0,11450,11393,0,true,,0,2380,0,2.14,,,false,,,838
239,,0,11507,11450,0,true,,0,2390,0,2.145,,,false,,,841
240,,0,11565,11507,0,true,,0,2400,0,2.15,,,false,,,844
241,,0,11622,11565,0,true,,0,2410,0,2.155,,,false,,,848
242,,0,11681,11622,0,true,,0,2420,0,2.16,,,false,,,850
243,,0,11739,11681,0,true,,0,2430,0,2.165,,,false,,,854
244,,0,11798,11739,0,true,,0,2440,0,2.17,,,false,,,856
245,,0,11857,11798,0,true,,0,2450,0,2.175,,,false,,,860
246,,0,11916,11857,0,true,,0,2460,0,2.18,,,false,,,863
247,,0,11975,11916,0,true,,0,2470,0,2.185,,,false,,,866
248,,0,12035,11975,0,true,,0,2480,0,2.19,,,false,,,869
249,,0,12096,12035,0,true,,0,2490,0,2.195,,,false,,,873
250,@ui_runewood,0,12156,12096,0,true,,0,2500,0,2.2,Runewood,,false,Chop Ironwood,,875
251,,0,12217,12156,0,true,,0,2510,0,2.205,,,false,,,879
252,,0,12278,12217,0,true,,0,2520,0,2.21,,,false,,,881
253,,0,12339,12278,0,true,,0,2530,0,2.215,,,false,,,885
254,,0,12401,12339,0,true,,0,2540,0,2.22,,,false,,,888
255,,0,12463,12401,0,true,,0,2550,0,2.225,,,false,,,891
256,,0,12525,12463,0,true,,0,2560,0,2.23,,,false,,,894
257,,0,12588,12525,0,true,,0,2570,0,2.235,,,false,,,898
258,,0,12651,12588,0,true,,0,2580,0,2.24,,,false,,,900
259,,0,12714,12651,0,true,,0,2590,0,2.245,,,false,,,904
260,,0,12778,12714,0,true,,0,2600,0,2.25,,,false,,,906
261,,0,12842,12778,0,true,,0,2610,0,2.255,,,false,,,910
262,,0,12906,12842,0,true,,0,2620,0,2.26,,,false,,,913
263,,0,12970,12906,0,true,,0,2630,0,2.265,,,false,,,916
264,,0,13035,12970,0,true,,0,2640,0,2.27,,,false,,,919
265,,0,13100,13035,0,true,,0,2650,0,2.275,,,false,,,923
266,,0,13166,13100,0,true,,0,2660,0,2.28,,,false,,,925
267,,0,13232,13166,0,true,,0,2670,0,2.285,,,false,,,929
268,,0,13298,13232,0,true,,0,2680,0,2.29,,,false,,,931
269,,0,13364,13298,0,true,,0,2690,0,2.295,,,false,,,935
270,,0,13431,13364,0,true,,0,2700,0,2.3,,,false,,,938
271,,0,13498,13431,0,true,,0,2710,0,2.305,,,false,,,941
272,,0,13566,13498,0,true,,0,2720,0,2.31,,,false,,,944
273,,0,13634,13566,0,true,,0,2730,0,2.315,,,false,,,948
274,,0,13702,13634,0,true,,0,2740,0,2.32,,,false,,,950
275,,0,13770,13702,0,true,,0,2750,0,2.325,,,false,,,954
276,,0,13839,13770,0,true,,0,2760,0,2.33,,,false,,,956
277,,0,13908,13839,0,true,,0,2770,0,2.335,,,false,,,960
278,,0,13978,13908,0,true,,0,2780,0,2.34,,,false,,,963
279,,0,14048,13978,0,true,,0,2790,0,2.345,,,false,,,966
280,,0,14118,14048,0,true,,0,2800,0,2.35,,,false,,,969
281,,0,14189,14118,0,true,,0,2810,0,2.355,,,false,,,973
282,,0,14260,14189,0,true,,0,2820,0,2.36,,,false,,,975
283,,0,14331,14260,0,true,,0,2830,0,2.365,,,false,,,979
284,,0,14402,14331,0,true,,0,2840,0,2.37,,,false,,,981
285,,0,14474,14402,0,true,,0,2850,0,2.375,,,false,,,985
286,,0,14547,14474,0,true,,0,2860,0,2.38,,,false,,,988
287,,0,14620,14547,0,true,,0,2870,0,2.385,,,false,,,991
288,,0,14693,14620,0,true,,0,2880,0,2.39,,,false,,,994
289,,0,14766,14693,0,true,,0,2890,0,2.395,,,false,,,998
290,,0,14840,14766,0,true,,0,2900,0,2.4,,,false,,,1000
291,,0,14914,14840,0,true,,0,2910,0,2.405,,,false,,,1004
292,,0,14989,14914,0,true,,0,2920,0,2.41,,,false,,,1006
293,,0,15064,14989,0,true,,0,2930,0,2.415,,,false,,,1010
294,,0,15139,15064,0,true,,0,2940,0,2.42,,,false,,,1013
295,,0,15215,15139,0,true,,0,2950,0,2.425,,,false,,,1016
296,,0,15291,15215,0,true,,0,2960,0,2.43,,,false,,,1019
297,,0,15367,15291,0,true,,0,2970,0,2.435,,,false,,,1023
298,,0,15444,15367,0,true,,0,2980,0,2.44,,,false,,,1025
299,,0,15521,15444,0,true,,0,2990,0,2.445,,,false,,,1029
300,,0,15599,15521,0,true,,0,3000,0,2.45,,,false,Detect Ironwood,,1031
301,,0,6750,15599,0,true,,0,3010,0,2.46,,,false,,,1035
302,,0,6750,6750,0,true,,0,3020,0,2.47,,,false,,,1038
303,,0,6750,6750,0,true,,0,3030,0,2.48,,,false,,,1041
304,,0,6750,6750,0,true,,0,3040,0,2.49,,,false,,,1044
305,,0,6750,6750,0,true,,0,3050,0,2.5,,,false,,,1048
306,,0,6750,6750,0,true,,0,3060,0,2.51,,,false,,,1050
307,,0,6750,6750,0,true,,0,3070,0,2.52,,,false,,,1054
308,,0,6750,6750,0,true,,0,3080,0,2.53,,,false,,,1056
309,,0,6750,6750,0,true,,0,3090,0,2.54,,,false,,,1060
310,,0,6750,6750,0,true,,0,3100,0,2.55,,,false,,,1063
311,,0,6750,6750,0,true,,0,3110,0,2.56,,,false,,,1066
312,,0,6750,6750,0,true,,0,3120,0,2.57,,,false,,,1069
313,,0,6750,6750,0,true,,0,3130,0,2.58,,,false,,,1073
314,,0,6750,6750,0,true,,0,3140,0,2.59,,,false,,,1075
315,,0,6750,6750,0,true,,0,3150,0,2.6,,,false,,,1079
316,,0,6750,6750,0,true,,0,3160,0,2.61,,,false,,,1081
317,,0,6750,6750,0,true,,0,3170,0,2.62,,,false,,,1085
318,,0,6750,6750,0,true,,0,3180,0,2.63,,,false,,,1088
319,,0,6750,6750,0,true,,0,3190,0,2.64,,,false,,,1091
320,,0,6750,6750,0,true,,0,3200,0,2.65,,,false,,,1094
321,,0,6750,6750,0,true,,0,3210,0,2.66,,,false,,,1098
322,,0,6750,6750,0,true,,0,3220,0,2.67,,,false,,,1100
323,,0,6750,6750,0,true,,0,3230,0,2.68,,,false,,,1104
324,,0,6750,6750,0,true,,0,3240,0,2.69,,,false,,,1106
325,,0,6750,6750,0,true,,0,3250,0,2.7,,,false,,,1110
326,,0,6750,6750,0,true,,0,3260,0,2.71,,,false,,,1113
327,,0,6750,6750,0,true,,0,3270,0,2.72,,,false,,,1116
328,,0,6750,6750,0,true,,0,3280,0,2.73,,,false,,,1119
329,,0,6750,6750,0,true,,0,3290,0,2.74,,,false,,,1123
330,,0,6750,6750,0,true,,0,3300,0,2.75,,,false,,,1125
331,,0,6750,6750,0,true,,0,3310,0,2.76,,,false,,,1129
332,,0,6750,6750,0,true,,0,3320,0,2.77,,,false,,,1131
333,,0,6750,6750,0,true,,0,3330,0,2.78,,,false,,,1135
334,,0,6750,6750,0,true,,0,3340,0,2.79,,,false,,,1138
335,,0,6750,6750,0,true,,0,3350,0,2.8,,,false,,,1141
336,,0,6750,6750,0,true,,0,3360,0,2.81,,,false,,,1144
337,,0,6750,6750,0,true,,0,3370,0,2.82,,,false,,,1148
338,,0,6750,6750,0,true,,0,3380,0,2.83,,,false,,,1150
339,,0,6750,6750,0,true,,0,3390,0,2.84,,,false,,,1154
340,,0,6750,6750,0,true,,0,3400,0,2.85,,,false,,,1156
341,,0,6750,6750,0,true,,0,3410,0,2.86,,,false,,,1160
342,,0,6750,6750,0,true,,0,3420,0,2.87,,,false,,,1163
343,,0,6750,6750,0,true,,0,3430,0,2.88,,,false,,,1166
344,,0,6750,6750,0,true,,0,3440,0,2.89,,,false,,,1169
345,,0,6750,6750,0,true,,0,3450,0,2.9,,,false,,,1173
346,,0,6750,6750,0,true,,0,3460,0,2.91,,,false,,,1175
347,,0,6750,6750,0,true,,0,3470,0,2.92,,,false,,,1179
348,,0,6750,6750,0,true,,0,3480,0,2.93,,,false,,,1181
349,,0,6750,6750,0,true,,0,3490,0,2.94,,,false,,,1185
350,,0,6750,6750,0,true,,0,3500,0,2.95,,,false,,,1188
351,,0,6750,6750,0,true,,0,3510,0,2.96,,,false,,,1191
352,,0,6750,6750,0,true,,0,3520,0,2.97,,,false,,,1194
353,,0,6750,6750,0,true,,0,3530,0,2.98,,,false,,,1198
354,,0,6750,6750,0,true,,0,3540,0,2.99,,,false,,,1200
355,,0,6750,6750,0,true,,0,3550,0,3,,,false,,,1204
356,,0,6750,6750,0,true,,0,3560,0,3.01,,,false,,,1206
357,,0,6750,6750,0,true,,0,3570,0,3.02,,,false,,,1210
358,,0,6750,6750,0,true,,0,3580,0,3.03,,,false,,,1213
359,,0,6750,6750,0,true,,0,3590,0,3.04,,,false,,,1216
360,,0,6750,6750,0,true,,0,3600,0,3.05,,,false,,,1219
361,,0,6750,6750,0,true,,0,3610,0,3.06,,,false,,,1223
362,,0,6750,6750,0,true,,0,3620,0,3.07,,,false,,,1225
363,,0,6750,6750,0,true,,0,3630,0,3.08,,,false,,,1229
364,,0,6750,6750,0,true,,0,3640,0,3.09,,,false,,,1231
365,,0,6750,6750,0,true,,0,3650,0,3.1,,,false,,,1235
366,,0,6750,6750,0,true,,0,3660,0,3.11,,,false,,,1238
367,,0,6750,6750,0,true,,0,3670,0,3.12,,,false,,,1241
368,,0,6750,6750,0,true,,0,3680,0,3.13,,,false,,,1244
369,,0,6750,6750,0,true,,0,3690,0,3.14,,,false,,,1248
370,,0,6750,6750,0,true,,0,3700,0,3.15,,,false,,,1250
371,,0,6750,6750,0,true,,0,3710,0,3.16,,,false,,,1254
372,,0,6750,6750,0,true,,0,3720,0,3.17,,,false,,,1256
373,,0,6750,6750,0,true,,0,3730,0,3.18,,,false,,,1260
374,,0,6750,6750,0,true,,0,3740,0,3.19,,,false,,,1263
375,,0,6750,6750,0,true,,0,3750,0,3.2,,,false,,,1266
376,,0,6750,6750,0,true,,0,3760,0,3.21,,,false,,,1269
377,,0,6750,6750,0,true,,0,3770,0,3.22,,,false,,,1273
378,,0,6750,6750,0,true,,0,3780,0,3.23,,,false,,,1275
379,,0,6750,6750,0,true,,0,3790,0,3.24,,,false,,,1279
380,,0,6750,6750,0,true,,0,3800,0,3.25,,,false,,,1281
381,,0,6750,6750,0,true,,0,3810,0,3.26,,,false,,,1285
382,,0,6750,6750,0,true,,0,3820,0,3.27,,,false,,,1288
383,,0,6750,6750,0,true,,0,3830,0,3.28,,,false,,,1291
384,,0,6750,6750,0,true,,0,3840,0,3.29,,,false,,,1294
385,,0,6750,6750,0,true,,0,3850,0,3.3,,,false,,,1298
386,,0,6750,6750,0,true,,0,3860,0,3.31,,,false,,,1300
387,,0,6750,6750,0,true,,0,3870,0,3.32,,,false,,,1304
388,,0,6750,6750,0,true,,0,3880,0,3.33,,,false,,,1306
389,,0,6750,6750,0,true,,0,3890,0,3.34,,,false,,,1310
390,,0,6750,6750,0,true,,0,3900,0,3.35,,,false,,,1313
391,,0,6750,6750,0,true,,0,3910,0,3.36,,,false,,,1316
392,,0,6750,6750,0,true,,0,3920,0,3.37,,,false,,,1319
