EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNote,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
98_M_0001_RankUp_success,,25,Quest+,1540,9625,,Tokens,,,,0,,100,,,true,20,1
98_M_01_combatprowess_success,,25,Quest+,1540,9625,,,,,,0,,,,,true,20,1
98_M_0102_RankUp_success,,40,Quest+,2380,12250,,Tokens,,,,0,,150,,,true,20,1
98_M_01b_fenravager_success,,40,Quest+,2380,12250,,,,,,0,,,,,true,20,1
98_M_0203_RankUp_success,,50,Quest+,2890,14000,,Tokens,,,,0,,225,,,true,20,1
98_M_02_ultimatewarrior_success,,50,Quest+,2890,14000,,,,,,0,,,,,true,20,1
98_M_0304_RankUp_success,,60,Quest+,3750,15750,,Tokens,,,,0,,300,,,true,30,1
98_M_03_darkvengeance_success,,60,Quest+,3750,15750,,,,,,0,,,,,true,30,1
98_S_0001_RankUp_success,,25,Quest+,1540,9625,,Tokens,,,,0,,100,,,true,20,1
98_S_01_theexperiment_success,,25,Quest+,1540,9625,,,,,,0,,,,,true,20,1
98_S_0102_RankUp_success,,40,Quest+,2380,12250,,Tokens,,,,0,,150,,,true,20,1
98_S_01b_fenscholar_success,,40,Quest+,2380,12250,,,,,,0,,,,,true,20,1
98_S_0203_RankUp_success,,50,Quest+,2890,14000,,Tokens,,,,0,,225,,,true,20,1
98_S_02_necromanticchemistry_success,,50,Quest+,2890,14000,,,,,,0,,,,,true,20,1
98_S_0304_RankUp_success,,60,Quest+,3750,15750,,Tokens,,,,0,,300,,,true,30,1
98_S_03_lostnotlost_success,,60,Quest+,3750,15750,,,,,,0,,,,,true,30,1
98_C_0001_RankUp_success,,25,Quest+,1540,9625,,Tokens,,,,0,,100,,,true,20,1
98_C_01_theapostate_success,,25,Quest+,1540,9625,,,,,,0,,,,,true,20,1
98_C_0102_RankUp_success,,40,Quest+,2380,12250,,Tokens,,,,0,,150,,,true,20,1
98_C_01b_fenredemption_success,,40,Quest+,2380,12250,,,,,,0,,,,,true,20,1
98_C_0203_RankUp_success,,50,Quest+,2890,14000,,Tokens,,,,0,,225,,,true,20,1
98_C_02_soulsalvation_success,,50,Quest+,2890,14000,,,,,,0,,,,,true,20,1
98_C_0304_RankUp_success,,60,Quest+,3750,15750,,Tokens,,,,0,,300,,,true,30,1
98_C_03_thepathtodarkness_success,,60,Quest+,3750,15750,,,,,,0,,,,,true,30,1
0201_DirtPile_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
0202_BoneDirtPile_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
0203_MossPuffball_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberA_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberA_01_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberA_02_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberA_03_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberA_04_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberA_05_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberA_06_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9801_PKTraceAbsorberB_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
9802_DryadTerminusPool_interact,,0,Quest-,0,0,,,,,,,,,,,true,0,0
0231_WolcottsEaselA_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselB_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselC_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselD_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselE_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselF_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselG_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselH_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
0231_WolcottsEaselI_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0
