EventID,GameEventType,Level,CreatureType,UniversalExpAmount,XpOfCurrentLevel,UseRestedExp,CurrencyReward,CoinRewardChance,ItemReward,ItemRewardQty,GearScoreRange,LootTags,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,AzothSalt,AzothSaltChance,PvpXp,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,EntitlementId,AchievementId,StatusEffectId,RemoveStatusEffects,RemoveStatusEffectCategories,LootLimitId,LootLimitReachedGameEventId,LootLimitReachedGameEventKeepOverrides,LeaderboardValue,SeasonsXp,ScheduleId,ScheduledGameEventId
BuidingContribute1,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuidingContribute2,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuidingContribute3,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuidingContribute4,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BuidingContribute5,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
MakeCamp,,,,0,,,,,[LTID]SE_Music_Camp_Loot,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
BindCamp,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kill_Player,,,,0,,,,,,,,,,,0,,,,,,,,true,,,,,,,,,,,,,,
KillStructure,,,,0,,,,,,,,,,,0,,,,,,,,true,,,,,,,,,,,,,,
Kill_Structure,,,,0,,,,,,,,,,,0,,,,,,,,true,,,,,,,,,,,,,,
WeaponHit1,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
WeaponHit2,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
WeaponHit3,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
WeaponHit4,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
WeaponHit5,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
DamageEnemyUnarmed,,,,0,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
PlayerKill,PvPKill,,,1,,1,0,,,,,,,,0,1,1,,,,,,true,,,,,,,,,,,,,,
KillEvent,,,,1,,1,0,0.05,,,,,,,0,,,,,,,,true,0,0.07,,,,,,,,,,,,
BaseObjective,,,,1,,1,1,,,,,,,,1,,,,,,,,true,1,,,,,,,,,,,,,
ObjectivePOI,,,,1,,1,1,,,,,,,,1,,,,,,,,true,0,,,,,,,,,,,,,
CategoricalProgressionRankUp,,,,1,,1,0,,,,,,,,0,,,,,,,,true,0,,,,,,,,,,,,,
KillFTUE_Sailor_T1_2,,1,Solo,0,,1,0,,,,,,SwordAbilityTable,50,0,,,,,,,,true,0,,,,,,,,,,,,,
FTW_KillSmall,,,,30,,,,,,,,,,,25,,,,,,,,true,,,,,,,,,,,,,,
FTW_KillMedium,,,,60,,,,,,,,,,,50,,,,,,,,true,,,,,,,,,,,,,,
FTW_KillLarge,,,,120,,,,,,,,,,,100,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Procurer_T1,,15,Quest+,640,,,7875,,,,,,,,1500,100,100,,,,,Missions,true,50,,,,,,,,,,,,,
Mission_Failure_Procurer_T1,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Bounty_T1,,15,Quest+,640,,,7875,,,,,,,,1500,100,100,,,,,Missions,true,50,,,,,,,,,,,,,
Mission_Failure_Bounty_T1,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Merchant_T1,,15,Quest+,640,,,7875,,,,,,,,1500,100,100,,,,,Missions,true,50,,,,,,,,,,,,,
Mission_Failure_Merchant_T1,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Procurer_T2,,25,Quest+,1430,,,9625,,,,,,,,1500,150,150,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Procurer_T2,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Bounty_T2,,25,Quest+,1430,,,9625,,,,,,,,1500,150,150,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Bounty_T2,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Merchant_T2,,25,Quest+,1430,,,9625,,,,,,,,1500,150,150,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Merchant_T2,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Procurer_T3,,35,Quest+,1980,,,11375,,,,,,,,1500,200,200,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Procurer_T3,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Bounty_T3,,35,Quest+,1980,,,11375,,,,,,,,1500,200,200,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Bounty_T3,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Merchant_T3,,35,Quest+,1980,,,11375,,,,,,,,1500,200,200,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Merchant_T3,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Procurer_T4,,45,Quest+,2790,,,13125,,,,,,,,1500,300,300,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Procurer_T4,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Bounty_T4,,45,Quest+,2790,,,13125,,,,,,,,1500,300,300,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Bounty_T4,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Merchant_T4,,45,Quest+,2790,,,13125,,,,,,,,1500,300,300,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Merchant_T4,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Procurer_T5,,55,Quest+,3300,,,14875,,,,,,,,1500,400,400,,,,,Missions,true,100,1,,,,,,,,,,,,
Mission_Failure_Procurer_T5,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Bounty_T5,,55,Quest+,3300,,,14875,,,,,,,,1500,400,400,,,,,Missions,true,100,1,,,,,,,,,,,,
Mission_Failure_Bounty_T5,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Merchant_T5,,55,Quest+,3300,,,14875,,,,,,,,1500,400,400,,,,,Missions,true,100,1,,,,,,,,,,,,
Mission_Failure_Merchant_T5,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Explorer_T1,,15,Quest+,640,,,7875,,,,,,,,1500,100,100,,,,,Missions,true,50,,,,,,,,,,,,,
Mission_Failure_Explorer_T1,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Explorer_T2,,25,Quest+,1430,,,9625,,,,,,,,1500,150,150,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Explorer_T2,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Explorer_T3,,35,Quest+,1980,,,11375,,,,,,,,1500,200,200,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Explorer_T3,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Explorer_T4,,45,Quest+,2790,,,13125,,,,,,,,1500,300,300,,,,,Missions,true,50,1,,,,,,,,,,,,
Mission_Failure_Explorer_T4,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
Mission_Success_Explorer_T5,,55,Quest+,3300,,,14875,,,,,,,,1500,400,400,,,,,Missions,true,100,1,,,,,,,,,,,,
Mission_Failure_Explorer_T5,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
FactionMission_Success_R1_Sm,,15,Mission-,430,,,225,,,,,,,,125,40,40,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R1_Md,,15,Mission,660,,,675,,,,,,,,250,60,60,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R1_Lg,,15,Mission+,1060,,,1125,,,,,,,,375,100,100,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R2_Sm,,30,Mission-,1200,,,300,,,,,,,,125,60,60,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R2_Md,,30,Mission,1880,,,900,,,,,,,,250,90,90,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R2_Lg,,30,Mission+,3000,,,1500,,,,,,,,375,125,125,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R3_Sm,,35,Mission-,1320,,,325,,,,,,,,125,90,90,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R3_Md,,35,Mission,2060,,,975,,,,,,,,250,115,115,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R3_Lg,,35,Mission+,3300,,,1625,,,,,,,,375,150,150,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R4_Sm,,42,Mission-,1750,,,360,,,,,,,,125,115,115,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R4_Md,,42,Mission,2740,,,1080,,,,,,,,250,140,140,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R4_Lg,,42,Mission+,4380,,,1800,,,,,,,,375,175,175,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R5_Sm,,46,Mission-,1900,,,380,,,,,,,,125,200,200,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R5_Md,,46,Mission,2960,,,1140,,,,,,,,250,225,225,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R5_Lg,,46,Mission+,4730,,,1900,,,,,,,,375,250,250,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R6_Sm,,60,Mission-,2360,,,450,,,,,,,,125,200,200,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R6_Md,,60,Mission,3680,,,1350,,,,,,,,250,225,225,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Success_R6_Lg,,60,Mission+,5890,,,2250,,,,,,,,375,250,250,,,,,Missions,true,0,,,,,,,,,,,,,
FactionMission_Failure,,,,,,,,,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,
FactionV2_1,,1,Mission,50,,,464.99999999999994,,,,,,,,250,25,30,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_2,,2,Mission,90,,,480,,,,,,,,250,45,55,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_3,,3,Mission,130,,,495,,,,,,,,250,60,75,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_4,,4,Mission,160,,,509.99999999999994,,,,,,,,250,80,100,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_5,,5,Mission,220,,,525,,,,,,,,250,105,130,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_6,,6,Mission,270,,,540,,,,,,,,250,125,155,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_7,,7,Mission,310,,,555,,,,,,,,250,145,180,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_8,,8,Mission,350,,,570,,,,,,,,250,165,205,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_9,,9,Mission,390,,,585,,,,,,,,250,185,230,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_10,,10,Mission,430,,,600,,,,,,,,250,205,255,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_11,,11,Mission,470,,,615,,,,,,,,250,225,280,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_12,,12,Mission,510,,,630,,,,,,,,250,240,295,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_13,,13,Mission,550,,,645,,,,,,,,250,260,320,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_14,,14,Mission,580,,,660,,,,,,,,250,280,345,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_15,,15,Mission,660,,,675,,,,,,,,250,315,390,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_16,,16,Mission,750,,,690,,,,,,,,250,355,440,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_17,,17,Mission,840,,,705,,,,,,,,250,400,495,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_18,,18,Mission,930,,,719.99999999999989,,,,,,,,250,445,550,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_19,,19,Mission,1030,,,735,,,,,,,,250,490,605,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_20,,20,Mission,1130,,,750,,,,,,,,250,540,665,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_21,,21,Mission,1190,,,765,,,,,,,,250,565,700,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_22,,22,Mission,1240,,,780,,,,,,,,250,590,730,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_23,,23,Mission,1290,,,794.99999999999989,,,,,,,,250,615,760,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_24,,24,Mission,1340,,,810,,,,,,,,250,640,790,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_25,,25,Mission,1490,,,825,,,,,,,,250,710,875,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_26,,26,Mission,1550,,,840,,,,,,,,250,735,910,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_27,,27,Mission,1600,,,854.99999999999989,,,,,,,,250,760,940,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_28,,28,Mission,1650,,,869.99999999999989,,,,,,,,250,790,975,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_29,,29,Mission,1710,,,885,,,,,,,,250,815,1005,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_30,,30,Mission,1880,,,900,,,,,,,,250,895,1105,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_31,,31,Mission,1810,,,915,,,,,,,,250,865,1070,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_32,,32,Mission,1910,,,929.99999999999989,,,,,,,,250,905,1120,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_33,,33,Mission,1960,,,944.99999999999989,,,,,,,,250,930,1150,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_34,,34,Mission,2010,,,960,,,,,,,,250,955,1180,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_35,,35,Mission,2060,,,975,,,,,,,,250,980,1210,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_36,,36,Mission,2110,,,990,,,,,,,,250,1005,1240,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_37,,37,Mission,2170,,,1004.9999999999999,,,,,,,,250,1030,1270,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_38,,38,Mission,2220,,,1019.9999999999999,,,,,,,,250,1055,1305,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_39,,39,Mission,2270,,,1035,,,,,,,,250,1080,1335,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_40,,40,Mission,2630,,,1050,,,,,,,,250,1250,1545,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_41,,41,Mission,2680,,,1065,,,,,,,,250,1275,1575,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_42,,42,Mission,2740,,,1080,,,,,,,,250,1305,1610,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_43,,43,Mission,2790,,,1095,,,,,,,,250,1330,1645,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_44,,44,Mission,2850,,,1110,,,,,,,,250,1355,1675,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_45,,45,Mission,2900,,,1125,,,,,,,,250,1385,1710,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_46,,46,Mission,2960,,,1140,,,,,,,,250,1410,1740,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_47,,47,Mission,3010,,,1155,,,,,,,,250,1435,1770,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_48,,48,Mission,3070,,,1170,,,,,,,,250,1460,1805,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_49,,49,Mission,3120,,,1185,,,,,,,,250,1485,1835,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_50,,50,Mission,3170,,,1200,,,,,,,,250,1510,1865,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_51,,51,Mission,3230,,,1215,,,,,,,,250,1535,1895,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_52,,52,Mission,3280,,,1230,,,,,,,,250,1560,1925,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_53,,53,Mission,3330,,,1245,,,,,,,,250,1585,1955,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_54,,54,Mission,3380,,,1260,,,,,,,,250,1610,1990,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_55,,55,Mission,3430,,,1275,,,,,,,,250,1635,2020,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_56,,56,Mission,3480,,,1290,,,,,,,,250,1660,2050,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_57,,57,Mission,3530,,,1305,,,,,,,,250,1680,2075,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_58,,58,Mission,3580,,,1320,,,,,,,,250,1705,2105,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_59,,59,Mission,3630,,,1335,,,,,,,,250,1730,2135,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_60,,60,Mission,3680,,,1350,,,,,,,,250,1755,2165,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_61,,61,Mission,3730,,,1365,,,,,,,,250,1775,2190,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_62,,62,Mission,3780,,,1380,,,,,,,,250,1800,2225,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_63,,63,Mission,3830,,,1395,,,,,,,,250,1825,2255,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_64,,64,Mission,3880,,,1410,,,,,,,,250,1845,2280,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_65,,65,Mission,3920,,,1425,,,,,,,,250,1870,2310,,,,,Missions,true,0,,,,,,,,,,,,,
FactionV2_70,,70,Mission,3920,,,1500,,,,,,,,250,1870,2310,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_1,,1,Mission-,40,,,155,,,,,,,,125,25,25,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_2,,2,Mission-,60,,,160,,,,,,,,125,40,40,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_3,,3,Mission-,80,,,165,,,,,,,,125,55,60,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_4,,4,Mission-,110,,,170.00000000000003,,,,,,,,125,75,80,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_5,,5,Mission-,150,,,175,,,,,,,,125,100,105,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_6,,6,Mission-,170,,,180,,,,,,,,125,120,125,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_7,,7,Mission-,200,,,185,,,,,,,,125,135,145,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_8,,8,Mission-,220,,,190,,,,,,,,125,155,165,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_9,,9,Mission-,250,,,195.00000000000003,,,,,,,,125,170,180,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_10,,10,Mission-,280,,,200,,,,,,,,125,190,200,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_11,,11,Mission-,300,,,205.00000000000003,,,,,,,,125,205,215,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_12,,12,Mission-,330,,,210,,,,,,,,125,225,240,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_13,,13,Mission-,350,,,215,,,,,,,,125,240,255,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_14,,14,Mission-,380,,,220.00000000000003,,,,,,,,125,260,275,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_15,,15,Mission-,430,,,225,,,,,,,,125,295,310,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_16,,16,Mission-,480,,,230.00000000000003,,,,,,,,125,330,350,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_17,,17,Mission-,540,,,235,,,,,,,,125,370,390,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_18,,18,Mission-,600,,,240.00000000000003,,,,,,,,125,410,435,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_19,,19,Mission-,660,,,245.00000000000003,,,,,,,,125,455,480,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_20,,20,Mission-,730,,,250,,,,,,,,125,500,530,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_21,,21,Mission-,760,,,255.00000000000003,,,,,,,,125,525,555,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_22,,22,Mission-,790,,,260,,,,,,,,125,550,580,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_23,,23,Mission-,830,,,265.00000000000006,,,,,,,,125,570,605,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_24,,24,Mission-,860,,,270,,,,,,,,125,595,630,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_25,,25,Mission-,960,,,275,,,,,,,,125,660,700,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_26,,26,Mission-,990,,,280,,,,,,,,125,685,725,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_27,,27,Mission-,1030,,,285,,,,,,,,125,710,750,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_28,,28,Mission-,1060,,,290.00000000000006,,,,,,,,125,730,770,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_29,,29,Mission-,1090,,,295,,,,,,,,125,755,800,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_30,,30,Mission-,1200,,,300,,,,,,,,125,830,880,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_31,,31,Mission-,1160,,,305,,,,,,,,125,800,845,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_32,,32,Mission-,1220,,,310,,,,,,,,125,845,895,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_33,,33,Mission-,1260,,,315.00000000000006,,,,,,,,125,865,915,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_34,,34,Mission-,1290,,,320,,,,,,,,125,890,940,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_35,,35,Mission-,1320,,,325,,,,,,,,125,910,965,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_36,,36,Mission-,1360,,,330,,,,,,,,125,935,990,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_37,,37,Mission-,1390,,,335,,,,,,,,125,960,1015,,,,,Missions,true,0,,,,,,,,,,,,,
Faction-V2_38,,38,Mission-,1420,,,340.00000000000006,,,,,,,,125,980,1035,,,,,Missions,true,0,,,,,,,,,,,,,
