EventID,GameEventType,Level,CreatureType,RewardModifier,Reward Type,UniversalExpAmount,CurrencyReward,RewardsNotes,ItemReward,ItemRewardQty,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,AzothReward,AzothRewardChance,WhisperId,AchievementId,StatusEffectId,IgnoreEconomyTracker,EntitlementId,PVPXP,RemoveStatusEffectCategories,EmitTelemetry
C10A_Q6_Success,,65,Quest,Armor,,3770,11875,,,,,,,800,,,,,75,1,,C10A_Q6R,,,,,,true
10A_Q6_CitadelEvent_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
10A_Q6_CitadelEventComplete_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
C10A_M1_Success,,65,Quest,Armor,,3770,11875,,,,,,,700,,,,,75,1,,,,,,,,true
C10A_M2_Success,,65,Quest,Armor,,2520,11875,,,,,,,700,,,,,75,1,,,,,,,,true
C10A_M2_Chair_Interact,,0,Quest,,,,,,,,,,,,,,,,,0,,,,,,,,true
C10A_M3_Success,,65,Quest+,Armor,,3020,16625,,,,,,,700,,,,,100,1,,,,,,,,true
C10A_M4_Success,,65,Quest+,Armor,,4530,16625,,,,,,,700,,,,,100,1,,,,,,,,true
C10A_M4_Flowers1_Interact,,0,Quest,,,,,,,,,,,,,,,,,0,,,,,,,,true
C10A_M4_Flowers2_Interact,,0,Quest,,,,,,,,,,,,,,,,,0,,,,,,,,true
C10A_M4_Flowers3_Interact,,0,Quest,,,,,,,,,,,,,,,,,0,,,,,,,,true
C10A_M5_Success,,65,Quest+,Armor,,4530,16625,,,,,,,700,,,,,100,1,,,,,,,,true
C10A_M6_Success,,65,Quest+,Armor,,4530,16625,,,,,,,700,,,,,100,1,,,,,,,,true
C10A_M7_Success,,65,Quest+,Armor,,4530,16625,,,,,,,700,,,,,100,1,,C10A_M7R,,,,,,true
C10A_M7R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_Q1R_Success,,65,Quest,Armor,,3770,8400,,,,,,,450,,,,,75,1,,,,,,,,true
C10A_Q2R_Success,,65,Quest,Armor,,2520,8400,,,,,,,450,,,,,75,1,,,,,,,,true
C10A_Q3R_Success,,65,Quest,Armor,,2520,8400,,,,,,,450,,,,,75,1,,,,,,,,true
C10A_Q4R_Success,,65,Quest,Armor,,3770,8400,,,,,,,500,,,,,75,1,,,,,,,,true
C10A_Q5R_Success,,65,Quest,Armor,,3770,8400,,,,,,,500,,,,,75,1,,,,,,,,true
C10A_Q6R_Success,,65,Quest,Armor,,3770,8400,,,,,,,500,,,,,75,1,,,,,,,,true
C10A_S1_Success,,65,Quest+,Armor,,3020,16625,,,,,,,700,,,,,100,1,,C10A_S1R,,,,,,true
C10A_S2_Success,,65,Quest+,Armor,,3020,16625,,,,,,,700,,,,,100,1,,,,,,,,true
C10A_S3_Success,,65,Quest+,Armor,,3020,16625,,,,,,,700,,,,,100,1,,C10A_S3R,,,,,,true
C10A_S4_Success,,65,Quest+,Armor,,3020,16625,,,,,,,700,,,,,100,1,,C10A_S4R,,,,,,true
C10A_S5_Success,,65,Quest+,Armor,,4530,16625,,,,,,,700,,,,,100,1,,C10A_S5R,,,,,,true
C10A_S6_Success,,65,Quest+,Armor,,3020,16625,,,,,,,700,,,,,100,1,,C10A_S6R,,,,,,true
10A_S6_LightningJars_Interact,,0,Quest,,,0,0,,,,,,,,,,,,,0,,,,,,,,true
C10A_S7_Success,,65,Quest,Armor,,2520,11875,,,,,,,700,,,,,75,1,,C10A_S7R,,,,,,true
C10A_S8_Success,,65,Quest+,Armor,,4530,16625,,,,,,,700,,,,,100,1,,C10A_S8R,,,,,,true
C10A_S9_Success,,65,Quest,Armor,,3770,11875,,,,,,,700,,,,,75,1,,C10A_S9R,,,,,,true
C10A_S10_Success,,65,Quest,Armor,,2520,11875,,,,,,,700,,,,,75,1,,C10A_S10R,,,,,,true
C10A_S11_Success,,65,Quest+,Armor,,3020,16625,,,,,,,700,,,,,100,1,,C10A_S11R,,,,,,true
C10A_S12_Success,,65,Quest,Armor,,3770,11875,,,,,,,700,,,,,75,1,,,,,,,,true
C10A_S13_Success,,65,Quest,Armor,,2520,11875,,,,,,,700,,,,,75,1,,,,,,,,true
C10A_S14_Success,,65,Quest+,Armor,,4530,16625,,,,,,,700,,,,,100,1,,,,,,,,true
C10A_S15_Success,,65,Quest,Armor,,3770,11875,,,,,,,700,,,,,75,1,,C10A_S15R,,,,,,true
C10A_S1R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_S3R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_S4R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_S5R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_S6R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_S7R_Success,,65,Quest,Armor,,3770,8400,,,,,,,450,,,,,75,1,,,,,,,,true
C10A_S8R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_S9R_Success,,65,Quest,Armor,,3770,8400,,,,,,,450,,,,,75,1,,,,,,,,true
C10A_S10R_Success,,65,Quest,Armor,,3770,8400,,,,,,,450,,,,,75,1,,,,,,,,true
C10A_S11R_Success,,65,Quest+,Armor,,4530,8400,,,,,,,450,,,,,100,1,,,,,,,,true
C10A_S15R_Success,,65,Quest,Armor,,3770,8400,,,,,,,450,,,,,75,1,,,,,,,,true
