EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
0319_0502_PROneSuccess,,65,Quest+,Weapons,6570,16625,QuestRewardWeaponsL65,,,,,,,,,,true,30,1
0319_0503_PRTwoSuccess,,65,Quest+,Armor,6570,16625,QuestRewardArmorL65,,,,,,,,,,true,30,1
0319_0504_PRThreeSuccess,,65,Quest+,Weapons,6570,16625,QuestRewardWeaponsL65,,,,,,,,,,true,30,1
0319_0505_PRFourSuccess,,65,Quest+,Armor,6570,16625,QuestRewardArmorL65,,,,,,,,,,true,30,1
0319_0506_PRFiveSuccess,,65,Quest+,Weapons,6570,16625,QuestRewardWeaponsL65,,,,,,,,,,true,30,1
0319_0507_PRSixSuccess,,65,Quest+,Armor,6570,16625,QuestRewardArmorL65,,,,,,,,,,true,30,1
0319_0508_PRSevenSuccess,,65,Quest+,Weapons,6570,16625,QuestRewardWeaponsL65,,,,,,,,,,true,30,1
0319_0509_PREightSuccess,,65,Quest+,Armor,6570,16625,QuestRewardArmorL65,,,,,,,,,,true,30,1
0320_0101_GlimmeringMercy_success,,65,Quest+,,6570,16625,2hStaffLife_GlimmeringMercyT5,,,,,,,,,,true,30,1
0320_0102_Prelude_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0320_0103_Adagio_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0320_0104_Scherzo_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0320_0105_Shanty_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0320_0106_Zarabanda_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0320_0107_Requiem_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0320_0108_Passepied_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0320_0109_Sonata_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0321_0101_AzureRavager_success,,60,Quest+,,5630,15750,1hThrowingAxe_AzureRavagerT5,,,,,,,,,,true,30,1
0321_0102_AzureRavager_deathandtaxes_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0321_0103_AzureRavager_byrootandbough_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0321_0104_AzureRavager_sampleofevil_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0321_0105_AzureRavager_crystalcorruption_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0321_0106_AzureRavager_shardsaboveandbelow_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0321_0107_AzureRavager_woodenheartsironheads_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0321_0108_AzureRavager_stickingtotheplan_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0321_0109_AzureRavager_gleamingedge_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0318_0201_RampantConviction_success,,60,Quest+,,5630,15750,2hWarhammer_RampantConvictionT5,,,,,,,,,,true,30,1
0318_0202_RampantConviction_unbalancedscales_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0318_0203_RampantConviction_piercingtheveil_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0318_0204_RampantConviction_bonesoftheancients_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0318_0205_RampantConviction_forestsheart_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0318_0206_RampantConviction_filamentandfirmament_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0318_0207_RampantConviction_intoburningdepths_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0318_0208_RampantConviction_avileharvest_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0318_0209_RampantConviction_thelivingcrystal_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0325_0101_RL_00_success,,60,Quest+,,5630,15750,1hGauntletIce_RimeLashT5,,,,,,,,,,true,30,1
0325_0102_RL_01_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0325_0103_RL_02_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0325_0104_RL_03_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0325_0105_RL_04_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0325_0106_RL_05_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0325_0107_RL_06_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0325_0108_RL_07_success,,60,Quest+,Weapons,5630,15750,QuestRewardWeaponsL60,,,,,,,,,,true,30,1
0325_0109_RL_08_success,,60,Quest+,Armor,5630,15750,QuestRewardArmorL60,,,,,,,,,,true,30,1
0301_BuriedChest_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0301_BuriedChestA_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0302_HidingBarrel_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0302_HidingBarrelA_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0303_StatueAzothOrbA_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0304_StatueAzothOrbB_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0305_StatueAzothOrbC_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0306_CorrRitualPillar_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0300_EpicWeapons_Periville_interact_success,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0300_EpicWeapons_Scorpius_interact_success,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
0300_EpicWeapons_Malevolence_interact_success,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0
