EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,WhisperId
1605_0501_miraclesmadness_success,,65,Quest,5250,11875,WritofAdventure,,,,,175,,,,,true,15,1,
1605_0601_hieratictruth_success,,65,Quest,5250,11875,WritofAdventure,,,,,175,,,,,true,15,1,
1605_0701_brokenkey_success,,65,Quest,5250,11875,WritofAdventure,,,,,175,,,,,true,15,1,
1605_0801_timecircles_success,,65,Quest+,6570,16625,,,,,,250,,,,,true,30,1,
1602_0701_mightymustfall_success,,66,Quest+,4380,16800,,,,,,250,,,,,true,30,1,
1605_0901_finalseal_success,,67,Quest+,6570,16975,,,,,,250,,,,,true,30,1,
1625_0100_brimstoneundersiege_success,,65,Quest,5250,11875,,,,,,175,,,,,true,15,1,
1625_0101_thegreatarchitect_success,,65,Quest,3500,11875,,,,,,175,,,,,true,15,1,
1625_0102_preemptivestrike_success,,65,Quest+,6570,16625,,,,,,250,,,,,true,30,1,
1625_0103_stirringinthesands_success,,65,Quest,5250,11875,,,,,,175,,,,,true,15,1,
1625_0201_ablossomingthreat_success,,65,Quest,5250,11875,,,,,,175,,,,,true,15,1,
1625_0202_pastprologue_success,,65,Quest-,3940,4750,,,,,,100,,,,,true,7.5,1,
1624_0301_wateringtheseed_success,,65,Quest,5250,11875,GypsumOrb,,,,,175,,,,,true,15,1,
1624_0302_unravelingthemystery_success,,65,Quest+,6570,16625,,,,,,250,,,,,true,30,1,
1624_0303_accursedalchemy_success,,65,Quest-,3940,4750,,,,,,100,,,,,true,7.5,1,
1624_0401_thedemonscauldron_success,,65,Quest,5250,11875,,,,,,175,,,,,true,15,1,
1624_0501_powerofthegods_success,,65,Quest+,6570,16625,,,,,,250,,,,,true,30,1,
1625_0502_scourgeaeonmadness_success,,65,Quest-,3940,4750,,,,,,100,,,,,true,7.5,1,
1625_0601_eyeofhorus_success,,65,Quest+,6570,16625,,,,,,250,,,,,true,30,1,
1625_0701_challengingpharaoh_success,,65,Quest+,6570,16625,,,,,,250,,,,,true,30,1,
1624_0801_agodawakens_success,,65,Quest+,6570,16625,,,,,,250,,,,,true,30,1,
1624_0901_secretindesert_success,,65,Quest-,3940,4750,,,,,,100,,,,,true,7.5,1,
1625_0902_queenrevealed_success,,65,Quest-,3940,4750,,,,,,100,,,,,true,7.5,1,
1625_0903_thecoronation_success,,65,Quest-,3940,4750,,,,,,100,,,,,true,7.5,1,
1624_1001_thewildhuntress_success,,65,Quest,5250,11875,,,,,,175,,,,,true,15,1,
1624_1101_tremorsinthesand_success,,65,Quest,5250,11875,,,,,,175,,,,,true,15,1,
16_Side_01_Glyphs_success,,60,Quest+,3750,15750,,,,,,250,,,,,true,30,1,
16_Side_02_MineScarabs_success,,61,Quest,4650,11375,WritofAdventure,,,,,175,,,,,true,15,1,
16_Side_03_HuntJackal_success,,61,Quest,4650,11375,,,,,,175,,,,,true,15,1,
16_Side_04_SaveRefugee_success,,60,Quest-,3380,4500,,,,,,100,,,,,true,7.5,1,
16_Side_05_HuntLion_success,,61,Quest,4650,11375,GypsumOrb,,,,,175,,,,,true,15,1,
16_Side_06_KillDynasty_success,,61,Quest,4650,11375,,,,,,175,,,,,true,15,1,
16_Side_07_HelpHistorian_success,,62,Quest,4800,11500,WritofAdventure,,,,,175,,,,,true,15,1,
16_Side_08_ClimbAqueduct_success,,62,Quest,4800,11500,WritofAdventure,,,,,175,,,,,true,15,1,
16_Side_09_SaveArmadillo_success,,63,Quest,4950,11625,,,,,,175,,,,,true,15,1,
16_Side_10_BookofDead_success,,63,Quest,4950,11625,WritofAdventure,,,,,175,,,,,true,15,1,
16_Side_11_FeedIfrit_success,,64,Quest-,3830,4700,WritofAdventure,,,,,100,,,,,true,7.5,1,
16_Side_12_GatherEggs_success,,64,Quest-,3830,4700,WritofAdventure,,,,,100,,,,,true,7.5,1,
16_Side_13_ScoutPyramid_success,,66,Quest,5250,12000,,,,,,175,,,,,true,15,1,
16_Side_14_HelpLovers_success,,60,Quest,4500,11250,,,,,,175,,,,,true,15,1,
16_Side_15_HelpSobek_success,,61,Quest,4650,11375,,,,,,175,,,,,true,15,1,
16_Side_16_UnlockTeleporter_success,,62,Quest,4800,11500,WritofAdventure,,,,,175,,,,,true,15,1,
16_Side_17_HuntScorpion_success,,66,Quest+,6570,16800,WritofAdventure,,,,,250,,,,,true,30,1,
16_Side_18_CookFesenjan_success,,63,Quest,4950,11625,,,,,,175,,,,,true,15,1,
16_Side_19_HelpWarden_success,,64,Quest,5100,11750,,,,,,175,,,,,true,15,1,
16_Side_20_HelpBastet_success,,64,Quest,5100,11750,WritofAdventure,,,,,175,,,,,true,15,1,
16_Side_21_HelpAnubis_success,,64,Quest,5100,11750,,,,,,175,,,,,true,15,1,
16_Side_22_VisitEnnead_success,,66,Quest+,6570,16800,,,,,,250,,,,,true,30,1,
16_Side_23_MineSulfur_success,,66,Quest+,6570,16800,,,,,,250,,,,,true,30,1,
16_Side_24_HuntPhantom_success,,65,Quest,5250,11875,,,,,,175,,,,,true,15,1,
16_Side_25_CactusFlower_success,,60,Quest,4500,11250,,,,,,175,,,,,true,15,1,
16_Side_26_SandThing_success,,61,Quest,4650,11375,,,,,,175,,,,,true,15,1,
16_Side_27_Redeem19th_success,,61,Quest,4650,11375,,,,,,175,,,,,true,15,1,
16_Side_28_LightsOut_success,,61,Quest,4650,11375,,,,,,175,,,,,true,15,1,
16_Side_29_BathSalts_success,,62,Quest,4800,11500,,,,,,175,,,,,true,15,1,
1655_0201_Table_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1655_0201_Table01_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1655_0201_Table02_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1655_0201_Table03_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1655_0201_Table04_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1655_0201_Table05_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0101_Report_01_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0101_Report_02_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0101_Report_03_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0101_Report_04_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0401_Tent_Interact_01,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0401_Tent_Interact_02,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0401_Tent_Interact_03,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1650_0301_Tomb_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1650_0301_Tomb_WaveParticipant,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1650_0301_Tomb_WaveComplete,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1650_0101_Idol_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1602_0101_Note_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1602_0101_Tablet_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0201_Supplies_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0401_Banner_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1656_0401_Banner_WaveComplete,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1602_0301_Forge_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1655_0301_Launcher_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1602_0401_StatuePanacea_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1605_0901_EnneadPrimeLock_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0100_LegionAttack_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0100_LegionAttack_WaveComplete,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0103_AbanAudio_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0103_AEAmbush_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0103_AEAmbush_WaveComplete,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_OrcusPoolA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_OrcusPoolB_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_OrcusPoolC_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_OrcusPoolD_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_ImhotepA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_ImhotepB_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_ImhotepC_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_ImhotepD_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_ImhotepE_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1679_0101_FrostcliffBerry_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1666_0101_CharmionScroll_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0101_LegionGearA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0101_LegionGearB_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0101_LegionGearC_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0101_LegionGearD_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0102_LegionSabotage_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0201_ImhotepNoduleProx_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0201_ImhotepCageNoduleB1_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0201_ImhotepCageNoduleB2_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0201_ImhotepCageNoduleB3_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0202_ImhotepScroll_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0301_AEAncientChargerA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0301_AEAncientChargerB_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0301_AEAncientChargerC_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0301_AESeedFocus_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0302_GildedOuroboros_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0302_GoldenSpearhead_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0302_SealedClayVessel_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0302_BrokenVessel_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0302_RitualOuroboros_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0302_RitualSpearhead_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0302_RitualVotiveAltar_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0303_AncientActuator_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0303_AncientScrolls_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0303_HandInJar_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_DiskAtumShield_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_DiskAtumCollect_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_DiskAtum_WaveComplete,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_DiskAtumStart_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0401_DiskAtumDamageA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0601_AzothProjector_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0601_AzothReflectorA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0601_AzothReflectorB_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0601_AzothReflectorC_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_QuintTrailA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_QuintTrailB_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_QuintTrailC_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_QuintTrailD_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_QuintTrailE_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_QuintTrailF_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0701_AncientCodePillar_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_0901_BuriedTrunk_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0903_AmbientGroupA_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0903_AmbientGroupB_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0903_AmbientGroupC_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1625_0903_AmbientGroupD_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_1001_VineWall_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
1624_1001_ArtemisCrystal_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16BS_HeartgemUpgrade_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16BS_Prepare_HeartgemUpgrade_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Exp_AncientConsole_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Exp_GlyphA_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Exp_GlyphB_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Exp_GlyphC_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Exp_GlyphD_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Exp_GlyphE_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Exp_GlyphF_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16BS_AncientGlyph_Backup_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_AdianaAkhet_SE_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_ImhotepRitual_SE_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Coronation_SE_Interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1606_Altar_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1609_Water_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1611_Chest_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1612_Supplies_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1613_Schematic_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1615_Schematic_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1616_Schematic_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1617_Tomb_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1618_Dirt_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1619_Portal_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1619_Center_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1620_Tomb_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1622_Altar_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1623_Tomb_01_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1623_Tomb_02_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1623_Tomb_03_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1624_Supplies_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1624_Banners_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
FM_1624_Weapons_Interact,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
16BS_AncientGlyphLock_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16BS_AncientGlyphLock_Chest_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16BS_AncientTeleporter_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Side_12_DragonEgg_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_Side_13_WormSpine_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,
16_BS_Whisper_04_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,16_BS_Whisper_04
16_BS_Whisper_05_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,16_BS_Whisper_05
16_BS_Whisper_06_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,16_BS_Whisper_06
16_BS_Whisper_07_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,16_BS_Whisper_07
16_BS_Whisper_08_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,16_BS_Whisper_08
16_BS_Whisper_ImhotepJournalA_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,16_BS_Whisper_ImhotepJournalA
16_BS_Whisper_ImhotepJournalB_interact,,0,Quest,0,0,,,,,,0,,,,,true,0,0,16_BS_Whisper_ImhotepJournalB
