EventID,GameEventType,Level,CreatureType,Reward Type,UniversalExpAmount,CurrencyReward,ItemReward,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
9904_0029_thestormwall_success,,33,MSQ+,Weapons,5040,9450,QuestRewardWeaponsL33,,,,0,,,,,true,20,1
9904_0030_twodown_success,,34,MSQ,Armor,4130,6400,QuestRewardArmorL34,,,,0,,,,,true,20,1
9901_0031_themaraudersupport_success,,35,MSQ,Weapons,4230,6500,QuestRewardWeaponsL35,,,,0,,,,,true,150,1
9905_0032_invalhalla_success,,36,MSQ+,Armor,5440,9900,QuestRewardArmorL36,,,,0,,,,,true,20,1
9905_0033_stillwerise_success,,37,MSQ+,Weapons,5570,10050,QuestRewardWeaponsL37,,,,0,,,,,true,100,1
9905_0034_thealliance_success,,38,MSQ+,Named,5690,10200,Darkness_AzothStaff_T3,,AzothStaff,1,0,,,,,true,100,1
9901_0035_herewestand_success,,40,MSQ,Armor,4750,7000,QuestRewardArmorL40,,,,0,,,,,true,150,1
9901_0036_masterofthetempest_success,,40,MSQ+,Named,12500,10500,Earring_WarlordsRegretsT4,,,,0,,,,,true,100,1
9919_0037_planb_success,,41,MSQ,Weapons,4880,7100,QuestRewardWeaponsL41,,,,0,,,,,true,20,1
9905_0038_itstrueface_success,,42,MSQ,Armor,4980,7200,QuestRewardArmorL42,,,,0,,,,,true,20,1
9903_0039_aherosduty_success,,43,MSQ+,Weapons,6350,10950,QuestRewardWeaponsL43,,,,0,,,,,true,100,1
9903_0040_emilesrequest_success,,44,MSQ,Armor,5180,7400,QuestRewardArmorL44,,,,0,,,,,true,150,1
9903_0041_somethinglefttosave_success,,45,MSQ+,Weapons,6600,11250,QuestRewardWeaponsL45,,,,0,,,,,true,100,1
9905_0042_shecameback_success,,46,MSQ-,Armor,4040,1900,QuestRewardArmorL46,,,,0,,,,,true,20,1
9905_0043_foragoodcause_success,,47,MSQ-,Standing,4110,1925,,,,,0,,,,,true,100,1
9909_0044_mothertongue_success,,48,MSQ-,Armor,4190,1950,QuestRewardArmorL48,,,,0,,,,,true,150,1
9905_0045_thebox_success,,50,MSQ,Weapons,5780,8000,Darkness_AzothStaff_T4,,AzothStaff,1,0,,,,,true,20,1
9902_0046_stemthetide_success,,51,MSQ,Armor,5880,8100,QuestRewardArmorL51,,,,0,,,,,true,20,1
9904_0047_greatminds_success,,51,MSQ,Weapons,5880,8100,QuestRewardWeaponsL51,,,,0,,,,,true,100,1
9904_0048_enemyofmyenemy_success,,52,MSQ,Armor,5880,8200,QuestRewardArmorL52,,,,0,,,,,true,100,1
9902_0049_recipeforfailure_success,,53,MSQ,Weapons,5900,8300,QuestRewardWeaponsL53,,,,0,,,,,true,20,1
9906_0050_thescenicroute_success,,54,MSQ+,Armor,7380,12600,QuestRewardArmorL54,,,,0,,,,,true,150,1
9906_0050_thescenicrouteb_success,,54,MSQ-,Armor,4430,2100,,,,,0,,,,,true,20,1
9906_0051_ararespice_success,,55,MSQ+,Weapons,7410,12750,QuestRewardWeaponsL55,,,,0,,,,,true,100,1
9902_0052_saboteur_success,,55,MSQ+,Named,7410,12750,LightHead_DawnsObscurerT4,,,,0,,,,,true,100,1
9907_0053_blessingofearth_success,,56,MSQ,Armor,5980,8600,QuestRewardArmorL56,,,,0,,,,,true,150,1
9907_0053_blessingofearth_Juice_success,,56,MSQ,Armor,5980,8600,QuestRewardArmorL56,,,,0,,,,,true,100,1
9907_0053_blessingofearth_Snap_success,,56,MSQ,Weapons,5980,8600,QuestRewardWeaponsL56,,,,0,,,,,true,100,1
9907_0053_blessingofearth_Ixia_success,,56,MSQ,Named,5980,8600,Ring_BlessingoftheEarthT4,,,,0,,,,,true,100,1
9902_0054_ASelflessNature_success,,58,MSQ+,Armor,8040,13200,QuestRewardArmorL58,,,,0,,,,,true,100,1
9902_0055_shatteredmountain_success,,60,MSQ,Weapons,7500,9000,QuestRewardWeaponsL60,,,,0,,,,,true,20,1
9910_0056_thetempestsheart_success,,60,MSQ,Armor,7500,9000,Darkness_AzothStaff_T5,,AzothStaff,1,0,,,,,true,100,1
9901_0057_insoulinstone_success,,60,MSQ+,Named,9380,13500,Amulet_TempestsHeartT5,,,,0,,,,,true,100,1
9910_0058_finallyexhale_success,,60,MSQ-,Named,5630,2250,Earring_AlazarsHookT5,,,,0,,,,,true,150,1
MSQ_0001_ShipFlagStern_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0002_ShipFlagBow_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0009_ArcturusAzothBarrier_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0009_AzothWell_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0010_SoulwardenTomb_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0012_OverSeaUnderStone_Interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0013_AmrineAnvil_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0021_ForgeStaffA_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0021_ForgeStaffB_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0021_ForgeStaffC_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0021_ForgeStaffD_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0021_ForgeStaffAnimTest_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0022_AmrineMachine_interact,,0,MSQ-,,0,0,MSQ_Heartgem,,,,0,,,,,true,0,0
MSQ_0023_AmrineTempleAltar_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0024_FightingPitDoor_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0025_AmrineAzothBarrier_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0026_StormwallBattery_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0027_StormwallBarrier_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0039_YonasCaveDoor_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0090_FindYrsa1_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0090_FindYrsa2_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0048_Blightbombs1_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0048_Blightbombs2_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0048_Blightbombs3_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0048_Blightbombs4_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0048_Blightbombs5_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0050_Fungus1_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0050_Fungus2_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0050_Fungus3_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0050_Fungus4_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0054_Motherwell_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0054_MotherwellDoor_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0052_BombShip_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0052_BombShip2_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0052_BombShip3_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
MSQ_0052_BombShip4_interact,,0,MSQ-,,0,0,,,,,0,,,,,true,0,0
