EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,IgnoreEconomyTracker
0409_0103_timetochoose_success,,7,Quest-,240,185,,,,,,100,,,,,true,0,1,
0407_0101_marauderquest1_success,,8,Quest,390,475,DyeB146,,,,,175,,,,,true,0,1,
0408_0101_syndicatequest1_success,,8,Quest,390,475,DyeB167,,,,,175,,,,,true,0,1,
0409_0101_covenantquest1_success,,8,Quest,390,475,DyeB139,,,,,175,,,,,true,0,1,
0402_0401_factionhandoff_success,,9,Quest,460,488,Amulet_TribalLoyaltyCharmT2,,200,,,175,,,,,true,100,1,
0404_0501_encroachingcorruption_success,,9,Quest+,580,683,QuestRewardWeaponsL9,,,,,250,,,,,true,100,1,
0422_1501_intrototravel_success,,12,Quest,630,525,BagAT1,,,,,175,,,,,true,500,1,true
0422_1502_returntravel_success,,12,Quest,630,525,,,,,,175,,,,,true,10,1,
0410_0414_Rabbit_Success,,9,Quest,460,4875,QuestRewardArmorL9,,,,,175,,,,,true,0,1,
0410_0406_TopOfArcturus_Success,,10,Quest+,650,7000,QuestRewardArmorL10,,,,,250,,,,,true,0,1,
0410_0407_OpeningSupply_Success,,11,Quest,610,5125,QuestRewardWeaponsL11,,,,,175,,,,,true,0,1,
0410_0408_Reclaiming_Success,,12,Quest+,790,7350,QuestRewardArmorL12,,,,,250,,,,,true,0,1,
0405_0404_ArtificersQuarry_Success,,14,Quest+,840,7700,2hMusket_QuestL14,,,,,250,,,,,true,20,1,
0405_0415_Ebenrock_Success,,16,Quest+,930,8050,QuestRewardArmorL16,,,,,250,,,,,true,20,1,
0402_0413_Renee_Success,,16,Quest+,930,8050,QuestRewardArmorL16,,,,,250,,,,,true,20,1,
0403_0405_AncientProblems_Success,,16,Quest+,930,8050,QuestRewardWeaponsL16,,,,,250,,,,,true,20,1,
0404_0402_BreakingDay_Success,,17,Quest,800,5875,1hRapier_QuestL17,,,,,175,,,,,true,10,1,
0404_0403_WhatCameBefore_Success,,18,Quest+,1080,8400,MediumChest_EverfallT3,,,,,250,,,,,true,20,1,
0402_0401_EnemyOfMyEnemy_Success,,19,Quest,910,6125,QuestRewardArmorL19,,,,,175,,,,,true,10,1,
0402_0502_Tainting_Success,,20,Quest+,1200,8750,2hWarhammerEverfallT3,,,,,250,,,,,true,20,1,
0411_0409_StarsAsOurGuide_Success,,21,Quest+,1280,8925,QuestRewardArmorL21,,,,,250,,,,,true,20,1,
0411_0410_UnderStars_Success,,22,Quest+,1350,9100,QuestRewardArmorL22,,,,,250,,,,,true,20,1,
0411_0411_LedByStars_Success,,23,Quest+,1420,9275,QuestRewardWeaponsL23,,,,,250,,,,,true,20,1,
0411_0101_Constellation_Success,,24,Quest+,1480,9450,QuestRewardWeaponsL24,,,,,250,,,,,true,20,1,
0411_0412_Center_Success,,25,Quest+,1540,9625,Ring_EverfallThumbRingT3,,,,,250,,,,,true,20,1,
0411_0413_Amrine_success,,25,Quest+,1540,9625,1hThrowingAxe_ExcavationHatchetT3,,,,,250,,,,,true,20,1,
0411_0414_Shattered_success,,35,Quest+,2120,11375,Amulet_ShatterstarAmuletT3,,,,,250,,,,,true,20,1,
0424_0101_Convergence_success,,25,Quest,1230,6875,WCToken,,,EventProgress,250,175,,,,,true,50,1,
0424_0102_TreeOfLight_success,,25,Quest,1230,6875,WCToken,,,EventProgress,250,175,,,,,true,50,1,
0424_0103_WinterTokens_success,,25,Quest,1230,6875,WCToken,,,EventProgress,250,175,,,,,true,50,1,
0424_0104_Gleamites_success,,25,Quest,1230,6875,WCToken,,,EventProgress,250,175,,,,,true,50,1,
0424_0105_JoyRecaptured_success,,25,Quest,1230,6875,WCToken,,,EventProgress,250,175,,,,,true,50,1,
0424_0106_YetisAbound_success,,25,Quest,1230,6875,WCPToken,,,EventProgress,500,175,,,,,true,50,1,
0424_0107_WandererReborn_success,,25,Quest,1230,6875,WCPToken,,,EventProgress,500,175,,,,,true,50,1,
0424_0108_WinterWarrior_success,,60,Quest,3000,11250,WCPToken,,,EventProgress,500,175,,,,,true,50,1,
0404_MSQ_AllThatRemainsGather4_success,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
0404_MSQ_AllThatRemainsGather5_success,,3,Quest,0,0,,,,,,0,,,,,true,0,0,
0402_GruelBarrel_interact,,0,Quest-,0,0,,,,,,,,,,,true,,0,
0405_GlowingOre_interact_success,,0,Quest-,0,0,,,,,,0,,,,,true,#N/A,0,
0411_Armillary_interact_success,,0,Quest-,0,0,,,,,,,,,,,true,,0,
0404_CorruptedNoduleA_interact,,0,Quest-,0,0,,,,,,,,,,,true,,0,
0404_CorruptedNoduleB_interact,,0,Quest-,0,0,,,,,,,,,,,true,,0,
0404_CorruptedNoduleC_interact,,0,Quest-,0,0,,,,,,,,,,,true,,0,
0404_CorruptedNoduleD_interact,,0,Quest-,0,0,,,,,,,,,,,true,,0,
IO_0403_0201_AlphaLure_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0,
IO_0424_0108_YetiRune_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0,
0424_GleamiteIO_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0,
0424_LostPresentIO_interact,,0,Quest-,0,0,,,,,,0,,,,,true,0,0,
