EventID,GameEventType,Level,CreatureType,Reward Type,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,IgnoreEconomyTracker
0910_0201_zoneofcontrol_success,,23,Quest+,Named,2420,9275,1hThrowingAxe_QuestL23,,,,,250,,,,,true,20,1,
0902_0601_dispatchtothefront_success,,24,Quest+,Exp,2500,9450,,,,,,250,,,,,true,20,1,
0904_0303_curseebonyhawk_success,,25,Quest+,Named,2570,9625,LightChest_FirstLightT3,,,,,250,,,,,true,20,1,
0905_0307_evolutioncorruption_pt4_success,,25,Quest+,Named,2570,9625,2hStaffLifeFirstLightT3,,,,,250,,,,,true,20,1,
0904_0801_reassuringmagistrate_success,,25,Quest-,Standing,1550,2750,,,,,,100,,,,,true,5,1,
0905_0701_artificersgratitude_success,,25,Quest-,Coins,1550,2750,,,,,,100,,,,,true,5,1,
9901_MSQ_TheHermit_success,,10,Quest-,Armor,750,2000,QuestRewardArmorCase1,,,,,100,,,,,true,0,0,
0904_MSQ_AllThatRemainsGather1_success,,3,Quest,,0,0,,,,,,0,,,,,true,0,0,
0904_MSQ_AllThatRemainsGather2_success,,3,Quest,,0,0,,,,,,0,,,,,true,0,0,
0904_MSQ_AllThatRemainsGather3_success,,3,Quest,,0,0,,,,,,0,,,,,true,0,0,
0904_MSQ_AllThatRemainsGather4_success,,3,Quest,,0,0,,,,,,0,,,,,true,0,0,
0904_MSQ_AllThatRemainsGather5_success,,3,Quest,,0,0,,,,,,0,,,,,true,0,0,
0901_Barley_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0902_GunpowderCask_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0903_HilltopHops_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0904_FishTrap_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0905_BloodTracking_A_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0905_BloodTracking_B_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0905_BloodTracking_C_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0905_BloodTracking_D_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0906_CargoSupplies_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0907_SabotagedCannon_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0908_Magnetite_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
IO_0903_0201_AlphaLure_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0904_CorruptedNoduleA_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0904_CorruptedNoduleB_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0904_CorruptedNoduleC_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
0904_CorruptedNoduleD_interact,,0,Quest-,,0,0,,,,,,0,,,,,true,0,0,
