EventID,GameEventType,Level,CreatureType,RewardModifier,UniversalExpAmount,CurrencyReward,ItemReward,ItemRewardQty,RewardsNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance,WhisperID
95_s04_04_Jehan_02_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_Jehan_02_VLN
95_s04_04_Jehan_03_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_Jehan_03_VLN
95_s04_04_Jehan_04_VLN,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_Jehan_04_VLN
95_s04_03_RescueElsa_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_RescueShen_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_ChessExitKey_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_SlotChessExitKey_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_05_WinterRune_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_06_FirstRune_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_06_SecondRune_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_CollectSecondRune_hint
95_s04_04_DestroyWall_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_MordredCinematic2D_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_01_Survivors_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_Survivors_hint
95_s04_01_SearchCabin_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_SearchCabin_hint
95_s04_01_CrackedShell_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_CrackedShell_hint
95_s04_01_PedestalLore_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_01_PedestalLore_hint
95_s04_04_MagicDoorMovement_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_MagicDoorMovement_hint
95_s04_04_MordredTryStaff_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_04_MordredTryStaff_hint
95_s04_06_SolvedPuzzle_hint,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,95_s04_06_SolvedPuzzle_hint
95_s04_03_round1_selectRook_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_selectQueen_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_selectPawn_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round2_selectQueen_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_moveRook_f1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_moveRook_d1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_moveQueen_f1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_moveQueen_g1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_moveQueen_g2_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round1_movePawn_h5_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round2_moveQueen_f1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round2_moveQueen_g1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_03_round2_moveQueen_h2_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_06_lizardStatue1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_06_lizardStatue2_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_06_lizardStatue3_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_S04_02_DaichiDojoComplete,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Init_Door3_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage1_Door1_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage1_Door2_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage1_Door3_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage2_Door1_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage2_Door2_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage2_Door3_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage3_Door1_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage3_Door2_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_TP_Stage3_Door3_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_04_MageDoor1_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_04_MageDoor2_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_s04_04_MageDoor3_Interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
Dungeon_GreatCleave_00_IceGatherA_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
Dungeon_GreatCleave_00_IceGatherB_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
Dungeon_GreatCleave_00_IceGatherC_interact,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_S04_Mordred_Trial_Complete,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
95_S04_05_Solo_Trial_Complete,,0,Quest,0,0,0,,,,,,,0,,,,,true,0,0,
