EventID,GameEventType,Level,CreatureType,UniversalExpAmount,CurrencyReward,ItemReward,RewardNotes,GearScoreRange,CategoricalProgressionId,CategoricalProgressionReward,TerritoryStanding,FactionReputation,FactionTokens,FactionInfluenceAmount,FactionInfluenceSrc,EmitTelemetry,AzothReward,AzothRewardChance
0604_0203_abominableluck_success,,10,Quest,520,5000,QuestRewardArmorL10,,,,,250,,,,,true,0,1
0605_0301_soiledexpectations_success,,11,Quest+,770,7175,QuestRewardWeaponsL11,,,,,175,,,,,true,0,1
0603_0302_predatorprey_success,,12,Quest+,790,7350,QuestRewardArmorL12,,,,,250,,,,,true,0,1
0610_0103_thelonelyharvest_success,,13,Quest+,800,7525,QuestRewardArmorL13,,,,,250,,,,,true,20,1
0604_0202_buildingblocks_success,,14,Quest,670,5500,2hGreatAxe_QuestL14,,,,,250,,,,,true,10,1
0602_0503_warpandweft_success,,15,Quest+,870,7875,QuestRewardWeaponsL15,,,,,175,,,,,true,20,1
0610_0102_piratesofspice_success,,16,Quest+,930,8050,FoodHealthRecoveryT2,,,,,250,,,,,true,20,1
0603_0204_bearscratchrock_success,,17,Quest+,1000,8225,QuestRewardArmorL17,,,,,250,,,,,true,20,1
0605_0401_jarofblackbile_success,,18,Quest,860,6000,QuestRewardArmorL18,,,,,250,,,,,true,10,1
0603_0301_makingsparks_success,,19,Quest+,1140,8575,2hElementalStaff_FireT2,,,,,175,,,,,true,20,1
0602_0504_fabricnegotiation_success,,19,Quest,910,6125,QuestRewardArmorL19,,,,,250,,,,,true,10,1
0605_0501_azothfulminate_success,,20,Quest+,1200,8750,QuestRewardArmorL20,,,,,175,,,,,true,20,1
0604_0201_stevenexpedition_success,,20,Quest+,1200,8750,QuestRewardWeaponsL20,,,,,250,,,,,true,20,1
0604_0202_happyreturns_success,,21,Quest-,770,2550,Ring_WindswardLoopT3,,,,,250,,,,,true,5,1
0611_0101_ancientobservations_success,,21,Quest,1020,6375,QuestRewardArmorL21,,,,,100,,,,,true,10,1
0602_0501_takentotask_success,,22,Quest+,1350,9100,1hThrowingAxeWindswardT3,,,,,175,,,,,true,20,1
0610_0201_shotacrossbow_p1_success,,23,Quest+,1420,9275,1hLongsword_QuestL23,,,,,250,,,,,true,20,1
0610_0201_shotacrossbow_p2_success,,24,Quest+,1480,9450,1hRoundShield_QuestL24,,,,,250,,,,,true,20,1
0610_0201_shotacrossbow_p3_success,,25,Quest+,1540,9625,MediumChest_WindswardT3,,,,,250,,,,,true,20,1
0602_0502_oftheheart_success,,24,Quest+,1480,9450,QuestRewardWeaponsL25,,,,,250,,,,,true,20,1
0611_0102_SeeingClearly_success,,26,Quest+,5000,9800,1hRapier_ArchaicRapierT3,,,,,250,,,,,true,20,1
0623_0101_FQ01_success,,5,Quest,280,4375,2hFishingPoleT1,,,,,250,,,,,true,0,1
0623_0102_FQ02_success,,10,Quest,520,5000,LightFeet_FishermanT2,,,,,175,,,,,true,0,1
0423_0101_FQ03_success,,15,Quest+,870,7875,LightHands_FishermanT2,,,,,175,,,,,true,20,1
0923_0101_FQ04_success,,20,Quest+,1200,8750,LightLegs_FishermanT2,,,,,250,,,,,true,20,1
1223_0101_FQ05_success,,25,Quest+,1540,9625,LightHead_FishermanT2,,,,,250,,,,,true,20,1
1023_0101_FQ06_success,,30,Quest+,1830,10500,LightChest_FishermanT2,,,,,250,,,,,true,20,1
0223_0101_FQ07_success,,35,Quest+,2120,11375,QuestRewardFishing1,,,,,250,,,,,true,20,1
1323_0101_FQ08_success,,40,Quest+,2380,12250,QuestRewardFishing2,,,,,250,,,,,true,20,1
1523_0101_FQ09_success,,40,Quest+,2380,12250,LightChest_FishermanT3,,,,,250,,,,,true,20,1
1123_0101_FQ10_success,,45,Quest+,2640,13125,2hFishingPoleT5,,,,,250,,,,,true,20,1
1424_0101_FQ11_success,,50,Quest+,2890,14000,LightHead_FishermanVengefulT4,,,,,250,,,,,true,20,1
0324_0101_FQ12_success,,55,Quest+,2970,14875,QuestRewardFishing3,,,,,250,,,,,true,30,1
0724_0101_FQ13_success,,60,Quest+,3750,15750,QuestRewardFishing4,,,,,250,,,,,true,30,1
0823_0101_FQ14_success,,60,Quest,3000,11250,QuestRewardFishing5,,,,,250,,,,,true,15,1
0523_0101_FQ15_success,,60,Quest+,3750,15750,QuestRewardFishing6,,,,,175,,,,,true,30,1
0699_0103_BarkimedesPup_success,,25,Quest+,4620,9625,House_HousingItem_Pet_Mastiff,,,,,250,,,,,true,20,1
0699_0101_Barkimedes_success,,25,Mission+,4920,1100,QuestRewardArmorL25,,,,,250,,,,,true,0,1
0699_0102_Barkimedes2_success,,35,Mission+,6760,1300,QuestRewardArmorL35,,,,,375,,,,,true,0,1
0601_DirtHole_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0601_DirtHoleB_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0602_SpiceSackGreen_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0602_SpiceSackRed_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0602_SpiceSackYellow_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0603_PrototypeAzothBomb_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0604_AncientArtifactA_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0605_AncientArtifactB_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0606_StripedPowderkeg_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0607_ClothTrailA_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0607_ClothTrailB_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0607_ClothTrailC_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0607_ClothTrailD_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0607_ClothTrailE_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0608_SabotagedCannon_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0604_CorruptedNoduleA_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0604_CorruptedNoduleB_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
0604_CorruptedNoduleD_interact,,0,Quest,0,0,,,,,,,,,,,true,0,0
