VitalsID,DisplayName,VitalsCategories,Family,CreatureType,DifficultyTierOverride,NoExpNoCoin,CanDropLoot,GearScoreOverride,BaseDamageOverride,DamageMod,HealthMin,HealthBaseMax,HealthInitial,HealthMod,HealthOverridePercentSpellOwnerMaxHealth,PhysicalArmorRatingOverride,PhysicalMitigation,ElementalArmorRatingOverride,ElementalMitigation,MinionVitalsId,BuffBuckets,BaseStaggerDamageOverride,BlockStaminaDamageOverride,HealthBaseTickRate,HealthRegenCappedBy,HealthRegenThresholds,HealthTickDelay,HealthFullyDepletedDelay,HealthLowerThreshold,HealthUpperThreshold,HealthUpdateIfDeathsDoor,HealthUpdateIfDead,BlockDamageMitigation,BlockStaminaCost,StaminaMin,StaminaBaseMax,StaminaInitial,StaminaBaseTickRate,StaminaRegenCappedBy,StaminaRegenThresholds,StaminaTickDelay,StaminaRegenDelay,StaminaRegenDelayOnEmpty,StaminaFullyDepletedDelay,StaminaLowerThreshold,StaminaUpperThreshold,StaminaUpdateIfDeathsDoor,StaminaUpdateIfDead,StaminaCostMitigation,MinMana,ManaBaseMax,ManaInitial,ManaBaseRegenRate,ManaRegenDelay,ManaRegenDelayOnEmpty,DeathsDoorTime,DeathsDoorDelay,HelpUpHealthPct,FoodMin,FoodBaseMax,FoodInitial,FoodBaseTickRate,FoodTickDelay,FoodFullyDepletedDelay,FoodLowerThreshold,FoodUpperThreshold,DrinkMin,DrinkInitial,DrinkBaseMax,DrinkBaseTickRate,DrinkTickDelay,DrinkFullyDepletedDelay,DrinkLowerThreshold,DrinkUpperThreshold,DamageCooldown,MaxDefenseMitigationPercent,AfflictionAbsorption,GameModeKillEventIds,GameModeAssistEventIds,WarKillEventId,WarAssistEventId,KillEventIdOverride,LootDropChance,IgnoreLootDropModifier,LootTableId,LootTags,IgnoreEffectCategories,DEFStandard,DEFSiege,DEFStrike,DEFSlash,DEFThrust,DEFArcane,DEFFire,DEFIce,DEFNature,DEFLightning,DEFCorruption,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSIce,ABSNature,ABSFire,ABSLightning,ABSCorruption,ABSRangedDamage,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,RESSpores,RESErosion,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNIce,WKNNature,WKNFire,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,AFASpores,AFAErosion,CharacterScale,IsMinion,ChainSpellImmune,MutatorDifficultyMod,MutatorPotencyMod,HealthPercentForLootContributionOverride,ShouldTriggerPassivesOnDeath
SiegeWeaponSmall,@SiegeWeaponSmall_VitalsName,,,,,,false,600,#N/A,1,0,1,#N/A,1,,1162,0.35,1162,0.35,,,,,0,0,,0,0,-1,-1,0,0,1,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Special,War_Assist_Special,KillStructure,,FALSE,,,"Bleed,Poison,Exhaust,Weaken,Disease,Stun,Slow,Root,Fortify,Haste,Empower,Silence,Heal",,,,,,,,,,,,0.3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
SiegeWeaponLargeResistsRangedDmg,@SiegeWeaponLargeResistsRangedDmg_VitalsName,,,,,,false,600,#N/A,1,0,1,#N/A,1,,1162,0.35,1162,0.35,,,,,0,0,,0,0,-1,-1,0,0,1,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Special,War_Assist_Special,KillStructure,,FALSE,,,"Bleed,Poison,Exhaust,Weaken,Disease,Stun,Slow,Root,Fortify,Haste,Empower,Silence,Heal",,,,,,,,,,,,0.3,0,0,0,0,0,0,0,0,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
SiegeWeaponSmallResistsRangedDmg,@SiegeWeaponSmallResistsRangedDmg_VitalsName,,,,,,false,600,#N/A,1,0,1,#N/A,1,,1162,0.35,1162,0.35,,,,,0,0,,0,0,-1,-1,0,0,1,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Special,War_Assist_Special,KillStructure,,FALSE,,,"Bleed,Poison,Exhaust,Weaken,Disease,Stun,Slow,Root,Fortify,Haste,Empower,Silence,Heal",,,,,,,,,,,,0.3,0,0,0,0,0,0,0,0,0,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy,@Target_Dummy_VitalsName,,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_Armored,@Target_Dummy_Armored_VitalsName,,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,2489,0.5357,2489,0.5357,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_Boss,@Target_Dummy_Boss_VitalsName,,,DungeonBoss,,,false,650,6892,1,1,635500,635500,1,,1279,0.35,1279,0.35,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1.5,,,,,,
Target_Dummy_Boss10,@Target_Dummy_Boss10_VitalsName,,,DungeonBoss,,,false,180,262,1,1,31000,31000,1,,274,0.35,274,0.35,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1.5,,,,,,
Target_Dummy_Boss25,@Target_Dummy_Boss25_VitalsName,,,DungeonBoss,,,false,330,918,1,1,75000,75000,1,,567,0.35,567,0.35,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1.5,,,,,,
Target_Dummy_Boss35,@Target_Dummy_Boss35_VitalsName,,,DungeonBoss,,,false,370,1598,1,1,116500,116500,1,,651,0.35,651,0.35,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1.5,,,,,,
Target_Dummy_Boss45,@Target_Dummy_Boss45_VitalsName,,,DungeonBoss,,,false,430,2504,1,1,181500,181500,1,,779,0.35,779,0.35,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1.5,,,,,,
Target_Dummy_Boss5,@Target_Dummy_Boss5_VitalsName,,,DungeonBoss,,,false,130,200,1,1,22500,22500,1,,186,0.35,186,0.35,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1.5,,,,,,
Target_Dummy_Boss55,@Target_Dummy_Boss55_VitalsName,,,DungeonBoss,,,false,475,3932,1,1,272000,272000,1,,878,0.35,878,0.35,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1.5,,,,,,
Target_Dummy_CC,@Target_Dummy_CC_VitalsName,,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_GRIT,@Target_Dummy_GRIT_VitalsName,,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_Heavy_Attack,@Target_Dummy_Heavy_Attack_VitalsName,Hostile,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_Light_Attack,@Target_Dummy_Light_Attack_VitalsName,Hostile,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_OneMillion,@Target_Dummy_OneMillion_VitalsName,,,Solo,,,false,600,2440,1,1,1000000,1000000,148.3679,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_Patrol,@Target_Dummy_Patrol_VitalsName,,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Target_Dummy_Ranged,@Target_Dummy_Ranged_VitalsName,,,Solo,,,false,600,2440,1,1,100000,100000,14.8367,,0,0.0001,0,0.0001,,,,,100000,0,,2,0,-1,-1,0,0,0,0,0,100,100,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
Training_Dummy,@Training_Dummy_VitalsName,,,,,,false,600,2440,1,1,100000,100000,50,,0,0.0001,0,0.0001,,,,,100000,0,,5,0,-1,-1,0,0,0,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,,,,,FALSE,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,false
Trap,@Trap_VitalsName,,,Critter,,,false,100,5,1,0,17,17,1,,136,0.35,136,0.35,,,,,0,0,,0,0,-1,-1,0,0,1,0,0,1,0,0,0,,0,0,0,0,-1,-1,0,0,0.6,0,1,1,0,0,0,0,0,0,,1000,650,0,0,0,0.2,0.66,0,400,1000,0,0,0,0.2,0.66,10,0.9,,,,War_Kill_Minor,War_Assist_Minor,,,FALSE,,,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
