Level,GearScore,BaseDamage,BaseMaxHealth,InitialHealth,PhysicalArmorRating,ElementalArmorRating,LootGSBonus,LootGSBonusChance,ContainerLootGSFloor,AILootGSCeiling,Solo Damage,Solo Health
33,330,1199.093091,3650.7404,3650.7404,1052.48697,1052.48697,100,0,325,370,,
34,340,1267.308886,3816.3942,3816.3942,1090.874275,1090.874275,100,0,325,380,,
35,350,1335.524681,3982.048,3982.048,1129.488083,1129.488083,100,0,375,390,,
36,360,1403.740476,4237.080825,4237.080825,1168.3232,1168.3232,100,0,375,400,,
37,370,1471.956271,4492.11365,4492.11365,1207.374694,1207.374694,100,0,375,410,,
38,380,1540.172066,4747.146475,4747.146475,1246.637871,1246.637871,100,0,375,420,,
39,390,1608.387861,5002.1793,5002.1793,1286.108263,1286.108263,100,0,375,430,,
40,400,1676.603656,5257.212125,5257.212125,1325.781607,1325.781607,100,0,425,440,,
41,410,1744.074597,5512.24495,5512.24495,1365.653833,1365.653833,100,0,425,450,,
42,420,1811.545538,5767.277775,5767.277775,1405.721051,1405.721051,100,0,425,460,,
43,430,1879.016479,6022.3106,6022.3106,1445.979536,1445.979536,100,0,425,470,,
44,440,1946.48742,6277.343425,6277.343425,1486.425721,1486.425721,100,0,425,480,,
45,450,2013.958361,6532.37625,6532.37625,1527.056186,1527.056186,100,0,475,490,,
46,460,2081.429302,6831.707,6831.707,1567.867645,1567.867645,100,0,475,500,,
47,470,2148.900243,7131.03775,7131.03775,1608.856945,1608.856945,100,0,475,510,,
48,480,2216.371184,7430.3685,7430.3685,1650.02105,1650.02105,100,0,475,520,,
49,490,2283.842126,7708.403,7708.403,1691.357042,1691.357042,100,0,475,530,,
50,500,2351.313067,7986.4375,7986.4375,1732.862108,1732.862108,100,0,525,540,,
51,510,2460.044479,8548.971154,8548.971154,1774.533536,1774.533536,100,0,525,550,,
52,520,2568.775891,9111.504808,9111.504808,1816.368712,1816.368712,100,0,525,560,,
53,530,2677.507303,9674.038462,9674.038462,1858.365111,1858.365111,100,0,525,560,,
54,540,2786.238715,10236.572115,10236.572115,1900.520296,1900.520296,100,0,525,560,,
55,550,2894.970127,10799.105769,10799.105769,1942.831908,1942.831908,100,0,575,570,,
56,560,3003.701539,11361.639423,11361.639423,1985.297668,1985.297668,100,0,575,570,,
57,570,3112.432951,11924.173077,11924.173077,2027.91537,2027.91537,100,0,575,580,,
58,580,3221.164363,12486.706731,12486.706731,2070.682877,2070.682877,100,0,575,580,,
59,590,3329.895775,13049.240385,13049.240385,2113.59812,2113.59812,100,0,575,590,,
60,600,3438.627188,13611.774038,13611.774038,2156.659091,2156.659091,100,0,600,600,,
61,610,3958.579486,14174.307692,14174.307692,2199.863845,2199.863845,100,0,626,610,,
62,620,4478.531785,14736.841346,14736.841346,2243.210491,2243.210491,100,0,626,620,,
63,630,4998.484084,15299.375,15299.375,2286.697197,2286.697197,100,0,626,630,,
64,640,5518.436383,15886.371429,15886.371429,2330.32218,2330.32218,100,0,640,640,,
65,650,6038.388682,16473.367857,16473.367857,2374.083709,2374.083709,50,0.05,640,650,,
66,660,6227.088329,17060.364286,17060.364286,2417.980102,2417.980102,50,0.05,640,650,,
67,670,6415.787975,17647.360714,17647.360714,2462.00972,2462.00972,50,0.05,640,650,,
68,680,6604.487621,18234.357143,18234.357143,2506.170971,2506.170971,20,0.1,640,680,,
69,690,6793.187268,18821.353571,18821.353571,2550.462303,2550.462303,20,0.1,640,680,,
70,700,6981.886914,19408.35,19408.35,2594.882206,2594.882206,20,0.2,660,680,,
