Id,FishSize,FishWeightRange,FishLengthRange,FishingXp,FishDistanceSwamAwayPerSecond,LineTensionGainPerSecondMultiplier,FishBehaviors,ZoomCameraOnSuccess,FishCharacterDefinitionPath,FishScale,RewardGameEventId
FishingMackerelMediumT1,Medium,1-4,8-16,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_AtlanticMackerel.cdf,0.7,
FishingMackerelLargeT1,Large,4-6,16-20,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_A_AtlanticMackerel.cdf,1,
FishingSnapperSmallT1,Small,1-10,10-16,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_Snapper.cdf,0.4,
FishingSnapperMediumT1,Medium,10-19,17-29,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_A_Snapper.cdf,0.6,
FishingSnapperLargeT1,Large,19-35,30-50,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_A_Snapper.cdf,0.75,
FishingFlounderSmallT1,Small,0-12,10-20,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Flounder.cdf,0.4,
FishingFlounderMediumT1,Medium,12-22,21-31,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Flounder.cdf,0.6,
FishingFlounderLargeT1,Large,22-30,32-46,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Flounder.cdf,0.75,
FishingBluefishSmallT1,Small,0-5,4-14,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Bluefish.cdf,0.5,
FishingBluefishMediumT1,Medium,5-18,15-34,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Characters\npc\natural\fish\Fish_B_Bluefish.cdf,0.7,
FishingBluefishLargeT1,Large,18-35,35-48,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Bluefish.cdf,1,
FishingHakeSmallT1,Small,0-12,10-18,100,0.2,0.8,"Lazy,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Hake.cdf,0.5,
FishingHakeMediumT1,Medium,12-18,19-32,110,0.15,1.2,"Lazy,LateAggressive,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Hake.cdf,0.7,
FishingHakeLargeT1,Large,18-37,33-44,120,0.1,1.4,"Lazy,EarlyAggressive,LateAggressive,Sporadic",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Hake.cdf,1,
FishingSturgeonSmallT2,Small,1-12,20-29,150,0.2,0.8,"EarlyAggressive,LateAggressive,Sporadic",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Sturgeon.cdf,0.7,
FishingSturgeonMediumT2,Medium,12-40,29-39,156,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Sturgeon.cdf,1,
FishingSturgeonLargeT2,Large,40-77,40-67,163,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Sturgeon.cdf,1.2,
FishingCatfishSmallT2,Small,4-12,15-19,150,0.2,0.8,"EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Catfish.cdf,0.6,
FishingCatfishMediumT2,Medium,12-31,20-29,156,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Catfish.cdf,0.75,
FishingCatfishLargeT2,Large,31-60,30-50,163,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Catfish.cdf,1.1,
FishingTadpolesSmallT2,Small,0-1,3-6,156,0.2,0.8,"LateAggressive,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_09\Jav_Prp_Tadpole.cdf,0.5,
FishingSnailSmallT2,Small,0-1,3-5,156,0.2,0.8,"LateAggressive,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_10\Jav_Prp_Snail.cdf,0.25,
FishingCodSmallT2,Small,3-12,17-28,150,0.2,0.8,"EarlyAggressive,LateAggressive,Sporadic",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Cod.cdf,0.3,
FishingCodMediumT2,Medium,12-28,29-39,156,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Cod.cdf,0.5,
FishingCodLargeT2,Large,28-54,40-62,163,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_11\Jav_Prp_Cod.cdf,0.8,
FishingHalibutSmallT2,Small,4-18,15-29,150,0.2,0.8,"EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Halibut.cdf,0.5,
FishingHalibutMediumT2,Medium,18-38,30-49,156,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Halibut.cdf,0.7,
FishingHalibutLargeT2,Large,38-64,50-78,163,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\Fish_B_Halibut.cdf,0.9,
FishingClamsSmallT2,Small,0-1,3-6,150,0,0.8,"LateAggressive,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_10\Jav_Prp_Clam.cdf,0.15,
FishingSquidSmallT2,Small,0-9,7-14,150,0.2,0.8,"EarlyAggressive,LateAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\jav_prp_squid.cdf,0.5,
FishingSquidMediumT2,Medium,9-18,15-29,156,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\jav_prp_squid.cdf,0.7,
FishingSquidLargeT2,Large,18-28,30-49,163,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,Objects\Characters\npc\natural\fish\jav_prp_squid.cdf,1,
FishingElectricEelSmallT3,Small,1-12,8-21,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\Jav_Prp_electriceel.cdf,0.5,
FishingElectricEelMediumT3,Medium,12-19,22-39,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\Jav_Prp_electriceel.cdf,0.7,
FishingElectricEelLargeT3,Large,19-33,40-66,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\Jav_Prp_electriceel.cdf,1,
FishingPiranhaSmallT3,Small,1-5,6-7,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_09\Jav_Prp_Piranha.cdf,0.3,
FishingPiranhaMediumT3,Medium,5-8,8-10,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_09\Jav_Prp_Piranha.cdf,0.5,
FishingPiranhaLargeT3,Large,8-13,11-16,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_09\Jav_Prp_Piranha.cdf,0.8,
FishingPaddlefishSmallT3,Small,3-15,17-26,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit04\jav_prp_paddlefish_.cdf,0.5,
FishingPaddlefishMediumT3,Medium,15-32,27-39,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit04\jav_prp_paddlefish_.cdf,0.7,
FishingPaddlefishLargeT3,Large,32-54,40-62,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit04\jav_prp_paddlefish_.cdf,1,
FishingSpeartoothSharkSmallT3,Small,4-18,23-39,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit03\jav_prp_sharkspeartooth1.cdf,0.5,
FishingSpeartoothSharkMediumT3,Medium,18-49,40-79,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit03\jav_prp_sharkspeartooth1.cdf,0.8,
FishingSpeartoothSharkLargeT3,Large,50-81,80-105,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit03\jav_prp_sharkspeartooth1.cdf,1.2,
FishingMadtomSmallT3,Small,0-1,1-3,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\jav_prp_madtom.cdf,0.5,
FishingMadtomMediumT3,Medium,1-2,4-6,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\jav_prp_madtom.cdf,0.7,
FishingMadtomLargeT3,Large,2-3,7-10,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\jav_prp_madtom.cdf,1,
FishingFrogfishSmallT3,Small,0-2,1-7,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit01\Jav_Prp_Frogfish.cdf,0.15,
FishingFrogfishMediumT3,Medium,2-3,7-14,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit01\Jav_Prp_Frogfish.cdf,0.3,
FishingFrogfishLargeT3,Large,3-6,15-22,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit01\Jav_Prp_Frogfish.cdf,0.6,
FishingDragonFishSmallT3,Small,0-1,1-3,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_09\Jav_Prp_DragonFish.cdf,0.3,
FishingDragonFishMediumT3,Medium,1-2,4-8,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_09\Jav_Prp_DragonFish.cdf,0.5,
FishingDragonFishLargeT3,Large,2-3,9-14,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_09\Jav_Prp_DragonFish.cdf,0.8,
FishingPearlOysterSmallT3,Small,0-1,4-11,175,0,0.8,"LateAggressive,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit01\Jav_Prp_PearlOyster.cdf,0.25,
FishingStarfishSmallT3,Small,0-1,4-11,175,0,0.8,"LateAggressive,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit01\Jav_Prp_Starfish_A.cdf,0.5,
StarfishT1,None,0-1,4-11,175,0,0.8,"LateAggressive,Sporadic,SporadicEasy",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit01\Jav_Prp_Starfish_A.cdf,0.4,
FishingStingRaySmallT3,Small,1-12,6-19,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\jav_prp_stingray.cdf,0.6,
FishingStingRayMediumT3,Medium,12-25,20-35,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\jav_prp_stingray.cdf,0.8,
FishingStingRayLargeT3,Large,25-50,36-60,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Characters\npc\natural\fish\jav_prp_stingray.cdf,1,
FishingSculpinSmallT3,Small,0-5,9-11,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit03\jav_prp_sculpin1.cdf,0.5,
FishingSculpinMediumT3,Medium,5-10,12-18,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit03\jav_prp_sculpin1.cdf,0.7,
FishingSculpinLargeT3,Large,10-16,19-24,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit03\jav_prp_sculpin1.cdf,1,
FishingSwordfishSmallT3,Small,2-22,12-29,175,0.2,0.8,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit04\jav_prp_swordfish_.cdf,0.5,
FishingSwordfishMediumT3,Medium,22-46,30-79,188,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit04\jav_prp_swordfish_.cdf,0.7,
FishingSwordfishLargeT3,Large,46-82,80-124,200,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive",false,Objects\Crafting\Props\FoodStuffs\Fish\Fishing_Kit04\jav_prp_swordfish_.cdf,1.2,
FishingMerrowT5,None,57,60,550,0.1,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_E1\Jav_Prp_VeryRareFish_E1.cdf,1,
FishingAnglerFishT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_C1\Jav_Prp_VeryRareFish_C3.cdf,0.8,
FishingBishopFishT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_D1\Jav_Prp_VeryRareFish_D3.cdf,1,
FishingMoragT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_A1\Jav_Prp_VeryRareFish_A1.cdf,0.8,
FishingSelkieT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_E1\Jav_Prp_VeryRareFish_E3.cdf,1,
FishingMandjeMandjeT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_B1\Jav_Prp_VeryRareFish_B2.cdf,1.2,
FishingEgedeSerpeT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_C1\Jav_Prp_VeryRareFish_C4.cdf,0.8,
FishingNamazuT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_D1\Jav_Prp_VeryRareFish_D1.cdf,1,
FishingOgopogoT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_B1\Jav_Prp_VeryRareFish_B1.cdf,1.2,
FishingTessieT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_A1\Jav_Prp_VeryRareFish_A3.cdf,0.8,
FishingHafgufaT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_C1\Jav_Prp_VeryRareFish_C1.cdf,0.8,
FishingAbaiaT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_B1\Jav_Prp_VeryRareFish_B3.cdf,1.2,
FishingMerlionT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_D1\Jav_Prp_VeryRareFish_D2.cdf,1,
FishingMishipeshuT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_A1\Jav_Prp_VeryRareFish_A2.cdf,0.8,
FishingAnmisemaT5,None,57,60,550,0.2,1.4,"EarlyAggressive,TotalAggressive",true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_C1\Jav_Prp_VeryRareFish_C2.cdf,1.2,
FishingSeaweedT1,None,0-1,10,100,0.05,1.2,Lazy,false,Objects\Crafting\Props\FoodStuffs\Fish\FishingKit_10\Jav_Prp_Seaweed.cdf,0.3,
FishingBootT2,None,4-5,12,100,0.05,1.2,Lazy,false,Objects\Crafting\Props\catchables\Fishing_Kit05\Jav_Prp_Boot_A.cdf,1,
FishingAnchorT2,None,55-56,25,100,0.05,1.2,Lazy,false,Objects\Crafting\Props\catchables\Fishing_Kit06\Jav_Prp_Anchor_A.cdf,0.35,
FishingFishSwordT2,None,12-13,70,100,0.05,1.2,Lazy,false,Objects\Crafting\Props\catchables\FishSword\Jav_Prp_FishingSword.cdf,1,
FishingHeadedHammerT2,None,9-10,12,100,0.05,1.2,Lazy,false,Objects\Crafting\Props\catchables\Fishing_Kit06\Jav_Prp_FishHammer_A.cdf,0.5,
FishingOarT2,None,16-17,84,100,0.05,1.2,Lazy,false,Objects\Crafting\Props\catchables\Fishing_Kit08\Jav_Prp_OarFishing_A.cdf,1,
1323_0101_SlimyBoot,None,3,11,100,0,1,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit05\Jav_Prp_Boot_B.cdf,1,
1424_0101_AzothTingedFish,None,40-50,40-70,100,0.2,1.3,Sporadic,true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_E1\Jav_Prp_VeryRareFish_E2.cdf,0.5,
0223_0101_BarbedCatfish,None,12-31,20-29,100,0.15,1.3,EarlyAggressive,true,Objects\Characters\npc\natural\fish\Fish_B_Catfish.cdf,1.2,
0223_0101_HookedSquid,None,9-18,15-29,100,0.15,1.3,TotalAggressive,true,Objects\Characters\npc\natural\fish\jav_prp_squid.cdf,1.2,
0724_0101_CorruptionTingedFish,None,66,66,100,0.2,1.4,TotalAggressive,true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_C1\Jav_Prp_VeryRareFish_C2.cdf,1,
FishingSummerMedleySturgeonSmallT3,Small,1-12,20-29,150,0.2,0.8,"EarlyAggressive,LateAggressive,Sporadic",false,objects\characters\npc\natural\fish\Aeternum_Sturgeon_Fish.cdf,0.7,Fishing_SummerMedley_Med
FishingSummerMedleySturgeonMediumT3,Medium,12-40,29-39,156,0.15,1.2,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",false,objects\characters\npc\natural\fish\Aeternum_Sturgeon_Fish.cdf,1,Fishing_SummerMedley_Large
FishingSummerMedleySturgeonLargeT3,Large,40-77,40-67,163,0.1,1.4,"EarlyAggressive,LateAggressive,TotalAggressive,Sporadic",true,objects\characters\npc\natural\fish\Aeternum_Sturgeon_Fish.cdf,1.2,Fishing_SummerMedley_Xlarge
FishingSummerMedleyCacheT3,None,28-30,40,150,0.05,1.2,Lazy,false,objects\characters\npc\natural\fish\Summer_MedleyfaireCache.cdf,0.5,Fishing_SummerMedley_Small
SummerMedley_PristineSoakedWood,None,16,30,125,0.05,1.2,Lazy,false,objects\characters\npc\natural\fish\Summer_PristineWood.cdf,1,Fishing_SummerMedley_Xsmall
SummerMedley_AssortedCoral,None,3,11,125,0.05,1.2,Lazy,false,objects\characters\npc\natural\fish\Summer_SeaGrass.cdf,1,Fishing_SummerMedley_Xsmall
SummerMedley_CautiouslyWrappedStuffing,None,9,15,125,0.05,1.2,Lazy,false,objects\characters\npc\natural\fish\Summer_WrappedStuffing.cdf,1,Fishing_SummerMedley_Xsmall
16_Side_11_TastyFish,None,40-50,40-70,100,0.2,1.3,Sporadic,true,Objects\Crafting\Props\FoodStuffs\Fish\VeryRareFish_E1\Jav_Prp_VeryRareFish_E2.cdf,0.5,
FishingTreasureChestT3,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureSeaweedT2,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureBootT2,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureOarT2,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureSwordT2,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureHammerT2,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureBigAnchorT3,None,250,50,750,0.02,8,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit06\Jav_Prp_Anchor_A.cdf,2,
FishingTreasureGoodProvisionT3,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasurePigmentT3,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureMoteT3,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
FishingTreasureGearT3,None,28-30,40,200,0.05,1.2,Lazy,true,Objects\Crafting\Props\catchables\Fishing_Kit07\Jav_Prp_ChestFishing.cdf,0.85,
