Level,UpkeepCost,LevelStipend,IntervalStipend,IntervalEarningsCap,CapModifier,NumberOfUpgradesRegressed,WardecCost,TradingPostLevel,EarningsDistributionTID2,EarningsDistributionTID4,EarningsDistributionTID5,EarningsDistributionTID6,EarningsDistributionTID8,EarningsDistributionTID9,EarningsDistributionTID10,EarningsDistributionTID11,EarningsDistributionTID12,EarningsDistributionTID13,EarningsDistributionTID14,EarningsDistributionTID15,EarningsDistributionTID16,EarningsDistributionTID17,TotalDistributionCheck
18,1000000,0,0,100000000,1.425,2,1000000,3,0.0238,0.0475,0.0356,0.0475,0.0356,0,0.0238,0.0238,0.0356,0.0238,0.0475,0.0238,0.0356,0.07125,0.47515
19,1000000,0,0,100000000,1.45,2,1000000,3,0.025,0.05,0.0375,0.05,0.0375,0,0.025,0.025,0.0375,0.025,0.05,0.025,0.0375,0.075,0.5
20,1000000,0,0,100000000,1.475,2,1000000,3,0.0263,0.0525,0.0394,0.0525,0.0394,0,0.0263,0.0263,0.0394,0.0263,0.0525,0.0263,0.0394,0.07875,0.52535
21,1000000,0,0,100000000,1.5,3,1000000,3,0.0275,0.055,0.0413,0.055,0.0413,0,0.0275,0.0275,0.0413,0.0275,0.055,0.0275,0.0413,0.0825,0.5502
22,1000000,0,0,100000000,1.525,3,1000000,3,0.0288,0.0575,0.0431,0.0575,0.0431,0,0.0288,0.0288,0.0431,0.0288,0.0575,0.0288,0.0431,0.08625,0.57515
23,1000000,0,0,100000000,1.55,3,1000000,3,0.03,0.06,0.045,0.06,0.045,0,0.03,0.03,0.045,0.03,0.06,0.03,0.045,0.09,0.6
24,1000000,0,0,100000000,1.575,3,1000000,3,0.0313,0.0625,0.0469,0.0625,0.0469,0,0.0313,0.0313,0.0469,0.0313,0.0625,0.0313,0.0469,0.09375,0.62535
25,1000000,0,0,100000000,1.6,3,1000000,3,0.0325,0.065,0.0488,0.065,0.0488,0,0.0325,0.0325,0.0488,0.0325,0.065,0.0325,0.0488,0.0975,0.6502
26,1000000,0,0,100000000,1.625,4,1000000,3,0.0338,0.0675,0.0506,0.0675,0.0506,0,0.0338,0.0338,0.0506,0.0338,0.0675,0.0338,0.0506,0.10125,0.67515
27,1000000,0,0,100000000,1.65,4,1000000,3,0.035,0.07,0.0525,0.07,0.0525,0,0.035,0.035,0.0525,0.035,0.07,0.035,0.0525,0.105,0.7
28,1000000,0,0,100000000,1.675,4,1000000,3,0.0363,0.0725,0.0544,0.0725,0.0544,0,0.0363,0.0363,0.0544,0.0363,0.0725,0.0363,0.0544,0.10875,0.72535
29,1000000,0,0,100000000,1.7,4,1000000,3,0.0375,0.075,0.0563,0.075,0.0563,0,0.0375,0.0375,0.0563,0.0375,0.075,0.0375,0.0563,0.1125,0.7502
30,1000000,0,0,100000000,1.725,5,1000000,3,0.0388,0.0775,0.0581,0.0775,0.0581,0,0.0388,0.0388,0.0581,0.0388,0.0775,0.0388,0.0581,0.11625,0.77515
31,1000000,0,0,100000000,1.75,5,1000000,3,0.04,0.08,0.06,0.08,0.06,0,0.04,0.04,0.06,0.04,0.08,0.04,0.06,0.12,0.8
32,1000000,0,0,100000000,1.775,5,1000000,3,0.0413,0.0825,0.0619,0.0825,0.0619,0,0.0413,0.0413,0.0619,0.0413,0.0825,0.0413,0.0619,0.12375,0.82535
33,1000000,0,0,100000000,1.8,6,1000000,3,0.0425,0.085,0.0638,0.085,0.0638,0,0.0425,0.0425,0.0638,0.0425,0.085,0.0425,0.0638,0.1275,0.8502
34,1000000,0,0,100000000,1.825,6,1000000,3,0.0438,0.0875,0.0656,0.0875,0.0656,0,0.0438,0.0438,0.0656,0.0438,0.0875,0.0438,0.0656,0.13125,0.87515
35,1000000,0,0,100000000,1.85,6,1000000,3,0.045,0.09,0.0675,0.09,0.0675,0,0.045,0.045,0.0675,0.045,0.09,0.045,0.0675,0.135,0.9
36,1000000,0,0,100000000,2.85,7,1000000,3,0.0463,0.0925,0.0694,0.0925,0.0694,0,0.0463,0.0463,0.0694,0.0463,0.0925,0.0463,0.0694,0.13875,0.92535
37,1000000,0,0,100000000,3.85,7,1000000,3,0.0475,0.095,0.0713,0.095,0.0713,0,0.0475,0.0475,0.0713,0.0475,0.095,0.0475,0.0713,0.1425,0.9502
38,1000000,0,0,100000000,4.85,7,1000000,3,0.0488,0.0975,0.0731,0.0975,0.0731,0,0.0488,0.0488,0.0731,0.0488,0.0975,0.0488,0.0731,0.14625,0.97515
39,1000000,0,0,100000000,5.85,8,1000000,3,0.05,0.1,0.075,0.1,0.075,0,0.05,0.05,0.075,0.05,0.1,0.05,0.075,0.15,1
40,1000000,0,0,100000000,6.85,8,1000000,3,0.05,0.1,0.075,0.1,0.075,0,0.05,0.05,0.075,0.05,0.1,0.05,0.075,0.15,1
41,1000000,0,0,100000000,7.85,8,1000000,3,0.05,0.1,0.075,0.1,0.075,0,0.05,0.05,0.075,0.05,0.1,0.05,0.075,0.15,1
42,1000000,0,0,100000000,8.85,8,1000000,3,0.05,0.1,0.075,0.1,0.075,0,0.05,0.05,0.075,0.05,0.1,0.05,0.075,0.15,1
43,1000000,0,0,100000000,9.85,8,1000000,3,0.05,0.1,0.075,0.1,0.075,0,0.05,0.05,0.075,0.05,0.1,0.05,0.075,0.15,1
44,1000000,0,0,100000000,10.85,8,1000000,3,0.05,0.1,0.075,0.1,0.075,0,0.05,0.05,0.075,0.05,0.1,0.05,0.075,0.15,1
45,1000000,0,0,100000000,11.85,8,1000000,3,0.05,0.1,0.075,0.1,0.075,0,0.05,0.05,0.075,0.05,0.1,0.05,0.075,0.15,1
