MissionID,MissionTier,ObjectiveID,IsCustomObjective,CategoricalProgressionId,IsPvpMission,AvailableTerritoryId,RequiredFaction,RequiredFortControlStatus,ReturnToGiverOverride,IsSettlementValidDestination,IsOutpostValidDestination,TaskKillContributionOverride,TaskKillContributionQtyOverride,TerritoryIDOverride,POITagOverride,TaskGiveAndTakeItemOverride,TaskHaveAndReturnItemsOverride,TaskHaveAndReturnItemsQtyOverride,TaskHaveAndReturnItemsDropProbabilityOverride,TaskHaveAndReturnChestDropProbabilityOverride,TaskHaveAndReturnItemsItemsDropVCOverride,LootTagOverride,PauseAndClearLootOnTaskCompleteOverride,TurninDistance,TaskTimerOverride,SuccessGameEventIdOverride,FailureGameEventIdOverride,TitleOverride,DescriptionOverride,ImagePath,MissionGoalType,ProviderDistanceLimit,MinLevel,MaxLevel,RequiredTradeskill,TradeskillLevel,Enabled,DevName,VCLevelRange,RecommendedGroupSize,PatrolDuration,PatrolPoi1,PatrolPoi2,PatrolPoi3,PatrolPoi4,GrantRewardsToOriginTerritory,ReleaseVersionOverride,ORMReleaseEventTagsOverride,OverrideLocation
FM_Raid_0202,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,6,,abandoned_village_40328,,,,,,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,25,32,,,1,,28,,,,,,,,,,
FM_Raid_0203,1,FM_killx_location,,,,2,Marauder,,true,false,false,Nightmare,8,,abandoned_village_40310,,,,,,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,26,32,,,1,,28,,,,,,,,,,
FM_Raid_0204,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,6,,abandoned_village_40256,,,,,,,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,24,31,,,1,,27,,,,,,,,,,
FM_Raid_0205,1,FM_killx_location,,,,2,Marauder,,true,false,false,Pirate,7,,abandoned_village_40260,,,,,,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_undead1.png,Raid,,26,32,,,1,,28,,,,,,,,,,
FM_Raid_0206,1,FM_killx_location,,,,2,Marauder,,true,false,false,Corrupted,8,,lumbermill_40202,,,,,,,,true,,,FactionV2_29,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_corrupted2.png,Raid,,27,33,,,1,,29,,,,,,,,,,
FM_Raid_0207,1,FM_killx_location,,,,2,Marauder,,true,false,false,Anguished,8,,abandoned_village_40257,,,,,,,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,24,31,,,1,,27,,,,,,,,,,
FM_Raid_0208,1,FM_killx_location,,,,2,Marauder,,true,false,false,Anointed,8,,abandoned_village_40261,,,,,,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,26,32,,,1,,28,,,,,,,,,,
FM_Raid_0209,1,FM_killx_location,,,,2,Marauder,,true,false,false,Anointed,6,,abandoned_village_40262,,,,,,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,30,36,,,1,,32,,,,,,,,,,
FM_Raid_0210,1,FM_killx_location,,,,2,Marauder,,true,false,false,Anointed,6,,abandoned_village_40263,,,,,,,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,31,37,,,1,,33,,,,,,,,,,
FM_Raid_0211,1,FM_killx_location,,,,2,Marauder,,true,false,false,Anointed,4,,abandoned_village_40264,,,,,,,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,31,37,,,1,,33,,,,,,,,,,
FM_Raid_0212,1,FM_killx_location,,,,2,Marauder,,true,false,false,Undead_GraveDigger_Named_02,1,,graveyard_40327,,,,,,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,32,60,,,1,,34,,,,,,,,,,
FM_Raid_0213,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,3,,abandoned_village_40258,,,,,,,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,25,31,,,1,,27,,,,,,,,,,
FM_Raid_0215,1,FM_killx_location,,,,2,Marauder,,true,false,false,Mindstruck,8,,abandoned_village_40249,,,,,,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,32,60,,,1,,34,,,,,,,,,,
FM_Raid_0216,1,FM_killx_location,,,,2,Marauder,,true,false,false,Mindstruck,8,,abandoned_farm_village_40251,,,,,,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,32,60,,,1,,34,,,,,,,,,,
FM_Raid_0217,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,5,,abandoned_village_40250,,,,,,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,32,60,,,1,,34,,,,,,,,,,
FM_Raid_0218,1,FM_killx_location,,,,2,Marauder,,true,false,false,Mindstruck,5,,abandoned_village_40252,,,,,,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,32,60,,,1,,34,,,,,,,,,,
FM_Raid_0219,1,FM_killx_location,,,,2,Marauder,,true,false,false,Bronzeroot,8,,cave_40229,,,,,,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_angryEarth2.png,Raid,,30,36,,,1,,32,,,,,,,,,,
FM_Raid_0220,1,FM_killx_location,,,,2,Marauder,,true,false,false,Bronzeroot,5,,cave_40248,,,,,,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_angryEarth2.png,Raid,,30,36,,,1,,32,,,,,,,,,,
FM_Raid_0221,1,FM_killx_location,,,,2,Marauder,,true,false,false,Bronzeroot,8,,green_defile_40268,,,,,,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_angryEarth2.png,Raid,,30,36,,,1,,32,,,,,,,,,,
FM_Raid_0222,1,FM_killx_location,,,,2,Marauder,,true,false,false,Corrupted,8,,corrupted_camp_40335,,,,,,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_corrupted2.png,Raid,,30,36,,,1,,32,,,,,,,,,,
FM_Raid_0223,1,FM_killx_location,,,,2,Marauder,,true,false,false,Corrupted,8,,mine_40306,,,,,,,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_corrupted2.png,Raid,,31,37,,,1,,33,,,,,,,,,,
FM_Raid_0224,1,FM_killx_location,,,,2,Marauder,,true,false,false,Corrupted,8,,corrupted_camp_40336,,,,,,,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_corrupted2.png,Raid,,31,37,,,1,,33,,,,,,,,,,
FM_Raid_0225,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,8,,abandoned_farm_village_40255,,,,,,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,32,60,,,1,,34,,,,,,,,,,
FM_Raid_0226,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,5,,abandoned_village_40210,,,,,,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,32,60,,,1,,34,,,,,,,,,,
FM_Raid_0227,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,8,,abandoned_village_40253,,,,,,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,26,32,,,1,,28,,,,,,,,,,
FM_Raid_0228,1,FM_killx_location,,,,2,Marauder,,true,false,false,AngryEarth,6,,ancient_ruins_40214,,,,,,,,true,,,FactionV2_31,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_angryEarth2.png,Raid,,29,35,,,1,,31,,,,,,,,,,
FM_Raid_0229,1,FM_killx_location,,,,2,Marauder,,true,false,false,AngryEarth,5,,azure_tree_40222,,,,,,,,true,,,FactionV2_31,FactionMission_Failure,@FactionMission_RAID_title,@FactionMission_RAID_desc,LyShineUI\Images\MissionImages\missionImage_angryEarth2.png,Raid,,29,35,,,1,,31,,,,,,,,,,
FM_Raid_0230,1,FM_killx_location,,,,2,Marauder,,true,false,false,Haunted,8,,brightwoodsisle_40221,,,,,,,,true,,,Faction+V2_35,FactionMission_Failure,@FactionMission_RAID_ELITE_title,@FactionMission_RAID_ELITE_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,33,60,,,1,,35,3,,,,,,,,,
FM_Loot_0201,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40254,,FM_loot_item_1_02,4,,100,,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,25,31,,,0,,27,,,,,,,,,,
FM_Loot_0202,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40328,,FM_loot_item_2_02,3,,100,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,26,32,,,1,,28,,,,,,,,,,
FM_Loot_0203,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40310,,FM_loot_item_3_02,7,,100,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,26,32,,,1,,28,,,,,,,,,,
FM_Loot_0204,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40256,,FM_loot_item_4_02,2,,100,,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,24,31,,,1,,27,,,,,,,,,,
FM_Loot_0205,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40260,,FM_loot_item_5_02,3,,100,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,26,32,,,1,,28,,,,,,,,,,
FM_Loot_0206,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,lumbermill_40202,,FM_loot_item_6_02,7,,100,,,true,,,FactionV2_31,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,29,35,,,1,,31,,,,,,,,,,
FM_Loot_0208,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40257,,FM_loot_item_9_02,7,,100,,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,24,31,,,1,,27,,,,,,,,,,
FM_Loot_0209,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40261,,FM_loot_item_11_02,7,,100,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,25,32,,,1,,28,,,,,,,,,,
FM_Loot_0210,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40262,,FM_loot_item_12_02,5,,100,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,30,36,,,1,,32,,,,,,,,,,
FM_Loot_0211,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40263,,FM_loot_item_13_02,3,,100,,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,31,37,,,1,,33,,,,,,,,,,
FM_Loot_0212,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40264,,FM_loot_item_14_02,2,,100,,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,31,37,,,1,,33,,,,,,,,,,
FM_Loot_0215,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40249,,FM_loot_item_19_02,7,,100,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,32,60,,,1,,34,,,,,,,,,,
FM_Loot_0216,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_farm_village_40251,,FM_loot_item_20_02,2,,100,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,32,60,,,1,,34,,,,,,,,,,
FM_Loot_0217,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40252,,FM_loot_item_21_02,2,,100,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,32,60,,,1,,34,,,,,,,,,,
FM_Loot_0218,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40250,,FM_loot_item_22_02,2,,100,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,32,60,,,1,,34,,,,,,,,,,
FM_Loot_0219,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,cave_40229,,FM_loot_item_25_02,2,,100,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,30,36,,,1,,32,,,,,,,,,,
FM_Loot_0220,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,cave_40248,,FM_loot_item_26_02,2,,100,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,30,36,,,1,,32,,,,,,,,,,
FM_Loot_0222,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,corrupted_camp_40335,,FM_loot_item_28_02,4,,100,,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,30,36,,,0,,32,,,,,,,,,,
FM_Loot_0223,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_farm_village_40255,,FM_loot_item_29_02,4,,100,,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,32,60,,,1,,34,,,,,,,,,,
FM_Loot_0224,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,abandoned_village_40253,,FM_loot_item_30_02,4,,100,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,26,32,,,1,,28,,,,,,,,,,
FM_Loot_0225,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,brightwoodsisle_40221,,FM_loot_item_1_02,8,,100,,,true,,,Faction+V2_35,FactionMission_Failure,@FactionMission_LOOT_ELITE_title,@FactionMission_LOOT_ELITE_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,33,60,,,1,,35,3,,,,,,,,,
FM_Loot_0226,1,FM_loot_location,,,,2,Marauder,,true,false,false,,,,mine_40306,,FM_loot_item_2_02,8,,100,,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_LOOT_title,@FactionMission_LOOT_desc,LyShineUI\Images\MissionImages\missionImage_mine1.png,Loot,,31,37,,,1,,33,,,,,,,,,,
FM_Hunt_0201,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Wolf_Black_02BW06,3,,brightwood6,,FM_hunt_item_1_02,3,100,,Wolf_Black_02BW06,,true,,,FactionV2_26,FactionMission_Failure,@FactionMission_HUNT_title,@FactionMission_HUNT_desc,LyShineUI\Images\MissionImages\missionImage_wolf.png,Hunt,,24,30,Skinning,55,1,,26,,,,,,,,,,9785 6689 261
FM_Hunt_0203,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Wolf_Black_02BW07,3,,brightwood7,,FM_hunt_item_3_02,3,100,,Wolf_Black_02BW07,,true,,,FactionV2_27,FactionMission_Failure,@FactionMission_HUNT_title,@FactionMission_HUNT_desc,LyShineUI\Images\MissionImages\missionImage_wolf.png,Hunt,,25,31,Skinning,55,1,,27,,,,,,,,,,10036 5914 235
FM_Hunt_0204,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Bear_Black_02BW08,3,,brightwood8,,FM_hunt_item_4_02,3,100,,Bear_Black_02BW08,,true,,,FactionV2_34,FactionMission_Failure,@FactionMission_HUNT_title,@FactionMission_HUNT_desc,LyShineUI\Images\MissionImages\missionImage_bear.png,Hunt,,32,38,Skinning,70,1,,34,,,,,,,,,,
FM_Hunt_0205,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Wolf_Black_02BW03b,1,,brightwood3,,FM_hunt_item_5_02,1,100,,Wolf_Black_02BW03b,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_TROPHYHUNT_title,@FactionMission_TROPHYHUNT_desc,LyShineUI\Images\MissionImages\missionImage_wolf.png,Hunt,,31,60,Skinning,70,1,,33,,,,,,,,,,9657 5400 168
FM_Hunt_0206,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Wolf_Elemental_Earth_02BW04,3,,brightwood4,,FM_hunt_item_6_02,3,100,,Wolf_Elemental_Earth_02BW04,,true,,,FactionV2_33,FactionMission_Failure,@FactionMission_HUNT_title,@FactionMission_HUNT_desc,LyShineUI\Images\MissionImages\missionImage_wolf.png,Hunt,,31,60,Logging,100,1,,33,,,,,,,,,,10084 5189 181
FM_Hunt_0207,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Mountain_Lion_02BW05,3,,brightwood5,,FM_hunt_item_7_02,3,100,,Mountain_Lion_02BW05,,true,,,FactionV2_32,FactionMission_Failure,@FactionMission_HUNT_title,@FactionMission_HUNT_desc,LyShineUI\Images\MissionImages\missionImage_lynx.png,Hunt,,30,36,Skinning,70,1,,32,,,,,,,,,,8920 6547 306
FM_Hunt_0208,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Bear_Black_27,1,,brightwood2,,FM_hunt_item_8_02,1,100,,Bear_Black_27,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_TROPHYHUNT_title,@FactionMission_TROPHYHUNT_desc,LyShineUI\Images\MissionImages\missionImage_bear.png,Hunt,,26,32,Skinning,55,1,,28,,,,,,,,,,9309 5949 185
FM_Hunt_0209,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Wolf_Black_02BW01,3,,brightwood1,,FM_hunt_item_9_02,3,100,,Wolf_Black_02BW01,,true,,,FactionV2_31,FactionMission_Failure,@FactionMission_HUNT_title,@FactionMission_HUNT_desc,LyShineUI\Images\MissionImages\missionImage_wolf.png,Hunt,,29,35,Skinning,70,1,,31,,,,,,,,,,8373 6189 185
FM_Hunt_0210,1,FM_huntx_location,,,,2,Marauder,,true,false,false,Bear_Grizzly_Named_00,1,,bear_den_50391,,FM_hunt_item_4_02,1,100,,Bear_Grizzly_Named_00,,true,,,FactionV2_35,FactionMission_Failure,@FactionMission_TROPHYHUNT_title,@FactionMission_TROPHYHUNT_desc,LyShineUI\Images\MissionImages\missionImage_bear.png,Hunt,,33,35,Skinning,70,1,,35,,,,,,,,,,
FM_Ass_0201,1,FM_killx_location,,,,2,Marauder,,true,false,false,Undead_Hunter_Named_00,1,,abandoned_village_40328,,,,,,,,true,,,FactionV2_29,FactionMission_Failure,@FactionMission_ASSASSINATE_title,@FactionMission_ASSASSINATE_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,27,32,,,1,,29,,,,,,,,,,9995.424 6536.312 265.089
FM_Ass_0202,1,FM_killx_location,,,,2,Marauder,,true,false,false,Withered_Brute_Named_06,1,,abandoned_village_40257,,,,,,,,true,,,FactionV2_28,FactionMission_Failure,@FactionMission_ASSASSINATE_title,@FactionMission_ASSASSINATE_desc,LyShineUI\Images\MissionImages\missionImage_withered1.png,Raid,,26,31,,,1,,28,,,,,,,,,,9048.425 5292.171 156.701
FM_Ass_0203,1,FM_killx_location,,,,2,Marauder,,true,false,false,Ghost_Shackled_Named_00,1,,brightwoodsisle_40221,,,,,,,,true,,,Faction+V2_35,FactionMission_Failure,@FactionMission_ASSASSINATE_ELITE_title,@FactionMission_ASSASSINATE_ELITE_desc,LyShineUI\Images\MissionImages\missionImage_wraith1.png,Raid,,33,60,,,1,,35,3,,,,,,,,,9564.442 5527.866 188.933
