WeaponID,BaseWeaponID,DEV Prio,PrimaryUse,IconPath,MaxStackSize,EquipType,DamageStatMultiplier,WeaponMasteryCategoryId,TierNumber,BaseDamage,CritChance,CritDamageMultiplier,BaseStaggerDamage,CritStaggerDamageMultiplier,ReticleName,ReticleTargetName,ReticleRayCastDistance,AmmoType,MaxLoadedAmmo,AutoReloadAmmoSeconds,AmmoMesh,MannequinTag,OffHandMannequinTag,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,FireJoint,DamageTableRow,TooltipPrimaryAttackData,TooltipAlternateAttackData,AnimDbPath,GatheringTypes,GatheringMultiplier,GatheringEfficiency,MinGatherEFF,MaxGatherEFF,AudioPickup,AudioPlace,Primary Hand,EquipmentCategories,RequiredStrength,RequiredDexterity,RequiredIntelligence,RequiredFocus,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingFocus,Resistances,Weaknesses,StatBonuses,StatMultipliers,EquipmentCategoryMultiplier,AttackGameEventID,PhysicalArmorSetScaleFactor,ElementalArmorSetScaleFactor,ArmorRatingScaleFactor,WeightOverride,BlockStaminaDamage,BlockStability,DeflectionRating,DisablePerksOnSheathe,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,RangedAttackProfile,AttachedSpellData,Appearance,FemaleAppearance,CanBlockRanged,ManaCostId,WeaponEffectId,BaseAccuracy,SoundTableID
1hSickleT5,,1,Tool,Sickle,1,RSword_LeftHolster,OneHandPickDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Sickle, Tool",Melee_OH,Objects\Weapons\Tools\1h\SickleA\wep_tl1h_SickleA_T5.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Cutting,1,8,6.25,8.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,20,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
LoggingAxeT1,,1,Tool,LoggingAxe,1,Hammer_Axe,TwoHandAxeDamage,,0,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Axe, Tool",,Objects\Weapons\Tools\2h\LoggingAxeA\wep_axe2h_loggingaxea_t1.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Axe_Attack2,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Chopping,1,1.35,2,2,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,40,15,2,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
LoggingAxeT2,,1,Tool,LoggingAxe,1,Hammer_Axe,TwoHandAxeDamage,,1,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Axe, Tool",,Objects\Weapons\Tools\2h\LoggingAxeA\wep_axe2h_loggingaxea_t2.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Chopping,1,2,2,3.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,40,15,2,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
LoggingAxeT3,,1,Tool,LoggingAxe,1,Hammer_Axe,TwoHandAxeDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Axe, Tool",,Objects\Weapons\Tools\2h\LoggingAxeA\wep_axe2h_loggingaxea_t3.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Chopping,1,3,3.5,4.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,40,15,2,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
LoggingAxeT4,,1,Tool,LoggingAxe,1,Hammer_Axe,TwoHandAxeDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Axe, Tool",,Objects\Weapons\Tools\2h\LoggingAxeA\wep_axe2h_loggingaxea_t4.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Chopping,1,5,4.5,6.25,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,40,15,2,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
LoggingAxeT5,,1,Tool,LoggingAxe,1,Hammer_Axe,TwoHandAxeDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Axe, Tool",,Objects\Weapons\Tools\2h\LoggingAxeA\wep_axe2h_loggingaxea_t5.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Chopping,1,8,6.25,8.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,40,15,2,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
1hPickT1,,1,Tool,PickAxe,1,RSword_LeftHolster,OneHandPickDamage,,0,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Pick, Tool",Melee_OH,Objects/Weapons/Tools/1h/PickA/wep_tl1h_picka_t0.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Mining,1,1.35,2,2,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,20,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
2hPickT1,,3,Tool,PickAxe,1,Hammer_Axe,TwoHandPickDamage,,0,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Pick, Tool",Melee_OH,Objects/Weapons/Tools/2h/PickaxeA/wep_tl2h_pickaxea_t1.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Mining,1,1.35,2,2,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,35,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
2hPickT2,,3,Tool,PickAxe,1,Hammer_Axe,TwoHandPickDamage,,1,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Pick, Tool, SmokeAim",Melee_OH,Objects\Weapons\Tools\2h\PickaxeA\wep_tl2h_pickaxea_t2.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Mining,1,2,2,3.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,35,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
2hPickT3,,3,Tool,PickAxe,1,Hammer_Axe,TwoHandPickDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Pick, Tool, SmokeAim",Melee_OH,Objects\Weapons\Tools\2h\PickaxeA\wep_tl2h_pickaxea_t3.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Mining,1,3,3.5,4.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,35,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
2hPickT4,,3,Tool,PickAxe,1,Hammer_Axe,TwoHandPickDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Pick, Tool, SmokeAim",Melee_OH,Objects\Weapons\Tools\2h\PickaxeA\wep_tl2h_pickaxea_t4.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Mining,1,5,4.5,6.25,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,35,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
2hPickT5,,3,Tool,PickAxe,1,Hammer_Axe,TwoHandPickDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"2H_Melee, Pick, Tool, SmokeAim",Melee_OH,Objects\Weapons\Tools\2h\PickaxeA\wep_tl2h_pickaxea_t5.cdf,,,,,,,,,,,2H_Tool_Attack,2H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,Mining,1,8,6.25,8.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,35,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.5,0.5,0.5,,,,,,,,89,
2hFishingPoleT1,,1,Tool,LoggingAxe,1,Hammer_Axe,,,0,,,,,,melee,bowHaveTarget,3,,,,,"1H_Melee, FishingPole, Tool",,Objects/Weapons/Gear/FishingPoleA/fishingpolea.cdf,,,,,,,,,bind_spline_g,,,,Animations/Mannequin/ADB/PlayerMaleAnims_FishingAttach.adb,Fishing,1,1,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,25,0,,,,,,,,,,,,,,,,,,,,,,,,,89,
2hFishingPoleT2,,1,Tool,LoggingAxe,1,Hammer_Axe,,,0,,,,,,melee,bowHaveTarget,3,,,,,"1H_Melee, FishingPole, Tool",,Objects/Weapons/Gear/FishingPoleA/fishingpolea.cdf,,,,,,,,,bind_spline_g,,,,Animations/Mannequin/ADB/PlayerMaleAnims_FishingAttach.adb,Fishing,2,1.5,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,25,0,,,,,,,,,,,,,,,,,,,,,,,,,89,
2hFishingPoleT3,,1,Tool,LoggingAxe,1,Hammer_Axe,,,0,,,,,,melee,bowHaveTarget,3,,,,,"1H_Melee, FishingPole, Tool",,Objects/Weapons/Gear/FishingPoleA/fishingpolea.cdf,,,,,,,,,bind_spline_g,,,,Animations/Mannequin/ADB/PlayerMaleAnims_FishingAttach.adb,Fishing,3,2,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,25,0,,,,,,,,,,,,,,,,,,,,,,,,,89,
2hFishingPoleT4,,1,Tool,LoggingAxe,1,Hammer_Axe,,,0,,,,,,melee,bowHaveTarget,3,,,,,"1H_Melee, FishingPole, Tool",,Objects/Weapons/Gear/FishingPoleA/fishingpolea.cdf,,,,,,,,,bind_spline_g,,,,Animations/Mannequin/ADB/PlayerMaleAnims_FishingAttach.adb,Fishing,3,2,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,25,0,,,,,,,,,,,,,,,,,,,,,,,,,89,
2hFishingPoleT5,,1,Tool,LoggingAxe,1,Hammer_Axe,,,0,,,,,,melee,bowHaveTarget,3,,,,,"1H_Melee, FishingPole, Tool",,Objects/Weapons/Gear/FishingPoleA/fishingpolea.cdf,,,,,,,,,bind_spline_g,,,,Animations/Mannequin/ADB/PlayerMaleAnims_FishingAttach.adb,Fishing,3,2,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,25,0,,,,,,,,,,,,,,,,,,,,,,,,,89,
SwordT1,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,SwordAbilityTable,0,64,0.03,1.3,28,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Sword",Melee_OH,Objects\Weapons\Melee\Swords\1h\SwordA\jav_wep_me1h_sw_sworda_t0.cdf,,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0.009,0.0065,0,0,,,,,,WeaponHit1,,,,,28,20,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Sword,89,1H_Sword
SwordT2,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,SwordAbilityTable,1,64,0.03,1.3,30,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Sword",Melee_OH,Objects\Weapons\Melee\Swords\1h\StraightSwordA\wep_me1h_sw_straightsworda_t2.cdf,,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0.009,0.0065,0,0,,,,,,WeaponHit2,,,,,30,20,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Sword,89,1H_Sword
SwordT3,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,SwordAbilityTable,2,64,0.03,1.3,32,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Sword",Melee_OH,Objects\Weapons\Melee\Swords\1h\StraightSwordA\wep_me1h_sw_straightsworda_t3.cdf,,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0.009,0.0065,0,0,,,,,,WeaponHit3,,,,,32,20,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Sword,89,1H_Sword
SwordT4,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,SwordAbilityTable,2,64,0.03,1.3,34,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Sword",Melee_OH,Objects\Weapons\Melee\Swords\1h\StraightSwordA\wep_me1h_sw_straightsworda_t4.cdf,,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0.009,0.0065,0,0,,,,,,WeaponHit4,,,,,34,20,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Sword,89,1H_Sword
SwordT5,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,SwordAbilityTable,2,64,0.03,1.3,36,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Sword",Melee_OH,Objects\Weapons\Melee\Swords\1h\StraightSwordA\wep_me1h_sw_straightsworda_t5.cdf,,,,,,,,,,,1H_Sword_Attack1,1H_Sword_Attack2,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0.009,0.0065,0,0,,,,,,WeaponHit5,,,,,36,20,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Sword,89,1H_Sword
RapierT2,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,RapierAbilityTable,2,61,0.05,1.4,26,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Rapier",Melee_OH,Objects\Weapons\Melee\Swords\1h\RapierA\wep_me1h_sw_rapiera_t2.cdf,,,,,,,,,,,1H_Rapier_PrimaryAttack,1H_Rapier_HeavyAttack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0.009,0.0065,0,,,,,,WeaponHit2,,,,,26,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Rapier,89,1H_Sword
RapierT3,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,RapierAbilityTable,2,61,0.05,1.4,28,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Rapier",Melee_OH,Objects\Weapons\Melee\Swords\1h\RapierA\wep_me1h_sw_rapiera_t3.cdf,,,,,,,,,,,1H_Rapier_PrimaryAttack,1H_Rapier_HeavyAttack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0.009,0.0065,0,,,,,,WeaponHit3,,,,,28,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Rapier,89,1H_Sword
RapierT4,,3,Combat Melee,weapon_ironrapier,1,RSword_LeftHolster,OneHandSwordDamage,RapierAbilityTable,2,61,0.05,1.4,30,1.5,melee,spearHaveTarget,3,,,,,"1H_Melee, Rapier",Melee_OH,Objects\Weapons\Melee\Swords\1h\RapierA\wep_me1h_sw_rapiera_t4.cdf,,,,,,,,,,,1H_Rapier_PrimaryAttack,1H_Rapier_HeavyAttack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0.009,0.0065,0,,,,,,WeaponHit4,,,,,30,15,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,SpecialAttack,Rapier,89,1H_Sword
