PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,DeprecatedPerkId,ScalingPerGearScore,ItemClassGSBonus,DisplayName,Description,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,Category
OneHandSpellsword3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandSpellsword4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSpellsword1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSpellsword2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSpellsword3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandSpellsword4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@SpellswordSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorBarbarian1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorBarbarian2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorBarbarian3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorBarbarian4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandBarbarian1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandBarbarian2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandBarbarian3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandBarbarian4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandBarbarian1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandBarbarian2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandBarbarian3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandBarbarian4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@BarbarianSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorMonk1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorMonk2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorMonk3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorMonk4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandMonk1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandMonk2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandMonk3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandMonk4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandMonk1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandMonk2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandMonk3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandMonk4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@MonkSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorCavalier1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorCavalier2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorCavalier3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorCavalier4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandCavalier1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandCavalier2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandCavalier3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandCavalier4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandCavalier1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandCavalier2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandCavalier3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
TwoHandCavalier4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@CavalierSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorRanger1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@RangerSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorRanger2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@RangerSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorRanger3,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,3,Attribute,,,,,,,,,,@RangerSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
ArmorRanger4,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,4,Attribute,,,,,,,,,,@RangerSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandRanger1,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,1,Attribute,,,,,,,,,,@RangerSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
OneHandRanger2,Inherent,OnEquip,,EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableAmulet+EquippableRing+EquippableToken+EquippableTool+EquippableMainHand+EquippableTwoHand,2,Attribute,,,,,,,,,,@RangerSuffix,,LyShineUI\Images\Icons\Misc\icon_attribute_arrow.png,,,,,,,
