PerkID,PerkType,ConditionEvent,ItemClass,ExcludeItemClass,Channel,ExclusiveLabels,ItemPerkConflictsLocText,DeprecatedPerkId,ScalingPerGearScore,ScalingPerGearScoreAttributes,ItemClassGSBonus,DisplayName,SecondaryEffectDisplayName,Description,StatDisplayText,GroupName,Tier,ExcludeFromTradingPost,AppliedPrefix,AppliedSuffix,NamePriority,IconPath,Affix,EquipAbility,DayPhases,FishingWaterType,TerritoryId,CombatStatus,WeaponTag,Category,WorldTags,OnlyInOpenWorld,OpenWorldOnlyOverrideGameModes,ScheduleID,Sorting,Includes
PerkID_SetInfix_SecondWind_Perk_Feet,Inherent,OnEquip,EquippableFeet,,1,Infix,,,,,,@PerkID_SetInfix_SecondWind_Perk_Feet_Name,,@PerkID_SetInfix_SecondWind_Perk_Feet_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_SecondWind_Feet,,,,,,,,,,,SetInfix,
PerkID_SetBonus_ProtectorsBlessing_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_ProtectorsBlessing_Perk1_Name,,@PerkID_SetBonus_ProtectorsBlessing_Perk1_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_ProtectorsBlessing_Perk1_AddStack,AbilityTable_SetBonus_ProtectorsBlessing_Perk1_Fortify",,,,,,,,,,,SetBonus,
PerkID_SetBonus_ProtectorsBlessing_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_ProtectorsBlessing_Perk2_Name,,@PerkID_SetBonus_ProtectorsBlessing_Perk2_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_ProtectorsBlessing_Perk2_DmgBonus,AbilityTable_SetBonus_ProtectorsBlessing_Perk2_HoT",,,,,,,,,,,SetBonus,
PerkID_SetBonus_ElementallyCharged_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_ElementallyCharged_Perk1_Name,,@PerkID_SetBonus_ElementallyCharged_Perk1_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_ElementallyCharged_Perk1_AddCharge_InCmbt,AbilityTable_SetBonus_ElementallyCharged_Perk1_AddCharge,AbilityTable_SetBonus_ElementallyCharged_Perk1_AddCharge_NoReaction,AbilityTable_SetBonus_ElementallyCharged_Perk1_UseCharge,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Fire,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Ice,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Void,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Nature,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Fire_BB,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Ice_BB,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Void_BB,AbilityTable_SetBonus_ElementallyCharged_Perk1_DmgBonus_Nature_BB",,,,,,,,,,,SetBonus,
PerkID_SetBonus_ElementallyCharged_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_ElementallyCharged_Perk2_Name,,@PerkID_SetBonus_ElementallyCharged_Perk2_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_ElementallyCharged_Perk2_ElementalResist,,,,,,,,,,,SetBonus,
PerkID_SetInfix_ElementallyCharged_Perk_Chest,Inherent,OnEquip,EquippableChest,,1,Infix,,,,,,@PerkID_SetInfix_ElementallyCharged_Perk_Chest_Name,,@PerkID_SetInfix_ElementallyCharged_Perk_Chest_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_ElementallyCharged_Chest,,,,,,,,,,,SetInfix,
PerkID_SetInfix_ElementallyCharged_Perk_Head,Inherent,OnEquip,EquippableHead,,1,Infix,,,,,,@PerkID_SetInfix_ElementallyCharged_Perk_Head_Name,,@PerkID_SetInfix_ElementallyCharged_Perk_Head_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_ElementallyCharged_Head,,,,,,,,,,,SetInfix,
PerkID_SetInfix_ElementallyCharged_Perk_Legs,Inherent,OnEquip,EquippableLegs,,1,Infix,,,,,,@PerkID_SetInfix_ElementallyCharged_Perk_Legs_Name,,@PerkID_SetInfix_ElementallyCharged_Perk_Legs_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_ElementallyCharged_Legs,,,,,,,,,,,SetInfix,
PerkID_SetInfix_ElementallyCharged_Perk_Feet,Inherent,OnEquip,EquippableFeet,,1,Infix,,,,,,@PerkID_SetInfix_ElementallyCharged_Perk_Feet_Name,,@PerkID_SetInfix_ElementallyCharged_Perk_Feet_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_ElementallyCharged_Feet,,,,,,,,,,,SetInfix,
PerkID_SetBonus_Overcharge_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Overcharge_Perk1_Name,,@PerkID_SetBonus_Overcharge_Perk1_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_Overcharged_Perk1_AddCharge_CloseHit,AbilityTable_SetBonus_Overcharged_Perk1_AddCharge_Kill,AbilityTable_SetBonus_Overcharged_Perk1_DmgBonus,AbilityTable_SetBonus_Overcharged_Perk1_GotHit",,,,,,,,,,,SetBonus,
PerkID_SetBonus_Overcharge_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Overcharge_Perk2_Name,,@PerkID_SetBonus_Overcharge_Perk2_Description,,,,TRUE,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Overcharged_Perk2_StamRegen,,,,,,,,,,,SetBonus,
PerkID_SetBonus_Stifling_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Stifling_Perk1_Name,,@PerkID_SetBonus_Stifling_Perk1_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Stifling_Perk1_Silence,,,,,,,,,,,SetBonus,
PerkID_SetBonus_Stifling_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Stifling_Perk2_Name,,@PerkID_SetBonus_Stifling_Perk2_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Stifling_Perk2_Damage,,,,,,,,,,,SetBonus,
PerkID_SetInfix_Stifling_Perk_Amulet,Inherent,OnEquip,EquippableAmulet,,1,Infix,,,,,,@PerkID_SetInfix_Stifling_Perk_Amulet_Name,,@PerkID_SetInfix_Stifling_Perk_Amulet_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Stifling_Amulet,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Stifling_Perk_Gloves,Inherent,OnEquip,EquippableHands,,1,Infix,,,,,,@PerkID_SetInfix_Stifling_Perk_Gloves_Name,,@PerkID_SetInfix_Stifling_Perk_Gloves_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Stifling_Gloves,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Stifling_Perk_Legs,Inherent,OnEquip,EquippableLegs,,1,Infix,,,,,,@PerkID_SetInfix_Stifling_Perk_Legs_Name,,@PerkID_SetInfix_Stifling_Perk_Legs_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Stifling_Legs,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Stifling_Perk_Feet,Inherent,OnEquip,EquippableFeet,,1,Infix,,,,,,@PerkID_SetInfix_Stifling_Perk_Feet_Name,,@PerkID_SetInfix_Stifling_Perk_Feet_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Stifling_Feet,,,,,,,,,,,SetInfix,
PerkID_SetBonus_Tenacity_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Tenacity_Perk1_Name,,@PerkID_SetBonus_Tenacity_Perk1_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Tenacity_Perk1_StaggeredGrit,,,,,,,,,,,SetBonus,
PerkID_SetBonus_Tenacity_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Tenacity_Perk2_Name,,@PerkID_SetBonus_Tenacity_Perk2_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,"AbilityTable_SetBonus_Tenacity_Perk2_LightGrit,AbilityTable_SetBonus_Tenacity_Perk2_GritLifeSteal",,,,,,,,,,,SetBonus,
PerkID_SetInfix_Tenacity_Perk_Ring,Inherent,OnEquip,EquippableRing,,1,Infix,,,,,,@PerkID_SetInfix_Tenacity_Perk_Ring_Name,,@PerkID_SetInfix_Tenacity_Perk_Ring_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Tenacity_Ring,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Tenacity_Perk_Head,Inherent,OnEquip,EquippableHands,,1,Infix,,,,,,@PerkID_SetInfix_Tenacity_Perk_Head_Name,,@PerkID_SetInfix_Tenacity_Perk_Head_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Tenacity_Head,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Tenacity_Perk_Chest,Inherent,OnEquip,EquippableChest,,1,Infix,,,,,,@PerkID_SetInfix_Tenacity_Perk_Chest_Name,,@PerkID_SetInfix_Tenacity_Perk_Chest_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Tenacity_Chest,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Tenacity_Perk_Feet,Inherent,OnEquip,EquippableFeet,,1,Infix,,,,,,@PerkID_SetInfix_Tenacity_Perk_Feet_Name,,@PerkID_SetInfix_Tenacity_Perk_Feet_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Tenacity_Feet,,,,,,,,,,,SetInfix,
PerkID_SetBonus_Focused_Perk1,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Focused_Perk1_Name,,@PerkID_SetBonus_Focused_Perk1_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Focused_Perk1_Heal,,,,,,,,,,,SetBonus,
PerkID_SetBonus_Focused_Perk2,Generated,OnActive,EquippableMainHand+EquippableTwoHand+EquippableChest+EquippableLegs+EquippableHead+EquippableHands+EquippableFeet+EquippableRing+EquippableToken+EquippableAmulet+Shield,,1,,,,,,,@PerkID_SetBonus_Focused_Perk2_Name,,@PerkID_SetBonus_Focused_Perk2_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Focused_Perk2_NoSwap,,,,,,,,,,,SetBonus,
PerkID_SetInfix_Focused_Perk_LifeStaff,Inherent,OnEquip,EquippableMainHand,,1,Infix,,,,,,@PerkID_SetInfix_Focused_Perk_LifeStaff_Name,,@PerkID_SetInfix_Focused_Perk_LifeStaff_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Focused_LifeStaff,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Focused_Perk_Head,Inherent,OnEquip,EquippableHands,,1,Infix,,,,,,@PerkID_SetInfix_Focused_Perk_Head_Name,,@PerkID_SetInfix_Focused_Perk_Head_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Focused_Head,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Focused_Perk_Chest,Inherent,OnEquip,EquippableChest,,1,Infix,,,,,,@PerkID_SetInfix_Focused_Perk_Chest_Name,,@PerkID_SetInfix_Focused_Perk_Chest_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Focused_Chest,,,,,,,,,,,SetInfix,
PerkID_SetInfix_Focused_Perk_Legs,Inherent,OnEquip,EquippableLegs,,1,Infix,,,,,,@PerkID_SetInfix_Focused_Perk_Legs_Name,,@PerkID_SetInfix_Focused_Perk_Legs_Description,,,,,,,,LyShineUI/Images/Icons/Perks/InfixPerk.png,,AbilityTable_SetBonus_Infix_Focused_Legs,,,,,,,,,,,SetInfix,
