LeaderboardId,IsEnabled,Namespace,Rotation,LeaderboardDefinitionId,FactionLeaderboardDefinitionId,DataSheetCategory,DataSheetLBScope,CharacterLeaderboard,GroupLeaderboard,CompanyLeaderboard,FactionLeaderboard,GameMode,FirstLevelCategory,SecondLevelCategory,SecondLevelCategoryPriority,DisplayName,DisplayNamePriority,Category,CategoryPriority,Faction,Rewards,ItemRewards,EntitlementRewards,CategoryDescription,CategoryAdditionalHeader,RewardType,NameString,ValueString
SeasonWarAttackerWins,true,pc,Season,top-character-war-attacking-wins.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
MonthWarDefenderWins,true,pc,Month,top-character-war-defensive-wins.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
SeasonWarDefenderWins,true,pc,Season,top-character-war-defensive-wins.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_category_war,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
MonthCompanyWarWins,true,pc,Month,top-company-war-wins.{world}.{month},company-wins$war.{faction}.{world}.{month},War,World,false,false,true,true,War,Faction War,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_wins
SeasonCompanyWarWins,true,pc,Season,top-company-war-wins.{world}.{season},company-wins$war.{faction}.{world}.{season},War,World,false,false,true,true,War,Faction War,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_display_war_wins,2,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_wins
MonthCompanyWarAttackerWins,true,pc,Month,top-company-war-attacking-wins.{world}.{month},company-attacking-wins$war.{faction}.{world}.{month},War,World,false,false,true,true,War,Faction War,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_wins
SeasonCompanyWarAttackerWins,true,pc,Season,top-company-war-attacking-wins.{world}.{season},company-attacking-wins$war.{faction}.{world}.{season},War,World,false,false,true,true,War,Faction War,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_display_war_attacker_wins,3,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_wins
MonthCompanyWarDefenderWins,true,pc,Month,top-company-war-defensive-wins.{world}.{month},company-defensive-wins$war.{faction}.{world}.{month},War,World,false,false,true,true,War,Faction War,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_wins
SeasonCompanyWarDefenderWins,true,pc,Season,top-company-war-defensive-wins.{world}.{season},company-defensive-wins$war.{faction}.{world}.{season},War,World,false,false,true,true,War,Faction War,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_display_war_defender_wins,4,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_wins
MonthWarKillDeathRatio,true,pc,Month,top-war-kill-death-ratio.{world}.{month},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_kill_death,6,@ui_leaderboard_display_war_kill_death,6,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_ratio
SeasonWarKillDeathRatio,true,pc,Season,top-war-kill-death-ratio.{world}.{season},,War,World,true,false,false,false,War,Faction War,@ui_leaderboard_display_war_kill_death,6,@ui_leaderboard_display_war_kill_death,6,@ui_leaderboard_category_war,,,,,,,,,,@ui_leaderboard_column_ratio
MonthInvasionScore,true,pc,Month,top-invasion-score.{world}.{month},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_score,1,@ui_leaderboard_display_invasion_score,1,@ui_leaderboard_category_invasion,,,,,,@ui_leaderboard_tip_invasion_score,,,,@ui_leaderboard_column_score
SeasonInvasionScore,true,pc,Season,top-invasion-score.{world}.{season},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_score,1,@ui_leaderboard_display_invasion_score,1,@ui_leaderboard_category_invasion,,,"10:Leaderboard_InvasionScoreTop1,50:Leaderboard_InvasionScoreTop10",,"10:EntitlementSkin_Chest_Rank1_LB_Invasion,50:EntitlementSkin_Chest_LB_Invasion",@ui_leaderboard_tip_invasion_score,,InvasionScore,,@ui_leaderboard_column_score
MonthInvasionDamageTaken,true,pc,Month,top-invasion-damage-taken.{world}.{month},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_damage_taken,7,@ui_leaderboard_display_invasion_damage_taken,7,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_damage
SeasonInvasionDamageTaken,true,pc,Season,top-invasion-damage-taken.{world}.{season},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_damage_taken,7,@ui_leaderboard_display_invasion_damage_taken,7,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_damage
MonthInvasionHeals,true,pc,Month,top-invasion-heals.{world}.{month},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_heals,5,@ui_leaderboard_display_invasion_heals,5,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_heals
SeasonInvasionHeals,true,pc,Season,top-invasion-heals.{world}.{season},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_heals,5,@ui_leaderboard_display_invasion_heals,5,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_heals
MonthInvasionWins,true,pc,Month,top-invasion-wins.{world}.{month},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_wins,2,@ui_leaderboard_display_invasion_wins,2,@ui_leaderboard_category_invasion,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
SeasonInvasionWins,true,pc,Season,top-invasion-wins.{world}.{season},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_wins,2,@ui_leaderboard_display_invasion_wins,2,@ui_leaderboard_category_invasion,,,,,,@ui_leaderboard_tip_inv_war_wins,,,,@ui_leaderboard_column_wins
MonthInvasionKills,true,pc,Month,top-invasion-kills.{world}.{month},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_kills,3,@ui_leaderboard_display_invasion_kills,3,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_kills
SeasonInvasionKills,true,pc,Season,top-invasion-kills.{world}.{season},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_kills,3,@ui_leaderboard_display_invasion_kills,3,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_kills
MonthInvasionKillDeathRatio,true,pc,Month,top-invasion-kill-death-ratio.{world}.{month},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_kill_death,4,@ui_leaderboard_display_invasion_kill_death,4,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_ratio
SeasonInvasionKillDeathRatio,true,pc,Season,top-invasion-kill-death-ratio.{world}.{season},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_kill_death,4,@ui_leaderboard_display_invasion_kill_death,4,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_ratio
MonthInvasionDamageDealt,true,pc,Month,top-invasion-damage-dealt.{world}.{month},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_damage_dealt,8,@ui_leaderboard_display_invasion_damage_dealt,8,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_damage
SeasonInvasionDamageDealt,true,pc,Season,top-invasion-damage-dealt.{world}.{season},,Invasion,World,true,false,false,false,Invasion,Vs. Environment,@ui_leaderboard_display_invasion_damage_dealt,8,@ui_leaderboard_display_invasion_damage_dealt,8,@ui_leaderboard_category_invasion,,,,,,,,,,@ui_leaderboard_column_damage
MonthRegionalOutpostRushScore,true,pc,Month,top-outpost-rush-score.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_score,2,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_outpostrush_score,,,,@ui_leaderboard_column_score
SeasonRegionalOutpostRushScore,true,pc,Season,top-outpost-rush-score.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_score,2,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_outpostrush_score,,,,@ui_leaderboard_column_score
MonthRegionalOutpostRushHeals,true,pc,Month,top-outpost-rush-heals.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_heals,5,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_heals
SeasonRegionalOutpostRushHeals,true,pc,Season,top-outpost-rush-heals.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_heals,5,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_heals
MonthRegionalOutpostRushKills,true,pc,Month,top-outpost-rush-kills.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kills,3,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
SeasonRegionalOutpostRushKills,true,pc,Season,top-outpost-rush-kills.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kills,3,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
MonthRegionalOutpostRushResources,true,pc,Month,top-outpost-rush-resource-contributed.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_resources,8,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_contributed
SeasonRegionalOutpostRushResources,true,pc,Season,top-outpost-rush-resource-contributed.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_resources,8,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_contributed
MonthRegionalOutpostRushNpcKills,true,pc,Month,top-outpost-rush-npc-kills.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_npc_kills,7,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
SeasonRegionalOutpostRushNpcKills,true,pc,Season,top-outpost-rush-npc-kills.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_npc_kills,7,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
MonthRegionalOutpostRushWins,true,pc,Month,top-outpost-rush-wins.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_wins,1,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_wins
SeasonRegionalOutpostRushWins,true,pc,Season,top-outpost-rush-wins.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_wins,1,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,"25:Leaderboard_OutpostRushScoreTop1,100:Leaderboard_OutpostRushScoreTop10",,"25:EntitlementSkin_Chest_Rank1_LB_OPR,100:EntitlementSkin_Chest_LB_OPR",@ui_leaderboard_tip_regional_only,,OutpostRush,,@ui_leaderboard_column_wins
MonthRegionalOutpostRushKillDeathRatio,true,pc,Month,top-outpost-rush-kill-death-ratio.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kill_death,4,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_ratio
SeasonRegionalOutpostRushKillDeathRatio,true,pc,Season,top-outpost-rush-kill-death-ratio.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kill_death,4,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_ratio
MonthRegionalOutpostRushDamageDealt,true,pc,Month,top-outpost-rush-damage-dealt.{month},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_damage_dealt,9,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_damage
SeasonRegionalOutpostRushDamageDealt,true,pc,Season,top-outpost-rush-damage-dealt.{season},,Outpost Rush,Regional,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_damage_dealt,9,@ui_leaderboard_display_regional,1,@ui_leaderboard_category_outpostrush,,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_damage
MonthOutpostRushScore,true,pc,Month,top-outpost-rush-score.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_score,2,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_outpostrush_score,,,,@ui_leaderboard_column_score
SeasonOutpostRushScore,true,pc,Season,top-outpost-rush-score.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_score,2,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_outpostrush_score,,,,@ui_leaderboard_column_score
MonthOutpostRushHeals,true,pc,Month,top-outpost-rush-heals.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_heals,5,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_heals
SeasonOutpostRushHeals,true,pc,Season,top-outpost-rush-heals.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_heals,5,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_heals
MonthOutpostRushKills,true,pc,Month,top-outpost-rush-kills.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kills,3,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
SeasonOutpostRushKills,true,pc,Season,top-outpost-rush-kills.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kills,3,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
MonthOutpostRushResources,true,pc,Month,top-outpost-rush-resource-contributed.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_resources,8,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_contributed
SeasonOutpostRushResources,true,pc,Season,top-outpost-rush-resource-contributed.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_resources,8,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_contributed
MonthOutpostRushNpcKills,true,pc,Month,top-outpost-rush-npc-kills.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_npc_kills,7,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
SeasonOutpostRushNpcKills,true,pc,Season,top-outpost-rush-npc-kills.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_npc_kills,7,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_kills
MonthOutpostRushWins,true,pc,Month,top-outpost-rush-wins.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_wins,1,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_wins
SeasonOutpostRushWins,true,pc,Season,top-outpost-rush-wins.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_wins,1,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,"10:Leaderboard_OutpostRushScoreTop1,50:Leaderboard_OutpostRushScoreTop10",,"10:EntitlementSkin_Chest_Rank1_LB_OPR,50:EntitlementSkin_Chest_LB_OPR",@ui_leaderboard_tip_regional_only,,OutpostRush,,@ui_leaderboard_column_wins
MonthOutpostRushKillDeathRatio,true,pc,Month,top-outpost-rush-kill-death-ratio.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kill_death,4,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_ratio
SeasonOutpostRushKillDeathRatio,true,pc,Season,top-outpost-rush-kill-death-ratio.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_kill_death,4,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_ratio
MonthOutpostRushDamageDealt,true,pc,Month,top-outpost-rush-damage-dealt.{world}.{month},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_damage_dealt,9,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_damage
SeasonOutpostRushDamageDealt,true,pc,Season,top-outpost-rush-damage-dealt.{world}.{season},,Outpost Rush,World,true,false,false,false,OutpostRush,Vs. Players,@ui_leaderboard_display_outpostrush_damage_dealt,9,@ui_leaderboard_display_world_archived,2,@ui_leaderboard_category_outpostrush,2,,,,,@ui_leaderboard_tip_regional_only,,,,@ui_leaderboard_column_damage
MonthDarknessScore,true,pc,Month,top-character-darkness-breaches-score.{world}.{month},,Darkness Breaches,World,true,false,false,false,Darkness,Vs. Environment,@ui_leaderboard_display_darkness_score,,@ui_leaderboard_display_darkness_score,1,@ui_leaderboard_category_darkness,,,,,,@ui_leaderboard_tip_darkness_score,,,,@ui_leaderboard_column_score
SeasonDarknessScore,true,pc,Season,top-character-darkness-breaches-score.{world}.{season},,Darkness Breaches,World,true,false,false,false,Darkness,Vs. Environment,@ui_leaderboard_display_darkness_score,,@ui_leaderboard_display_darkness_score,1,@ui_leaderboard_category_darkness,,,"10:Leaderboard_DarknessBreachesScoreTop1,50:Leaderboard_DarknessBreachesScoreTop10",,"10:EntitlementSkin_Chest_Rank1_LB_Darkness,50:EntitlementSkin_Chest_LB_Darkness",@ui_leaderboard_tip_darkness_score,,DarknessScore,,@ui_leaderboard_column_score
WeekInfluenceEarned,true,pc,Week,top-character-influence.{world}.{week},influence$open-world.{faction}.{world}.{week},Open World PVP,World,true,false,false,true,OpenWorldPvp,Vs. Players,@ui_leaderboard_display_openworldpvp_influence,2,@ui_leaderboard_display_openworldpvp_influence,2,@ui_leaderboard_category_openworldpvp,1,,,,,,,,,@ui_leaderboard_column_influence
SeasonInfluenceEarned,true,pc,Season,top-character-influence.{world}.{season},influence$open-world.{faction}.{world}.{season},Open World PVP,World,true,false,false,true,OpenWorldPvp,Vs. Players,@ui_leaderboard_display_openworldpvp_influence,2,@ui_leaderboard_display_openworldpvp_influence,2,@ui_leaderboard_category_openworldpvp,1,,"10:Leaderboard_OpenWorldPvpInfluenceTop1,50:Leaderboard_OpenWorldPvpInfluenceTop10",,"10:EntitlementSkin_Chest_Rank1_LB_OpenWorld,50:EntitlementSkin_Chest_LB_OpenWorld",,,OpenPvpInfluence,,@ui_leaderboard_column_influence
WeekOpenWorldPvpKills,true,pc,Week,top-character-open-world-kills.{world}.{week},,Open World PVP,World,true,false,false,false,OpenWorldPvp,Vs. Players,@ui_leaderboard_display_openworldpvp_pvp_kills,3,@ui_leaderboard_display_openworldpvp_pvp_kills,3,@ui_leaderboard_category_openworldpvp,1,,,,,,,,,@ui_leaderboard_column_kills
SeasonOpenWorldPvpKills,true,pc,Season,top-character-open-world-kills.{world}.{season},,Open World PVP,World,true,false,false,false,OpenWorldPvp,Vs. Players,@ui_leaderboard_display_openworldpvp_pvp_kills,3,@ui_leaderboard_display_openworldpvp_pvp_kills,3,@ui_leaderboard_category_openworldpvp,1,,,,,,,,,@ui_leaderboard_column_kills
WeekControlPointCaptures,true,pc,Week,top-character-control-point-captures.{world}.{week},faction-captures$faction-control-point.{faction}.{world}.{week},Open World PVP,World,true,false,false,true,OpenWorldPvp,Vs. Players,@ui_leaderboard_display_openworldpvp_controlpoint,1,@ui_leaderboard_display_openworldpvp_controlpoint,1,@ui_leaderboard_category_openworldpvp,1,,,,,,,,,@ui_leaderboard_column_captured
SeasonControlPointCaptures,true,pc,Season,top-character-control-point-captures.{world}.{season},faction-captures$faction-control-point.{faction}.{world}.{season},Open World PVP,World,true,false,false,true,OpenWorldPvp,Vs. Players,@ui_leaderboard_display_openworldpvp_controlpoint,1,@ui_leaderboard_display_openworldpvp_controlpoint,1,@ui_leaderboard_category_openworldpvp,1,,,,,,,,,@ui_leaderboard_column_captured
