ContributionId,Category,Value,Shared,Expires
Spawn_Interacted,interaction,100,false,false
Spawn_Interacted : DarknessCorruptionCore,interaction,1000,false,false
Spawn_Interacted : DarknessMajorMonolithDT1,interaction,1000,false,false
Spawn_Interacted : DarknessMinorMonolithDT1,interaction,1000,false,false
Spawn_Interacted : DarknessPylonDT1,interaction,1000,false,false
Spawn_Interacted : DarknessMajorPortalDT1,interaction,1000,false,false
Spawn_Interacted : DarknessMinorPortalDT1,interaction,1000,false,false
Spawn_Interacted : DarknessMinorSummoningCircleDT1,interaction,1000,false,false
Spawn_Interacted : DarknessMinorFissureDT1,interaction,1000,false,false
Spawn_Interacted : DarknessMinorHiveDT1,interaction,1000,false,false
Spawn_Interacted : DarknessMajorMonolithDT2,interaction,1000,false,false
Spawn_Interacted : DarknessMinorMonolithDT2,interaction,1000,false,false
Spawn_Interacted : DarknessPylonDT2,interaction,1000,false,false
Spawn_Interacted : DarknessMajorPortalDT2,interaction,1000,false,false
Spawn_Interacted : DarknessMinorPortalDT2,interaction,1000,false,false
Spawn_Interacted : DarknessMinorFissureDT2,interaction,1000,false,false
Spawn_Interacted : DarknessMinorHiveDT2,interaction,1000,false,false
Spawn_Interacted : DarknessMajorMonolithDT3,interaction,1000,false,false
Spawn_Interacted : DarknessMinorMonolithDT3,interaction,1000,false,false
Spawn_Interacted : DarknessPylonDT3,interaction,1000,false,false
Spawn_Interacted : DarknessMajorPortalDT3,interaction,1000,false,false
Spawn_Interacted : DarknessMinorPortalDT3,interaction,1000,false,false
Spawn_Interacted : DarknessMinorFissureDT3,interaction,1000,false,false
Spawn_Interacted : DarknessMinorHiveDT3,interaction,1000,false,false
Spawn_Interacted : DarknessMajorMonolithDT4,interaction,1000,false,false
Spawn_Interacted : DarknessMinorMonolithDT4,interaction,1000,false,false
Spawn_Interacted : DarknessPylonDT4,interaction,1000,false,false
Spawn_Interacted : DarknessMajorPortalDT4,interaction,1000,false,false
Spawn_Interacted : DarknessMinorPortalDT4,interaction,1000,false,false
Spawn_Interacted : DarknessMinorFissureDT4,interaction,1000,false,false
Spawn_Interacted : DarknessMinorHiveDT4,interaction,1000,false,false
Spawn_Interacted : DarknessMajorMonolithDT5,interaction,1000,false,false
Spawn_Interacted : DarknessMinorMonolithDT5,interaction,1000,false,false
Spawn_Interacted : DarknessPylonDT5,interaction,1000,false,false
Spawn_Interacted : DarknessMajorPortalDT5,interaction,1000,false,false
Spawn_Interacted : DarknessMinorPortalDT5,interaction,1000,false,false
Spawn_Interacted : DarknessMinorFissureDT5,interaction,1000,false,false
Spawn_Interacted : DarknessMinorHiveDT5,interaction,1000,false,false
Spawn_Interacted : DarknessMajorMonolithDT6,interaction,1000,false,false
Spawn_Interacted : DarknessMinorMonolithDT6,interaction,1000,false,false
Spawn_Interacted : DarknessPylonDT6,interaction,1000,false,false
Spawn_Interacted : DarknessMajorPortalDT6,interaction,1000,false,false
Spawn_Interacted : DarknessMinorPortalDT6,interaction,1000,false,false
Spawn_Interacted : DarknessMinorFissureDT6,interaction,1000,false,false
Spawn_Interacted : DarknessMinorHiveDT6,interaction,1000,false,false
Encounter_Activated,default,500,false,false
