WeaponEffectId,Default,Fire,Arcane,Void,Lightning,Ice,Nature
1hClub,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Fire.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Magic.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Void.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Lightning.lua,,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Nature.lua
Bow,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Bow/WeaponEffect_Bow_Fire.lua,Scripts/WeaponEffects/Bow/WeaponEffect_Bow_Magic.lua,Scripts/WeaponEffects/Bow/WeaponEffect_Bow_Void.lua,Scripts/WeaponEffects/Bow/WeaponEffect_Bow_Lightning.lua,Scripts/WeaponEffects/Bow/WeaponEffect_Bow_Ice.lua,Scripts/WeaponEffects/Bow/WeaponEffect_Bow_Nature.lua
Shield,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Fire.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Magic.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Void.lua,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Lightning.lua,,Scripts/WeaponEffects/Club/WeaponEffect_1hClub_Nature.lua
FireStaff,Scripts/WeaponEffects/Magic/WeaponEffect_FireStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_FireStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_FireStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_FireStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_FireStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_FireStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_FireStaff_Base.lua
LifeStaff,Scripts/WeaponEffects/Magic/WeaponEffect_LifeStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_LifeStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_LifeStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_LifeStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_LifeStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_LifeStaff_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_LifeStaff_Base.lua
IceGauntlet,Scripts/WeaponEffects/Magic/WeaponEffect_IceGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_IceGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_IceGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_IceGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_IceGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_IceGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_IceGaunt_Base.lua
VoidGauntlet,Scripts/WeaponEffects/Magic/WeaponEffect_VoidGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_VoidGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_VoidGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_VoidGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_VoidGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_VoidGaunt_Base.lua,Scripts/WeaponEffects/Magic/WeaponEffect_VoidGaunt_Base.lua
AzothStaff,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/AzothStaff/WeaponEffect_AzothStaff_Fire.lua,Scripts/WeaponEffects/AzothStaff/WeaponEffect_AzothStaff_Fire.lua,Scripts/WeaponEffects/AzothStaff/WeaponEffect_AzothStaff_Fire.lua,Scripts/WeaponEffects/AzothStaff/WeaponEffect_AzothStaff_Fire.lua,Scripts/WeaponEffects/AzothStaff/WeaponEffect_AzothStaff_Fire.lua,Scripts/WeaponEffects/AzothStaff/WeaponEffect_AzothStaff_Fire.lua
AI_Sword,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_Dryad_Sword.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_Dryad_Sword.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_Dryad_Sword.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_Dryad_Sword.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_Dryad_Sword.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_Dryad_Sword.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_Dryad_Sword.lua
AI_Undead_Torch,Scripts/WeaponEffects/AI/Undead/WeaponEffect_Undead_Torch.lua,Scripts/WeaponEffects/AI/Undead/WeaponEffect_Undead_Torch.lua,Scripts/WeaponEffects/AI/Undead/WeaponEffect_Undead_Torch.lua,Scripts/WeaponEffects/AI/Undead/WeaponEffect_Undead_Torch.lua,Scripts/WeaponEffects/AI/Undead/WeaponEffect_Undead_Torch.lua,Scripts/WeaponEffects/AI/Undead/WeaponEffect_Undead_Torch.lua,Scripts/WeaponEffects/AI/Undead/WeaponEffect_Undead_Torch.lua
AI_SwampShamanStaff,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_DryadSwamp_Shaman_Staff.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_DryadSwamp_Shaman_Staff.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_DryadSwamp_Shaman_Staff.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_DryadSwamp_Shaman_Staff.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_DryadSwamp_Shaman_Staff.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_DryadSwamp_Shaman_Staff.lua,Scripts/WeaponEffects/AI/Dryad/WeaponEffect_DryadSwamp_Shaman_Staff.lua
AI_Lost_Siren_Spear,Scripts\WeaponEffects\AI\Lost\WeaponEffect_Lost_Siren_Spear.lua,Scripts\WeaponEffects\AI\Lost\WeaponEffect_Lost_Siren_Spear.lua,Scripts\WeaponEffects\AI\Lost\WeaponEffect_Lost_Siren_Spear.lua,Scripts\WeaponEffects\AI\Lost\WeaponEffect_Lost_Siren_Spear.lua,Scripts\WeaponEffects\AI\Lost\WeaponEffect_Lost_Siren_Spear.lua,Scripts\WeaponEffects\AI\Lost\WeaponEffect_Lost_Siren_Spear.lua,Scripts\WeaponEffects\AI\Lost\WeaponEffect_Lost_Siren_Spear.lua
AI_DynastySummonerStaff,Scripts/WeaponEffects/AI/Dynasty/WeaponEffect_Dynasty_Summoner_Staff.lua,Scripts/WeaponEffects/AI/Dynasty/WeaponEffect_Dynasty_Summoner_Staff.lua,Scripts/WeaponEffects/AI/Dynasty/WeaponEffect_Dynasty_Summoner_Staff.lua,Scripts/WeaponEffects/AI/Dynasty/WeaponEffect_Dynasty_Summoner_Staff.lua,Scripts/WeaponEffects/AI/Dynasty/WeaponEffect_Dynasty_Summoner_Staff.lua,Scripts/WeaponEffects/AI/Dynasty/WeaponEffect_Dynasty_Summoner_Staff.lua,Scripts/WeaponEffects/AI/Dynasty/WeaponEffect_Dynasty_Summoner_Staff.lua
AI_Sickle,Scripts/WeaponEffects/WeaponEffect_Default.lua,Scripts/WeaponEffects/Sickle/WeaponEffect_Sickle_Fire.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Magic.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Void.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Lightning.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Ice.lua,Scripts/WeaponEffects/Sword/WeaponEffect_Sword_Nature.lua
AI_HorusStaff,Scripts\WeaponEffects\AI\AnubianGuardian\WeaponEffect_AnubianGuardian_Horus_Staff.lua,Scripts\WeaponEffects\AI\AnubianGuardian\WeaponEffect_AnubianGuardian_Horus_Staff.lua,Scripts\WeaponEffects\AI\AnubianGuardian\WeaponEffect_AnubianGuardian_Horus_Staff.lua,Scripts\WeaponEffects\AI\AnubianGuardian\WeaponEffect_AnubianGuardian_Horus_Staff.lua,Scripts\WeaponEffects\AI\AnubianGuardian\WeaponEffect_AnubianGuardian_Horus_Staff.lua,Scripts\WeaponEffects\AI\AnubianGuardian\WeaponEffect_AnubianGuardian_Horus_Staff.lua,Scripts\WeaponEffects\AI\AnubianGuardian\WeaponEffect_AnubianGuardian_Horus_Staff.lua
AI_EvilKnights_Icestaff,Scripts\WeaponEffects\AI\EvilKnights\WeaponEffect_EvilKnights_Icestaff.lua,Scripts\WeaponEffects\AI\EvilKnights\WeaponEffect_EvilKnights_Icestaff.lua,Scripts\WeaponEffects\AI\EvilKnights\WeaponEffect_EvilKnights_Icestaff.lua,Scripts\WeaponEffects\AI\EvilKnights\WeaponEffect_EvilKnights_Icestaff.lua,Scripts\WeaponEffects\AI\EvilKnights\WeaponEffect_EvilKnights_Icestaff.lua,Scripts\WeaponEffects\AI\EvilKnights\WeaponEffect_EvilKnights_Icestaff.lua,Scripts\WeaponEffects\AI\EvilKnights\WeaponEffect_EvilKnights_Icestaff.lua
AI_Corrupted_Torch,Scripts/WeaponEffects/AI/Corrupted/WeaponEffect_Corrupted_Torch.lua,Scripts/WeaponEffects/AI/Corrupted/WeaponEffect_Corrupted_Torch.lua,Scripts/WeaponEffects/AI/Corrupted/WeaponEffect_Corrupted_Torch.lua,Scripts/WeaponEffects/AI/Corrupted/WeaponEffect_Corrupted_Torch.lua,Scripts/WeaponEffects/AI/Corrupted/WeaponEffect_Corrupted_Torch.lua,Scripts/WeaponEffects/AI/Corrupted/WeaponEffect_Corrupted_Torch.lua,Scripts/WeaponEffects/AI/Corrupted/WeaponEffect_Corrupted_Torch.lua
