Name,mat_default,mat_bark,mat_dirt,mat_fabric,mat_glass,mat_grass,mat_metal,mat_mud,mat_rock,mat_rock_wet,mat_sand,mat_sand_wet,mat_thatch,mat_water,mat_water_deep,mat_water_shallow,mat_wood,mat_corruption_core,mat_corruption,mat_holy_shield,mat_ice_entomb
Bow,EnvironmentArrowDirt,EnvironmentArrowWood,EnvironmentArrowDirt,EnvironmentArrowFabric,EnvironmentArrowRock,EnvironmentArrowGrass,EnvironmentArrowMetal,EnvironmentArrowDirt,EnvironmentArrowRock,EnvironmentArrowRock,EnvironmentArrowSand,EnvironmentArrowSand,EnvironmentArrowDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentArrowWood,EnvironmentArrowCorruptionCore,EnvironmentArrowCorruptionCore,HolyShield_Proj,EnvironmentArrowRock
Bow_Heavy,EnvironmentDefault,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentArrowCorruptionCore,EnvironmentArrowCorruptionCore,HolyShield_Proj,EnvironmentRock_LG
Bow+Crit,EnvironmentDefault,EnvironmentArrowWood,EnvironmentArrowDirt,EnvironmentArrowFabric,EnvironmentArrowRock,EnvironmentArrowGrass,EnvironmentArrowMetal,EnvironmentArrowDirt,EnvironmentArrowRock,EnvironmentArrowRock,EnvironmentArrowSand,EnvironmentArrowSand,EnvironmentArrowDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentArrowWood,EnvironmentArrowCorruptionCore,EnvironmentArrowCorruptionCore,HolyShield_Proj,EnvironmentArrowRock
Shield,EnvironmentShieldDirt,EnvironmentShieldWood,EnvironmentShieldDirt,EnvironmentShieldFabric,EnvironmentShieldRock,EnvironmentShieldGrass,EnvironmentShieldMetal,EnvironmentShieldDirt,EnvironmentShieldRock,EnvironmentShieldRock,EnvironmentShieldDirt,EnvironmentShieldDirt,EnvironmentShieldDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentShieldWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentShieldRock
Shield+Crit,EnvironmentDefault,EnvironmentShieldWood,EnvironmentShieldDirt,EnvironmentShieldFabric,EnvironmentShieldRock,EnvironmentShieldGrass,EnvironmentShieldMetal,EnvironmentShieldDirt,EnvironmentShieldRock,EnvironmentShieldRock,EnvironmentShieldDirt,EnvironmentShieldDirt,EnvironmentShieldDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentShieldWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentShieldRock
DemoHammer,EnvironmentDefault,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentRock_LG
Warhammer,WarHammer_SM_Dirt,WarHammer_SM_Wood,WarHammer_SM_Dirt,EnvironmentFabric,WarHammer_SM_Stone,WarHammer_SM_Dirt,EnvironmentMetal_LG,WarHammer_SM_Mud,WarHammer_SM_Stone,WarHammer_SM_Stone,WarHammer_SM_Sand,WarHammer_SM_Sand,WarHammer_SM_Wood,WarHammer_SM_Water,WarHammer_SM_Water,WarHammer_SM_Water,WarHammer_SM_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,WarHammer_SM_Stone
Warhammer_Heavy,WarHammer_MD_Dirt,WarHammer_MD_Wood,WarHammer_MD_Dirt,EnvironmentFabric,WarHammer_MD_Stone,WarHammer_MD_Dirt,EnvironmentMetal_LG,WarHammer_MD_Mud,WarHammer_MD_Stone,WarHammer_MD_Stone,WarHammer_MD_Sand,WarHammer_MD_Sand,WarHammer_MD_Wood,WarHammer_MD_Water,WarHammer_MD_Water,WarHammer_MD_Water,WarHammer_MD_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,WarHammer_MD_Stone
Warhammer+Crit,EnvironmentDefault,WarHammer_SM_Wood,WarHammer_SM_Dirt,EnvironmentFabric,WarHammer_SM_Stone,WarHammer_SM_Dirt,EnvironmentMetal_LG,WarHammer_SM_Mud,WarHammer_SM_Stone,WarHammer_SM_Stone,WarHammer_SM_Sand,WarHammer_SM_Sand,WarHammer_SM_Wood,WarHammer_SM_Water,WarHammer_SM_Water,WarHammer_SM_Water,WarHammer_SM_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,WarHammer_SM_Stone
Spear,EnvironmentSpearDirt,EnvironmentSpearWood,EnvironmentSpearDirt,EnvironmentSpearFabric,EnvironmentSpearRock,EnvironmentSpearGrass,EnvironmentSpearMetal,EnvironmentSpearDirt,EnvironmentSpearRock,EnvironmentSpearRock,EnvironmentSpearSand,EnvironmentSpearDirt,EnvironmentSpearDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentSpearWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSpearRock
Spear_Throw,EnvironmentDefault,EnvironmentSpearThrowWood,EnvironmentSpearThrowDirt,EnvironmentSpearFabric,EnvironmentSpearThrowRock,EnvironmentSpearThrowGrass,EnvironmentSpearThrowMetal,EnvironmentSpearThrowDirt,EnvironmentSpearThrowRock,EnvironmentSpearThrowRock,EnvironmentSpearThrowSand,EnvironmentSpearThrowDirt,EnvironmentSpearThrowDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentSpearThrowWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSpearThrowRock
Spear_Kick,EnvironmentDefault,EnvironmentUnarmedWood,EnvironmentUnarmedDirt,EnvironmentUnarmedFabric,EnvironmentUnarmedRock,EnvironmentUnarmedGrass,EnvironmentUnarmedMetal,EnvironmentUnarmedDirt,EnvironmentUnarmedRock,EnvironmentUnarmedRock,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentUnarmedWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentUnarmedRock
Spear+Crit,EnvironmentDefault,EnvironmentSpearWood,EnvironmentSpearDirt,EnvironmentSpearFabric,EnvironmentSpearRock,EnvironmentSpearGrass,EnvironmentSpearMetal,EnvironmentSpearDirt,EnvironmentSpearRock,EnvironmentSpearRock,EnvironmentSpearSand,EnvironmentSpearDirt,EnvironmentSpearDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentSpearWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSpearRock
Spear_Throw+Crit,EnvironmentDefault,EnvironmentSpearThrowWood,EnvironmentSpearThrowDirt,EnvironmentSpearFabric,EnvironmentSpearThrowRock,EnvironmentSpearThrowGrass,EnvironmentSpearThrowMetal,EnvironmentSpearThrowDirt,EnvironmentSpearThrowRock,EnvironmentSpearThrowRock,EnvironmentSpearThrowSand,EnvironmentSpearThrowDirt,EnvironmentSpearThrowDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentSpearThrowWood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_Proj,EnvironmentSpearThrowRock
GhostSpell_Ice,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentDefault,EnvironmentDefault,HolyShield_Proj,EnvironmentRock
GhostSpell_Fire,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentDefault,EnvironmentDefault,HolyShield_Proj,EnvironmentRock
GhostSpell_Lightning,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentDefault,EnvironmentDefault,HolyShield_Proj,EnvironmentRock
GhostSpell_Curse,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentDefault,EnvironmentDefault,HolyShield_Proj,EnvironmentRock
GhostSpell_Disease,EnvironmentDefault,EnvironmentWood,EnvironmentDirt,EnvironmentFabric,EnvironmentRock,EnvironmentDefault,EnvironmentMetal,EnvironmentDefault,EnvironmentRock,EnvironmentRock,EnvironmentDefault,EnvironmentDefault,EnvironmentDefault,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentWood,EnvironmentDefault,EnvironmentDefault,HolyShield_Proj,EnvironmentRock
Bite_AI,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,HolyShield_Proj,EnvironmentRock
Blunt_AI,EnvironmentUnarmedDirt,EnvironmentUnarmedWood,EnvironmentUnarmedDirt,EnvironmentUnarmedFabric,EnvironmentUnarmedRock,EnvironmentUnarmedGrass,EnvironmentUnarmedMetal,EnvironmentUnarmedDirt,EnvironmentUnarmedRock,EnvironmentUnarmedRock,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentUnarmedWood,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,HolyShield_Proj,EnvironmentUnarmedRock
Bear_Claw,EnvironmentUnarmedDirt,EnvironmentUnarmedWood,EnvironmentUnarmedDirt,EnvironmentUnarmedFabric,EnvironmentUnarmedRock,EnvironmentUnarmedGrass,EnvironmentUnarmedMetal,EnvironmentUnarmedDirt,EnvironmentUnarmedRock,EnvironmentUnarmedRock,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentUnarmedWood,EnvironmentUnarmedDirt,EnvironmentUnarmedDirt,HolyShield_Proj,EnvironmentUnarmedRock
Regurgitator_Vomitball,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,Regurgitator_VomitballEnvironment,HolyShield_Proj,Regurgitator_VomitballEnvironment
Sword+Fire,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,EnvironmentFiresword,HolyShield_Proj,EnvironmentFiresword
MagicFire,Env_ElemFire_Default,Env_ElemFire_Wood,Env_ElemFire_Dirt,Env_ElemFire_Fabric,Env_ElemFire_Rock,Env_ElemFire_Dirt,Env_ElemFire_Metal,Env_ElemFire_Dirt,Env_ElemFire_Rock,Env_ElemFire_Rock,Env_ElemFire_Dirt,Env_ElemFire_Dirt,Env_ElemFire_Wood,Env_ElemFire_Water,Env_ElemFire_Water,Env_ElemFire_Water,Env_ElemFire_Wood,EnvironmentCorruptionCore,EnvironmentCorruptionCore,HolyShield_FireProj,Env_ElemFire_Rock
Ballista,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentDirt_LG,EnvironmentFabric,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentMetal_LG,EnvironmentDirt_LG,EnvironmentRock_LG,EnvironmentRock_LG,EnvironmentDirt_LG,EnvironmentDirt_LG,EnvironmentWood_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWater_LG,EnvironmentWood_LG,EnvironmentWood_LG,EnvironmentWood_LG,HolyShield_Proj,EnvironmentRock_LG
CannonBall,Env_CannonBall_Default,Env_CannonBall_Wood,Env_CannonBall_Dirt,Env_CannonBall_Fabric,Env_CannonBall_Rock,Env_CannonBall_Dirt,Env_CannonBall_Metal,Env_CannonBall_Dirt,Env_CannonBall_Rock,Env_CannonBall_Rock,Env_CannonBall_Dirt,Env_CannonBall_Dirt,Env_CannonBall_Wood,Env_CannonBall_Water,Env_CannonBall_Water,Env_CannonBall_Water,Env_CannonBall_Wood,Env_CannonBall_Default,Env_CannonBall_Default,HolyShield_FireProj,Env_CannonBall_Rock
MagicStaff,EnvironmentClubDirt,EnvironmentClubWood,EnvironmentClubDirt,EnvironmentClubFabric,EnvironmentClubRock,EnvironmentClubGrass,EnvironmentClubMetal,EnvironmentClubDirt,EnvironmentClubRock,EnvironmentClubRock,EnvironmentClubSand,EnvironmentClubSand,EnvironmentClubDirt,EnvironmentWater,EnvironmentWater,EnvironmentWater,EnvironmentClubWood,EnvironmentClubWood,EnvironmentClubWood,HolyShield_FireProj,EnvironmentClubRock
FireStaff_Proj,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,HolyShield_FireProj,FireStaffEnv
FireStaff_Proj+Crit,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,FireStaffEnv,HolyShield_FireProj,FireStaffEnv
FlameThrower,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment,NoEnvironment
LifeStaff_Proj,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,HolyShield_LifeProj,LifeStaffEnv
LifeStaff_Proj_Protect,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,LifeStaff_Protect_Env,HolyShield_LifeProj,LifeStaff_Protect_Env
LifeStaff_Proj+Crit,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,LifeStaffEnv,HolyShield_LifeProj,LifeStaffEnv
IceGauntlet_Proj,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,IceGauntletEnv,HolyShield_LifeProj,IceGauntletEnv
