GameModeMapId,GameModeId,SlicePath,UIMapDisplayName,ActivityScreenBgPath,DynamicStackConfigName,ExcludeFromMapRotation,CoatlicueName,WorldBounds,TeamTeleportData,TeamTeleportFormationData,UIMapId,ProjectedAZothComputeUnits,ProjectedMemoryUseMb,PauseTimeOfDay,FreezeTime,NavGenerationEnabled
OutpostRush_NoPerks_Trench,OutpostRush_NoPerks,MODES/OPR/NW_OPR_004_Trench/OutpostRush_Layout_004_Trench,@or_outpost_rush_trench_map_name,LyShineUI/Images/PUGFinder/gameModeSignUp/OutpostRush/OutpostRush_004_TrenchBg.png,outpost-rush-no-perks-trench,true,coatlicue\NW_OPR_004_Trench,"832.0,768.0,512.0,512.0","931.2498,983.3751,49.75,270.0+1170.75,987.75,49.3,90.0",,NW_OPR_004_Trench,8,1024,false,0,
Arena3v3,Arena3v3,GameModes/GameMode_Arena01_3v3,@arena_3v3_map_name,LyShineUI/Images/PUGFinder/gameModeSignUp/3v3Arena/3v3ArenaTabBgOld.png,arena-3v3,,coatlicue\NW_Arena01,"864.0,832.0,992.0,960.0","939,935,226.5,180+939,873,227,0","1.5,0.0+-1.5,0.0",NW_Arena01,0.3,300,true,14.1,false
Arena3v3_02,Arena3v3,GameModes/GameMode_Arena02_3v3,@arena_3v3_02_map_name,LyShineUI/Images/PUGFinder/gameModeSignUp/3v3Arena/3v3ArenaTabBg.png,arena-3v3-02,,coatlicue\NW_Arena02,"1064.0,1189.0,256.0,256.0","1206,1300,50.7,180+1206,1226,50.7,0","1.5,0.0+-1.5,0.0",NW_Arena02,0.3,300,true,15.11,false
Arena_3v3_04,Arena3v3,MODES/Arena/GameMode_Arena_3v3_04,@arena_3v3_04_map_name,LyShineUI/Images/PUGFinder/gameModeSignUp/3v3Arena/3v3Arena_003_Bg.png,arena-3v3-04,true,coatlicue\NW_Arena_3v3_04,"1152.0,1584.0,160.0,192.0","1232.4,1717.9,105.7,180+1231.8,1618.4,105.6,0","1.5,0.0+-1.5,0.0",NW_Arena01,0.3,300,true,14.1,false
Dungeon,Dungeon,,,,,,,,,,,,,,,
Mutation,Mutation,,,,,,,,,,,,,,,
DungeonAmrine,DungeonAmrine,Dungeon/LevelScripts/AmrineDungeon,,,,,coatlicue\NW_Dungeon_Windsward_00,"610.0,560.0,352.0,512.0","645.0,663.0,153.0,0",,NW_Dungeon_Windsward_00,0.75,512,false,0,
DungeonShatteredObelisk,DungeonShatteredObelisk,Dungeon/LevelScripts/ShatteredObeliskDungeon,,,,,coatlicue\NW_Dungeon_Everfall_00,"0.0,0.0,1056.0,864.0","965.0,576.0,317.0,90",,NW_Dungeon_Everfall_00,1.5,750,false,0,
DungeonRestlessShores01,DungeonRestlessShores01,Dungeon/LevelScripts/RestlessShores01Dungeon,,,,,coatlicue\NW_Dungeon_RestlessShores_01,"500.0,780.0,1152.0,1440.0","992.0,1007.0,149.0,180",,NW_Dungeon_RestlessShores_01,0.75,512,false,0,
DungeonEbonscale00,DungeonEbonscale00,Dungeon/LevelScripts/Ebonscale00Dungeon,,,,,coatlicue\NewWorld_VitaeEterna,"4480.0,4096.0,608.0,544.0","5039.0,4321.0,41,0",,NewWorld_VitaeEterna,0.75,512,true,0,
DungeonEdengrove00,DungeonEdengrove00,Dungeon/LevelScripts/Edengrove00Dungeon,,,,,coatlicue\NW_Dungeon_Edengrove_00,"384.0,1024.0,640.0,800.0","675.0,1166.0,186.0,0",,NW_Dungeon_Edengrove_00,0.75,512,false,0,
DungeonReekwater00,DungeonReekwater00,Dungeon/LevelScripts/Reekwater00Dungeon,,,,,coatlicue\NW_Dungeon_Reekwater_00,"610.0,560.0,512.0,512.0","798.0,569.0,205.0,0",,NW_Dungeon_Reekwater_00,0.75,512,false,0,
DungeonCutlassKeys00,DungeonCutlassKeys00,Dungeon/LevelScripts/CutlassKeys00Dungeon,,,,,coatlicue\NW_Dungeon_CutlassKeys_00,"198.0,640.0,800.0,800.0","407,922,175.0,270",,NW_Dungeon_CutlassKeys_00,0.75,575,true,0,
DungeonGreatCleave01,DungeonGreatCleave01,Dungeon/LevelScripts/GreatCleave01Dungeon,,,,,coatlicue\NW_Dungeon_GreatCleave_01,"256.0,180.0,1024.0,1024.0","652.0,228.0,236.0,45",,NW_Dungeon_GreatCleave_01,0.75,650,false,0,
DungeonShatterMtn00,DungeonShatterMtn00,Dungeon/LevelScripts/ShatterMtn00Dungeon,,,,,coatlicue\NW_Dungeon_ShatterMtn_00,"242.0,368.0,1760.0,1760.0","1566.0,819.0,190.0,55",,NW_Dungeon_ShatterMtn_00,1.25,768,true,17.2,
DungeonBrimstoneSands00,DungeonBrimstoneSands00,Dungeon/LevelScripts/BrimstoneSands00Dungeon,,,,,coatlicue\NW_Dungeon_BrimstoneSands_00,"544.0,576.0,960.0,960.0","898.0,1085.0,863.0,90",,NW_Dungeon_BrimstoneSands_00,1.25,512,true,23.59,
DungeonFirstLight01,DungeonFirstLight01,Dungeon/LevelScripts/FirstLight01Dungeon,,,,,coatlicue\NW_Dungeon_FirstLight_01,"384.0,384.0,960.0,960.0","651.0,1181.4,279.0,240",,NW_Dungeon_FirstLight_01,1,768,true,17.2,
DungeonGreatCleave00,DungeonGreatCleave00,Dungeon/LevelScripts/GlacialTarnDungeon,,,,,coatlicue\NW_Dungeon_GreatCleave_00,"679.0,320.0,640.0,640.0","1223,586,302,80",,NW_Dungeon_GreatCleave_00,0.75,512,false,0,
DungeonDunwood02,DungeonDunwood02,Dungeon/LevelScripts/Dunwood02Dungeon,,,,,coatlicue\NW_Dungeon_Dunwood_02,"462.4,364.5,480.0,352.0","494.0,507.0,82.0,295",,NW_Dungeon_Dunwood_02,0.75,512,false,0,
TrialBrimstoneSandworm,TrialBrimstoneSandworm,GameModes/Trials/BrimstoneSandwormTrial00,,,,,coatlicue\NewWorld_VitaeEterna,"4902.0,7698.0,128.0,128.0","4935.0,7788.0,224.0,235",,,3.2,256,false,0,
RaidCutlassKeys00,RaidCutlassKeys00,Dungeon/LevelScripts/RaidCutlassKeys00,,,,,coatlicue\NW_Raid_CutlassKeys_00,"545.0,574.0,800.0,768.0","569.0,1237.0,120.0,260",,NW_Raid_CutlassKeys_00,3.2,2500,true,14.25,
TrialSeason01,TrialSeason01,Dungeon/LevelScripts/Season_Trial_01,,,,,coatlicue\NW_Trial_Season_02,"921.0,916.0,256.0,256.0","1056.0,959.0,105.5,0",,NW_Trial_Season_02,1.875,1280,false,0,
TrialSeason04,TrialSeason04,Dungeon/LevelScripts/Trial_Season_04,,,,,coatlicue\NW_Trial_Season_04,"145.0,6.0,512.0,512.0","213.0,258.0,247.0,270",,NW_Trial_Season_04,1.875,1280,true,4.2,
QuestAdiana,QuestAdiana,Dungeon/AdianaFirstLight/AdianaScript,,,,,coatlicue\NW_ORI_FL_QuestAdiana,"600.0,700.0,256.0,256.0","730.0,788,417.0,0",,NW_ORI_FL_QuestAdiana,0.2,100,false,0,
QuestApophis,QuestApophis,Dungeon/ApophisBrimstone/ApophisScript,,,,,coatlicue\NewWorld_VitaeEterna,"4676.0,9004.0,96.0,96.0","4710.0,9075.2,414.4,207",,,0.2,200,false,0,
QuestCaerDun,QuestCaerDun,Dungeon/CaerDunBrightwood/CaerDunScript,,,,,coatlicue\NewWorld_VitaeEterna,"9074.68,6534.42,64.0,64.0","9109,6554,316,90",,,0.125,75,false,0,
QuestEmpressZhou,QuestEmpressZhou,Dungeon/EmpressZhou/Script_QuestEmpressZhou,,,,,coatlicue\NewWorld_VitaeEterna,"5188.0,4344.0,160.0,64.0","5329.0,4375.43,44.28,90",,NewWorld_VitaeEterna,0.225,200,true,18,
QuestIsabella,QuestIsabella,Dungeon/Isabella/QuestIsabellaScript,,,,,coatlicue\NW_ORI_SM_QuestIsabella,"1130.0,1034.0,128.0,96.0","1240,1078,140,90",,NW_ORI_SM_QuestIsabella,0.35,150,false,0,
QuestMammoth,QuestMammoth,Dungeon/MammothFirstLight/MammothScript,,,,,coatlicue\NewWorld_VitaeEterna,"9461.7,1919.0,128.0,128.0","9471.6,1960.6,65.4,301.4",,,0.15,130,false,0,
QuestMedusa,QuestMedusa,Dungeon/MedusaFirstLight/MedusaScript,,,,,coatlicue\NewWorld_VitaeEterna,"8601.0,1193.0,64.0,256.0","8654.499023,1399.289917,203.916153,51.72",,,0.2,225,false,0,
QuestMotherwell,QuestMotherwell,Dungeon/MotherwellEdengrove/MotherwellScript,,,,,coatlicue\NW_ORI_EG_QuestMotherwell,"928.0,672.0,320.0,320.0","1149.9,925.3,114.1,122.7",,NW_ORI_EG_QuestMotherwell,0.1,75,false,0,
QuestMedea,QuestMedea,Dungeon/MedeaWindsward/MedeaScript,,,,,coatlicue\NewWorld_VitaeEterna,"8436,2615,256,256","8504,2663,56.6259,90",,NW_ORI_EG_QuestMedea,0.375,256,false,0,
QuestNihilo,QuestNihilo,Dungeon/NihiloGreatCleave/LeviathanScript,,,,,coatlicue\NW_ORI_GC_QuestNihilo,"777.0,534.0,640.0,640.0","1033.0,707.0,169.5,90.0",,NW_ORI_GC_QuestNihilo,0.175,125,false,0,
QuestYonas,QuestYonas,Dungeon/YonasCave/YonasScript,,,,,coatlicue\NewWorld_VitaeEterna,"8766.0,6596.0,96.0,96.0","8784.0,6608.0,314.1,0.0",,,0.1,50,false,0,
TrialSeason02Q13,TrialSeason02Q13,Dungeon/LevelScripts/TrialSeason02Q13,,,,,coatlicue\NW_Trial_Season_02_Q13,"940.0,940.0,64.0,160.0","973.0,1085.0,142.0,180",,NW_Trial_Season_02_Q13,0.375,150,false,0,
TrialSeason02Q12,TrialSeason02Q12,Dungeon/LevelScripts/TrialSeason02Q12,,,,,coatlicue\NW_Trial_Season_02,"921.0,916.0,256.0,256.0","1056.269,987.204,98.031,0",,NW_Trial_Season_02,0.125,125,true,6,
TrialSeason04Q02,TrialSeason04Q02,Dungeon/LevelScripts/TrialSeason04Q02,,,,,coatlicue\NW_Trial_Season_04_DaichiDojo,"277.0,375.0,64.0,64.0","308.0,416.0,75.0,180",,NW_Trial_Season_04_DaichiDojo,0.375,150,true,13.8,
TrialSeason04Q06,TrialSeason04Q06,Dungeon/LevelScripts/TrialSeason04Q06,,,,,coatlicue\NW_Trial_Season_04_DeviceRoom,"121.0,128.0,256.0,256.0","172.82,254.97,260.34,270",,NW_Trial_Season_04_DeviceRoom,0.1,50,false,0,
TrialSeason04Q05,TrialSeason04Q05,Dungeon/LevelScripts/TrialSeason04Q05,,,,,coatlicue\NW_Trial_Season_04,"145.0,6.0,512.0,512.0","213.0,258.0,248.5,270",,NW_Trial_Season_04,0.2,100,false,1,
QuestHeartforge,QuestHeartforge,Dungeon/Heartforge/HeartforgeScript,,,,,coatlicue\NewWorld_VitaeEterna,"9511.0,3128.0,96.0,96.0","9534.0,3189.0,135.0,200.0",,,0.375,256,false,0,
QuestLiang,QuestLiang,Dungeon/AbominableLiangEbonscale/AbominableLiangScript,,,,,coatlicue\NW_ORI_ER_QuestLiang,"1006.0,929.0,64.0,32.0","1034.3,943.5,130.0,270.0",,NW_ORI_ER_QuestLiang,0.375,256,false,0,
QuestGawain,QuestGawain,Dungeon/Gawain/GawainScript,,,,,coatlicue\NewWorld_VitaeEterna,"6786.0,2882.0,96.0,96.0","6831,2907,78,315",,,0.225,150,false,0,
