NPAId,ReqAchievementConditional,ObjectiveFlow,ReqStatusEffectId
*NPA_UnitTest_ReqAchCond_12,*NPA_UnitTest_ReqAchCond_1 && debug_12,,
*NPA_UnitTest_ReqAchCond_13,!debug_11 || !debug_12,,
*NPA_UnitTest_ReqAchCond_14,!debug_11 || *NPA_UnitTest_ReqAchCond_8,,
*NPA_UnitTest_ReqAchCond_15,*NPA_UnitTest_ReqAchCond_4 || *NPA_UnitTest_ReqAchCond_8,,
*NPA_UnitTest_ReqAchCond_16,*NPA_UnitTest_ReqAchCond_4 || debug_12,,
*NPA_UnitTest_ObjFlow_1,,u:Quest_08015,
*NPA_UnitTest_ObjFlow_2,,u:Quest_08015:a,
*NPA_UnitTest_ObjFlow_3,,u:Quest_08015/Quest_08015_Task_1,
*NPA_UnitTest_ObjFlow_4,,u:Quest_08015/Quest_08015_Task_1:a,
*NPA_UnitTest_ObjFlow_5,,u:Quest_08015/Quest_08015_Task_1:c,
*NPA_UnitTest_ObjFlow_6,,u:Quest_08015/Quest_08015_Task_2,
*NPA_UnitTest_ObjFlow_7,,u:Quest_08015/Quest_08015_Task_2:a,
*NPA_UnitTest_ObjFlow_8,,u:Quest_08015/Quest_08015_Task_2:c,
*NPA_UnitTest_ObjFlow_9,,u:Quest_08015:r,
*NPA_UnitTest_ObjFlow_10,,u:Quest_08015:c,
*NPA_UnitTest_ObjFlow_11,,"u:Quest_08015,l:Quest_08015/Quest_08015_Task_2,u:Quest_08015:r,l:Quest_08015:c",
*NPA_UnitTest_ObjFlow_12,,"u:Quest_08015/Quest_08015_Task_1,l:Quest_08015/Quest_08015_Task_2,u:Quest_08015/Quest_08015_Task_2:c,l:Quest_08015:c",
*NPA_UnitTest_ObjFlow_13,,"u:Quest_08015,l:Quest_08015:c,u:Quest_08016,l:Quest_08016:c",
*NPA_UnitTest_ObjFlow_14,,"u:Quest_08015/Quest_08015_Task_1,l:Quest_08015/Quest_08015_Task_2,u:Quest_08016/Quest_08016_Task_1,l:Quest_08016/Quest_08016_Task_2,u:Quest_08016:c",
*NPA_UnitTest_ObjFlow_15,debug_11,u:Quest_08015,
*NPA_UnitTest_ObjFlow_16,debug_11,u:Quest_08015:a,
*NPA_UnitTest_ObjFlow_17,debug_11,u:Quest_08015/Quest_08015_Task_1,
*NPA_UnitTest_ObjFlow_18,debug_11,u:Quest_08015/Quest_08015_Task_1:a,
*NPA_UnitTest_ObjFlow_19,debug_11,u:Quest_08015/Quest_08015_Task_1:c,
*NPA_UnitTest_ObjFlow_20,debug_11,u:Quest_08015/Quest_08015_Task_2,
*NPA_UnitTest_ObjFlow_21,debug_11,u:Quest_08015/Quest_08015_Task_2:a,
*NPA_UnitTest_ObjFlow_22,debug_11,u:Quest_08015/Quest_08015_Task_2:c,
*NPA_UnitTest_ObjFlow_23,debug_11,u:Quest_08015:r,
*NPA_UnitTest_ObjFlow_24,debug_11,u:Quest_08015:c,
*SwapLore_17_IQ_01,,u:Quest_28004/Quest_28004_Task_19,
*SwapLore_17_IQ_02,,u:Quest_28004/Quest_28004_Task_20,
*SwapLore_17_IQ_03,,u:Quest_28004/Quest_28004_Task_21,
*SwapVis_17ZQBRU4_StaffUnlocked,,u:Quest_16015/Quest_16015_Task_7:c,
*SwapVis_17ZQBRU4_StaffTaken,,u:Quest_16015/Quest_16015_Task_11:c,
*17_MSQ_UnlockCage1,,u:Quest_18018/Quest_18018_Task_3_0:c,
*17_MSQ_UnlockCage2,,u:Quest_18018/Quest_18018_Task_3_0_0:c,
*17_MSQ_UnlockCage3,,u:Quest_18018/Quest_18018_Task_3:c,
*17_MSQ_Quest_18012_Unlock_VarlaamGate,,u:Quest_18012/Quest_18012_Task_12:c,
*17_MSQ_Quest_18028_Unlock_CarmillaStairs,,u:Quest_18028/Quest_18028_Task_6:c,
*17_MSQ_Quest_18012_Asena1TrialUnlock,debug_30 || *17_MSQ_Quest_18012_Asena1TrialUnlock_ObjFlow,,
*17_MSQ_Quest_18012_Asena1TrialUnlock_ObjFlow,,"u:Quest_18012/Quest_18012_Task_5,l:Quest_18012/Quest_18012_Task_14:c",
*17_MSQ_Quest_18012_Asena1TrialComplete,,u:Quest_18012/Quest_18012_Task_14:c,
*17_MSQ_Quest_18018_Asena2TrialUnlock,debug_30 || *17_MSQ_Quest_18018_Asena2TrialUnlock_ObjFlow,,
*17_MSQ_Quest_18018_Asena2TrialUnlock_ObjFlow,,"u:Quest_18018/Quest_18018_Task_20,l:Quest_18018/Quest_18018_Task_18:c",
*17_MSQ_Quest_18018_Asena2TrialComplete,,u:Quest_18018/Quest_18018_Task_18:c,
*17_MSQ_Quest_18022_MorgaineTrialUnlock,debug_30 || *17_MSQ_Quest_18022_MorgaineTrialUnlock_ObjFlow,,
*17_MSQ_Quest_18022_MorgaineTrialUnlock_ObjFlow,,"u:Quest_18022/Quest_18022_Task_3,l:Quest_18022/Quest_18022_Task_5:c",
*17_MSQ_Quest_18022_MorgaineTrialComplete,,u:Quest_18022/Quest_18022_Task_5:c,
*17_MSQ_Quest_18025_DraculaTrialUnlock,debug_30 || *17_MSQ_Quest_18025_DraculaTrialUnlock_ObjFlow,,
*17_MSQ_Quest_18025_DraculaTrialUnlock_ObjFlow,,"u:Quest_18025/Quest_18025_Task_1,l:Quest_18025/Quest_18025_Task_6:c",
*17_MSQ_Quest_18025_DraculaTrialComplete,,u:Quest_18025/Quest_18025_Task_6:c,
*17_MSQ_Quest_18017_IntroCastleDracula_Main_IGC_Preload,,u:Quest_18017,
*17_MSQ_Quest_18017_IntroCastleDracula_Main_IGC_Start,,u:Quest_18017/Quest_18017_Task_14:c,
*17_MSQ_Quest_18017_IntroCastleDracula_Main_IGC_Watched,,u:Quest_18017/Quest_18017_Task_1:c,
*17_MSQ_Quest_18020_IntroCastleDracula_East_IGC_Preload,,u:Quest_18020,
*17_MSQ_Quest_18020_IntroCastleDracula_East_IGC_Start,,u:Quest_18020/Quest_18020_Task_11:c,
*17_MSQ_Quest_18020_IntroCastleDracula_East_IGC_Watched,,u:Quest_18020/Quest_18020_Task_12:c,
*17_MSQ_Quest_18025_IntroCastleDracula_West_IGC_Preload,,u:Quest_18025,
*17_MSQ_Quest_18025_IntroCastleDracula_West_IGC_Start,,u:Quest_18025/Quest_18025_Task_3:c,
*17_MSQ_Quest_18025_IntroCastleDracula_West_IGC_Watched,,u:Quest_18025/Quest_18025_Task_4:c,
*17_MSQ_Quest_18025_IntroCastleDracula_Clocktower_IGC_Preload,,u:Quest_18025,
*17_MSQ_Quest_18025_IntroCastleDracula_Clocktower_IGC_Start,,u:Quest_18025/Quest_18025_Task_4:c,
*17_MSQ_Quest_18025_IntroCastleDracula_Clocktower_IGC_Watched,,u:Quest_18025/Quest_18025_Task_2:c,
*17_MSQ_Quest_18018_SettlementIntroTularest_IGC_Preload,,u:Quest_18018,
*17_MSQ_Quest_18018_SettlementIntroTularest_IGC_Start,,u:Quest_18018/Quest_18018_Task_1:c,
*17_MSQ_Quest_18018_SettlementIntroTularest_IGC_Watched,,u:Quest_18018/Quest_18018_Task_2:c,
*17_MSQ_Quest_18023_OutpostIntroGrandCarnival_IGC_Preload,,u:Quest_18023,
*17_MSQ_Quest_18023_OutpostIntroGrandCarnival_IGC_Start,,u:Quest_18023/Quest_18023_Task_1:c,
*17_MSQ_Quest_18023_OutpostIntroGrandCarnival_IGC_Watched,,u:Quest_18023/Quest_18023_Task_2:c,
*SwapActive_28006_Seraph,,"u:Quest_28001/Quest_28001_Task_1,l:Quest_28001/Quest_28001_Task_8:c",
*SwapActive_28007_Seraph,,"u:Quest_28001/Quest_28001_Task_1,l:Quest_28001/Quest_28001_Task_8:c",
*SwapActive_28008_Seraph,,"u:Quest_28001/Quest_28001_Task_1,l:Quest_28001/Quest_28001_Task_8:c",
*SwapActive_28009_Seraph,,"u:Quest_28001/Quest_28001_Task_1,l:Quest_28001/Quest_28001_Task_8:c",
*17_MSQ_Quest_18020_LynetteDungeonKey,,u:Quest_18020/Quest_18020_Task_12,
*17_MSQ_Quest_18023_TeleportUnlock,,u:Quest_18023/Quest_18023_Task_3,
*17_MSQ_Quest_18020_ReliquaryUnlock,,u:Quest_18020/Quest_18020_Task_8:c,
*17_MSQ_Quest_18016_TarotTower_IGC_Preload,,u:Quest_18016,
*17_MSQ_Quest_18016_TarotTower_IGC_Start,,u:Quest_18016/Quest_18016_Task_2:c,
*17_MSQ_Quest_18016_TarotTower_IGC_Watched,,u:Quest_18016/Quest_18016_Task_7:c,
*SwapActive_18065_Vibiana,,"u:Quest_18011,l:Quest_18033/Quest_18033_Task_1:c",
*SwapActive_18068_Vibiana,,u:Quest_18033/Quest_18033_Task_1:c,
*SwapActive_18066_AnthanasiusPeseme,,"u:Quest_18017,l:Quest_18034/Quest_18034_Task_1:c",
*SwapActive_18067_AnthanasiusPeseme,,u:Quest_18034/Quest_18034_Task_1,
*17DW_JumpPad_ReqStatusEffect_1,,,17DW_FoolSightPotion
*17DW_JumpPad_ReqStatusEffect_2,,,17DW_FoolSightPotion
*17DW_JumpPad_ReqStatusEffect_3,,,17DW_FoolSightPotion
*17_MSQ_BatteryOn1,,u:Quest_18011/Quest_18011_Task_8,
*17_MSQ_BatteryOn2,,u:Quest_18011/Quest_18011_Task_4_0,
*17_MSQ_BatteryOn3,,u:Quest_18011/Quest_18011_Task_4,
*17_MSQ_BatteryOn4,,u:Quest_18011/Quest_18011_Task_16,
*NPA_RedButton_1,debug_61,,
*NPA_RedButton_2,debug_62,,
*NPA_RedButton_3,debug_63,,
*NPA_RedButton_4,debug_64,,
*NPA_RedButton_5,debug_65,,
*NPA_RedButton_6,debug_66,,
*NPA_RedButton_7,debug_67,,
*NPA_RedButton_8,debug_68,,
*NPA_RedButton_9,debug_69,,
*NPA_RedButton_10,debug_70,,
