LeaderboardStatId,Notes,Namespace,Rotation,StatType,Aggregation,ServiceStatId,CategoricalProgressionId,GameMode,Scope,PersonalBest
MonthOutpostRushKills,,pc,Month,PlayerKills,Sum,outpost-rush-kills,,OutpostRush,Character,
SeasonOutpostRushKills,,pc,Season,PlayerKills,Sum,outpost-rush-kills,,OutpostRush,Character,
MonthOutpostRushDeaths,,pc,Month,Deaths,Sum,outpost-rush-deaths,,OutpostRush,Character,
SeasonOutpostRushDeaths,,pc,Season,Deaths,Sum,outpost-rush-deaths,,OutpostRush,Character,
MonthOutpostRushResources,,pc,Month,GameModeFinalResources,Max,outpost-rush-resources-contributed,,OutpostRush,Character,
SeasonOutpostRushResources,,pc,Season,GameModeFinalResources,Max,outpost-rush-resources-contributed,,OutpostRush,Character,
MonthOutpostRushScore,,pc,Month,Score,Max,outpost-rush-score,,OutpostRush,Character,
SeasonOutpostRushScore,,pc,Season,Score,Max,outpost-rush-score,,OutpostRush,Character,
MonthOutpostRushNpcKills,,pc,Month,GameModeFinalNpcKills,Max,outpost-rush-npc-kills,,OutpostRush,Character,
SeasonOutpostRushNpcKills,,pc,Season,GameModeFinalNpcKills,Max,outpost-rush-npc-kills,,OutpostRush,Character,
MonthOutpostRushDamageDealt,,pc,Month,GameModeFinalDamageDealt,Max,outpost-rush-damage-dealt,,OutpostRush,Character,
SeasonOutpostRushDamageDealt,,pc,Season,GameModeFinalDamageDealt,Max,outpost-rush-damage-dealt,,OutpostRush,Character,
MonthInvasionWins,,pc,Month,Wins,Sum,invasion-wins,,Invasion,Character,
SeasonInvasionWins,,pc,Season,Wins,Sum,invasion-wins,,Invasion,Character,
MonthInvasionDamageTaken,,pc,Month,GameModeFinalDamageTaken,Max,invasion-damage-taken,,Invasion,Character,
SeasonInvasionDamageTaken,,pc,Season,GameModeFinalDamageTaken,Max,invasion-damage-taken,,Invasion,Character,
MonthInvasionHeals,,pc,Month,GameModeFinalAlliedHeals,Max,invasion-heals,,Invasion,Character,
SeasonInvasionHeals,,pc,Season,GameModeFinalAlliedHeals,Max,invasion-heals,,Invasion,Character,
MonthInvasionMaxKills,,pc,Month,GameModeFinalKills,Max,invasion-best-kills,,Invasion,Character,
SeasonInvasionMaxKills,,pc,Season,GameModeFinalKills,Max,invasion-best-kills,,Invasion,Character,
MonthInvasionKills,,pc,Month,Kills,Sum,invasion-kills,,Invasion,Character,
SeasonInvasionKills,,pc,Season,Kills,Sum,invasion-kills,,Invasion,Character,
MonthInvasionDeaths,,pc,Month,Deaths,Sum,invasion-deaths,,Invasion,Character,
SeasonInvasionDeaths,,pc,Season,Deaths,Sum,invasion-deaths,,Invasion,Character,
MonthInvasionScore,,pc,Month,Score,Max,invasion-score,,Invasion,Character,
SeasonInvasionScore,,pc,Season,Score,Max,invasion-score,,Invasion,Character,
MonthInvasionDamageDealt,,pc,Month,GameModeFinalDamageDealt,Max,invasion-damage-dealt,,Invasion,Character,
SeasonInvasionDamageDealt,,pc,Season,GameModeFinalDamageDealt,Max,invasion-damage-dealt,,Invasion,Character,
MonthDarkness,,pc,Month,DarknessBreachesCompleted,Sum,darkness-breaches-score,,Darkness,Character,
SeasonDarkness,,pc,Season,DarknessBreachesCompleted,Sum,darkness-breaches-score,,Darkness,Character,
WeekInfluenceEarned,,pc,Week,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,,Character,
SeasonInfluenceEarned,,pc,Season,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,,Character,
WeekOpenWorldPvpKills,,pc,Week,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
SeasonOpenWorldPvpKills,,pc,Season,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
WeekFactionOpenWorldPvpKills,,pc,Week,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
SeasonFactionOpenWorldPvpKills,,pc,Season,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
WeekFactionInfluenceEarned,,pc,Week,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
SeasonFactionInfluenceEarned,,pc,Season,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
WeekFaction01OpenWorldPvpKills,,pc,Week,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
SeasonFaction01OpenWorldPvpKills,,pc,Season,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
WeekFaction01InfluenceEarned,,pc,Week,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
SeasonFaction01InfluenceEarned,,pc,Season,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
WeekFaction02OpenWorldPvpKills,,pc,Week,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
SeasonFaction02OpenWorldPvpKills,,pc,Season,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
WeekFaction02InfluenceEarned,,pc,Week,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
SeasonFaction02InfluenceEarned,,pc,Season,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
WeekFaction03OpenWorldPvpKills,,pc,Week,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
SeasonFaction03OpenWorldPvpKills,,pc,Season,PlayerKills,Sum,open-world-kills,,OpenWorldPvp,Character,
WeekFaction03InfluenceEarned,,pc,Week,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
SeasonFaction03InfluenceEarned,,pc,Season,PvpOpenWorldInfluenceEarned,Sum,open-world-influence,,OpenWorldPvp,Character,
WeekPvpPointCaptures,,pc,Week,PvpControlPointCaptures,Sum,control-point-captures,,OpenWorldPvp,Character,
SeasonPvpPointCaptures,,pc,Season,PvpControlPointCaptures,Sum,control-point-captures,,OpenWorldPvp,Character,
WeekFactionPvpPointCaptures,,pc,Week,PvpControlPointCaptures,Sum,faction-control-point-captures,,OpenWorldPvp,Global,
SeasonFactionPvpPointCaptures,,pc,Season,PvpControlPointCaptures,Sum,faction-control-point-captures,,OpenWorldPvp,Global,
WeekBossTrialCompletionsSiren,,pc,Week,Wins,Sum,boss-trial-completions,,Arena_LostSiren_Reekwater,Character,
SeasonBossTrialCompletionsSiren,,pc,Season,Wins,Sum,boss-trial-completions,,Arena_LostSiren_Reekwater,Character,
WeekBossTrialCompletionsSpriggan,,pc,Week,Wins,Sum,boss-trial-completions,,Arena_Spriggan_AngryEarth_T1,Character,
SeasonBossTrialCompletionSpriggan,,pc,Season,Wins,Sum,boss-trial-completions,,Arena_Spriggan_AngryEarth_T1,Character,
MonthBossTrialCompletionSwampBeast,,pc,Week,Wins,Sum,boss-trial-completions,,Arena_SwampBeast_Reekwater,Character,
SeasonBossTrialCompletionSwampBeast,,pc,Season,Wins,Sum,boss-trial-completions,,Arena_SwampBeast_Reekwater,Character,
WeekCompanyTerritoryControl,,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl,,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekFactionTerritoryControl,,pc,Week,TerritoryControlScore,Sum,territory-control-score-total,,,Global,
SeasonFactionTerritoryControl,,pc,Season,TerritoryControlScore,Sum,territory-control-score-total,,,Global,
WeekCompanyTerritoryStreak,,pc,Week,TerritoryControlStreak,Sum,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak,,pc,Season,TerritoryControlStreak,Sum,territory-control-streak,,,Company,
WeekFactionTerritoryStreak,,pc,Week,TerritoryControlStreak,Sum,territory-control-streak,,,Global,
SeasonFactionTerritoryStreak,,pc,Season,TerritoryControlStreak,Sum,territory-control-streak,,,Global,
WeekCompanyTerritoryControl02,Brightwood,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl02,Brightwood,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl04,Everfall,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl04,Everfall,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl05,Reekwater,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl05,Reekwater,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl06,Windsward,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl06,Windsward,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl08,Ebonscale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl08,Ebonscale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl09,First Light,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl09,First Light,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl10,CutlassKeys,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl10,CutlassKeys,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl11,Mourningdale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl11,Mourningdale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl12,Monarchs Bluffs,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl12,Monarchs Bluffs,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl13,WeaversFen,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl13,WeaversFen,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl15,Restless Shore,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl15,Restless Shore,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekCompanyTerritoryControl16,Brimstone Sands,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Company,
SeasonCompanyTerritoryControl16,Brimstone Sands,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Company,
WeekFaction01TerritoryControl02,Brightwood,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl02,Brightwood,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl04,Everfall,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl04,Everfall,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl05,Reekwater,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl05,Reekwater,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl06,Windsward,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl06,Windsward,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl08,Ebonscale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl08,Ebonscale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl09,First Light,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl09,First Light,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl10,CutlassKeys,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl10,CutlassKeys,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl11,Mourningdale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl11,Mourningdale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl12,Monarchs Bluffs,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl12,Monarchs Bluffs,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl13,WeaversFen,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl13,WeaversFen,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl15,Restless Shore,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl15,Restless Shore,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction01TerritoryControl16,Brimstone Sands,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction01TerritoryControl16,Brimstone Sands,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl02,Brightwood,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl02,Brightwood,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl04,Everfall,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl04,Everfall,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl05,Reekwater,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl05,Reekwater,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl06,Windsward,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl06,Windsward,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl08,Ebonscale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl08,Ebonscale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl09,First Light,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl09,First Light,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl10,CutlassKeys,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl10,CutlassKeys,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl11,Mourningdale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl11,Mourningdale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl12,Monarchs Bluffs,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl12,Monarchs Bluffs,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl13,WeaversFen,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl13,WeaversFen,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl15,Restless Shore,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl15,Restless Shore,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction02TerritoryControl16,Brimstone Sands,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction02TerritoryControl16,Brimstone Sands,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl02,Brightwood,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl02,Brightwood,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl04,Everfall,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl04,Everfall,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl05,Reekwater,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl05,Reekwater,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl06,Windsward,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl06,Windsward,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl08,Ebonscale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl08,Ebonscale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl09,First Light,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl09,First Light,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl10,CutlassKeys,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl10,CutlassKeys,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl11,Mourningdale,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl11,Mourningdale,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl12,Monarchs Bluffs,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl12,Monarchs Bluffs,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl13,WeaversFen,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl13,WeaversFen,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl15,Restless Shore,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl15,Restless Shore,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekFaction03TerritoryControl16,Brimstone Sands,pc,Week,TerritoryControlScore,Sum,territory-control-score,,,Global,
SeasonFaction03TerritoryControl16,Brimstone Sands,pc,Season,TerritoryControlScore,Sum,territory-control-score,,,Global,
WeekCompanyTerritoryStreak02,Brightwood,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak02,Brightwood,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak04,Everfall,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak04,Everfall,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak05,Reekwater,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak05,Reekwater,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak06,Windsward,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak06,Windsward,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak08,Ebonscale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak08,Ebonscale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak09,First Light,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak09,First Light,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak10,CutlassKeys,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak10,CutlassKeys,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak11,Mourningdale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak11,Mourningdale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak12,Monarchs Bluffs,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak12,Monarchs Bluffs,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak13,WeaversFen,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak13,WeaversFen,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak15,Restless Shore,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak15,Restless Shore,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekCompanyTerritoryStreak16,Brimstone Sands,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Company,
SeasonCompanyTerritoryStreak16,Brimstone Sands,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Company,
WeekFaction01TerritoryStreak02,Brightwood,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak02,Brightwood,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak04,Everfall,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak04,Everfall,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak05,Reekwater,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak05,Reekwater,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak06,Windsward,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak06,Windsward,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak08,Ebonscale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak08,Ebonscale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak09,First Light,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak09,First Light,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak10,CutlassKeys,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak10,CutlassKeys,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak11,Mourningdale,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak11,Mourningdale,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak12,Monarchs Bluffs,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak12,Monarchs Bluffs,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak13,WeaversFen,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
SeasonFaction01TerritoryStreak13,WeaversFen,pc,Season,TerritoryControlStreak,Max,territory-control-streak,,,Global,
WeekFaction01TerritoryStreak15,Restless Shore,pc,Week,TerritoryControlStreak,Max,territory-control-streak,,,Global,
