LeaderboardRewardId,Rotation Start Check,RotationStart,LeaderboardRewardIdNoRotation,Rotation,SeasonOrWeek,EntitlementRewards,DataSheetLBStatus,Notes
LB_OPR_Regional_Rank2_Season5,1,5,LB_OPR_Regional_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank2_LB_OPR,,
LB_Darkness_Rank1_Season1,1,1,LB_Darkness_Rank1,Season,0,EntitlementSkin_Chest_Rank1_LB_Darkness,,
LB_Darkness_Rank1_Season4,1,4,LB_Darkness_Rank1,Season,3,EntitlementSkin_Chest_S3_Rank1_LB_Darkness,,
LB_Darkness_Rank1_Season5,1,5,LB_Darkness_Rank1,Season,4,EntitlementSkin_Chest_S4_Rank1_LB_Darkness,,
LB_Darkness_Rank2_Season1,1,1,LB_Darkness_Rank2,Season,0,EntitlementSkin_Chest_LB_Darkness,,
LB_Darkness_Rank2_Season4,1,4,LB_Darkness_Rank2,Season,3,EntitlementSkin_Chest_S3_Rank2_LB_Darkness,,
LB_Darkness_Rank2_Season5,1,5,LB_Darkness_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank3_LB_Darkness,,
LB_OpenWorldInfluence_Rank1_Season2,1,2,LB_OpenWorldInfluence_Rank1,Season,1,EntitlementSkin_Chest_Rank1_LB_OpenWorld,,
LB_OpenWorldInfluence_Rank1_Season4,1,4,LB_OpenWorldInfluence_Rank1,Season,3,EntitlementSkin_Chest_S3_Rank1_LB_OpenWorld,,
LB_OpenWorldInfluence_Rank1_Season5,1,5,LB_OpenWorldInfluence_Rank1,Season,4,EntitlementSkin_Chest_S4_Rank1_LB_OpenWorld,,
LB_OpenWorldInfluence_Rank2_Season2,1,2,LB_OpenWorldInfluence_Rank2,Season,1,EntitlementSkin_Chest_LB_OpenWorld,,
LB_OpenWorldInfluence_Rank2_Season4,1,4,LB_OpenWorldInfluence_Rank2,Season,3,EntitlementSkin_Chest_S3_Rank2_LB_OpenWorld,,
LB_OpenWorldInfluence_Rank2_Season5,1,5,LB_OpenWorldInfluence_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank2_LB_OpenWorld,,
LB_Siren_Rank1_Season1,1,1,LB_Siren_Rank1,Season,0,EntitlementSkin_Chest_Rank1_LB_SirenQueen,,
LB_Siren_Rank1_Season4,1,4,LB_Siren_Rank1,Season,3,EntitlementSkin_Chest_S3_Rank1_LB_SirenQueen,,
LB_Siren_Rank1_Season5,1,5,LB_Siren_Rank1,Season,4,EntitlementSkin_Chest_S4_Rank1_LB_SirenQueen,,
LB_Siren_Rank2_Season1,1,1,LB_Siren_Rank2,Season,0,EntitlementSkin_Chest_LB_SirenQueen,,
LB_Siren_Rank2_Season4,1,4,LB_Siren_Rank2,Season,3,EntitlementSkin_Chest_S3_Rank2_LB_SirenQueen,,
LB_Siren_Rank2_Season5,1,5,LB_Siren_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank2_LB_SirenQueen,,
LB_Monoecious_Rank1_Season1,1,1,LB_Monoecious_Rank1,Season,0,EntitlementSkin_Chest_Rank1_LB_MonoeciousCleft,,
LB_Monoecious_Rank1_Season4,1,4,LB_Monoecious_Rank1,Season,3,EntitlementSkin_Chest_S3_Rank1_LB_MonoeciousCleft,,
LB_Monoecious_Rank1_Season5,1,5,LB_Monoecious_Rank1,Season,4,EntitlementSkin_Chest_S4_Rank1_LB_MonoeciousCleft,,
LB_Monoecious_Rank2_Season1,1,1,LB_Monoecious_Rank2,Season,0,EntitlementSkin_Chest_LB_MonoeciousCleft,,
LB_Monoecious_Rank2_Season4,1,4,LB_Monoecious_Rank2,Season,3,EntitlementSkin_Chest_S3_Rank2_LB_MonoeciousCleft,,
LB_Monoecious_Rank2_Season5,1,5,LB_Monoecious_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank2_LB_MonoeciousCleft,,
LB_SwampBeast_Rank1_Season1,1,1,LB_SwampBeast_Rank1,Season,0,EntitlementSkin_Chest_Rank1_LB_EternalPools,,
LB_SwampBeast_Rank1_Season4,1,4,LB_SwampBeast_Rank1,Season,3,EntitlementSkin_Chest_S3_Rank1_LB_EternalPools,,
LB_SwampBeast_Rank1_Season5,1,5,LB_SwampBeast_Rank1,Season,4,EntitlementSkin_Chest_S4_Rank1_LB_EternalPools,,
LB_SwampBeast_Rank2_Season1,1,1,LB_SwampBeast_Rank2,Season,0,EntitlementSkin_Chest_LB_EternalPools,,
LB_SwampBeast_Rank2_Season4,1,4,LB_SwampBeast_Rank2,Season,3,EntitlementSkin_Chest_S3_Rank2_LB_EternalPools,,
LB_SwampBeast_Rank2_Season5,1,5,LB_SwampBeast_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank2_LB_EternalPools,,
LB_Sandworm_Rank1_Season1,1,1,LB_Sandworm_Rank1,Season,0,EntitlementSkin_Chest_Rank1_LB_Sandworm,,
LB_Sandworm_Rank1_Season4,1,4,LB_Sandworm_Rank1,Season,3,EntitlementSkin_Chest_S3_Rank1_LB_Sandworm,,
LB_Sandworm_Rank1_Season5,1,5,LB_Sandworm_Rank1,Season,4,EntitlementSkin_Chest_S4_Rank1_LB_Sandworm,,
LB_Sandworm_Rank2_Season1,1,1,LB_Sandworm_Rank2,Season,0,EntitlementSkin_Chest_LB_Sandworm,,
LB_Sandworm_Rank2_Season4,1,4,LB_Sandworm_Rank2,Season,3,EntitlementSkin_Chest_S3_Rank2_LB_Sandworm,,
LB_Sandworm_Rank2_Season5,1,5,LB_Sandworm_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank2_LB_Sandworm,,
LB_AllTerritory_Rank1_Season1,1,1,LB_AllTerritory_Rank1,Season,0,EntitlementSkin_Chest_Rank1_LB_Territory,,
LB_AllTerritory_Rank1_Season4,1,4,LB_AllTerritory_Rank1,Season,3,EntitlementSkin_Chest_S3_Rank1_LB_Territory,,
LB_AllTerritory_Rank1_Season5,1,5,LB_AllTerritory_Rank1,Season,4,EntitlementSkin_Chest_S4_Rank1_LB_Territory,,
LB_AllTerritory_Rank2_Season1,1,1,LB_AllTerritory_Rank2,Season,0,EntitlementSkin_Chest_LB_Territory,,
LB_AllTerritory_Rank2_Season4,1,4,LB_AllTerritory_Rank2,Season,3,EntitlementSkin_Chest_S3_Rank2_LB_Territory,,
LB_AllTerritory_Rank2_Season5,1,5,LB_AllTerritory_Rank2,Season,4,EntitlementSkin_Chest_S4_Rank2_LB_Territory,,
LB_RegionalDynastyScore_Rank1Skin_Week45,0,45,LB_RegionalDynastyScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_Shipyard,,
LB_RegionalDynastyScore_Rank2Skin_Week45,0,45,LB_RegionalDynastyScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_Shipyard,,
LB_RegionalGenesisScore_Rank1Skin_Week45,0,45,LB_RegionalGenesisScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_GardenGenesis,,
LB_RegionalGenesisScore_Rank2Skin_Week45,0,45,LB_RegionalGenesisScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_GardenGenesis,,
LB_RegionalLazarusScore_Rank1Skin_Week45,0,45,LB_RegionalLazarusScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_LazarusInstrumentality,,
LB_RegionalLazarusScore_Rank2Skin_Week45,0,45,LB_RegionalLazarusScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_LazarusInstrumentality,,
LB_RegionalTempestScore_Rank1Skin_Week45,0,45,LB_RegionalTempestScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_TempestHeart,,
LB_RegionalTempestScore_Rank2Skin_Week45,0,45,LB_RegionalTempestScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_TempestHeart,,
LB_RegionalBarnaclesScore_Rank1Skin_Week45,0,45,LB_RegionalBarnaclesScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_Barnacles,,
LB_RegionalBarnaclesScore_Rank2Skin_Week45,0,45,LB_RegionalBarnaclesScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_Barnacles,,
LB_RegionalEnneadScore_Rank1Skin_Week45,0,45,LB_RegionalEnneadScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_Brimstone,,
LB_RegionalEnneadScore_Rank2Skin_Week45,0,45,LB_RegionalEnneadScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_Brimstone,,
LB_RegionalDepthsScore_Rank1Skin_Week45,0,45,LB_RegionalDepthsScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_Depths,,
LB_RegionalDepthsScore_Rank2Skin_Week45,0,45,LB_RegionalDepthsScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_Depths,,
LB_RegionalStarstoneScore_Rank1Skin_Week45,0,45,LB_RegionalStarstoneScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_Starstone,,
LB_RegionalStarstoneScore_Rank2Skin_Week45,0,45,LB_RegionalStarstoneScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_Starstone,,
LB_RegionalEmpyreanScore_Rank1Skin_Week45,0,45,LB_RegionalEmpyreanScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_Forge,,
LB_RegionalEmpyreanScore_Rank2Skin_Week45,0,45,LB_RegionalEmpyreanScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_Forge,,
LB_RegionalDivideScore_Rank1Skin_Week45,0,45,LB_RegionalDivideScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_CrystalClaw,,
LB_RegionalDivideScore_Rank2Skin_Week45,0,45,LB_RegionalDivideScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_CrystalClaw,,
LB_RegionalGlacialScore_Rank1Skin_Week45,0,45,LB_RegionalGlacialScore_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBScore_Glacial,,
LB_RegionalGlacialScore_Rank2Skin_Week45,0,45,LB_RegionalGlacialScore_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBScore_Glacial,,
LB_RegionalDynastyTime_Rank1Skin_Week45,0,45,LB_RegionalDynastyTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_Shipyard,,
LB_RegionalDynastyTime_Rank2Skin_Week45,0,45,LB_RegionalDynastyTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_Shipyard,,
LB_RegionalGenesisTime_Rank1Skin_Week45,0,45,LB_RegionalGenesisTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_GardenGenesis,,
LB_RegionalGenesisTime_Rank2Skin_Week45,0,45,LB_RegionalGenesisTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_GardenGenesis,,
LB_RegionalLazarusTime_Rank1Skin_Week45,0,45,LB_RegionalLazarusTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_LazarusInstrumentality,,
LB_RegionalLazarusTime_Rank2Skin_Week45,0,45,LB_RegionalLazarusTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_LazarusInstrumentality,,
LB_RegionalTempestTime_Rank1Skin_Week45,0,45,LB_RegionalTempestTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_TempestHeart,,
LB_RegionalTempestTime_Rank2Skin_Week45,0,45,LB_RegionalTempestTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_TempestHeart,,
LB_RegionalBarnaclesTime_Rank1Skin_Week45,0,45,LB_RegionalBarnaclesTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_Barnacles,,
LB_RegionalBarnaclesTime_Rank2Skin_Week45,0,45,LB_RegionalBarnaclesTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_Barnacles,,
LB_RegionalEnneadTime_Rank1Skin_Week45,0,45,LB_RegionalEnneadTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_Brimstone,,
LB_RegionalEnneadTime_Rank2Skin_Week45,0,45,LB_RegionalEnneadTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_Brimstone,,
LB_RegionalDepthsTime_Rank1Skin_Week45,0,45,LB_RegionalDepthsTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_Depths,,
LB_RegionalDepthsTime_Rank2Skin_Week45,0,45,LB_RegionalDepthsTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_Depths,,
LB_RegionalStarstoneTime_Rank1Skin_Week45,0,45,LB_RegionalStarstoneTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_Starstone,,
LB_RegionalStarstoneTime_Rank2Skin_Week45,0,45,LB_RegionalStarstoneTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_Starstone,,
LB_RegionalEmpyreanTime_Rank1Skin_Week45,0,45,LB_RegionalEmpyreanTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_Forge,,
LB_RegionalEmpyreanTime_Rank2Skin_Week45,0,45,LB_RegionalEmpyreanTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_Forge,,
LB_RegionalDivideTime_Rank1Skin_Week45,0,45,LB_RegionalDivideTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_CrystalClaw,,
LB_RegionalDivideTime_Rank2Skin_Week45,0,45,LB_RegionalDivideTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_CrystalClaw,,
LB_RegionalGlacialTime_Rank1Skin_Week45,0,45,LB_RegionalGlacialTime_Rank1Skin,Week,45,EntitlementSkin_Chest_S4_Rank1_LBClear_Glacial,,
LB_RegionalGlacialTime_Rank2Skin_Week45,0,45,LB_RegionalGlacialTime_Rank2Skin,Week,45,EntitlementSkin_Chest_S4_Rank2_LBClear_Glacial,,
LB_DynastyM3Score_Rank1_Week35,0,35,LB_DynastyM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_Shipyard,Archived,Archived 10/24 for regional Expeditions
LB_DynastyM3Score_Rank1_Week45,0,45,LB_DynastyM3Score_Rank1,Week,45,NULL,Archived,
LB_DynastyM3Score_Rank2_Week35,0,35,LB_DynastyM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_Shipyard,Archived,
LB_DynastyM3Score_Rank2_Week45,0,45,LB_DynastyM3Score_Rank2,Week,45,NULL,Archived,
LB_DynastyM10Score_Rank1_Week1,0,1,LB_DynastyM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_Shipyard,Archived,
LB_DynastyM10Score_Rank1_Week35,0,35,LB_DynastyM10Score_Rank1,Week,35,NULL,Archived,
LB_DynastyM10Score_Rank2_Week1,0,1,LB_DynastyM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_Shipyard,Archived,
LB_DynastyM10Score_Rank2_Week35,0,35,LB_DynastyM10Score_Rank2,Week,35,NULL,Archived,
LB_GenesisM3Score_Rank1_Week35,0,35,LB_GenesisM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_GardenGenesis,Archived,
LB_GenesisM3Score_Rank1_Week45,0,45,LB_GenesisM3Score_Rank1,Week,45,NULL,Archived,
LB_GenesisM3Score_Rank2_Week35,0,35,LB_GenesisM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_GardenGenesis,Archived,
LB_GenesisM3Score_Rank2_Week45,0,45,LB_GenesisM3Score_Rank2,Week,45,NULL,Archived,
LB_GenesisM10Score_Rank1_Week1,0,1,LB_GenesisM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_GardenGenesis,Archived,
LB_GenesisM10Score_Rank1_Week35,0,35,LB_GenesisM10Score_Rank1,Week,35,NULL,Archived,
LB_GenesisM10Score_Rank2_Week1,0,1,LB_GenesisM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_GardenGenesis,Archived,
LB_GenesisM10Score_Rank2_Week35,0,35,LB_GenesisM10Score_Rank2,Week,35,NULL,Archived,
LB_LazarusM3Score_Rank1_Week35,0,35,LB_LazarusM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_LazarusInstrumentality,Archived,
LB_LazarusM3Score_Rank1_Week45,0,45,LB_LazarusM3Score_Rank1,Week,45,NULL,Archived,
LB_LazarusM3Score_Rank2_Week35,0,35,LB_LazarusM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_LazarusInstrumentality,Archived,
LB_LazarusM3Score_Rank2_Week45,0,45,LB_LazarusM3Score_Rank2,Week,45,NULL,Archived,
LB_LazarusM10Score_Rank1_Week1,0,1,LB_LazarusM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_LazarusInstrumentality,Archived,
LB_LazarusM10Score_Rank1_Week35,0,35,LB_LazarusM10Score_Rank1,Week,35,NULL,Archived,
LB_LazarusM10Score_Rank2_Week1,0,1,LB_LazarusM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_LazarusInstrumentality,Archived,
LB_LazarusM10Score_Rank2_Week35,0,35,LB_LazarusM10Score_Rank2,Week,35,NULL,Archived,
LB_TempestM3Score_Rank1_Week35,0,35,LB_TempestM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_TempestHeart,Archived,
LB_TempestM3Score_Rank1_Week45,0,45,LB_TempestM3Score_Rank1,Week,45,NULL,Archived,
LB_TempestM3Score_Rank2_Week35,0,35,LB_TempestM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_TempestHeart,Archived,
LB_TempestM3Score_Rank2_Week45,0,45,LB_TempestM3Score_Rank2,Week,45,NULL,Archived,
LB_TempestM10Score_Rank1_Week1,0,1,LB_TempestM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_TempestHeart,Archived,
LB_TempestM10Score_Rank1_Week35,0,35,LB_TempestM10Score_Rank1,Week,35,NULL,Archived,
LB_TempestM10Score_Rank2_Week1,0,1,LB_TempestM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_TempestHeart,Archived,
LB_TempestM10Score_Rank2_Week35,0,35,LB_TempestM10Score_Rank2,Week,35,NULL,Archived,
LB_BarnaclesM3Score_Rank1_Week35,0,35,LB_BarnaclesM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_Barnacles,Archived,
LB_BarnaclesM3Score_Rank1_Week45,0,45,LB_BarnaclesM3Score_Rank1,Week,45,NULL,Archived,
LB_BarnaclesM3Score_Rank2_Week35,0,35,LB_BarnaclesM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_Barnacles,Archived,
LB_BarnaclesM3Score_Rank2_Week45,0,45,LB_BarnaclesM3Score_Rank2,Week,45,NULL,Archived,
LB_BarnaclesM10Score_Rank1_Week1,0,1,LB_BarnaclesM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_Barnacles,Archived,
LB_BarnaclesM10Score_Rank1_Week35,0,35,LB_BarnaclesM10Score_Rank1,Week,35,NULL,Archived,
LB_BarnaclesM10Score_Rank2_Week1,0,1,LB_BarnaclesM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_Barnacles,Archived,
LB_BarnaclesM10Score_Rank2_Week35,0,35,LB_BarnaclesM10Score_Rank2,Week,35,NULL,Archived,
LB_EnneadM3Score_Rank1_Week35,0,35,LB_EnneadM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_Brimstone,Archived,
LB_EnneadM3Score_Rank1_Week45,0,45,LB_EnneadM3Score_Rank1,Week,45,NULL,Archived,
LB_EnneadM3Score_Rank2_Week35,0,35,LB_EnneadM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_Brimstone,Archived,
LB_EnneadM3Score_Rank2_Week45,0,45,LB_EnneadM3Score_Rank2,Week,45,NULL,Archived,
LB_EnneadM10Score_Rank1_Week1,0,1,LB_EnneadM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_Brimstone,Archived,
LB_EnneadM10Score_Rank1_Week35,0,35,LB_EnneadM10Score_Rank1,Week,35,NULL,Archived,
LB_EnneadM10Score_Rank2_Week1,0,1,LB_EnneadM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_Brimstone,Archived,
LB_EnneadM10Score_Rank2_Week35,0,35,LB_EnneadM10Score_Rank2,Week,35,NULL,Archived,
LB_DepthsM3Score_Rank1_Week35,0,35,LB_DepthsM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_Depths,Archived,
LB_DepthsM3Score_Rank1_Week45,0,45,LB_DepthsM3Score_Rank1,Week,45,NULL,Archived,
LB_DepthsM3Score_Rank2_Week35,0,35,LB_DepthsM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_Depths,Archived,
LB_DepthsM3Score_Rank2_Week45,0,45,LB_DepthsM3Score_Rank2,Week,45,NULL,Archived,
LB_DepthsM10Score_Rank1_Week1,0,1,LB_DepthsM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_Depths,Archived,
LB_DepthsM10Score_Rank1_Week35,0,35,LB_DepthsM10Score_Rank1,Week,35,NULL,Archived,
LB_DepthsM10Score_Rank2_Week1,0,1,LB_DepthsM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_Depths,Archived,
LB_DepthsM10Score_Rank2_Week35,0,35,LB_DepthsM10Score_Rank2,Week,35,NULL,Archived,
LB_StarstoneM3Score_Rank1_Week35,0,35,LB_StarstoneM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_Starstone,Archived,
LB_StarstoneM3Score_Rank1_Week45,0,45,LB_StarstoneM3Score_Rank1,Week,45,NULL,Archived,
LB_StarstoneM3Score_Rank2_Week35,0,35,LB_StarstoneM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_Starstone,Archived,
LB_StarstoneM3Score_Rank2_Week45,0,45,LB_StarstoneM3Score_Rank2,Week,45,NULL,Archived,
LB_StarstoneM10Score_Rank1_Week1,0,1,LB_StarstoneM10Score_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBScore_Starstone,Archived,
LB_StarstoneM10Score_Rank1_Week35,0,35,LB_StarstoneM10Score_Rank1,Week,35,NULL,Archived,
LB_StarstoneM10Score_Rank2_Week1,0,1,LB_StarstoneM10Score_Rank2,Week,1,EntitlementSkin_Chest_LBScore_Starstone,Archived,
LB_StarstoneM10Score_Rank2_Week35,0,35,LB_StarstoneM10Score_Rank2,Week,35,NULL,Archived,
LB_ForgeM3Score_Rank1_Week35,0,35,LB_ForgeM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_Forge,Archived,
LB_ForgeM3Score_Rank1_Week45,0,45,LB_ForgeM3Score_Rank1,Week,45,NULL,Archived,
LB_ForgeM3Score_Rank2_Week35,0,35,LB_ForgeM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_Forge,Archived,
LB_ForgeM3Score_Rank2_Week45,0,45,LB_ForgeM3Score_Rank2,Week,45,NULL,Archived,
LB_ForgeM10Score_Rank1_Week1,0,1,LB_ForgeM10Score_Rank1,Week,1,Skin_Chest_Rank1_LBScore_Forge,Archived,
LB_ForgeM10Score_Rank1_Week35,0,35,LB_ForgeM10Score_Rank1,Week,35,NULL,Archived,
LB_ForgeM10Score_Rank2_Week1,0,1,LB_ForgeM10Score_Rank2,Week,1,Skin_Chest_LBScore_Forge,Archived,
LB_ForgeM10Score_Rank2_Week35,0,35,LB_ForgeM10Score_Rank2,Week,35,NULL,Archived,
LB_DivideM3Score_Rank1_Week35,0,35,LB_DivideM3Score_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBScore_CrystalClaw,Archived,
LB_DivideM3Score_Rank1_Week45,0,45,LB_DivideM3Score_Rank1,Week,45,NULL,Archived,
LB_DivideM3Score_Rank2_Week35,0,35,LB_DivideM3Score_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBScore_CrystalClaw,Archived,
LB_DivideM3Score_Rank2_Week45,0,45,LB_DivideM3Score_Rank2,Week,45,NULL,Archived,
LB_LazarusM3Clear_Rank1_Week35,0,35,LB_LazarusM3Clear_Rank1,Week,35,EntitlementSkin_Chest_S3_Rank1_LBClear_LazarusInstrumentality,Archived,
LB_LazarusM3Clear_Rank1_Week45,0,45,LB_LazarusM3Clear_Rank1,Week,45,NULL,Archived,
LB_LazarusM3Clear_Rank2_Week35,0,35,LB_LazarusM3Clear_Rank2,Week,35,EntitlementSkin_Chest_S3_Rank2_LBClear_LazarusInstrumentality,Archived,
LB_LazarusM3Clear_Rank2_Week45,0,45,LB_LazarusM3Clear_Rank2,Week,45,NULL,Archived,
LB_LazarusM10Clear_Rank1_Week1,0,1,LB_LazarusM10Clear_Rank1,Week,1,EntitlementSkin_Chest_Rank1_LBClear_LazarusInstrumentality,Archived,
LB_LazarusM10Clear_Rank1_Week35,0,35,LB_LazarusM10Clear_Rank1,Week,35,NULL,Archived,
