Level,Health,HealthRate,Stamina,StaminaRate,Mana,ManaRate,CastSpeed,EquipLoad,NumAttuneSlots,Encumbrance,AbsFalling,DefStandard,DefSlash,DefThrust,DefStrike,DefMagic,DefFire,DefLightning,DefCorruption,ResFrostbite,ResPoison,ResBleed,ResDisease,ResCurse
51,0,0,0,0,0,0,0,340,0,0,0,7.85,7.85,7.85,7.85,0,0,0,0,0,66,0,66,0
52,0,0,0,0,0,0,0,345,0,0,0,8,8,8,8,0,0,0,0,0,67,0,67,0
53,0,0,0,0,0,0,0,350,0,0,0,8.1,8.1,8.1,8.1,0,0,0,0,0,68,0,68,0
54,0,0,0,0,0,0,0,355,0,0,0,8.2,8.2,8.2,8.2,0,0,0,0,0,69,0,69,0
55,0,0,0,0,0,0,0,360,0,0,0,8.3,8.3,8.3,8.3,0,0,0,0,0,70,0,70,0
56,0,0,0,0,0,0,0,364,0,0,0,8.4,8.4,8.4,8.4,0,0,0,0,0,71,0,71,0
57,0,0,0,0,0,0,0,368,0,0,0,8.5,8.5,8.5,8.5,0,0,0,0,0,72,0,72,0
58,0,0,0,0,0,0,0,372,0,0,0,8.6,8.6,8.6,8.6,0,0,0,0,0,73,0,73,0
59,0,0,0,0,0,0,0,376,0,0,0,8.7,8.7,8.7,8.7,0,0,0,0,0,74,0,74,0
60,0,0,0,0,0,0,0,380,0,0,0,8.8,8.8,8.8,8.8,0,0,0,0,0,75,0,75,0
61,0,0,0,0,0,0,0,384,0,0,0,8.9,8.9,8.9,8.9,0,0,0,0,0,75,0,75,0
62,0,0,0,0,0,0,0,388,0,0,0,9,9,9,9,0,0,0,0,0,75,0,75,0
63,0,0,0,0,0,0,0,392,0,0,0,9.1,9.1,9.1,9.1,0,0,0,0,0,75,0,75,0
64,0,0,0,0,0,0,0,396,0,0,0,9.2,9.2,9.2,9.2,0,0,0,0,0,75,0,75,0
65,0,0,0,0,0,0,0,400,0,0,0,9.3,9.3,9.3,9.3,0,0,0,0,0,75,0,75,0
66,0,0,0,0,0,0,0,402,0,0,0,9.4,9.4,9.4,9.4,0,0,0,0,0,75,0,75,0
67,0,0,0,0,0,0,0,404,0,0,0,9.5,9.5,9.5,9.5,0,0,0,0,0,75,0,75,0
68,0,0,0,0,0,0,0,406,0,0,0,9.6,9.6,9.6,9.6,0,0,0,0,0,75,0,75,0
69,0,0,0,0,0,0,0,408,0,0,0,9.7,9.7,9.7,9.7,0,0,0,0,0,75,0,75,0
70,0,0,0,0,0,0,0,410,0,0,0,9.8,9.8,9.8,9.8,0,0,0,0,0,75,0,75,0
71,0,0,0,0,0,0,0,412,0,0,0,9.9,9.9,9.9,9.9,0,0,0,0,0,75,0,75,0
72,0,0,0,0,0,0,0,414,0,0,0,10,10,10,10,0,0,0,0,0,75,0,75,0
73,0,0,0,0,0,0,0,416,0,0,0,10.1,10.1,10.1,10.1,0,0,0,0,0,75,0,75,0
74,0,0,0,0,0,0,0,418,0,0,0,10.2,10.2,10.2,10.2,0,0,0,0,0,75,0,75,0
75,0,0,0,0,0,0,0,420,0,0,0,10.3,10.3,10.3,10.3,0,0,0,0,0,75,0,75,0
76,0,0,0,0,0,0,0,422,0,0,0,10.4,10.4,10.4,10.4,0,0,0,0,0,75,0,75,0
77,0,0,0,0,0,0,0,424,0,0,0,10.5,10.5,10.5,10.5,0,0,0,0,0,75,0,75,0
78,0,0,0,0,0,0,0,426,0,0,0,10.6,10.6,10.6,10.6,0,0,0,0,0,75,0,75,0
79,0,0,0,0,0,0,0,428,0,0,0,10.7,10.7,10.7,10.7,0,0,0,0,0,75,0,75,0
80,0,0,0,0,0,0,0,430,0,0,0,10.8,10.8,10.8,10.8,0,0,0,0,0,75,0,75,0
81,0,0,0,0,0,0,0,432,0,0,0,10.82,10.82,10.82,10.82,0,0,0,0,0,75,0,75,0
82,0,0,0,0,0,0,0,434,0,0,0,10.84,10.84,10.84,10.84,0,0,0,0,0,75,0,75,0
83,0,0,0,0,0,0,0,436,0,0,0,10.86,10.86,10.86,10.86,0,0,0,0,0,75,0,75,0
84,0,0,0,0,0,0,0,438,0,0,0,10.88,10.88,10.88,10.88,0,0,0,0,0,75,0,75,0
85,0,0,0,0,0,0,0,440,0,0,0,10.9,10.9,10.9,10.9,0,0,0,0,0,75,0,75,0
86,0,0,0,0,0,0,0,442,0,0,0,10.92,10.92,10.92,10.92,0,0,0,0,0,75,0,75,0
87,0,0,0,0,0,0,0,444,0,0,0,10.94,10.94,10.94,10.94,0,0,0,0,0,75,0,75,0
88,0,0,0,0,0,0,0,446,0,0,0,10.96,10.96,10.96,10.96,0,0,0,0,0,75,0,75,0
89,0,0,0,0,0,0,0,448,0,0,0,10.98,10.98,10.98,10.98,0,0,0,0,0,75,0,75,0
90,0,0,0,0,0,0,0,450,0,0,0,11,11,11,11,0,0,0,0,0,75,0,75,0
91,0,0,0,0,0,0,0,452,0,0,0,11.02,11.02,11.02,11.02,0,0,0,0,0,75,0,75,0
92,0,0,0,0,0,0,0,454,0,0,0,11.04,11.04,11.04,11.04,0,0,0,0,0,75,0,75,0
93,0,0,0,0,0,0,0,456,0,0,0,11.06,11.06,11.06,11.06,0,0,0,0,0,75,0,75,0
94,0,0,0,0,0,0,0,458,0,0,0,11.08,11.08,11.08,11.08,0,0,0,0,0,75,0,75,0
95,0,0,0,0,0,0,0,460,0,0,0,11.1,11.1,11.1,11.1,0,0,0,0,0,75,0,75,0
96,0,0,0,0,0,0,0,462,0,0,0,11.12,11.12,11.12,11.12,0,0,0,0,0,75,0,75,0
97,0,0,0,0,0,0,0,464,0,0,0,11.14,11.14,11.14,11.14,0,0,0,0,0,75,0,75,0
98,0,0,0,0,0,0,0,466,0,0,0,11.16,11.16,11.16,11.16,0,0,0,0,0,75,0,75,0
99,0,0,0,0,0,0,0,468,0,0,0,11.18,11.18,11.18,11.18,0,0,0,0,0,75,0,75,0
100,0,0,0,0,0,0,0,470,0,0,0,11.2,11.2,11.2,11.2,0,0,0,0,0,75,0,75,0
101,0,0,0,0,0,0,0,472,0,0,0,11.22,11.22,11.22,11.22,0,0,0,0,0,75,0,75,0
102,0,0,0,0,0,0,0,474,0,0,0,11.24,11.24,11.24,11.24,0,0,0,0,0,75,0,75,0
103,0,0,0,0,0,0,0,476,0,0,0,11.26,11.26,11.26,11.26,0,0,0,0,0,75,0,75,0
104,0,0,0,0,0,0,0,478,0,0,0,11.28,11.28,11.28,11.28,0,0,0,0,0,75,0,75,0
105,0,0,0,0,0,0,0,480,0,0,0,11.3,11.3,11.3,11.3,0,0,0,0,0,75,0,75,0
106,0,0,0,0,0,0,0,482,0,0,0,11.32,11.32,11.32,11.32,0,0,0,0,0,75,0,75,0
107,0,0,0,0,0,0,0,484,0,0,0,11.34,11.34,11.34,11.34,0,0,0,0,0,75,0,75,0
108,0,0,0,0,0,0,0,486,0,0,0,11.36,11.36,11.36,11.36,0,0,0,0,0,75,0,75,0
109,0,0,0,0,0,0,0,488,0,0,0,11.38,11.38,11.38,11.38,0,0,0,0,0,75,0,75,0
110,0,0,0,0,0,0,0,490,0,0,0,11.4,11.4,11.4,11.4,0,0,0,0,0,75,0,75,0
111,0,0,0,0,0,0,0,492,0,0,0,11.42,11.42,11.42,11.42,0,0,0,0,0,75,0,75,0
112,0,0,0,0,0,0,0,494,0,0,0,11.44,11.44,11.44,11.44,0,0,0,0,0,75,0,75,0
113,0,0,0,0,0,0,0,496,0,0,0,11.46,11.46,11.46,11.46,0,0,0,0,0,75,0,75,0
114,0,0,0,0,0,0,0,498,0,0,0,11.48,11.48,11.48,11.48,0,0,0,0,0,75,0,75,0
115,0,0,0,0,0,0,0,500,0,0,0,11.5,11.5,11.5,11.5,0,0,0,0,0,75,0,75,0
116,0,0,0,0,0,0,0,502,0,0,0,11.52,11.52,11.52,11.52,0,0,0,0,0,75,0,75,0
117,0,0,0,0,0,0,0,504,0,0,0,11.54,11.54,11.54,11.54,0,0,0,0,0,75,0,75,0
118,0,0,0,0,0,0,0,506,0,0,0,11.56,11.56,11.56,11.56,0,0,0,0,0,75,0,75,0
119,0,0,0,0,0,0,0,508,0,0,0,11.58,11.58,11.58,11.58,0,0,0,0,0,75,0,75,0
120,0,0,0,0,0,0,0,510,0,0,0,11.6,11.6,11.6,11.6,0,0,0,0,0,75,0,75,0
121,0,0,0,0,0,0,0,512,0,0,0,11.62,11.62,11.62,11.62,0,0,0,0,0,75,0,75,0
122,0,0,0,0,0,0,0,514,0,0,0,11.64,11.64,11.64,11.64,0,0,0,0,0,75,0,75,0
123,0,0,0,0,0,0,0,516,0,0,0,11.66,11.66,11.66,11.66,0,0,0,0,0,75,0,75,0
124,0,0,0,0,0,0,0,518,0,0,0,11.68,11.68,11.68,11.68,0,0,0,0,0,75,0,75,0
125,0,0,0,0,0,0,0,520,0,0,0,11.7,11.7,11.7,11.7,0,0,0,0,0,75,0,75,0
126,0,0,0,0,0,0,0,522,0,0,0,11.72,11.72,11.72,11.72,0,0,0,0,0,75,0,75,0
127,0,0,0,0,0,0,0,524,0,0,0,11.74,11.74,11.74,11.74,0,0,0,0,0,75,0,75,0
128,0,0,0,0,0,0,0,526,0,0,0,11.76,11.76,11.76,11.76,0,0,0,0,0,75,0,75,0
129,0,0,0,0,0,0,0,528,0,0,0,11.78,11.78,11.78,11.78,0,0,0,0,0,75,0,75,0
130,0,0,0,0,0,0,0,530,0,0,0,11.8,11.8,11.8,11.8,0,0,0,0,0,75,0,75,0
131,0,0,0,0,0,0,0,532,0,0,0,11.82,11.82,11.82,11.82,0,0,0,0,0,75,0,75,0
132,0,0,0,0,0,0,0,534,0,0,0,11.84,11.84,11.84,11.84,0,0,0,0,0,75,0,75,0
133,0,0,0,0,0,0,0,536,0,0,0,11.86,11.86,11.86,11.86,0,0,0,0,0,75,0,75,0
134,0,0,0,0,0,0,0,538,0,0,0,11.88,11.88,11.88,11.88,0,0,0,0,0,75,0,75,0
135,0,0,0,0,0,0,0,540,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
136,0,0,0,0,0,0,0,542,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
137,0,0,0,0,0,0,0,544,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
138,0,0,0,0,0,0,0,546,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
139,0,0,0,0,0,0,0,548,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
140,0,0,0,0,0,0,0,550,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
141,0,0,0,0,0,0,0,552,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
142,0,0,0,0,0,0,0,554,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
143,0,0,0,0,0,0,0,556,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
144,0,0,0,0,0,0,0,558,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
145,0,0,0,0,0,0,0,560,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
146,0,0,0,0,0,0,0,562,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
147,0,0,0,0,0,0,0,564,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
148,0,0,0,0,0,0,0,566,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
149,0,0,0,0,0,0,0,568,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
150,0,0,0,0,0,0,0,570,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
151,0,0,0,0,0,0,0,572,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
152,0,0,0,0,0,0,0,574,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
153,0,0,0,0,0,0,0,576,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
154,0,0,0,0,0,0,0,578,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
155,0,0,0,0,0,0,0,580,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
156,0,0,0,0,0,0,0,582,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
157,0,0,0,0,0,0,0,584,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
158,0,0,0,0,0,0,0,586,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
159,0,0,0,0,0,0,0,588,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
160,0,0,0,0,0,0,0,590,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
161,0,0,0,0,0,0,0,592,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
162,0,0,0,0,0,0,0,594,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
163,0,0,0,0,0,0,0,596,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
164,0,0,0,0,0,0,0,598,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
165,0,0,0,0,0,0,0,600,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
166,0,0,0,0,0,0,0,602,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
167,0,0,0,0,0,0,0,604,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
168,0,0,0,0,0,0,0,606,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
169,0,0,0,0,0,0,0,608,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
170,0,0,0,0,0,0,0,610,0,0,0,11.9,11.9,11.9,11.9,0,0,0,0,0,75,0,75,0
