Level,Health,HealthRate,Stamina,StaminaRate,Mana,ManaRate,CastSpeed,EquipLoad,NumAttuneSlots,Encumbrance,AbsFalling,DefStandard,DefSlash,DefThrust,DefStrike,DefMagic,DefFire,DefLightning,DefCorruption,ResFrostbite,ResPoison,ResBleed,ResDisease,ResCurse,ScalingValue
28,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,43,0.5
29,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55,0,0,0,0,44,0.5
30,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,0,0,0,0,45,0.5
31,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,4.85,0,0,0,0,46,0.5
32,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,47,0.5
33,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,5.15,0,0,0,0,48,0.5
34,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,49,0.5
35,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45,0,0,0,0,50,0.5
36,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,51,0.4
37,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,52,0.4
38,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,53,0.4
39,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,6.05,0,0,0,0,54,0.4
40,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0,0,55,0.4
41,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0,0,0,0,56,0.4
42,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,57,0.4
43,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,6.65,0,0,0,0,58,0.4
44,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,0,0,0,0,59,0.4
45,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0,0,0,0,60,0.4
46,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,0,0,0,0,61,0.3
47,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,62,0.3
48,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,63,0.3
49,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55,0,0,0,0,64,0.3
50,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0,65,0.3
51,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,0,0,0,0,66,0.3
52,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,67,0.3
53,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,68,0.3
54,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,0,0,0,0,69,0.3
55,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,70,0.3
56,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,71,0.2
57,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0,0,72,0.2
58,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0,0,73,0.2
59,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,74,0.2
60,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0,0,0,0,75,0.2
61,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,75,0.2
62,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,75,0.2
63,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1,0,0,0,0,75,0.2
64,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,75,0.2
65,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0,0,0,0,75,0.2
66,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,75,0.1
67,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,0,0,0,0,75,0.1
68,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,75,0.1
69,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,0,0,75,0.1
70,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,75,0.1
71,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,75,0.1
72,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,75,0.1
73,0,0,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,75,0.1
74,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,0,75,0.1
75,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,0,0,0,0,75,0.1
76,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,75,0.1
77,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,0,0,0,0,75,0.1
78,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6,0,0,0,0,75,0.1
79,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,75,0.1
80,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,0,0,0,0,75,0.1
81,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,0,75,0.1
82,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,10.84,0,0,0,0,75,0.1
83,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,10.86,0,0,0,0,75,0.1
84,0,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,10.88,0,0,0,0,75,0.1
85,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,0,0,0,0,75,0.1
86,0,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,75,0.05
87,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94,0,0,0,0,75,0.05
88,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0,0,0,0,75,0.05
89,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,10.98,0,0,0,0,75,0.05
90,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,75,0.05
91,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,0,0,0,0,75,0.05
92,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,11.04,0,0,0,0,75,0.05
93,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,0,0,0,0,75,0.05
94,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,11.08,0,0,0,0,75,0.05
95,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,75,0.05
96,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,11.12,0,0,0,0,75,0.05
97,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,75,0.05
98,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,11.16,0,0,0,0,75,0.05
99,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,11.18,0,0,0,0,75,0.05
100,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2,0,0,0,0,75,0.05
101,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,11.22,0,0,0,0,75,0.05
102,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,11.24,0,0,0,0,75,0.05
103,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,0,0,0,0,75,0.05
104,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,11.28,0,0,0,0,75,0.05
105,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,75,0.05
106,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,75,0.05
107,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,11.34,0,0,0,0,75,0.05
108,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,11.36,0,0,0,0,75,0.05
109,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,11.38,0,0,0,0,75,0.05
110,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,75,0.05
111,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,11.42,0,0,0,0,75,0.05
112,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,75,0.05
113,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0,0,75,0.05
114,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,75,0.05
115,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,0,75,0.05
116,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,11.52,0,0,0,0,75,0.05
117,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,11.54,0,0,0,0,75,0.05
118,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,11.56,0,0,0,0,75,0.05
119,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,75,0.05
120,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,75,0.05
121,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,0,0,0,0,75,0.05
122,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,0,0,0,0,75,0.05
123,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,0,0,0,0,75,0.05
124,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,11.68,0,0,0,0,75,0.05
125,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7,0,0,0,0,75,0.05
126,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72,0,0,0,0,75,0.05
127,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,75,0.05
128,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0,75,0.05
129,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,11.78,0,0,0,0,75,0.05
130,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,75,0.05
131,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,11.82,0,0,0,0,75,0.05
132,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,11.84,0,0,0,0,75,0.05
133,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,75,0.05
134,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88,0,0,0,0,75,0.05
135,0,0,0,0,191,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0.05
136,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0.05
137,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0.05
138,0,0,0,0,194,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0.05
139,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0.05
140,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0.05
141,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
142,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
143,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
144,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
145,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
146,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
147,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
148,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
149,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
150,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
151,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
152,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
153,0,0,0,0,209,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
154,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
155,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
156,0,0,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
157,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
158,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
159,0,0,0,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
160,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
161,0,0,0,0,217,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
162,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
163,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
164,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
165,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
166,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
167,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
168,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
169,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
170,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,0,0,0,75,0
