Level Number,XPToLevel,XPAlarmThreshold1,XPAlarmThreshold2,PlayTimeAlarmThresholdMins1,PlayTimeAlarmThresholdMins2,AttributePoints,Health,TradeSkillPoints,AttributeRespecCost,CanFreeAttributeRespec,LootTagValue,DefStandard,DefSlash,DefStrike,DefMagic,DefFire,DefLightning,DefCorruption,ResFrost,ResPoison,ResBleed,ResDisease,ResCurse,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,RespawnCooldownMod,EffectId,BlueprintId,IsMilestone,Tooltip,MaxEquippableGearScore,IgnoreItemRarity,LootBiasingChance,BindOnPickupChance,GSLimitT1,GSLimitT2,GSLimitT3,GSLimitT4,GSLimitT5,GSBonusCritter,GSBonusSolo,GSBonusSolo-,GSBonusSolo+,GSBonusGroup,GSBonusGroup-,GSBonusGroup+,GSBonusBoss,HouseTrophySlots
19,84100,0,0,0,0,3,950,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,CampRegenL0,CampT3,false,,200,false,0.15,0,180-195,190-210,190-210,190-210,190-210,,,,,,,,,2
20,96600,0,0,0,0,3,1000,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,CampRegenL0,CampT3,false,,210,false,0.15,0,180-195,200-220,200-220,200-220,200-220,,,,,,,,,3
21,109850,0,0,0,0,3,1050,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,CampRegenL0,CampT3,false,,220,false,0.5,0,180-195,210-230,210-230,210-230,210-230,,,,,,,,,3
22,122070,0,0,0,0,3,1100,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,CampRegenL0,CampT3,false,,230,false,0.5,0.1,180-195,220-240,220-240,220-240,220-240,,,,,,,,,3
23,134220,0,0,0,0,3,1150,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,CampRegenL0,CampT3,false,,240,false,0.5,0.1,180-195,230-250,230-250,230-250,230-250,,,,,,,,,3
24,147050,0,0,0,0,3,1200,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,CampRegenL0,CampT3,false,,250,false,0.5,0.1,180-195,240-260,240-260,240-260,240-260,,,,,,,,,3
25,160180,0,0,0,0,3,1250,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,CampRegenL0,CampT3,false,,260,false,0.5,0.1,180-195,250-270,250-270,250-270,250-270,,,,,,,,,3
26,174540,0,0,0,0,3,1300,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,CampRegenL0,CampT3,false,,270,false,0.5,0.1,180-195,260-280,260-280,260-280,260-280,,,,,,,,,3
27,190120,0,0,0,0,3,1350,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,CampRegenL0,CampT3,false,,280,false,0.5,0.1,180-195,270-290,270-290,270-290,270-290,,,,,,,,,3
28,206520,0,0,0,0,3,1400,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,CampRegenL0,CampT3,false,,290,false,0.5,0.1,180-195,280-299,280-300,280-300,280-300,,,,,,,,,3
29,223690,0,0,0,0,3,1450,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,CampRegenL0,CampT3,false,,300,false,0.5,0.1,180-195,285-299,290-310,290-310,290-310,,,,,,,,,3
30,241610,0,0,0,0,3,1500,1,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,CampRegenL0,CampT3,false,,310,false,0.5,0.1,180-195,285-299,300-320,300-320,300-320,,,,,,,,,4
31,260330,0,0,0,0,3,1550,1,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,CampRegenL0,CampT3,false,,320,false,0.5,0.2,180-195,285-299,310-330,310-330,310-330,,,,,,,,,4
32,279820,0,0,0,0,3,1600,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,CampRegenL0,CampT3,false,,330,false,0.5,0.2,180-195,285-299,320-340,320-340,320-340,,,,,,,,,4
33,300080,0,0,0,0,3,1650,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,CampRegenL0,CampT3,false,,340,false,0.5,0.2,180-195,285-299,330-350,330-350,330-350,,,,,,,,,4
34,321070,0,0,0,0,3,1700,1,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,CampRegenL0,CampT4,false,,350,false,0.5,0.2,180-195,285-299,340-360,340-360,340-360,,,,,,,,,4
35,342770,0,0,0,0,3,1750,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,CampRegenL0,CampT4,false,,360,false,0.5,0.2,180-195,285-299,350-370,350-370,350-370,,,,,,,,,4
36,365220,0,0,0,0,3,1800,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,CampRegenL0,CampT4,false,,370,false,0.5,0.2,180-195,285-299,360-380,360-380,360-380,,,,,,,,,4
37,388400,0,0,0,0,3,1850,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,CampRegenL0,CampT4,false,,380,false,0.5,0.2,180-195,285-299,370-390,370-390,370-390,,,,,,,,,4
38,412290,0,0,0,0,3,1900,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,CampRegenL0,CampT4,false,,390,false,0.5,0.2,180-195,285-299,380-399,380-400,380-400,,,,,,,,,4
39,436850,0,0,0,0,3,1950,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,CampRegenL0,CampT4,false,,400,false,0.5,0.2,180-195,285-299,385-399,390-410,390-410,,,,,,,,,4
40,462050,0,0,0,0,4,2000,1,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,CampRegenL0,CampT4,false,,410,false,0.8,0.25,180-195,285-299,385-399,400-420,400-420,,,,,,,,,4
41,487930,0,0,0,0,4,2050,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,CampRegenL0,CampT4,false,,420,false,0.8,0.25,180-195,285-299,385-399,410-430,410-430,,,,,,,,,4
42,515000,0,0,0,0,4,2100,1,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,CampRegenL0,CampT4,false,,430,false,0.8,0.25,180-195,285-299,385-399,420-440,420-440,,,,,,,,,4
43,545310,0,0,0,0,4,2150,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,CampRegenL0,CampT4,false,,440,false,0.8,0.25,180-195,285-299,385-399,430-450,430-450,,,,,,,,,4
44,579060,0,0,0,0,4,2200,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,CampRegenL0,CampT4,false,,450,false,0.8,0.25,180-195,285-299,385-399,440-460,440-460,,,,,,,,,4
45,610440,0,0,0,0,4,2250,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,CampRegenL0,CampT4,false,,460,false,0.8,0.25,180-195,285-299,385-399,450-470,450-470,,,,,,,,,4
46,645370,0,0,0,0,4,2300,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,CampRegenL0,CampT4,false,,470,false,0.8,0.25,180-195,285-299,385-399,460-480,460-480,,,,,,,,,4
47,681590,0,0,0,0,4,2350,1,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,CampRegenL0,CampT4,false,,480,false,0.8,0.25,180-195,285-299,385-399,470-490,470-490,,,,,,,,,4
48,719080,0,0,0,0,4,2400,1,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,CampRegenL0,CampT4,false,,490,false,0.8,0.25,180-195,285-299,385-399,480-499,480-500,,,,,,,,,4
49,757850,0,0,0,0,4,2450,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,CampRegenL0,CampT5,false,,500,false,0.8,0.25,180-195,285-299,385-399,485-499,490-510,,,,,,,,,4
50,797880,0,0,0,0,4,2500,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,CampRegenL0,CampT5,false,,510,false,0.8,0.25,180-195,285-299,385-399,485-499,500-520,,,,,,,,,5
51,839260,0,0,0,0,4,2550,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,CampRegenL0,CampT5,false,,520,false,0.8,0.3,180-195,285-299,385-399,485-499,510-530,,,,,,,,,5
52,881970,0,0,0,0,4,2600,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,CampRegenL0,CampT5,false,,530,false,0.8,0.35,180-195,285-299,385-399,485-499,520-530,,,,,,,,,5
53,926010,0,0,0,0,4,2650,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,CampRegenL0,CampT5,false,,540,false,0.8,0.4,180-195,285-299,385-399,485-499,530-550,,,,,,,,,5
54,971360,0,0,0,0,4,2700,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,CampRegenL0,CampT5,false,,550,false,0.8,0.45,180-195,285-299,385-399,485-499,540-560,,,,,,,,,5
55,1008310,0,0,0,0,5,2750,1,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,CampRegenL0,CampT5,false,,560,false,0.8,0.5,180-195,285-299,385-399,485-499,550-570,,,,,,,,,5
56,1046250,0,0,0,0,5,2800,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,CampRegenL0,CampT5,false,,570,false,0.8,0.55,180-195,285-299,385-399,485-499,560-580,,,,,,,,,5
57,1085160,0,0,0,0,5,2850,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,CampRegenL0,CampT5,false,,580,false,0.8,0.6,180-195,285-299,385-399,485-499,570-590,,,,,,,,,5
58,1125010,0,0,0,0,5,2900,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,CampRegenL0,CampT5,false,,590,false,0.8,0.65,180-195,285-299,385-399,485-499,580-600,,,,,,,,,5
59,1165770,0,0,0,0,5,2950,1,5000,0,59,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,CampRegenL0,CampT5,false,,625,false,0.8,0.7,180-195,285-299,385-399,485-499,590-625,,,,,,,,,5
60,1207753,0,0,0,0,6,3000,1,5000,0,60,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,CampRegenL0,CampT5,false,,640,true,0.8,0.8,180-195,285-299,385-399,485-499,626-650,,,,,,,,,5
61,1251415,0,0,0,0,6,3050,1,5000,0,61,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,CampRegenL0,CampT5,false,,650,true,0.8,0.9,180-195,285-299,385-399,485-499,626-665,,,,,,,,,5
62,1297260,0,0,0,0,6,3100,1,5000,0,62,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,CampRegenL0,CampT5,false,,660,true,0.8,0.9,180-195,285-299,385-399,485-499,626-680,,,,,,,,,5
63,1345856,0,0,0,0,6,3150,1,5000,0,63,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,CampRegenL0,CampT5,false,,675,true,0.8,0.9,180-195,285-299,385-399,485-499,626-695,,,,,,,,,5
64,1433329,0,0,0,0,6,3200,1,5000,0,64,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,CampRegenL0,CampT5,false,,700,true,0.8,0.9,180-195,285-299,385-399,485-499,626-700,,,,,,,,,5
