CinematicVideoId,VideoPath,Name,ReqAchievementId,OnWatchedAchievementId,DurationInSec,VolumeScalingFactor,CanSkip,Description,Subtitle,Comment
EG_BonesEarth,LyShineUI/Videos/NW23_BotAE_Final_00.bk2,@cinmatic_video_eg_bonesearth,99E_BonesEarthCinematic_Unlock,Cinematic_BonesEarth,93,0.7,,,@BonesEarth01,
EG_CaerDun,LyShineUI/Videos/NW23_FoCD_Final_00.bk2,@cinmatic_video_eg_caerdun,99E_CaerDunCinematic_Unlock,Cinematic_CaerDun,82,0.7,,,@FallCaerDun01,
EW_ElysianIntro,LyShineUI/Videos/NW23_3DRothAE_PlaceHolder.bk2,@cinmatic_video_ew_elysianintro,Start_Ely_IntroCinematic,Watched_Ely_IntroCinematic,113,0.7,,,@ElysianIntro01,
FL_BeastLords,LyShineUI/Videos/NW23_BL_Final_00.bk2,@cinmatic_video_fl_beastlords,09A_BeastLordsCinematic_Unlock,Cinematic_BeastLords,94,0.7,,,@BeastLords01,
FL_NewEden,LyShineUI/Videos/NW23_NE_Final_00.bk2,@cinmatic_video_fl_neweden,09A_NewEdenCinematic_Unlock,Cinematic_NewEden,91,0.7,,,@NewEden01,
FL_ShadowAwakens,LyShineUI/Videos/NW23_ASA_Final_00.bk2,@cinmatic_video_fl_shadowawakens,09A_ShadowAwakensCinematic_Unlock,Cinematic_ShadowAwakens,89,0.7,,,@ShadowAwakens01,
GC_DarkCommand,LyShineUI/Videos/NW23_DC_Final_00.bk2,@cinmatic_video_gc_darkcommand,99D_Unlock_ThorpeCinematic,Cinematic_DarkCommand,98,0.7,,,@DarkCommand01,
ER_WiseMan,LyShineUI/Videos/S4_WC_Final.bk2,@cinmatic_video_er_wiseman,99F_WiseManCinematic_Unlock,Cinematic_WiseMan,103,0.7,,,@WisemansCounsel01,
ER_MothersHope,LyShineUI/Videos/S4_AMH_FINAL.bk2,@cinmatic_video_er_mothershope,99F_MothersHopeCinematic_Unlock,Cinematic_MothersHope,95,0.7,,,@MothersHope01,
SM_FallenAngel,LyShineUI/Videos/S4_FA_Final.bk2,@cinmatic_video_sm_fallenangel,99G_FallenAngelCinematic_Unlock,Cinematic_FallenAngel,111,0.7,,,@FallenAngel01,
S4_MordredResolve,LyShineUI/Videos/S4_MR_Final.bk2,@cinmatic_video_s4_mordredresolve,Unlock_95_s04_Cinematic,Watched_95_s04_Cinematic,96,0.7,,,@MordredsRegret01,
MB_EmptyThrone,LyShineUI/Videos/S6_TET_Final_00.bk2,@cinmatic_video_mb_emptythrone,12_EmptyThroneCinematic_Unlock,Cinematic_EmptyThrone,116,0.7,,,@EmptyThrone01,
MSQ_AncientAeternum,LyShineUI/Videos/S6_AA_Final_00.bk2,@cinmatic_video_msq_ancientaeternum,MSQ_AncientAeternumCinematic_Unlock,Cinematic_AncientAeternum,101,0.7,,,@AncientAeternum01,
MSQ_FallSoulwardens,LyShineUI/Videos/S6_FOTSW_Final_00.bk2,@cinmatic_video_msq_fallsoulwardens,MSQ_FallSoulwardensCinematic_Unlock,Cinematic_FallSoulwardens,118,0.7,,,@FallSoulwardens01,
WW_MedeasTribute,LyShineUI/Videos/S6_MT_Final_00.bk2,@cinmatic_video_ww_medeastribute,06_MedeasTributeCinematic_Unlock,Cinematic_MedeasTribute,129,0.7,,,@MedeasTribute01,
MSQ_TroubleOxboro,LyShineUI/Videos/S6_TWO_FINAL.bk2,@cinmatic_video_msq_troubleoxboro,MSQ_TroubleOxboroCinematic_Unlock,Cinematic_TroubleOxboro,97,0.7,,,@TroubleOxboro01,
MSQ_LaEsperanza,LyShineUI/Videos/S6_LAE_FINAL.bk2,@cinmatic_video_msq_laesperanza,MSQ_LaEsperanza_Unlock,Cinematic_LaEsperanza,120,0.7,,,@LaEsperanza01,
FTUE_Intro1,LyShineUI/Videos/FF_I1.bk2,@cinmatic_video_FTUE_Intro1,FTUE_Intro1_Cinematic_Unlock,FTUE_Intro1_Cinematic_Watched,88,1,,,@Intro_A_01,
FTUE_Intro2,LyShineUI/Videos/FF_I2.bk2,@cinmatic_video_FTUE_Intro2,FTUE_Intro2_Cinematic_Unlock,FTUE_Intro2_Cinematic_Watched,171,1,,,@Intro_B_01,
FTUE_Intro3,LyShineUI/Videos/FF_I3.bk2,@cinmatic_video_FTUE_Intro3,FTUE_Intro3_Cinematic_Unlock,FTUE_Intro3_Cinematic_Watched,44,1,false,,,
FTUE_Rez,LyShineUI/Videos/FF_RES.bk2,@cinmatic_video_FTUE_Rez,FTUE_Rez_Cinematic_Unlock,FTUE_Rez_Cinematic_Watched,64,1,,,@Resurrection_01,
FTUE_Rit,LyShineUI/Videos/FF_RITUAL_v2.bk2,@cinmatic_video_FTUE_Rit,FTUE_Rit_Cinematic_Unlock,FTUE_Rit_Cinematic_Watched,40,1,false,,@Ritual_01,
EW_NewElysianIntro,LyShineUI/Videos/ROTAE_recut.bk2,@cinmatic_video_NewElysianIntro,16_BSMSQ_19,Watched_Ely_IntroCinematic,75,1.25,,,@NewElysianIntro01,
