DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,AddDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,CameraShakeID,CritCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Spell_FrozenRush,Unarmed,0,0,Bullet,Magic,Ice,AfflictionErosion,3,,AI_Catacombs_Gorilla_Boss_Chill,,,false,0.25,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Slap_Nature,Unarmed,0,0,Bullet,Light,Strike,AfflictionErosion,3,AI_NatureDMG_50,,true,,false,0.45,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.4,1,Small,Small,1,0.1625,0.325
Smash_Nature,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,8,AI_NatureDMG_50,,true,,false,0.6,1,1,1,1,1,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.8,1,Small,Small,1,0.1625,0.325
Smash_F_Nature,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,3,AI_NatureDMG_50,,true,,false,0.8,1,1,2,2,2,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,1,1,Small,Small,1,0.1625,0.325
Spell_EarthRipper,Kurok_Nature_RipperProjectile,0,0,Bullet,Magic,Nature,AfflictionErosion,3,,,,,false,0.45,1,1,2,2,2,20,15,20,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0.4,0,,,0,0.1625,0.325
Spell_EarthLeap,Unarmed,0,0,Bullet,Magic,Nature,AfflictionErosion,18,,,,,false,0.8,1,1,5,3,3,35,30,35,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0.8,0,,,0,0.1625,0.325
Spell_EarthLeap_Projectile,Unarmed,0,0,Bullet,Magic,Nature,AfflictionErosion,3,,,,,false,0.45,1,1,2,2,2,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0.2,0,,,0,0.1625,0.325
Slap_Lightning,Unarmed,0,0,Bullet,Light,Strike,AfflictionErosion,3,AI_LightningDMG_50,,true,,false,0.5,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.4,1,Small,Small,1,0.1625,0.325
Smash_Lightning,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,8,AI_LightningDMG_50,,true,,false,0.65,1,1,1,1,1,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.8,1,Small,Small,1,0.1625,0.325
Smash_F_Lightning,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,3,AI_LightningDMG_50,,true,,false,0.8,1,1,2,2,2,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,1,1,Small,Small,1,0.1625,0.325
Spell_LightningLeap,Unarmed,0,0,Bullet,Magic,Lightning,AfflictionErosion,18,,AI_Catacombs_Gorilla_Boss_LightningLeap_CastChain,true,,false,0.8,1,1,5,3,3,45,35,45,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0.8,0,,,0,0.1625,0.325
Spell_LightningOrb_ChainApply,Unarmed,0,0,Bullet,Magic,Lightning,AfflictionErosion,3,,AI_Catacombs_Gorilla_Boss_LightningOrb_CastChain,true,,false,0.3,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Slap_Void,Unarmed,0,0,Bullet,Light,Strike,AfflictionErosion,3,AI_CorruptionDMG_50,,true,,false,0.5,1,1,0,0,0,10,15,10,0,1,0,0.8,0,1.5,0,0.8,0,0,0,0.9,0.7,0.7,1,0,0,0.4,1,Small,Small,1,0.1625,0.325
Smash_Void,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,8,AI_CorruptionDMG_50,,true,,false,0.65,1,1,1,1,1,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,0.8,1,Small,Small,1,0.1625,0.325
Smash_F_Void,Unarmed,0,0,Bullet,Heavy,Strike,AfflictionErosion,3,AI_CorruptionDMG_50,,true,,false,0.8,1,1,2,2,2,30,25,30,0,2,0,0.8,0,2.5,0,0.8,0,0,0,0.9,1,1,1,0,0,1,1,Small,Small,1,0.1625,0.325
Spell_BlackHoleThrow_In,Unarmed,0,0,Bullet,Magic,Corruption,AfflictionErosion,3,,,,,false,0.25,1,1,0,0,0,0,0,0,-1.5,-1.5,0,0.8,-1.5,-1.5,0,0.8,0,0,0,0.8,0,0,0,0,0,0.2,0,,,0,0.1625,0.325
Spell_BlackHoleThrow_Exp,Unarmed,0,0,Bullet,Magic,Corruption,AfflictionErosion,18,,,,,false,0.8,1,1,4,4,4,0,0,0,3,3,0,0.8,3,3,0,0.8,0,0,0,0.8,0,0,0,0,0,0.8,0,,,0,0.1625,0.325
Spell_GammaRayClap,Unarmed,0,0,Bullet,Magic,Corruption,AfflictionErosion,3,,,,,false,1.05,1,1,3,3,3,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,1.5,0,,,0,0.1625,0.325
Spell_Elem_Exp_Fire,Unarmed,0,0,Bullet,Heavy,Fire,AfflictionErosion,18,,,,,false,1.25,1,1,4,4,4,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_Elem_Exp_Ice,Unarmed,0,0,Bullet,Heavy,Ice,AfflictionErosion,18,,,,,false,1.25,1,1,4,4,4,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_Elem_Exp_Nature,Unarmed,0,0,Bullet,Heavy,Nature,AfflictionErosion,18,,,,,false,1.25,1,1,4,4,4,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_Elem_Exp_Lightning,Unarmed,0,0,Bullet,Heavy,Lightning,AfflictionErosion,18,,,,,false,1.25,1,1,4,4,4,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_Elem_SM_Exp_Fire,Unarmed,0,0,Bullet,Heavy,Fire,AfflictionErosion,3,,,,,false,0.55,1,1,2,2,2,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_Elem_SM_Exp_Ice,Unarmed,0,0,Bullet,Heavy,Ice,AfflictionErosion,3,,,,,false,0.55,1,1,2,2,2,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_Elem_SM_Exp_Nature,Unarmed,0,0,Bullet,Heavy,Nature,AfflictionErosion,3,,,,,false,0.55,1,1,2,2,2,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Spell_Elem_SM_Exp_Lightning,Unarmed,0,0,Bullet,Heavy,Lightning,AfflictionErosion,3,,,,,false,0.55,1,1,2,2,2,45,35,45,2.5,2.5,0,0.8,2.5,2.5,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,1,0.1625,0.325
Hazard_Fire,Unarmed,0,1,Bullet,Magic,Fire,AfflictionErosion,3,,,,,false,0.25,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Hazard_Ice,Unarmed,0,1,Bullet,Magic,Ice,AfflictionErosion,3,,,,,false,0.25,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Hazard_Nature,Unarmed,0,1,Bullet,Magic,Nature,AfflictionErosion,3,,,,,false,0.25,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Hazard_Lightning,Unarmed,0,1,Bullet,Magic,Lightning,AfflictionErosion,3,,,,,false,0.25,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Hazard_Fire_Detonate,Unarmed,0,1,Bullet,Magic,Fire,,,,,,,false,0.8,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Hazard_Ice_Detonate,Unarmed,0,1,Bullet,Magic,Ice,,,,,,,false,0.8,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Hazard_Nature_Detonate,Unarmed,0,1,Bullet,Magic,Nature,,,,,,,false,0.8,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
Hazard_Lightning_Detonate,Unarmed,0,1,Bullet,Magic,Lightning,,,,,,,false,0.8,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0.1625,0.325
ApplyAzothCharge,Unarmed,0,1,Bullet,Magic,Strike,,,,AI_Gorilla_Boss_AzothCharge,false,,false,0,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0,0
ApplyRiftIODepleted,Unarmed,0,0,Bullet,Heavy,Strike,,,,AI_Gorilla_Boss_RiftIO_Depleted,false,,false,1,1,1,88,88,88,45,45,45,1,1,0,0.8,1,1,0,0.8,0,0,0,0.9,1.1,1.1,1,0,0,1.5,1,Large,Large,0,0.1625,0.325
ClearPlayerStatusEffects,Unarmed,0,1,Bullet,Magic,Strike,,,,AI_Gorilla_Boss_ClearPlayerStatusEffects,false,,false,0,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,0,0,0,,,0,0,0
Deflect_Default,Unarmed,1,0,,,Standard,,,,,,,false,0,1,1,2,2,2,25,30,25,0,1,0,0.8,0,1,0,0.8,0,0,0,0.9,0.75,0.75,1,0,0,1,1,Large,Large,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,1,0,0,1,1,Large,Large,1,0.1625,0.325
