DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Attack_Upwards_Slash_Short,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,true,Deflect_Default,false,1.9,1,,3,4,3,36,40,36,0,0.8,0,0.75,0,1,0,0.75,0,0.8,0,0.75,0,0,,0,Large,Large,Large,4,1.35,1,1,,0.1625,0.325
Attack_Shoulder_Charge,Unarmed,0,0,,Bullet,Heavy,Strike,,,,,,,,Deflect_Default,false,0.4,1,,2,3,2,26,34,26,-1.1,1.9,0,0.8,-1,1.8,0,0.8,-1.3,1.9,0,0.8,0,0,,0,Small,Small,Small,2,0.9,1,1,,0.1625,0.325
Attack_Structure,Sword,0,0,,Bullet,Light,Siege,,,,,,,,Deflect_Default,false,1.05,1,,0,2,0,14,21,14,0,1.45,0,0.8,0,1.4,0,0.8,0,1.45,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_BossSoul_Detonation,CorruptedMagic,0,0,,Bullet,Magic,Arcane,,,,,,,false,Deflect_Default,false,1,1,,3,3,3,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0,0,0,,0.1625,0.325
Attack_UnholySmite_Projectile,CorruptedMagic,0,1,,Bullet,Magic,Arcane,,,,,,,false,Deflect_Default,false,1,1,,3,3,3,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,3,0,0,0,,0.1625,0.325
Attack_CleaveCombo_01,Sword,0,0,,Bullet,Light,Slash,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,true,Deflect_Default,false,0.6,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_CleaveCombo_02,Sword,0,0,,Bullet,Light,Slash,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,true,Deflect_Default,false,0.6,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_CleaveCombo_03,Sword,0,0,,Bullet,Light,Slash,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,true,Deflect_Default,false,0.6,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_CleaveCombo_04,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,true,Deflect_Default,false,0.9,1,,2,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_CleaveCombo_01_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Light,Slash,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,0.9,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_CleaveCombo_02_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Light,Slash,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,0.9,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_CleaveCombo_03_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Light,Slash,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,0.9,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_CleaveCombo_04_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Heavy,Thrust,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,1,1,,2,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_Hunger_Of_The_Void,CorruptedMagic,0,1,,Bullet,Magic,Arcane,,,,,,AI_IoN_Lost_Thorpe_FragileSoul,false,Deflect_Default,false,0.4,1,,0,0,0,0,0,0,0,1,0,0.5,0,3,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,0,1,1,1,,0.1625,0.325
Attack_HungerOfTheVoid_RepulseTick,Magic,1,1,,Bullet,Light,Arcane,,,,,true,,,Deflect_Default,false,0.2,1,,0,0,0,40,0,0,0,3,0,0.5,0,1.15,0,0.8,0,0,0,0.8,0,0,,0,,,,0,1,1,1,,0.1625,0.325
Attack_ThrustCombo_01,Sword,0,0,,Bullet,Light,Thrust,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,,Deflect_Default,false,0.7,1,,0,1,0,10,12,10,0,0.5,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,0,0.6,1,1,,0.1625,0.325
Attack_ThrustCombo_02,Sword,0,0,,Bullet,Light,Thrust,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,,Deflect_Default,false,0.7,1,,0,1,0,10,12,10,0,0.5,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,0,0.6,1,1,,0.1625,0.325
Attack_ThrustCombo_03,Sword,0,0,,Bullet,Heavy,Thrust,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,,Deflect_Default,false,0.8,1,,1,2,0,10,12,10,0,0.5,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_ThrustCombo_04,Sword,0,0,,Bullet,Heavy,Slash,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,,Deflect_Default,false,0.95,1,,2,1,0,10,12,10,0,1.7,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,2,0.65,1,1,,0.1625,0.325
Attack_ThrustCombo_01_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Light,Thrust,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,1,1,,0,1,0,10,12,10,0,0.5,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_ThrustCombo_02_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Light,Thrust,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,0.95,1,,0,1,0,10,12,10,0,0.5,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_ThrustCombo_03_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Heavy,Thrust,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,1.1,1,,1,2,0,10,12,10,0,0.5,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
Attack_ThrustCombo_04_Coalescence,Sword+CorruptedMagic,0,0,,Bullet,Heavy,Slash,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,1.2,1,,3,1,0,10,12,10,0,1.2,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.65,1,1,,0.1625,0.325
Attack_DelayedMistCross_Slash,Sword,0,0,,Bullet,Light,Slash,,,,,,,,Deflect_Default,false,0.85,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_DelayedMistCross_Explosion,CorruptedMagic,0,0,,Bullet,Light,Arcane,,,,,,,,Deflect_Default,false,1,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_FadingMistSlash,Sword,0,0,,Bullet,Light,Slash,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,,Deflect_Default,false,0.4,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.4,1,1,,0.1625,0.325
Attack_FadingMistSlash_Coalescence,Sword,0,0,,Bullet,Light,Slash,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Rend10Percent",false,Deflect_Default,false,0.6,1,,0,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.4,1,1,,0.1625,0.325
Attack_Flip_Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,AI_IoN_Lost_Thorpe_Rend10Percent,,Deflect_Default,false,1,1,,2,3,2,25,34,25,0,1.2,0,0.75,0,1,0,0.75,0,1.2,0,0.75,0,0,,0,Small,Small,Small,2,0.7,1,1,,0.1625,0.325
Attack_Flip_Overhead_AoE,CorruptedMagic,0,0,,Bullet,Heavy,Arcane,,,,,,,true,Deflect_Default,false,1.5,1,,3,4,3,32,40,32,0,2.3,0,0.75,0,2.6,0,0.75,0,2.3,0,0.75,0,0,,0,Large,Large,Large,3,1,1,1,,0.1625,0.325
Attack_SoulDominion,CorruptedMagic,0,1,,Bullet,Magic,Arcane,,,,,,,false,Deflect_Default,false,1,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0,0,0,,0.1625,0.325
Attack_SoulDominion_Preparation,CorruptedMagic,0,1,,Bullet,Magic,Arcane,,,,,true,,,Deflect_Default,false,0.25,1,,2,2,2,10,12,0,0,5,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,2,0.35,1,1,,0.1625,0.325
Attack_MistShockwave,CorruptedMagic,0,0,,Bullet,Light,Arcane,,,,,,AI_IoN_Lost_Thorpe_FragileSoul,false,Deflect_Default,false,0.35,1,,1,1,0,10,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,1,0.55,1,1,,0.1625,0.325
Attack_MistShockwave_Root1,CorruptedMagic,0,0,,Bullet,Light,Arcane,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Root_1sec",,Deflect_Default,false,0.5,1,,0,1,0,10,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_MistShockwave_Root3,CorruptedMagic,0,0,,Bullet,Light,Arcane,,,,,,"AI_IoN_Lost_Thorpe_FragileSoul,AI_IoN_Lost_Thorpe_Root_3sec",,Deflect_Default,false,0.5,1,,0,1,0,10,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_LesserCombo_Kick,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,,Deflect_Default,false,0.25,1,,4,2,0,10,12,10,0,5.5,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,4,0.35,1,1,true,0.1625,0.325
Attack_RelicChannel,CorruptedMagic,1,0,,Bullet,Magic,Arcane,,,,,true,AI_IoN_Lost_Thorpe_RelicChannel_50percent,false,Deflect_Default,false,0,1,,5,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_RelicChannel_02,CorruptedMagic,1,0,,Bullet,Magic,Arcane,,,,,true,AI_IoN_Lost_Thorpe_RelicChannel_80percent,false,Deflect_Default,false,0,1,,5,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_RelicChannel_03,CorruptedMagic,1,0,,Bullet,Magic,Arcane,,,,,true,StatusEffect_Boss_TeamWipe,false,Deflect_Default,false,999,999,,5,1,0,10,12,10,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.35,1,1,,0.1625,0.325
Attack_RelicRecall_Bump,CorruptedMagic,1,0,,Bullet,Heavy,Strike,,,,,true,"AI_IoN_SpearCollectImmunity,AI_IoN_Lost_Thorpe_Root_6sec_Spear",false,Deflect_Default,false,0,1,,4,4,0,10,5,10,0,6,0,0.4,0,6,0,0.4,0,0,0,0.8,0,0,,0,Small,Large,Large,4,0.1,1,1,true,0.1625,0.325
Attack_RelicRecall_BumpNoSlow,CorruptedMagic,1,0,,Bullet,Heavy,Strike,,,,,true,,false,Deflect_Default,false,0,1,,4,4,0,10,5,10,0,6,0,0.4,0,6,0,0.4,0,0,0,0.8,0,0,,0,Small,Large,Large,4,0.1,1,1,true,0.1625,0.325
Attack_ImpalingMistlock_Projectile,CorruptedMagic,0,0,,Bullet,Light,Arcane,,,,,,"AI_IoN_Lost_Thorpe_ImpalingMistlock_Root,AI_Typhon_HungryMark_Target",false,Deflect_Default,false,0.5,1,,0,0,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,,0,Small,Large,Small,0,0.1,1,1,,0.1625,0.325
Attack_ImpalingMistlock_Charge,Sword,0,0,,Bullet,Light,Thrust,,,,,true,,,Deflect_Default,false,0.5,1,,0,0,0,10,5,10,0,3,0,0.8,0,2,0,0.8,0,0,0,0.8,0,0,,0,Small,Large,Small,0,0.1,1,1,,0.1625,0.325
Attack_ImpalingMistlock_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,,true,,,Deflect_Default,false,1,1,,0,0,1,10,5,10,0,0.5,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,0,,0,Small,Large,Large,0,0.1,1,1,,0.1625,0.325
Attack_ImpalingMistlock_Explosion,CorruptedMagic,0,0,,Bullet,Heavy,Arcane,,,,,true,,,Deflect_Default,false,0.75,1,,4,0,4,10,5,10,0,5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,0,,0,Small,Large,Large,4,0.1,1,1,,0.1625,0.325
Attack_DomainOfTheOverlord,CorruptedMagic,0,0,,Bullet,Light,Arcane,,,,,,,,Deflect_Default,false,1,1,,0,0,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,,0,Large,Large,Small,0,0.55,1,1,,0.1625,0.325
Attack_DomainOfTheOverlord_PuddleTick,CorruptedMagic,0,1,,Bullet,Light,Arcane,,,,,,,,Deflect_Default,false,0.25,1,,0,0,0,10,5,10,0,0,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0,,0,,Large,Small,0,0.05,1,1,,0.1625,0.325
Utility_RelicDropOrder,CorruptedMagic,1,1,,Bullet,Light,Siege,,,,,,,,Deflect_Default,false,0,1,,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0,0,0,,0,0
Utility_RelicRecall_ApplySE,CorruptedMagic,1,1,,Bullet,Light,Siege,,,,,true,AI_IoN_Lost_Thorpe_Relic_Authorized,false,Deflect_Default,false,0,1,,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Large,Large,0,0,0,0,,0,0
