DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,IsRanged,IsSiege,DamageType,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
SlashStab_2Hit_01,Sword,0,0,Bullet,Light,,,Slash,,true,,,false,0.45,1,1,0,1,,15,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SlashStab_2Hit_02,Sword,0,0,Bullet,Heavy,,,Slash,,true,,,false,0.45,1,1,2,1,,20,20,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
SlashStab_01,Sword,0,0,Bullet,Light,,,Thrust,,true,,,false,0.5,1,1,0,1,,20,10,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,1,0.1625,0.325
SlashStab_02,Sword,0,0,Bullet,Light,,,Thrust,,true,,,false,0.35,1,1,0,1,,15,10,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.35,1,1,0.1625,0.325
SlashStab_03,Sword,0,0,Bullet,Heavy,true,,Thrust,,true,,,false,0.35,1,1,1,1,,15,10,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.35,1,1,0.1625,0.325
SlashStab_04,Sword,0,0,Bullet,Heavy,,,Thrust,,true,,,false,0.6,1,1,2,1,,20,10,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.6,1,1,0.1625,0.325
Turn_Slash,Sword,0,0,Bullet,Heavy,,,Slash,,true,,,false,0.5,1,1,2,1,,20,20,,0,1,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,1,0.1625,0.325
Backhand_Slash,Sword,0,0,Bullet,Heavy,,,Slash,,true,,,false,1.3,1,1,4,2,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1.1,1,1,0.1625,0.325
Stage_Transition_Pushback,Sword,0,0,Bullet,Light,,,Strike,,true,,,false,0.2,1,1,3,1,,25,20,,0,5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1,1,1,0.1625,0.325
Consume_Multiple,CorruptedMagic,1,0,Bullet,Magic,,,Corruption,,false,,,false,100,1,1,2,1,,25,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
Consume_Player,CorruptedMagic,1,0,Bullet,Magic,,,Corruption,,false,,,false,0,0,0,7,7,,25,20,,0,0.2,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.4,1,1,0.1625,0.325
Wing_Stab,Sword,0,0,Bullet,Light,,,Thrust,,true,,,false,0.4,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1,1,0,0.1625,0.325
WingSweep_01,Sword,0,0,Bullet,Light,,,Slash,,true,,,false,0.6,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.3,1,0,0.1625,0.325
WingSweep_02,Sword,0,0,Bullet,Light,,,Slash,,true,,,false,0.4,1,1,0,1,,20,20,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.2,1,0,0.1625,0.325
WingSweep_03,Sword,0,0,Bullet,Light,,,Slash,,true,,,false,0.6,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.3,1,0,0.1625,0.325
WingSweep_04,Sword,0,0,Bullet,Light,,,Slash,,true,,,false,0.4,1,1,0,1,,20,20,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.2,1,0,0.1625,0.325
Spin_01,Sword,0,0,Bullet,Light,,,Strike,,true,,,false,0.1,1,1,0,1,,15,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.25,1,0,0.1625,0.325
Spin_End,Sword,0,0,Bullet,Light,,,Strike,,true,,,false,0.7,1,1,3,1,,25,20,,0,3,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1.2,1,1,0.1625,0.325
SwoopSlash,Sword,0,0,Bullet,Light,,,Strike,,false,,,false,0.6,1,1,4,2,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,2,1,1,0.1625,0.325
Lunge_Phase3,Sword,0,0,Bullet,Light,,,Corruption,,true,,,false,0.7,1,1,3,1,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,1.4,1,1,0.1625,0.325
ShoulderSlash_Wave_Phase3,CorruptedSlash,0,0,Bullet,Light,,,Corruption,,true,,,false,0,0,0,2,1,,25,20,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.7,1,1,0.1625,0.325
DiveBomb,Sword,0,0,Bullet,Light,,,Strike,,false,,,false,0.8,1,1,5,2,,30,20,,0,3.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.8,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,,,Falling,,,,,,1,1,,2,2,,0,0,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,0,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,true,,Falling,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,10,Small,,,1,,,1,0.1625,0.325
