DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Broken_1H_Slash_R,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,1,0,20,10,20,0,0.75,0,0.8,0,0,0,0,0,0.75,0,0.8,0,1,,1,Small,Small,Small,2,1,1,1,0.1625,0.325
Broken_1H_Slash_R_Strike,Sword,0,0,Bullet,Light,Strike,,,,,,,,false,0.5,1,0.5,0,1,0,20,10,20,0,0.75,0,0.8,0,0,0,0,0,0.75,0,0.8,0,1,,1,Small,Small,Small,2,1,1,1,0.1625,0.325
Broken_1H_Overhead_Sword,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,0.5,1,0.5,2,3,2,25,25,25,0,1.5,0,0.8,0,0,0,0,0,1.5,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_1H_Overhead,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,1,0,25,10,25,0,1.5,0,0.8,0,0,0,0,0,1.5,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_1H_Overhead_Strike,Sword,0,0,Bullet,Light,Strike,,,,,,,,false,0.5,1,0.5,0,1,0,25,10,25,0,1.5,0,0.8,0,0,0,0,0,1.5,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_1H_Uppercut_Slash,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,1,0,25,10,25,0,1.5,0,0.8,0,0,0,0,0,1.5,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_1H_Uppercut_Strike,Sword,0,0,Bullet,Light,Strike,,,,,,,,false,0.5,1,0.5,0,1,0,25,10,25,0,1.5,0,0.8,0,0,0,0,0,1.5,0,0.8,0,1,,1,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_1H_Stab_Triple,Sword,0,0,Bullet,Light,Thrust,,,,,AI_Bleed_9,true,,false,0.3,1,0.3,0,2,0,25,15,25,0,0.2,0,0.8,0,0,0,0,0,0.2,0,0.8,0,1,,1,Small,Small,Small,2,0.3,1,1,0.1625,0.325
Broken_1H_Stab_Triple_Final,Sword,0,0,Bullet,Heavy,Thrust,,,,,AI_Bleed_9,true,,false,0.5,1,0.5,2,2,2,20,15,20,0,0.2,0,0.8,0,0,0,0,0,0.2,0,0.8,0,1,,1,Small,Small,Small,2,0.5,1,1,0.1625,0.325
Broken_1H_Stab,Sword,0,0,Bullet,Light,Thrust,,,,,,,,false,0.5,1,0.5,0,1,0,20,10,20,0,0.5,0,0.8,0,0,0,0,0,0.5,0,0.8,0,1,,1,Small,Small,Small,2,0.75,1,1,0.1625,0.325
Broken_1H_Running_Slash,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,1,1,1,3,3,3,30,25,30,0,1.75,0,0.8,0,0,0,0,0,1.75,0,0.8,0,1,,1,Small,Small,Small,3,1.2,1,1,0.1625,0.325
Broken_1H_Running_Strike,Sword,0,0,Bullet,Heavy,Strike,,,,,,,,false,1,1,1,3,3,3,30,25,30,0,1.75,0,0.8,0,0,0,0,0,1.75,0,0.8,0,1,,1,Small,Small,Small,3,1.2,1,1,0.1625,0.325
Broken_2H_Running_Stab,Sword,0,0,Bullet,Heavy,Thrust,,,,,AI_Bleed_9,true,,false,1.3,1,1.3,3,3,3,30,25,30,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,1,,1,Small,Small,Small,3,0.9,1,1,0.1625,0.325
Attack_Crawler_Swipe,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,0.5,1,0.5,0,1,0,20,10,20,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,1,,1,Small,Small,Small,1,0.6,1,1,0.1625,0.325
Broken_1H_ThrownAxe,Sword,0,0,Bullet,Light,Slash,,,,,,,,false,1,1,1,2,2,2,20,15,20,0,2,0,0.8,0,0,0,0,0,2,0,0.8,0,1,,1,Small,Small,Small,2,1,1,1,0.1625,0.325
Broken_1H_Breakout_Slash,Sword,0,0,Bullet,Heavy,Slash,,,,,,,,false,0.4,1,0.4,3,2,3,30,15,30,0,2.5,0,0.8,0,0,0,0,0,2.5,0,0.8,0,1,,10,Small,Small,Small,3,1,1,1,0.1625,0.325
Broken_1H_Breakout_Strike,Sword,0,0,Bullet,Heavy,Strike,,,,,,,,false,0.4,1,0.4,3,2,3,30,15,30,0,2.5,0,0.8,0,0,0,0,0,2.5,0,0.8,0,1,,10,Small,Small,Small,3,1,1,1,0.1625,0.325
Fall,Fall,1,1,Bullet,,Falling,,,,,,,,false,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,Falling,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,,Small,1,,,1,0.1625,0.325
