DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge,EnableSharedDamage,MaxAllowedDamageShareCount,UseAttackerPosForReaction
Attack_DanceOfDeath_StaminaHit,,0,0,,Bullet,Light,Strike,,true,,,Deflect_Default,0,0,0,,0,0,0,20,20,15,0,0.2,0,0.5,0,0.2,0,0.5,0,0,0,0.8,0,0,0.3,0.7,Small,Small,Small,3,5,1,0.667,0.1625,0.325,0,,
Attack_DanceOfDeath_Finisher,Sword,1,0,1,Bullet,Magic,True,,true,AI_Dahut_Soak_Immunity,,Deflect_Default,0,3,3,,2,2,0,20,15,20,0,1,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0.3,0.7,Small,Small,Small,3,0.1,1,0.667,0.1625,0.325,1,10,
Attack_Sacrifice_Wipe,,1,0,,,Magic,Arcane,,true,"StatusEffect_Boss_TeamWipe,AI_IoN_Sacrifice_WipeFX",false,Deflect_Default,0,999,999,,5,5,0,60,30,20,0,3,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.05,,0.7,Small,Small,Small,0.1,1,0.667,0.1625,0.325,0.325,,,
Attack_Pushback,,1,,,,,,,true,,false,Deflect_Default,0,0,0,,3,3,0,20,20,15,0,8,0,0.75,0,0,0,0.75,0,0,0,0.75,0,0,0,0,Small,Small,Small,1,0.2,0,0,0,0,0,0,true
Attack_WitheringWave_Wave,,0,0,,Bullet,Light,Nature,,false,"AI_Dahut_AbyssMark,AI_Dahut_WitheringWave_Immunity",true,Deflect_Default,0,0.65,0.38,,2,1,0,10,5,20,0,1,0,0.8,0,0.8,0,0.8,0,0,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.2,1,1,0.1625,0.325,,,true
Attack_WitheringWave_Slam,,0,,,Bullet,Heavy,Strike,,false,AI_Dahut_AbyssMark,true,Deflect_Default,0,0.55,0.4,,2,1,0,30,20,15,0,1,0,1,0,0,0,0.75,0,0,0,0.75,0,0,0,0,Small,Small,Small,1,1.8,0,0,0,0,,,
Attack_Inward_Slash_Abyssless,Sword,0,0,,Bullet,Light,Slash,,false,,,Deflect_Default,0,0.35,0.7,,0,0,0,10,5,10,0,1,0,0.75,0,0,0,0.75,0,0,0,0.75,0,0,0.3,5,Small,Small,Small,3,0.65,1,1,0.1625,0.325,0,10,
Attack_PurgingBlade_Abyssless,,0,0,,Bullet,Magic,Arcane,,true,AI_Dahut_PurgingBlade_Immunity,true,Deflect_Default,0,0.5,0.65,,1,0,0,15,10,15,0,1,0,0.8,0,0,0.5,0.8,0,0,0,0.8,0,0,0.3,5,Small,Small,Small,3,1.35,1,1,0.1625,0.325,0,10,
Attack_DanceOfDeath_Regular2,Sword,0,0,,Bullet,Light,Slash,,true,,,Deflect_Default,0,1.5,1.6,,2,2,0,15,10,15,0,1.5,0,1,0,0,0,0.8,0,0,0,0.8,0,0,0.3,5,Small,Small,Small,3,5,1,0.667,0.1625,0.325,0,,
Fall,Fall,1,1,,Bullet,,Falling,,,,,,0,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,1,0.1625,0.325,0,10,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,,,0,0.1625,0.325,0,10,
NoDamage,,0,1,0,,,,,,,,Deflect_Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,10,
ActivateAbyssMarks,,1,1,0,,,,,true,AI_Dahut_AbyssMark_Activator,,Deflect_Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,10,
DeactivateAbyssMarks,,1,1,0,,,,,true,AI_Dahut_AbyssMark_ActivatedRemover,,Deflect_Default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,10,
FinishOffDownedPalatines,,1,,,,,,,,,false,Deflect_Default,0,999999,0,0,5,5,0,40,40,10,0,8,0,0.75,0,0,0,0.75,0,-2.5,0,0.75,0,0,0,0,,,,1,0.2,0,0,0,0,0,0,
Attack_DanceOfDeath_Slice,Sword,0,0,,Bullet,Light,Slash,,false,,,Deflect_Default,0,0.35,0.7,,1,1,0,10,5,10,0,1,0,0.75,0,0,0,0.75,0,0,0,0.75,0,0,0.3,5,Small,Small,Small,3,0.65,1,1,0.1625,0.325,0,10,
