DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,StatusEffect,EffectOnlyOnDamage,Affixes,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,LOSCheckVerticalAngleOffset
Shaman_Swamp_Thorn_Shot,DryadMagic,0,0,true,Bullet,Magic,Nature,,0,,,false,0.25,1,1,0,1,0,10,10,10,0,1,0,0.8,0,1,0,0.8,0,1,0,0.8,0,0,5,Small,0,0.1,1,0,
Shaman_Swamp_Thorn_Shot_Minion,DryadMagic,0,0,true,Bullet,Magic,Nature,,0,,,false,0.1,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,5,Small,0,0.05,1,0,
Shaman_Swamp_Mud_Heal,Club,0,0,true,Bullet,Magic,Nature,,0,,,false,0.7,1,1,4,4,4,30,20,30,0,10,0.75,0.8,0,10,0.75,0.8,0,8,0,0.8,0,1.2,4,Small,1,1,1,0,20
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,1,,1,1,
IceDryad_ColdVein_IceVein_Projectile,DryadMagic,0,0,true,Bullet,Magic,Lightning,AI_IceDryad_Frostgrip_IceVein_Root,1,,,false,0.3,0.3,1,0,0,0,0,15,0,0,0,0,0.8,0,0,0,0,0,0,0,0.8,0,0,0,Small,1,0.6,1,0,
IceDryad_FrostGrip_IceBreedProjectile,DryadMagic,0,0,true,Bullet,Magic,Ice,,1,,,false,0.6,0.6,1,2,1,1,30,20,30,0,3,0.25,0.8,0,3,0.25,0.8,0,1.5,0,0.8,0,1.2,1,Large,1,0.4,0.5,1,
IceDryad_FrostGrip_Close_Staff_Attack,Club,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.2,0.2,1,0,1,1,20,8,20,0,1.75,0,0.8,0,1.75,0,0.8,0,1,0,0.8,0,1.5,1.25,Small,3,0.75,1,1,
IceDryad_FrostGrip_Close_Overhead_Staff_Attack,Club,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.4,0.4,1,2,1,1,20,12,20,0,1.75,0,0.8,0,1.75,0,0.8,0,1,0,0.8,0,1.5,1.75,Large,3,0.5,1,1,
IceDryad_FrostGrip_Grit_Stagger,DryadMagic,0,0,,Bullet,Magic,Ice,,,,,false,0,0,0,0,1,0,15,15,15,0,2,0,0.8,0,2,0,0.8,0,1,0,0.8,0,1.2,1,Small,1,1,1,,2
IceDryad_FrostGrip_DarkMatter_Shield,DryadMagic,0,0,true,Bullet,Magic,Corruption,,0,,,false,0.3,1,1,3,2,2,25,20,15,0,3,0,0.8,0,2,0,0.8,0,1.5,0,0.8,0,0,0,Large,1,0.1,1,0,
IceDryad_Frostgrip_BlastAway_Spell,DryadMagic,0,0,true,Bullet,Magic,Nature,,0,,,false,0.5,0.5,1,3,3,3,30,25,30,0,10,0.75,0.8,0,10,0.75,0.8,0,1.5,0,0.8,0,1.2,1,Small,1,1,1,,20
