DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,Unblockable,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,BlockTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,stunBreakoutIncrementer,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge,UseAttackerPosForReaction
Lost_Pull,Spear,1,0,,Bullet,Light,Arcane,,true,AI_PalatineHalberd_LostPull,false,Deflect_Default,false,0,0,0,2,0,0,10,5,10,0,-8,0,0.75,0,0,0,0.75,0,-8,0,0.75,0,0,0,0,Small,Small,Small,1,0.2,0,0,0,0,0,0,true
Lost_Pull_Detection,Spear,1,0,,Bullet,Light,Arcane,,true,,false,Deflect_Default,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Small,Small,Small,1,0.2,1,0,0,0,0.1625,0.325,
Lost_Pull_Finisher,Spear,0,0,,Bullet,Heavy,True,,true,,false,Deflect_Default,false,1.2,1,1,0,0,0,10,5,10,0,0,0,0.75,0,0,0,0.75,0,0,0,0.75,0,0,0,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Slash,Sword,0,0,,Bullet,Light,Slash,,false,,false,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.15,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,false,0.55,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,0.3,1,Small,Small,Small,1,1.5,1,0,0,0,0.1625,0.325,
Whirling_Slash,Sword,0,0,,Bullet,Light,Slash,,false,,false,Deflect_Default,false,0.45,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.15,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Energy_Blade,Sword,0,0,,Bullet,Medium,Slash,,false,AI_PalatineSwordsman_Rend,false,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,0.3,1,Small,Small,Small,1,1,1,0,0,0,0.1625,0.325,
Energy_Blade_Finisher1,Sword,0,0,,Bullet,Medium,Slash,,false,AI_PalatineSwordsman_Rend,false,Deflect_Default,false,0.5,1,1,1,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,0.3,1,Small,Small,Small,1,2,1,0,0,0,0.1625,0.325,
Energy_Blade_Finisher2,Sword,0,0,,Bullet,Heavy,Slash,,false,AI_PalatineSwordsman_Rend,false,Deflect_Default,false,0.65,1,1,1,0,0,15,10,15,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.4,0.3,1,Small,Small,Small,1,2.5,1,0,0,0,0.1625,0.325,
Energy_Blade_Finisher3,Sword,0,0,,Bullet,Heavy,Slash,,false,AI_PalatineSwordsman_Rend,false,Deflect_Default,false,0.8,1,1,1,0,0,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.5,0.3,1,Small,Small,Small,1,3,1,0,0,0,0.1625,0.325,
Lost_Breaker,Sword,1,0,,Bullet,Heavy,True,,true,AI_PalatineSwordsman_Lost_Breaker,false,Deflect_Default,false,0,0,0,2,1,0,10,5,10,0,2,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Blade_Rush,Sword,0,0,,Bullet,Heavy,Slash,,false,,false,Deflect_Default,false,0.75,1,1,1,1,0,10,5,10,0,2,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,0.3,1,Small,Small,Small,1,1,1,0,0,0,0.1625,0.325,
Tempest_Blade,Sword,0,0,,Bullet,Medium,Slash,,false,,false,Deflect_Default,false,0.4,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.15,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Tempest_Blade_Spin,Sword,0,0,,Bullet,Medium,Slash,,false,AI_PalatineSwordsman_Rend,false,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,0.3,1,Small,Small,Small,1,0.4,1,0,0,0,0.1625,0.325,
Footwork_Stab,Sword,0,0,,Bullet,Medium,Slash,,false,AI_PalatineGuard_ComboTargeting,false,Deflect_Default,false,0.45,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,0.3,1,Small,Small,Small,1,1,1,0,0,0,0.1625,0.325,
Archer_Shot,Bow,0,0,true,Bullet,Light,Strike,,false,,false,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.15,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Piercing_Shot,Bow,0,0,true,Bullet,Light,Strike,,false,,false,Deflect_Default,false,0.55,1,1,0,0,0,25,25,5,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,0.3,0.3,1,Small,Small,Small,1,1.5,1,0,0,0,0.1625,0.325,
Volley_Shot,Bow,0,0,true,Bullet,Light,Strike,,false,,false,Deflect_Default,false,0.45,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.15,0.3,1,Small,Small,Small,1,0.4,1,0,0,0,0.1625,0.325,
Stranded_Tether_Projectile,Bow,0,0,,Bullet,Light,Strike,,true,AI_PalatineGuard_ComboTargeting,false,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Lost_Fission,Bow,0,0,,Bullet,Heavy,Fire,,true,AI_PalatineArcher_Lost_Fission,false,Deflect_Default,false,0,0,0,0,0,0,10,5,10,0,0,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.4,1,0,0,0,0.1625,0.325,
Meteor_Flare,Bow,0,0,true,Bullet,Heavy,Fire,,true,,false,Deflect_Default,false,0.7,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.2,1,0,0,0,0.1625,0.325,
Blazzing_Fission,Bow,1,0,,Bullet,Heavy,True,,true,"AI_PalatineArcher_Blazzing_Fission_Impact,AI_PalatineArcher_Blazzing_Fission_Ground",false,Deflect_Default,false,0,0,0,0,0,0,25,25,25,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.4,1,0,0,0,0.1625,0.325,
Overhead_Swipe,Sword,0,0,,Bullet,Heavy,Strike,,false,,false,Deflect_Default,false,0.45,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,0.3,1,Small,Small,Small,1,1,1,0,0,0,0.1625,0.325,
Overhead_Swipe_AOE,Sword,0,0,,Bullet,Light,Strike,,false,,false,Deflect_Default,false,0.5,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.5,1,0,0,0,0.1625,0.325,
Shield_Bash,Shield,0,0,,Bullet,Heavy,Strike,,false,,false,Deflect_Default,false,0.5,1,1,2,1,0,25,20,25,0,2,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.2,0.3,1,Small,Small,Small,1,1,1,0,0,0,0.1625,0.325,
Uppercut_Swipe,Sword,0,0,,Bullet,Heavy,Strike,,false,,false,Deflect_Default,false,0.55,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.3,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Lost_Gong,Sword,0,0,,Bullet,Heavy,True,,true,AI_PalatineShield_LostGong_Disease,true,Deflect_Default,false,1.5,1,1,2,0,0,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.5,1,0,0,0,0.1625,0.325,
Lost_Bite,Sword,0,0,,Bullet,Heavy,Strike,,false,AI_PalatineGuard_ComboTargeting,true,Deflect_Default,false,0.5,1,1,4,0,0,30,25,30,0,3,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.5,0.3,1,Small,Small,Small,1,1.5,1,0,0,0,0.1625,0.325,
Aftershock,Sword,0,0,,Bullet,Heavy,Strike,,true,,true,Deflect_Default,false,0.45,1,1,0,0,0,10,5,10,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,0.3,1,Small,Small,Small,1,0.7,1,0,0,0,0.1625,0.325,
Heroic_Rush,Shield,0,0,,Bullet,Heavy,Strike,,false,AI_PalatineShield_HeroicRush_Immunity,false,Deflect_Default,false,0.5,1,1,4,0,0,25,20,25,0,4,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0.5,0.3,1,Small,Small,Small,1,2,1,0,0,0,0.1625,0.325,
Deflect_Default,Deflect,1,0,,,,Strike,,,,,,,0,0,0,2,2,2,0,0,0,0,1,0,0.8,0,1,0,0.8,0,0,0,0,0,0,,0,Small,Small,Small,0,1,1,0.45,1,1,0.1625,0.325,
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,1,1,1,0.1625,0.325,
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,1,0,0,,,1,0.1625,0.325,
Apprehend1,Spear,0,0,,Bullet,Light,Arcane,,true,AI_PalatineHalberd_LostPull,false,Deflect_Default,false,0,0,0,1,0,0,30,30,30,0,-3,0,0.75,0,0,0,0.75,0,-3,0,0.75,0,0,,1,Small,Small,Small,1,1,1,0,1,0,0.16,0.33,true
Apprehend2,Spear,0,0,,Bullet,Light,Arcane,,true,AI_PalatineHalberd_LostPull,false,Deflect_Default,false,0.1,0,0,3,0,0,30,30,30,0,-5,0,0.75,0,0,0,0.75,0,-5,0,0.75,0,0,,1,Small,Small,Small,1,1,1,0,1,0,0.16,0.33,true
