DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,Unblockable,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Attack_SpinSpear,Spear,0,0,,Bullet,Light,Slash,,,,,,false,0.5,1,1,0,0,0,24,24,32,0,2,0,0.8,0,0,0,0.8,0,2,0,0.8,0,1,1,1,Small,Small,0,0.6,1,1,0,,0.1625,0.325
Attack_SpinBody,Spear,0,0,,Bullet,Heavy,Nature,,AI_DryadSiren_Erosion_Debuff,,,,false,0.3,1,1,0,0,0,25,20,25,0,-1.6,0,0.9,0,0,0,0.8,0,-1.6,0,0.9,0,1,1,1,Small,Small,0,0.7,1,1,0,,0.1625,0.325
Attack_SpinIntro,Spear,0,0,,Bullet,Light,Nature,,AI_DryadSiren_Erosion_Debuff,,,,false,0.1,1,1,3,3,2,25,25,30,0,6,0,0.9,0,0,0,0.8,0,6,0,0.9,0,1,1,1,Small,Small,0,0.7,1,1,0,,0.1625,0.325
Spell_LightningSpearPlantedSmall,Spear,0,0,,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,true,false,0.2,1,1,0,1,1,12,12,24,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Spell_LightningSpearPlantedBig,Spear,0,0,,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,true,false,0.35,1,1,1,1,2,12,12,24,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,Small,Small,0,0.75,1,1,0,,0.1625,0.325
Spell_CallLightningStorm,Spear,0,0,,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,,false,0.5,1,1,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,,,0,0.6,1,0,0,,0.1625,0.325
Spell_CallLightningBurst,Spear,0,0,,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,,false,0.2,1,1,1,1,1,12,12,12,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,,,0,0.6,1,1,0,,0.1625,0.325
Spell_Spawn,Spear,0,0,,Bullet,Magic,Lightning,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,,false,0.05,1,1,3,3,2,12,12,12,0,8,0,0.8,0,0,0,0.8,0,8,0,0.8,0,0,0,0,Small,Small,0,0.5,1,1,0,,0.1625,0.325
Spell_Transition_P2,Spear,0,0,,Bullet,Magic,Nature,,"AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff",,Deflect_Default,true,false,0.1,1,1,0,0,1,5,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,Small,Small,0,0.2,1,1,0,,0.1625,0.325
Spell_Transition_P3,Spear,0,0,,Bullet,Magic,Nature,,"AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff,AI_DryadSiren_Erosion_Debuff",,Deflect_Default,true,false,0.1,1,1,0,0,1,5,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,Small,Small,0,0.2,1,1,0,,0.1625,0.325
Spell_Tornado,Spear,0,0,,Bullet,Magic,Nature,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,true,false,0.2,1,1,0,0,0,25,20,25,0,-1.6,0,0.9,0,-1.6,0,0.9,0,-1.6,0,0.9,0,0.4,0,1,Small,Small,0,0.4,1,1,0,,0.1625,0.325
Spell_GustingSlashProj,Spear,0,0,true,Bullet,Magic,Nature,,,,Deflect_Default,,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,Small,Small,0,0,0,0,0,,0.1625,0.325
Spell_GustingSlash,Spear,0,0,true,Bullet,Magic,Nature,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,true,false,0.4,0.5,0.5,1,1,1,10,12,15,0,2,0,0.8,0,0,0,0.8,0,4,0,0.8,0,0.4,0,1,Small,Small,2,0.4,1,1,0,,0.1625,0.325
Spell_SpinGust,Spear,0,0,true,Bullet,Magic,Nature,,AI_DryadSiren_Erosion_Debuff,,Deflect_Default,true,false,0.2,0.25,0.5,0,0,0,5,5,10,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.4,0,1,Small,Small,2,0.5,1,1,0,,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,Small,0,0,0,0,0,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,Small,0,0,0,0,0,,0.1625,0.325
