DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Elite_GRIT,Sword,0,0,,Bullet,,Slash,,,,,,,Deflect_Default,,0,0,,1,1,1,20,15,20,0,0,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,1.95,,10,Small,Small,0,1,1,1
Attack_Spawn_Landing,Sword,0,0,,Bullet,,Standard,,,,,,,Deflect_Default,false,0,1,,3,3,3,30,30,30,0,1.8,0,0.8,0,0.5,0,0.8,0,1.8,0,0.8,0,0,,5,Small,Small,4,1,1,1
Spell_UppercutEarthwaveStart,Spell,0,0,,Bullet,Light,Strike,,,,,,,Deflect_Default,false,0.16,1,,0,1,0,12,17,12,0,2.2,0,0.8,0,2.3,0,0.8,0,2.2,0,0.8,0,0,,5,Small,Small,2,0.35,1,1
Spell_UppercutEarthwaveEnd,Spell,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.22,1,,3,3,3,32,25,32,0,2.8,0,0.8,0,3,0,0.8,0,2.8,0,0.8,0,0,,5,Small,Small,2,0.35,1,1
Attack_UppercutEarthwave,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.35,1,,4,3,4,32,30,32,0,5.5,0,0.8,0,6,0,0.8,0,5.5,0,0.8,0,0,,5,Small,Small,3,0.5,1,1
Spell_Shockwave,Spell,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.3,1,,8,4,8,46,42,46,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,5,Large_short,Large_short,3,0.35,1,1
Spell_Pull,Spell,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.2,1,,3,3,3,34,30,34,0,-6,0,0.8,0,-6,0,0.8,0,-6,0,0.8,0,0,,5,Small,Small,2,0,1,1
Spell_StoneFortitude,Spell,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.5,1,,2,2,2,22,18,22,0,0.75,0,0.8,0,0.5,0,0.8,0,0.75,0,0.8,0,0,,5,Small,Small,2,0.7,1,1
Attack_RelentlessApproach_First,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.4,1,,2,3,2,23,34,23,0,1.8,0,0.8,0,1.1,0,0.8,0,1.8,0,0.8,0,0,,5,Small,Small,2,0.4,1,1
Attack_RelentlessApproach_Final,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.6,1,,5,4,5,30,42,30,0,1.4,0,0.8,0,1.4,0,0.8,0,1.4,0,0.8,0,0,,5,Small,Small,2,0.8,1,1
