DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
DPT_Attack_WorldSplitter_03,Axe,0,0,,Bullet,Heavy,Nature,,,,,,,Deflect_Default,false,0.35,0.6,0,1,1,0,15,10,15,0,0.1,0,0.8,0,0,0,0.15,0.6,0,0,0,0,0.2,,0,Medium,Medium,Medium,3,0.6,1,1,0.1625,0.325
DPT_Attack_WorldSplitter_04,Axe,0,0,,Bullet,Heavy,Nature,,,,,,,Deflect_Default,false,0.45,0.8,0,1,1,0,15,10,15,0,0.1,0,0.8,0,0,0,0.2,0,0,0,0,0,0.2,,0,Medium,Medium,Medium,4,0.8,1,1,0.1625,0.325
DPT_Attack_WorldSplitter_05,Axe,0,0,,Bullet,Heavy,Nature,,,,,,,Deflect_Default,false,0.5,1,0,1,1,0,15,10,15,0,0.1,0,0.8,0,0,0,0.25,0,0,0,0,0,1,,0,Large,Large,Large,5,1,1,1,0.1625,0.325
DPT_Grit_StaggerResist_High,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,0,0,0,0,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,Small,Small,Small,3,0,0,1,0.1625,0.325
DPT_Reaction_Breakout_Attack,Fall,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.3,0.3,0,3,3,0,45,45,0,0,2,0,0.4,0,0,0,0.2,0,0,0,0,0,0,,1,Small,Small,Small,3,0,1,0,0.1625,0.325
DPT_Reaction_Breakout_Attack_DirtDevil_Atk1,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.2,0.2,0,3,3,0,15,15,0,0,0.05,0,0.35,0,0,0,0.35,0,0,0,0,0,0,,10,Small,Large,Large,4,0,1,0,0.1625,0.325
DPT_Reaction_Breakout_Attack_DirtDevil_Atk2,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.2,0.2,0,3,3,0,15,15,0,0,0.1,0,0.3,0,0,0,0.3,0,0,0,0,0,0,,10,Small,Large,Large,4,0,1,0,0.1625,0.325
DPT_Reaction_Breakout_Attack_DirtDevil_Atk3,Axe,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,0.2,0.2,0,4,4,0,15,15,0,0,2,0,0.35,0,0,0,0.35,0,0,0,0,0,0,,10,Small,Large,Large,4,0,1,0,0.1625,0.325
Not_Used,,,,,,,,,,,,,,,false,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
