DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,IsRanged,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Spell_Flurry_Wave_Fire,Sword,0,0,Bullet,Magic,,Fire,,AI_Burn_9,false,,false,0.2,1,1,0,0,,0,0,,0,0,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,0,0,1,0,0.1625,0.325
Spell_Torrent_Fire_Impact,Sword,0,0,Bullet,Magic,,Fire,,,,,false,0.3,1,1,1,1,,15,10,,0,0,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0,1,0,0.1625,0.325
Attack_Wing_Sweep_1,Sword,0,0,Bullet,Heavy,,Strike,,,true,,false,0.3,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Wing_Sweep_2,Sword,0,0,Bullet,Heavy,,Strike,,,true,,false,0.3,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Wing_Sweep_Proj,Sword,0,0,Bullet,Light,true,Thrust,,,true,,false,0.45,1,1,0,0,,10,5,,0,0,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Breathless_Slash_L,Sword,0,0,Bullet,Light,,Strike,,AI_Trial_Quest_Seraphim_Breathless_Seraph_StealStamina_Player,true,,false,0.6,1,1,2,2,,20,15,,0,1,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Breathless_Slash_R,Sword,0,0,Bullet,Light,,Strike,,AI_Trial_Quest_Seraphim_Breathless_Seraph_StealStamina_Player,true,,false,0.6,1,1,2,2,,20,15,,0,1,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Breathless_Strike_L,Sword,0,0,Bullet,Heavy,,Strike,,AI_Trial_Quest_Seraphim_Breathless_Seraph_StealStamina_Player,true,,false,0.65,1,1,3,3,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.45,1,0,0.1625,0.325
Attack_Breathless_Flame_Lance_End,Sword,0,0,Bullet,Heavy,,Strike,,AI_Trial_Quest_Seraphim_Breathless_Seraph_StealStamina_Player,true,,false,0.85,1,1,5,5,,30,30,,0,1.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.35,1,0,0.1625,0.325
Attack_Breathless_Flurry,Sword,0,0,Bullet,Light,,Strike,,AI_Trial_Quest_Seraphim_Breathless_Seraph_StealStamina_Player,true,,false,0.6,1,1,1,1,,15,10,,0,1.25,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Breathless_Flurry_End,Sword,0,0,Bullet,Heavy,,Strike,,AI_Trial_Quest_Seraphim_Breathless_Seraph_StealStamina_Player,true,,false,0.7,1,1,3,3,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,0,0.1625,0.325
Spell_ExtinguishingPyre_Initial,Unarmed,1,0,Bullet,Heavy,,Fire,,,,,false,0,0,0,4,4,4,35,35,35,0,-5,0,0.8,0,-5,0,0.8,,,,,0,1,,1,,,,0,0.2,1,0,0.1625,0.325
Spell_ExtinguishingPyre_PullToward,Unarmed,1,1,Bullet,Heavy,,Fire,,,,,false,0,0,0,0,0,0,0,0,0,0,-30,0,0,0,-30,0,0,,,,,0,1,,1,,,,0,0.3,1,0,0.1625,0.325
Spell_ExtinguishingPyre_AOE,Unarmed,1,1,Bullet,Magic,,Fire,,,,,false,0.33,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,0,1,,1,,,,0,0.15,1,0,0.1625,0.325
Spell_ExtinguishingPyre_Core,Unarmed,1,1,Bullet,Magic,,Fire,,,,,false,10,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,0,1,,1,,,,0,0.15,1,0,0.1625,0.325
Attack_Blind_Slash_L,Sword,0,0,Bullet,Light,,Strike,AI_FireDMG_25,,,,false,0.35,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Blind_Slash_R,Sword,0,0,Bullet,Light,,Strike,AI_FireDMG_25,,,,false,0.35,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Blind_Strike_L,Sword,0,0,Bullet,Heavy,,Strike,AI_FireDMG_25,,,,false,0.45,1,1,2,2,,20,15,,0,1,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.45,1,0,0.1625,0.325
Attack_Blind_Flame_Lance_End,Sword,0,0,Bullet,Heavy,,Strike,AI_FireDMG_50,,,,false,0.6,1,1,3,3,,25,20,,0,1.25,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.35,1,0,0.1625,0.325
Attack_Blind_Flurry,Sword,0,0,Bullet,Light,,Strike,AI_FireDMG_25,,,,false,0.4,1,1,1,1,,15,10,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Blind_Flurry_End,Sword,0,0,Bullet,Heavy,,Strike,AI_FireDMG_50,,,,false,0.5,1,1,2,2,,20,15,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,0,0.1625,0.325
Spell_Inner_Flame,Sword,1,1,Bullet,Light,,Fire,,AI_Trial_Quest_Seraphim_Blind_Seraph_Inner_Fire,false,,false,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,0,0,0,0,0,0
Spell_Channel_Fortify,Sword,1,1,Bullet,Light,,Fire,,AI_Trial_Quest_Seraphim_Blind_Seraph_Channel_Fortify,false,,false,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,0,,,,0,0,0,0,0,0
Attack_Heartless_Slash_L,Sword,0,0,Bullet,Light,,Slash,AI_CorruptionDMG_25,AI_Trial_Quest_Seraphim_Heartless_Seraph_AddCurse,true,,false,0.5,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Heartless_Slash_R,Sword,0,0,Bullet,Light,,Slash,AI_CorruptionDMG_25,AI_Trial_Quest_Seraphim_Heartless_Seraph_AddCurse,true,,false,0.5,1,1,1,1,,15,10,,0,0.66,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Heartless_Strike_L,Sword,0,0,Bullet,Heavy,,Slash,AI_CorruptionDMG_25,AI_Trial_Quest_Seraphim_Heartless_Seraph_AddCurse,true,,false,0.6,1,1,2,2,,20,15,,0,1,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.45,1,0,0.1625,0.325
Attack_Heartless_Flame_Lance_End,Sword,0,0,Bullet,Heavy,,Strike,AI_CorruptionDMG_25,AI_Trial_Quest_Seraphim_Heartless_Seraph_AddCurse,true,,false,0.75,1,1,3,3,,25,20,,0,1.25,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.35,1,0,0.1625,0.325
Attack_Heartless_Flurry,Sword,0,0,Bullet,Light,,Slash,AI_CorruptionDMG_25,AI_Trial_Quest_Seraphim_Heartless_Seraph_AddCurse,true,,false,0.55,1,1,1,1,,15,10,,0,0.75,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,1,0.3,1,0,0.1625,0.325
Attack_Heartless_Flurry_End,Sword,0,0,Bullet,Heavy,,Strike,AI_CorruptionDMG_25,AI_Trial_Quest_Seraphim_Heartless_Seraph_AddCurse,true,,false,0.6,1,1,2,2,,20,15,,0,0.8,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,2,0.5,1,0,0.1625,0.325
Spell_Flurry_Impact_Corrupt,Sword,0,0,Bullet,Heavy,,Corruption,,,,,false,0.6,1,1,3,3,,25,20,,0,1.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.3,1,0,0.1625,0.325
Spell_Overflowing_Corruption_Meteor,Sword,0,0,Bullet,Light,,Corruption,,,,,false,0.55,1,1,3,3,,25,20,,0,0.5,0,0.8,0,0,0,0.8,,,,,0,1,,1,Small,Small,,3,0.3,1,0,0.1625,0.325
Attack_Mute_Wave_Small,Sword,0,0,Bullet,Heavy,,Strike,,,,,false,0.1,1,1,2,2,,15,10,,0,1,0,0.8,0,1,0,0.8,,,,,0,1,,1,Small,Small,,2,0.3,1,0,0.1625,0.325
Attack_Mute_Wave_Medium,Sword,0,0,Bullet,Heavy,,Strike,,,,,false,0.25,1,1,3,3,,25,20,,0,1,0,0.8,0,1,0,0.8,,,,,0,1,,1,Small,Small,,3,0.6,1,0,0.1625,0.325
Attack_Mute_Wave_Large,Sword,0,0,Bullet,Heavy,,Strike,,,,,false,0.5,1,1,4,4,,35,30,,0,1,0,0.8,0,1,0,0.8,,,,,0,1,,1,Small,Small,,4,0.9,1,0,0.1625,0.325
Attack_Mute_Cataclysm_Wave,Sword,0,0,Bullet,Heavy,,Strike,,,,,false,0.5,1,1,2,2,,20,15,,0,1,0,0.8,0,1,0,0.8,,,,,0,1,,1,Small,Small,,3,0.5,1,0,0.1625,0.325
Fall,Fall,1,1,Bullet,,,Falling,,,,,,1,1,,2,2,,0,0,,0,0,0,0,0,0,0,0,,,,,0,,,,,,,0,0,1,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,Bullet,,,Falling,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,,,,,0,0,,10,Small,,,1,,,1,0.1625,0.325
