DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Undead_GraveDigger_Stab,Axe,0,0,,Bullet,Light,Thrust,,,,,,,Deflect_Default,false,0.35,1,0.35,0,1,0,16,16,16,0,0.4,0,0.8,0,0,0,0.8,0,0.4,0,0.8,0,0,,0,Small,Small,Small,3,0.5,1,1
Undead_2H_GraveDigger_Melee_Heavy,Axe,0,0,,Bullet,Heavy,Strike,,,,,AI_Disease,true,Deflect_Default,false,0.4,1,0.4,3,3,3,15,20,15,0,1.15,0,0.8,0,0,0,0.8,0,1.15,0,0.8,0,1.2,,1,Small,Small,Small,3,1,1,1
Undead_GraveDigger_Syphon,Unarmed,0,0,,,Arcane,Arcane,,,,,,,,false,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,0,,Small,Small,3,0,0,0
Drowned_Miner_Bomb,Sword,0,1,,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,0,1,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,4,0,1,1
Drowned_Miner_Bomb_Explosion,Sword,0,0,true,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,1,1,1,3,3,3,30,20,30,0,3,0,0.8,0,0,0,0.8,0,3,0,0.8,0,0,,0,Small,Small,Small,4,7,1,1
Drowned_Miner_Breakout,Torch,0,0,,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,0.4,1,0.4,3,3,3,30,20,30,0,1.25,0,0.8,0,0,0,0.8,0,1.25,0,0.8,0,1.2,,1,Small,Small,Small,3,2,1,1
Drowned_Miner_Breakout_Explosion,Torch,0,0,,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,0.4,1,0.4,3,3,3,30,20,30,0,3.5,0,0.8,0,0,0,0.8,0,3.5,0,0.8,0,1.2,,1,Small,Small,Small,3,2,1,1
Drowned_Miner_Breakout_Explosion_Self,Torch,0,0,,Bullet,Arcane,Fire,,,,,,,Deflect_Default,false,0.2,1,0.2,3,3,3,30,20,30,0,3.5,0,0.8,0,0,0,0.8,0,3.5,0,0.8,0,1.2,,1,Small,Small,Small,3,2,1,1
Undead_Pistoleer_Pistol_Whip,Unarmed,0,0,,Bullet,Light,Strike,,,,,,,Deflect_Default,false,0.7,1,0.7,1,1,1,20,15,20,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,3,0.33,1,1
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,Small,3,,,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,,,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,,10,Small,Small,Small,3,,,1
