DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,StaminaDmg,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,TargetCameraShakeID,CritTargetCameraShakeID,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Attack_Force_Shield_End,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Shield_End_Reaction,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Force_Consumed_End,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Consume_End_Reaction_Cecilia,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Lillith_Activate,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Lillith_Activate,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Lillith_Ensnare_Taunt,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Lillith_Ensnare_Taunt,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Defend_Shadow,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Defend_Shadow_Reaction,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Shadow_Defeated,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Shadow_Cecilia_Defeated_Reaction,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Shadow_Fail,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Banish_DestroyShield_Shadow_Fail,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Banish_Fortify,Sword,1,0,,Bullet,Magic,Arcane,,AI_Trial_Quest_Dracula_Banish_Fortify,FALSE,false,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,0,0,0,0,,,0,0.1625,0.325
Attack_Lunge,Sword,0,0,,Bullet,Heavy,Slash,AI_ArcaneDMG_25,,,false,0.5,1,1,2,2,2,25,20,0,0,1.5,0,0.8,0,0.75,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.6,1,,,0,0.1625,0.325
Attack_Empowered_Lunge,Sword,0,0,,Bullet,Heavy,Slash,AI_ArcaneDMG_50,,,false,0.7,1,1,3,3,3,30,25,0,0,2.5,0,0.8,0,1.25,0,0.8,0,0,0,0.8,0,0.2,,0,0,3,0.9,1,,,0,0.1625,0.325
Attack_Retreating_Slash,Sword,0,0,,Bullet,Heavy,Slash,AI_ArcaneDMG_25,,,false,0.33,1,1,1,1,2,20,15,0,0,1,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.25,1,,,0,0.1625,0.325
Attack_Shoulder_Slash,Sword,0,0,,Bullet,Heavy,Slash,AI_ArcaneDMG_50,,,false,0.55,1,1,2,2,2,20,15,0,0,1.6,0,0.8,0,0.8,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.45,1,,,0,0.1625,0.325
Attack_Fang_Rush,Sword,0,0,,Bullet,Heavy,Thrust,AI_ArcaneDMG_25,,,false,0.4,1,1,2,2,2,25,20,0,0,1.75,0,0.8,0,0.875,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.55,1,,,0,0.1625,0.325
Attack_Fang_Rush_Body,Sword,0,0,,Bullet,Magic,Arcane,,,,false,0.25,1,1,3,3,3,30,25,0,0,3.5,0,0.8,0,1.75,0,0.8,0,0,0,0.8,0,0.2,,0,0,3,1.5,1,,,0,0.1625,0.325
Attack_Triple_Slash,Sword,0,0,,Bullet,Light,Slash,AI_ArcaneDMG_25,,,false,0.27,1,1,1,1,1,20,15,0,0,1.2,0,0.8,0,0.6,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.35,1,,,0,0.1625,0.325
Attack_Rapid_Stab_1,Sword,0,0,,Bullet,Light,Thrust,AI_ArcaneDMG_25,,,false,0.26,1,1,1,1,1,20,15,0,0,1.25,0,0.8,0,0.625,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_Rapid_Stab_2,Sword,0,0,,Bullet,Light,Thrust,AI_ArcaneDMG_25,,,false,0.28,1,1,1,1,1,20,15,0,0,1.25,0,0.8,0,0.625,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_Rapid_Stab_3,Sword,0,0,,Bullet,Light,Thrust,AI_ArcaneDMG_25,,,false,0.32,1,1,2,2,2,25,20,0,0,1.75,0,0.8,0,0.875,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.4,1,,,0,0.1625,0.325
Attack_Turn_Slash_90_Sword,Sword,0,0,,Bullet,Light,Slash,AI_ArcaneDMG_25,,,false,0.36,1,1,1,1,1,20,15,0,0,1.25,0,0.8,0,0.625,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_Turn_Slash_180_Sword,Sword,0,0,,Bullet,Heavy,Slash,AI_ArcaneDMG_25,,,false,0.58,1,1,1,1,1,20,15,0,0,2,0,0.8,0,1,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.65,1,,,0,0.1625,0.325
Attack_Turn_Slash_180_Claw,Sword,0,0,,Bullet,Light,Slash,AI_ArcaneDMG_50,AI_Bleed_9,TRUE,false,0.24,1,1,2,2,2,25,20,0,0,1,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.2,1,,,0,0.1625,0.325
Attack_Starfall_Impact,Sword,0,0,true,Bullet,Magic,Arcane,,,,false,0.62,1,1,2,2,2,25,20,0,0,1.8,0,0.8,0,0.9,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.5,1,,,0,0.1625,0.325
Attack_Cecilia_Basic_Swipe_L,Sword,0,0,,Bullet,Light,Slash,,,,false,0.35,1,1,1,1,2,20,15,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_Cecilia_Basic_Swipe_R,Sword,0,0,,Bullet,Light,Slash,,,,false,0.35,1,1,1,1,2,20,15,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,1,0.3,1,,,0,0.1625,0.325
Attack_Cecilia_Basic_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,false,0.35,1,1,2,2,2,20,15,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.3,1,,,0,0.1625,0.325
Attack_Cecilia_Flourish,Sword,0,0,,Bullet,Heavy,Slash,,,,false,0.45,1,1,2,2,2,20,15,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.3,1,,,0,0.1625,0.325
Attack_Cecilia_Flurry,Sword,0,0,,Bullet,Light,Thrust,,,,false,0.45,1,1,2,2,2,20,15,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.3,1,,,0,0.1625,0.325
Attack_Cecilia_Heavy_Stab,Sword,0,0,,Bullet,Heavy,Thrust,,,,false,0.45,1,1,2,2,2,20,15,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.3,1,,,0,0.1625,0.325
Attack_Cecilia_Tondo,Sword,0,0,,Bullet,Heavy,Slash,,,,false,0.45,1,1,2,2,2,20,15,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0.2,,0,0,2,0.3,1,,,0,0.1625,0.325
Reaction_Breakout_Attack,Unarmed,0,0,,Bullet,Magic,Arcane,,,,false,0.7,1,1,3,3,3,35,30,0,0,1.5,0,0.8,0,1,0,0.8,0,1.5,0,0.8,0,0.7,,10,0,1,0.7,1,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,false,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,1,1,,,,1,0.1625,0.325
