DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,IsSiege,DamageType,Affliction,AddAffliction,AfflictionPercent,StatusEffect,EffectOnlyOnDamage,SurfaceImpactEffect,DeflectDamageID,CanCrit,ForceAttackToHit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,CameraShakeID,TargetCameraShakeID,BlockCameraShakeID,BlockTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,DamageReceiverCooldown,HitRuneCharge,HitBlockedRuneCharge
BombTurret_Explosion,Unarmed,0,0,,true,Strike,,,,,,Bullet,,false,,1.2,1,,3,2,4,30,20,50,0,4,0,0.8,0,2,0,0.8,0,1,1,,Small,,Small,4,1,1,1,,0.1625,0.325
VoidSpike,Beam_VoidSpike,0,0,true,true,Corruption,,,,,,Bullet,,false,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
FrostTrebuchet_DoT,Unarmed,0,1,,true,AfflictionFrostbite,AfflictionFrostbite,,,,,Bullet,,false,,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,0,,0.1625,0.325
Darkness_CorruptionEruption_DT1,Unarmed,0,0,,true,Strike,,,,,,Bullet,,false,true,1,1,,4,3,4,50,30,50,0,8,0,0.8,0,8,0,0.8,0,1,1,,,,,4,1,1,1,,0.1625,0.325
DungeonLaserBeam,Beam_Laser,1,0,true,true,Arcane,,,,Dungeon_LaserBeamDeath,,Bullet,,false,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
Gimmick_Explosive_Barrel,Unarmed,0,0,,true,Standard,,,,,,Bullet,,false,,1,1,,2,2,2,50,30,50,0,3,0,0.5,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
Gimmick_Falling_Rubble,Unarmed,0,0,,true,Standard,,,,,,Bullet,,false,,1,1,,2,2,2,50,30,50,0,8,0,0.8,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
Sandworm_BreachEvent_Explosion,Unarmed,0,0,true,true,Standard,AfflictionBleed,,,,,Bullet,,false,,1,1,1,4,4,4,100,100,100,0,100,0,0.5,0,0,0,0,0,3,3,,Large,Large,Large,4,1,1,1,,0.1625,0.325
Sandworm_BreachEvent_Fallout,Unarmed,0,0,true,true,Standard,AfflictionBleed,,,,,Bullet,,false,,1,1,1,4,4,4,100,100,100,0,20,0,0.5,0,0,0,0,0,3,3,,Small,Small,Small,4,1,1,1,,0.1625,0.325
DungeonLaserBeamSmall,Unarmed,0,0,true,true,Arcane,,,,Dungeon_LaserBeamSmall,,Bullet,,false,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0,1,1,1,,0.1625,0.325
CaerDun_SmashHeartgem_Explosion,Unarmed,0,0,,true,Standard,,,,,,Bullet,,false,,1,1,,2,2,2,50,30,50,0,5,0,0.5,0,0,0,0,0,1,1,,Small,Small,Small,4,1,1,1,,0.1625,0.325
Gimmick_Poison_Polyp,Unarmed,0,0,,true,Standard,,,,,,Bullet,,false,,1,1,,2,2,2,50,30,50,0,3,0,0,0,0,0,0,0,0,0,,,,,0,1,1,0,,0.1625,0.325
Motherwell_Staff_Explosion,Unarmed,0,0,,true,Standard,,,,,,Bullet,,false,,1,1,,2,2,2,50,30,50,0,15,0,0.5,0,0,0,0,0,1,1,,Small,Small,Small,4,1,1,1,,0.1625,0.325
