DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction
Attack_Stab_01,Sword+Fire,0,0,,Bullet,Light,Thrust,,,,AI_FireDMG_25,,,Deflect_Default,false,0.27,1,,2,2,0,16,26,16,0,2.4,0,0.7,0,0,0,0.7,0,2.4,0,0.7,0,0,,0,Small,Small,Small,1,0.28,1,0,
Attack_Stab_02,Sword+Fire,0,0,,Bullet,Light,Thrust,,,,AI_FireDMG_25,,,Deflect_Default,false,0.28,1,,2,2,0,19,26,19,0,2.15,0,0.68,0,0,0,0.7,0,2.15,0,0.68,0,0,,0,Small,Small,Small,1,0.28,1,0,
Attack_Double_Spin_Combo,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_50,,,Deflect_Default,false,0.19,1,,0,1,0,13,18,13,0,1.15,0,0.7,0,0,0,0.71,0,1.15,0,0.7,0,0,,0,Small,Small,Small,1,0.17,1,0,
Attack_Double_Spin_Finisher,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_75,,true,Deflect_Default,false,0.44,1,,1,2,1,17,28,17,0,2.4,0,0.77,0,0,0,0.76,0,2.4,0,0.77,0,0,,0,Large,Large,Large,3,0.57,1,1,
Attack_Overhead_Slash,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_50,,,Deflect_Default,false,0.42,1,,5,3,5,20,36,20,0,1.85,0,0.73,0,0,0,0.74,0,1.85,0,0.73,0,0,,0,Large,Large,Large,2,0.6335,1,1,
Attack_Overhead_Slash_Fire,Sword+Fire,0,0,,Bullet,Heavy,Fire,,,,,,true,Deflect_Default,false,0.42,1,,2,3,2,27,30,27,0,1.8,0,0.8,0,0,0,0.8,0,1.8,0,0.8,0,0,,0,Large,Large,Large,2,0.8,1,1,
Attack_Flip_Overhead_Slash,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_75,,,Deflect_Default,false,0.23,1,,0,0,0,40,14,40,0,1.3,0,0.83,0,0,0,0.87,0,1.3,0,0.83,0,0,,0,Large,Large,Large,3,0.23,1,1,
Attack_Flip_Overhead_Fire,Sword+Fire,0,0,,Bullet,Heavy,Fire,,,,,,true,Deflect_Default,false,0.22,1,,4,4,4,32,48,32,0,3.6,0,0.7,0,0,0,0.73,0,3.6,0,0.7,0,0,,0,Large,Large,Large,3,0.57,1,1,
Attack_Flurry_Combo,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_25,,,Deflect_Default,false,0.14,1,,1,1,0,13,12,13,0,1,0,0.8,0,0,0,0.8,0,1,0,0.8,0,0,,0,Small,Small,Small,1,0.2,1,0,
Attack_Flurry_Finisher,Sword+Fire,0,0,,Bullet,Light,Slash,,,,AI_FireDMG_50,,,Deflect_Default,false,0.23,1,,3,1,1,25,18,16,0,3,0,0.8,0,0,0,0.8,0,1.4,0,0.8,0,0,,0,Small,Small,Small,2,0.35,1,1,
Attack_Upwards_Slash,Sword+Fire,0,0,,Bullet,Heavy,Slash,,,,AI_FireDMG_50,,true,Deflect_Default,false,0.38,1,,4,4,4,44,46,44,0,5,0,0.82,0,0,0,0.84,0,5,0,0.82,0,0,,0,Large,Large,Large,4,1.1,1,1,
Attack_FTUE_Spawn,Sword+Fire,0,0,,Bullet,Magic,Fire,,,,,,,Deflect_Default,false,0,0,,4,4,4,25,30,25,0,3.8,0,0.8,0,0,0,0.8,0,3.8,0,0.8,0,0,,5,Small,Small,Small,4,0,1,1,
Attack_Force_Grab,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,1,,3,3,3,34,30,34,0,-1,-2,0.7,0,-1,-2,0.7,0,-1,-2,0.7,0,0,,0,Large,Large,Large,4,0,0,0,true
Attack_Force_Grab_Attach,CorruptedMagic,0,1,,Bullet,Magic,Corruption,,,,,AI_Thorpe_Force_Grab_Tracker,false,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,
Attack_Darkness_Calls,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.25,1,,2,2,2,27,21,27,0,-2,0,0.7,0,-1.7,0,0.7,0,-2,0,0.7,0,0,,0,Large,Large,Large,3,0.6,0,0,
Attack_Darkness_Calls_Affliction,CorruptedMagic,0,1,,Bullet,Magic,Corruption,,,,,AI_Thorpe_Darkness_Calls_Corruption,false,Deflect_Default,false,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,
Attack_Flame_Wall,Fire,0,1,,Bullet,Magic,Fire,,,,,,,Deflect_Default,false,0.3,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,Small,Small,Small,0,0,0,0,
Attack_Core_Explosion,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0.25,1,,4,4,4,40,48,40,0,6.5,0,0.75,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.65,0,0,
Attack_Core_Stab,Sword+Fire,0,0,,Bullet,Heavy,Thrust,,,,,,,Deflect_Default,false,0.25,1,,5,5,5,40,48,40,0,0.3,0,0.75,0,0.6,0,0.75,0,0.3,0,0.75,0,0,,0,Large,Large,Large,3,0.65,0,0,
Attack_Hunger_Of_The_Void,CorruptedMagic,0,1,,Bullet,Magic,Corruption,,,,,,false,Deflect_Default,false,0.75,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,0,Small,Small,Small,0,0,0,0,
Intermission,CorruptedMagic,0,0,,Bullet,Magic,Corruption,,,,,,,Deflect_Default,false,0,0,,4,4,4,40,48,40,0,6.5,0,0.75,0,5,0,0.75,0,6.5,0,0.75,0,0,,0,Large,Large,Large,3,1.65,0,0,
