DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement
Soldier_Swamp_Shoulder_Charge,Warhammer,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,0.3,1,1,4,4,4,35,35,35,0,4,0,0.8,0,4,0,0.8,0,0,0,0.8,0,0.5,5,Small,4,0.75,1,1
Soldier_Swamp_Overhead_Slam,Warhammer,0,0,,Bullet,Heavy,Strike,,,,Deflect_Default,false,1,1,1,2,2,2,20,25,20,0,1.5,0,0.8,0,1.5,0,0.8,0,0,0,0.8,0,0.5,5,Small,4,1,1,1
Soldier_Swamp_Swing_L,Warhammer,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,0,1,0,10,10,10,-0.5,1,0,0.8,-0.5,1,0,0.8,0,0,0,0.8,0,0.5,5,Small,3,0.1,1,0
Soldier_Swamp_Swing_R,Warhammer,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.25,1,1,0,1,0,10,10,10,0.5,1,0,0.8,0.5,1,0,0.8,0,0,0,0.8,0,0.5,5,Small,3,0.1,1,0
Soldier_Swamp_Whirlwind,Warhammer,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,0.33,1,1,0,1,0,10,10,10,0,0.65,0,0.8,0,0.65,0,0.8,0,0,0,0.8,0,0.5,5,Small,3,0.2,1,0
Soldier_Swamp_Persistent_AOE,Warhammer,0,1,,Bullet,Light,Nature,,,,Deflect_Default,false,1,1,1,0,0,0,10,10,10,0,0.5,0,0.8,0,0.5,0,0.8,0,0,0,0.8,0,0.5,5,Small,4,0,1,0
Soldier_Swamp_Uppercut,Warhammer,0,0,,Bullet,Light,Strike,,,,Deflect_Default,false,1,1,1,2,2,2,10,10,10,0,3.5,0,0.8,0,3.5,0,0.8,0,0,0,0.8,0,0.5,5,Small,3,0.9,1,1
Attack_Structure,Unarmed,,0,0,,,Siege,,,,Deflect_Default,false,0.2,1,1,3,3,3,30,30,25,-1,2,0,0.8,-1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,1,1,0
Fall,Fall,1,1,,Bullet,,Falling,,,,,,1,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,0,1,1,1
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Small,1,,,1
