DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CritTargetCameraShakeID,TargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,DamageGuildAndGroup
Attack_Elite_Stab,Sword,0,0,,Bullet,Light,Thrust,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.55,1,1,2,2,2,20,20,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,,5,Small,Small,3,1,1,1,
Attack_Elite_Swipe_L_R_1st_Hit,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.7,1,1,2,2,2,20,25,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,,5,Small,Small,2,0.7,1,1,
Attack_Elite_Swipe_L_R_2nd_Hit,Sword,0,0,,Bullet,Light,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,2,2,2,20,20,20,0,0.55,0,0.8,0,0.5,0,0.8,0,0.55,0,0.8,0,0,,5,Small,Small,2,0.6,1,1,
Attack_Elite_Swipe_L,Sword,0,0,,Bullet,Light,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.7,1,1,2,2,2,20,20,20,0,0.5,0,0.8,0,0.5,0,0.8,0,0.5,0,0.8,0,0,,5,Small,Small,2,0.6,1,1,
Attack_Elite_Backhand_R,Sword,0,0,,Bullet,,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,3,3,3,30,30,30,0,0.9,0,0.8,0,0.5,0,0.8,0,0.9,0,0.8,0,0,,5,Small,Small,3,1,1,1,
Attack_Elite_Overhead,Sword,0,0,,Bullet,Heavy,Strike,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.9,1,1,4,3,4,35,40,35,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,3,1.85,1,1,
Attack_Elite_Overhead_Burning_2nd_Hit,Sword,0,0,,Bullet,Heavy,Standard,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.5,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,3,1,1,1,
Attack_Spawn_Landing,Sword,0,0,,Bullet,,Standard,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0,1,1,3,3,3,30,30,30,0,1,0,0.8,0,0.5,0,0.8,0,1,0,0.8,0,0,,5,Small,Small,3,1,1,1,
Attack_ScrapingUppercut,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.8,1,1,4,3,4,25,30,25,0,3.1,0,0.8,0,0.5,0,0.8,0,3.1,0,0.8,0,0,,5,Small,Small,3,1.25,1,1,
Attack_ClearingSweep,Sword,0,0,,Bullet,Heavy,Slash,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.6,1,1,4,3,4,25,30,25,0,0.85,0,0.8,0,0.5,0,0.8,0,0.85,0,0.8,0,0,,5,Small,Small,3,1.25,1,1,
Attack_ShoulderRush,Sword,0,0,,Bullet,Light,Strike,,,,AI_ArcaneDMG_25,,,Deflect_Default,false,0.35,1,1,3,3,3,30,15,30,0,1.1,0,0.8,0,0.5,0,0.8,0,1.1,0,0.8,0,0,,5,Small,Small,2,0.35,1,1,
HeavyJump_Stab,,0,0,,,Heavy,Thrust,,,,,,,Deflect_Default,false,0.75,1,1,5,3,5,35,40,35,0,1.5,0,0.8,0,0.5,0,0.8,0,1.5,0,0.8,0,0,,5,,,3,10,1,1,
HeavyJump_Shockwave,,0,0,true,,Heavy,Standard,,,,,AI_Snare_4sec,true,Deflect_Default,false,0.5,1,1,3,3,3,30,25,30,0,3,0,0.8,0,0.5,0,0.8,0,3,0,0.8,0,0,,5,,,2,10,1,1,
BoneThrow_1,Spear,0,0,true,Bullet,,Thrust,,,,,,,Deflect_Default,false,0,0,1,1,1,1,,,,,2,,,,,,,,,,,,,,5,Small,Small,2,,,,
BoneThrow_2,Spear,0,0,true,Bullet,,Thrust,,,,,,,Deflect_Default,false,0,0,1,1,1,1,,,,,2,,,,,,,,,,,,,,5,Small,Small,2,,,,
Adds_Wipe,,1,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,999,1,,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,,1,,,1,0,1,1,true
