DamageID,WeaponCategory,IsRanged,IgnoreInvulnerable,NoReaction,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DamageGuildAndGroup,UseAttackerPosForReaction,DmgCoef,DmgCoefHead,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,AddDmg,StaggerDmgModifier,StaggerResistModifier,CameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,LOSCheckVerticalAngleOffset,HitRuneCharge,HitBlockedRuneCharge
Attack_Structure,Unarmed,,0,0,,,Siege,,,,Deflect_Default,false,,,0.2,1,3,3,3,30,30,25,-1,2,0,0.8,-1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,1,1,0,0.1625,0.325
Attack_Throw,Unarmed,1,0,0,,Heavy,Thrust,,,,Deflect_Default,false,,,1,1,2,2,2,10,10,5,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.5,1,0,0.1625,0.325
Attack_Close_AOE,Unarmed,,0,0,,Heavy,Nature,,AI_Stun_2sec,true,Deflect_Default,false,,true,1,1,8,8,3,20,20,15,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,1.25,1,0,0.1625,0.325
Spell_Pull_Minions,Unarmed,,0,0,,,,,,,Deflect_Default,false,true,,0,0,3,3,3,30,30,30,0,-10,0,0.8,0,-10,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,16,0.1625,0.325
Spell_Kill_Minions,Unarmed,,0,0,,Heavy,Strike,,,,Deflect_Default,false,true,,100,1,51,51,51,20,20,15,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,1.25,1,0,0.1625,0.325
Spell_Homing_Earthspike,GhostSpell_Disease,0,1,,,Magic,Nature,,,,Deflect_Default,false,,true,0,1,4,4,4,25,25,25,0,4,0,0.8,0,4,0,0.8,0,0,0,0.8,0.05,2.2,0,0,1,0.05,1,1,0.1625,0.325
Attack_Pull,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,true,0,0,3,3,3,30,30,30,0,-1,0,0.7,0,-1,0,0.7,0,0,0,0.7,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_1,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-3,0,0.8,0,-3,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_2,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-5,0,0.8,0,-5,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_3,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-7,0,0.8,0,-7,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_4,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-9,0,0.8,0,-9,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_5,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-11,0,0.8,0,-11,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_6,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-13,0,0.8,0,-13,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_7,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-15,0,0.8,0,-15,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Attack_Pull_8,Unarmed,,0,0,,Heavy,,,,,Deflect_Default,false,,,0,0,3,3,3,30,30,30,0,-17,0,0.8,0,-17,0,0.8,0,0,0,0.8,0,1.5,1.5,Small,3,0,1,50,0.1625,0.325
Tissue_Land,Unarmed,,0,0,,Light,Nature,,,,Deflect_Default,false,,,0.3,1,0,0,0,20,20,15,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.6,1,0,0.1625,0.325
Earth_Slamming,Unarmed,,0,0,,Heavy,Thrust,,,,Deflect_Default,false,,,0.8,1,4,4,4,20,20,15,0,2,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,1,1,0,0.1625,0.325
Tissue_Explode,Unarmed,,0,0,,Heavy,Nature,,,,Deflect_Default,false,,,1,1,2,2,2,20,20,15,1,2,0,0.8,1,2,0,0.8,0,0,0,0.8,0,1,1,Small,3,0.6,1,0,0.1625,0.325
Earth_Slamming_AOE,Unarmed,,0,0,,Heavy,Nature,,,,Deflect_Default,false,,,0.1,1,0,0,0,10,10,15,0,0.5,0,0.8,0,2,0,0.8,0,0,0,0.8,0,1,1.5,Small,3,1.25,1,0,0.1625,0.325
Fall,Fall,,1,1,Bullet,,Falling,,,,,,,,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,1,,0.1625,0.325
