DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affliction,AddAffliction,AfflictionPercent,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,BlockTargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,UseAttackerPosForReaction,HitRuneCharge,HitBlockedRuneCharge
Attack_Double_Spin_Finisher,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.3,1,,2,2,2,22,28,22,0,1.8,0,0.8,0,1.55,0,0.75,0,1.8,0,0.8,0,0,,0,Small,Small,Small,2,0.75,1,1,,0.1625,0.325
Attack_Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.15,1,,5,3,5,24,32,24,0,1.1,0,0.8,0,1.2,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Large,2,0.7,1,1,,0.1625,0.325
Attack_Overhead_Slash_Fire,Sword,0,0,,Bullet,Heavy,Fire,,,,,,,Deflect_Default,false,1.3,1,,2,3,2,27,30,27,0,2.2,0,0.8,0,2.35,0,0.8,0,2.2,0,0.8,0,0,,0,Large,Large,Large,2,0.85,1,1,,0.1625,0.325
Attack_Flip_Overhead_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.25,1,,2,3,2,25,34,25,0,1.2,0,0.75,0,1,0,0.75,0,1.2,0,0.75,0,0,,0,Small,Small,Small,2,0.7,1,1,,0.1625,0.325
Attack_Flip_Overhead_Fire,Sword,0,0,,Bullet,Heavy,Fire,,,,,,,Deflect_Default,false,1.5,1,,3,4,3,32,40,32,0,2.3,0,0.75,0,2.6,0,0.75,0,2.3,0,0.75,0,0,,0,Large,Large,Large,3,1,1,1,,0.1625,0.325
Attack_Flurry_Combo,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,0.75,1,,0,1,0,15,12,15,0,0.9,0,0.8,0,1.15,0,0.8,0,0.9,0,0.8,0,0,,0,Small,Small,Small,1,0.45,1,1,,0.1625,0.325
Attack_Flurry_Finisher,Sword,0,0,,Bullet,Light,Slash,,,,,,,Deflect_Default,false,1.15,1,,2,1,2,22,18,22,0,1.25,0,0.8,0,1.4,0,0.8,0,1.25,0,0.8,0,0,,0,Small,Small,Small,2,0.55,1,1,,0.1625,0.325
Attack_Upwards_Slash,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,2.2,1,,4,4,4,44,40,44,0,5.5,0,0.6,0,4.25,0,0.65,0,5.5,0,0.6,0,0,,0,Large,Large,Large,4,1.5,1,1,,0.1625,0.325
Attack_Upwards_Slash_Short,Sword,0,0,,Bullet,Heavy,Slash,,,,,,,Deflect_Default,false,1.9,1,,3,4,3,36,40,36,0,0.8,0,0.75,0,1,0,0.75,0,0.8,0,0.75,0,0,,0,Large,Large,Large,4,1.35,1,1,,0.1625,0.325
Attack_Shoulder_Charge,Sword,0,0,,Bullet,Heavy,Strike,,,,,,,Deflect_Default,false,0.4,1,,2,3,2,26,34,26,-1.1,1.9,0,0.8,-1,1.8,0,0.8,-1.3,1.9,0,0.8,0,0,,0,Small,Small,Small,2,0.9,1,1,,0.1625,0.325
Attack_Structure,Sword,0,0,,Bullet,Light,Siege,,,,,,,Deflect_Default,false,1.05,1,,0,2,0,14,21,14,0,1.45,0,0.8,0,1.4,0,0.8,0,1.45,0,0.8,0,0,,0,Small,Small,Small,1,0.6,1,1,,0.1625,0.325
