DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Unblockable,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,BlockPowerLevel,CritPowerLevel,HitStun,BlockHitStun,CritHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,TargetCameraShakeID,CritTargetCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,HitRuneCharge,HitBlockedRuneCharge
Lost_TwinJesters_TwinDance_Back,Blunt_AI,0,0,false,Bullet,Heavy,Strike,false,,,,Deflect_Default,0,0.3,1,1,3,3,3,25,25,25,0,3,0,0.75,0,1,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.3,1,0,0.1625,0.325
Lost_TwinJesters_HorizontalSwipe_Offset,Blunt_AI,0,0,false,Bullet,Light,Strike,false,,,,Deflect_Default,0,0.7,1,1,1,1,1,20,20,20,0,1.5,0,0.75,0,0.5,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.3,1,0,0.1625,0.325
Lost_TwinJesters_HorizontalSwipe_OffsetBack,Blunt_AI,0,0,false,Bullet,Light,Strike,false,,,,Deflect_Default,0,0.2,1,1,0,1,1,20,20,20,0,1.5,0,0.75,0,0.5,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.15,1,0,0.1625,0.325
Lost_TwinJesters_HellRing_Hit,CorruptedMagic,0,0,true,Bullet,Magic,Fire,true,,,,Deflect_Default,0,0.2,0,1,1,1,1,15,15,15,0,0,0,0.8,0,0,0,0.8,0,1.5,0,0.8,0,0.05,,0.7,Medium,Medium,3,0.4,1,0.67,0.1625,0.325
Lost_TwinJesters_OriginalPrankster,CorruptedMagic,0,0,false,Bullet,Light,Strike,true,,,,Deflect_Default,0,10,1,1,1,2,1,15,15,15,0,1.5,0,0.75,0,0.2,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.15,1,0,0.1625,0.325
Lost_TwinJesters_SpotTheDifference,CorruptedMagic,0,0,false,Bullet,Light,Strike,false,,,,Deflect_Default,0,0.8,1,1,1,2,1,15,15,15,0,1.5,0,0.75,0,0.2,0,0.85,0,0,0,0.85,0,0,,0.6,Small,Small,1,0.15,1,0,0.1625,0.325
Autodelivered_Surprise,CorruptedMagic,0,,,,Magic,Fire,,,AI_ExplosiveSprout_FireExplosion,TRUE,,FALSE,1.5,1,,2,3,2,35,30,35,0,1,0,0.8,0,0,0,0.8,0,4,1.5,0.8,0,1.4,,4,Small,Small,1,2,2,1,0.1625,0.325
Traps_Spike,,0,0,,Bullet,Light,Siege,true,,AI_Spike_Traps,,,0,1,1,1,1,1,1,15,10,15,0,0,0,0.85,0,0,0,0.85,0,1.3,0,0.85,0,0.2,,0.6,Small,Small,3,0.2,1,0,0.1625,0.325
Traps_Explosive_Barrel,,0,0,,Bullet,Heavy,Siege,false,,,,,0,1,1,1,4,4,4,15,10,15,0,6,0,0.85,0,0,0,0.85,0,1.3,0,0.85,0,0.2,,0.6,Small,Small,3,0.2,1,0,0.1625,0.325
Traps_Ballista,,0,0,,Bullet,Heavy,Acid,false,,,,,0,1,1,1,4,4,4,15,10,15,0,6,0,0.85,0,0,0,0.85,0,1.3,0,0.85,0,1000,,1,Small,Small,3,1000,1,0,0.1625,0.325
Undead_Reaction_Breakout,Fall,1,1,,Bullet,,Falling,false,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.8,,,,,0,0,,10,Small,,3,,,1,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,false,,,,,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0.8,,,,,0,0,,10,Small,,3,,,1,0.1625,0.325
