DamageID,WeaponCategory,IgnoreInvulnerable,NoReaction,IsRanged,SurfaceImpactEffect,AttackType,DamageType,Affixes,StatusEffect,EffectOnlyOnDamage,DeflectDamageID,CanCrit,DmgCoef,DmgCoefHead,DmgCoefCrit,PowerLevel,CritPowerLevel,BlockPowerLevel,HitStun,CritHitStun,BlockHitStun,ImpactDistanceX,ImpactDistanceY,ImpactDistanceZ,ImpactDecayRate,BlockImpactDistanceX,BlockImpactDistanceY,BlockImpactDistanceZ,BlockImpactDecayRate,CritImpactDistanceX,CritImpactDistanceY,CritImpactDistanceZ,CritImpactDecayRate,AddDmg,StaggerDmgModifier,CritStaggerDmgModifier,StaggerResistModifier,CameraShakeID,CritCameraShakeID,ImpactRating,BlockStaminaDmgMod,BlockAbsorptionModifier,StunBreakoutIncrement,StaminaDmg,DamageGuildAndGroup,HitRuneCharge,HitBlockedRuneCharge
Attack_LightningSpear,Spear,0,0,true,Bullet,Heavy,Thrust,,,,,false,0.9,1,1,4,4,3,20,20,30,0,7,0,0.8,0,5,0,0.8,0,7,0,0.8,0,0,0,0,Small,Small,0,1.2,1,1,0,,0.1625,0.325
Spell_LightningSpearPlanted,Spear,0,0,,Bullet,Magic,Lightning,,,,Deflect_Default,false,0.8,1,1,1,1,2,12,12,24,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,Small,Small,0,1,1,1,0,,0.1625,0.325
Spell_CallLightningStorm,Spear,0,0,,Bullet,Magic,Lightning,,,,Deflect_Default,false,0.4,1,1,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,,,0,1,1,0,0,,0.1625,0.325
Spell_CallLightningBurst,Spear,0,0,,Bullet,Magic,Lightning,,,,Deflect_Default,false,0.2,1,1,1,1,1,12,12,12,0,0.8,0,0.8,0,0,0,0.8,0,0.8,0,0.8,0,0,0,0,,,0,1,1,1,0,,0.1625,0.325
Spell_Spawn,Spear,0,0,,Bullet,Magic,Lightning,,,,Deflect_Default,false,0.05,1,1,4,4,4,12,12,12,0,8,0,0.8,0,6,0,0.8,0,8,0,0.8,0,0,0,0,Small,Small,0,1,1,1,0,,0.1625,0.325
Spell_BallLightningChain,Spear,0,0,,Bullet,Magic,Lightning,,,,Deflect_Default,false,0.15,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,,,0,0,0,0,0,,0.1625,0.325
Spell_BallLightningChainApply,Spear,0,0,,Bullet,Magic,Lightning,,AI_BallLightningCastChain,,Deflect_Default,false,0.15,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,,,0,0,0,0,0,,0.1625,0.325
Spell_BallLightningDestroySpear,Spear,0,0,,Bullet,Magic,Standard,,,,Deflect_Default,false,99999,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,,,0,0,0,0,0,true,0.1625,0.325
Spell_ChainLightning,Spear,0,0,,Bullet,Magic,Lightning,,,,Deflect_Default,false,0.15,1,1,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0.8,0,0,0,0.8,0,0,0,0,,,0,0,0,0,0,,0.1625,0.325
Fall,Fall,1,1,,Bullet,,Falling,,,,,,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,Small,0,0,0,0,0,,0.1625,0.325
Reaction_Breakout,Fall,1,1,,Bullet,,Falling,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Small,Small,0,0,0,0,0,,0.1625,0.325
